datetime,open,high,low,close,volume,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2021-03-08 14:30:00,3004.00,3006.05,2972.73,2977.77,419999,0.41,-15.29,-21.60,6.31,26.65,2996.15,42.83
2021-03-08 15:30:00,2977.15,2990.80,2951.69,2951.95,623003,0.24,-17.71,-20.82,3.11,26.40,2987.31,38.79
2021-03-09 09:30:00,3014.46,3067.94,3005.15,3059.27,1181379,1.00,-10.85,-18.83,7.98,25.20,3001.70,56.96
2021-03-09 10:30:00,3060.52,3061.95,3033.79,3053.24,434226,0.92,-5.83,-16.23,10.40,24.08,3012.01,55.96
2021-03-09 11:30:00,3054.36,3074.00,3046.85,3070.70,285060,0.96,-0.44,-13.07,12.63,23.34,3023.75,58.25
2021-03-09 12:30:00,3071.10,3085.00,3063.68,3075.75,371616,0.93,4.19,-9.62,13.81,22.92,3034.15,58.92
2021-03-09 13:30:00,3075.64,3086.98,3072.13,3073.65,312412,0.87,7.61,-6.17,13.78,22.58,3042.05,58.50
2021-03-09 14:30:00,3074.05,3090.96,3073.02,3084.00,337012,0.87,11.02,-2.74,13.76,22.36,3050.44,60.01
2021-03-09 15:30:00,3084.13,3086.28,3058.25,3062.85,581015,0.75,11.88,0.19,11.69,21.60,3052.92,55.57
2021-03-10 09:30:00,3100.08,3116.46,3052.32,3053.11,923307,0.69,11.64,2.48,9.17,21.69,3052.96,53.60
2021-03-10 10:30:00,3054.84,3068.49,3043.40,3067.39,382304,0.75,12.47,4.48,7.99,21.44,3055.84,56.06
2021-03-10 11:30:00,3068.99,3071.00,3043.56,3046.82,297996,0.60,11.32,5.85,5.48,21.27,3054.04,51.80
2021-03-10 12:30:00,3046.89,3060.00,3036.64,3050.98,273624,0.61,10.63,6.80,3.83,20.83,3053.43,52.58
2021-03-10 13:30:00,3050.23,3055.45,3030.21,3042.39,273218,0.54,9.29,7.30,1.99,20.15,3051.22,50.74
2021-03-10 14:30:00,3043.00,3070.70,3041.45,3052.80,296687,0.60,8.96,7.63,1.32,20.01,3051.54,52.89
2021-03-10 15:30:00,3054.04,3069.56,3050.59,3057.64,268793,0.62,8.98,7.90,1.08,19.88,3052.76,53.90
2021-03-11 09:30:00,3099.59,3115.54,3082.93,3095.21,796509,0.85,11.90,8.70,3.19,20.98,3061.25,60.88
2021-03-11 10:30:00,3094.50,3119.84,3094.49,3114.00,403372,0.92,15.54,10.07,5.47,22.10,3071.80,63.84
2021-03-11 11:30:00,3115.31,3131.64,3114.48,3122.22,350419,0.92,18.88,11.83,7.05,23.40,3081.88,65.08
2021-03-11 12:30:00,3124.33,3128.31,3113.97,3118.31,214597,0.86,20.96,13.66,7.31,24.59,3089.17,63.95
2021-03-11 13:30:00,3118.94,3121.34,3108.83,3118.97,231769,0.84,22.41,15.41,7.00,25.40,3095.13,64.07
2021-03-11 14:30:00,3119.16,3123.14,3108.44,3122.22,231231,0.91,23.55,17.04,6.51,26.21,3100.55,64.65
2021-03-11 15:30:00,3121.86,3122.49,3112.88,3113.59,286221,0.80,23.49,18.33,5.16,26.96,3103.16,61.77
2021-03-12 09:30:00,3073.25,3082.94,3045.51,3054.74,687111,0.28,18.47,18.36,0.12,25.48,3093.47,46.52
2021-03-12 10:30:00,3053.49,3065.95,3047.00,3061.94,303011,0.34,14.91,17.67,-2.76,24.10,3087.17,48.21
2021-03-12 11:30:00,3061.99,3079.59,3057.05,3078.73,245735,0.49,13.29,16.79,-3.50,22.46,3085.48,52.00
2021-03-12 12:30:00,3079.87,3084.57,3062.65,3068.26,201486,0.40,11.03,15.64,-4.61,21.11,3082.03,49.56
2021-03-12 13:30:00,3068.15,3074.40,3061.79,3071.68,160710,0.44,9.41,14.39,-4.99,19.83,3079.96,50.38
2021-03-12 14:30:00,3072.42,3092.54,3071.86,3089.47,281587,0.58,9.45,13.40,-3.96,19.33,3081.86,54.52
2021-03-12 15:30:00,3090.00,3097.97,3087.79,3091.23,300321,0.58,9.51,12.62,-3.11,19.05,3083.74,54.92
2021-03-15 09:30:00,3074.57,3074.65,3037.77,3041.31,793814,0.16,5.47,11.19,-5.72,18.53,3075.25,43.28
2021-03-15 10:30:00,3040.98,3058.00,3032.09,3039.39,448360,0.15,2.09,9.37,-7.28,18.22,3068.08,42.90
2021-03-15 11:30:00,3039.80,3054.16,3034.00,3053.95,253344,0.27,0.58,7.62,-7.03,17.93,3065.25,46.69
2021-03-15 12:30:00,3051.32,3057.65,3043.62,3051.26,188022,0.24,-0.82,5.93,-6.75,17.51,3062.46,46.08
2021-03-15 13:30:00,3050.41,3068.00,3048.81,3065.31,213247,0.36,-0.79,4.58,-5.38,16.64,3063.03,49.76
2021-03-15 14:30:00,3066.51,3074.78,3062.90,3065.05,235488,0.35,-0.78,3.51,-4.29,15.53,3063.43,49.70
2021-03-15 15:30:00,3065.03,3082.12,3062.02,3082.12,199954,0.51,0.60,2.93,-2.33,14.66,3067.17,54.11
2021-03-16 09:30:00,3091.00,3125.45,3085.00,3123.00,622023,0.87,4.93,3.33,1.60,15.37,3078.34,62.57
2021-03-16 10:30:00,3123.55,3128.91,3113.16,3114.11,353160,0.80,7.56,4.18,3.39,16.13,3085.49,59.98
2021-03-16 11:30:00,3115.71,3117.61,3093.52,3095.29,350287,0.64,8.04,4.95,3.09,15.92,3087.45,54.81
2021-03-16 12:30:00,3095.58,3110.88,3092.93,3106.44,234199,0.76,9.21,5.80,3.41,15.69,3091.25,57.16
2021-03-16 13:30:00,3106.53,3106.53,3082.21,3083.37,218761,0.56,8.18,6.27,1.90,15.00,3089.67,51.21
2021-03-16 14:30:00,3082.63,3094.56,3075.86,3091.97,259938,0.67,7.96,6.61,1.35,14.07,3090.13,53.17
2021-03-16 15:30:00,3091.19,3097.72,3088.35,3090.91,239117,0.64,7.62,6.81,0.81,13.35,3090.29,52.89
2021-03-17 09:30:00,3077.25,3108.00,3070.22,3100.00,581190,0.72,7.99,7.05,0.94,12.91,3092.23,55.08
2021-03-17 10:30:00,3099.41,3111.39,3088.14,3095.81,235388,0.66,7.86,7.21,0.64,12.35,3092.95,53.84
2021-03-17 11:30:00,3092.29,3095.00,3077.49,3093.06,217450,0.62,7.44,7.26,0.18,12.27,3092.97,52.99
2021-03-17 12:30:00,3091.75,3107.56,3085.28,3103.48,171233,0.71,7.86,7.38,0.48,11.58,3095.07,55.83
2021-03-17 13:30:00,3104.88,3133.87,3096.00,3121.54,401977,0.87,9.54,7.81,1.73,11.67,3100.36,60.30
2021-03-17 14:30:00,3120.00,3173.00,3116.66,3159.13,617996,1.10,13.75,9.00,4.75,12.96,3112.12,67.64
2021-03-17 15:30:00,3157.65,3163.76,3131.89,3135.73,416884,0.87,15.02,10.20,4.82,14.16,3116.84,60.18
2021-03-18 09:30:00,3102.01,3116.63,3074.08,3085.00,832618,0.40,11.80,10.52,1.28,13.33,3110.47,47.86
2021-03-18 10:30:00,3083.60,3095.00,3077.97,3088.39,331129,0.41,9.41,10.30,-0.89,12.57,3106.06,48.61
2021-03-18 11:30:00,3087.05,3093.75,3072.80,3092.00,287202,0.41,7.72,9.79,-2.06,12.04,3103.24,49.45
2021-03-18 12:30:00,3090.80,3091.75,3067.00,3079.95,316637,0.26,5.35,8.90,-3.55,11.74,3098.59,46.70
2021-03-18 13:30:00,3079.20,3085.00,3056.64,3058.15,260563,0.02,1.69,7.46,-5.77,11.82,3090.50,42.14
2021-03-18 14:30:00,3057.58,3058.53,3034.34,3044.09,612965,-0.05,-2.32,5.50,-7.82,12.58,3081.22,39.46
2021-03-18 15:30:00,3044.98,3045.74,3025.01,3028.29,549634,-0.08,-6.69,3.06,-9.75,13.56,3070.63,36.64
2021-03-19 09:30:00,3040.57,3056.55,3016.66,3049.99,1166041,0.16,-8.31,0.79,-9.10,13.96,3066.50,42.70
2021-03-19 10:30:00,3050.05,3057.00,3030.55,3036.20,407558,0.10,-10.58,-1.49,-9.10,14.30,3060.44,40.07
2021-03-19 11:30:00,3037.90,3047.13,3034.57,3044.98,285344,0.20,-11.55,-3.50,-8.05,14.63,3057.35,42.49
2021-03-19 12:30:00,3046.29,3058.03,3039.98,3055.09,316932,0.29,-11.36,-5.07,-6.29,14.37,3056.90,45.24
2021-03-19 13:30:00,3055.45,3057.35,3047.01,3055.00,318412,0.31,-11.09,-6.27,-4.82,14.13,3056.52,45.22
2021-03-19 14:30:00,3055.84,3064.35,3054.86,3062.00,314759,0.37,-10.20,-7.06,-3.14,13.54,3057.62,47.24
2021-03-19 15:30:00,3061.40,3077.28,3055.89,3075.84,510690,0.48,-8.28,-7.30,-0.97,12.80,3061.26,51.08
2021-03-22 09:30:00,3080.77,3108.96,3061.68,3104.31,565981,0.69,-4.41,-6.72,2.32,13.38,3069.87,57.87
2021-03-22 10:30:00,3103.34,3118.35,3100.14,3114.12,281999,0.75,-0.54,-5.49,4.95,14.23,3078.72,59.94
2021-03-22 11:30:00,3115.99,3119.49,3105.85,3116.95,260144,0.76,2.72,-3.85,6.56,15.05,3086.37,60.54
