datetime,open,high,low,close,volume,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2021-02-25 11:30:00,554.34,554.34,541.06,541.50,2545221,-0.02,-7.20,-6.38,-0.82,31.64,561.56,31.03
2021-02-25 12:30:00,541.45,543.97,534.20,538.23,2387016,-0.04,-8.69,-6.84,-1.84,33.06,556.89,29.78
2021-02-25 13:30:00,538.02,543.38,530.72,541.62,2492446,0.09,-9.48,-7.37,-2.11,34.54,553.84,32.80
2021-02-25 14:30:00,541.43,541.43,530.50,531.51,1793008,-0.03,-10.79,-8.05,-2.74,35.92,549.37,28.82
2021-02-25 15:30:00,531.46,537.01,528.65,532.30,2565510,0.05,-11.64,-8.77,-2.87,37.29,545.96,29.54
2021-02-26 09:30:00,550.55,552.47,535.40,536.24,3646227,0.16,-11.86,-9.39,-2.47,36.45,544.02,33.17
2021-02-26 10:30:00,536.45,548.91,534.50,546.19,1718919,0.33,-11.10,-9.73,-1.37,35.74,544.45,41.37
2021-02-26 11:30:00,545.99,552.01,544.34,551.36,1222986,0.42,-9.96,-9.78,-0.19,34.70,545.83,45.14
2021-02-26 12:30:00,551.26,553.25,547.99,552.71,1222648,0.45,-8.85,-9.59,0.74,33.58,547.21,46.11
2021-02-26 13:30:00,553.04,553.15,545.11,547.57,1138170,0.38,-8.29,-9.33,1.04,32.79,547.28,42.98
2021-02-26 14:30:00,547.42,551.84,546.82,548.44,949586,0.41,-7.69,-9.00,1.31,32.06,547.51,43.68
2021-02-26 15:30:00,548.28,554.00,548.20,548.58,1374834,0.42,-7.12,-8.63,1.51,31.06,547.73,43.80
2021-03-01 09:30:00,555.00,557.00,542.35,545.02,2654775,0.37,-6.87,-8.28,1.40,30.69,547.18,41.40
2021-03-01 10:30:00,544.94,549.69,543.25,549.12,1327313,0.46,-6.28,-7.88,1.60,30.34,547.57,45.13
2021-03-01 11:30:00,549.22,552.35,543.70,547.02,1114733,0.44,-5.91,-7.48,1.58,29.59,547.46,43.60
2021-03-01 12:30:00,547.11,548.49,545.00,546.95,632490,0.46,-5.55,-7.10,1.54,28.90,547.36,43.55
2021-03-01 13:30:00,546.77,550.08,545.34,547.64,673252,0.51,-5.16,-6.71,1.55,27.98,547.42,44.26
2021-03-01 14:30:00,547.88,551.07,547.77,549.51,662243,0.63,-4.64,-6.30,1.65,26.96,547.83,46.26
2021-03-01 15:30:00,549.53,554.19,549.00,553.67,1036035,0.82,-3.85,-5.81,1.96,25.48,549.00,50.51
2021-03-02 09:30:00,556.00,556.82,546.67,548.77,1520111,0.64,-3.58,-5.36,1.78,23.67,548.96,45.91
2021-03-02 10:30:00,549.30,550.99,544.56,546.78,936080,0.55,-3.48,-4.99,1.50,22.32,548.52,44.15
2021-03-02 11:30:00,546.73,546.98,543.01,543.85,737797,0.42,-3.60,-4.71,1.11,21.31,547.59,41.62
2021-03-02 12:30:00,544.00,547.21,543.70,546.39,534021,0.52,-3.45,-4.46,1.00,20.33,547.35,44.58
2021-03-02 13:30:00,546.76,547.60,542.36,542.86,533059,0.31,-3.58,-4.28,0.70,19.65,546.45,41.43
2021-03-02 14:30:00,542.79,544.80,540.83,541.40,661861,0.13,-3.75,-4.18,0.42,19.27,545.44,40.17
2021-03-02 15:30:00,541.18,543.20,535.93,536.05,1147429,-0.21,-4.27,-4.19,-0.08,19.66,543.56,35.85
2021-03-03 09:30:00,537.05,538.06,518.23,521.00,2525139,-0.40,-5.83,-4.52,-1.31,21.76,539.05,27.05
2021-03-03 10:30:00,520.73,525.78,519.48,525.27,1029906,-0.10,-6.64,-4.95,-1.70,23.71,536.29,32.14
2021-03-03 11:30:00,525.12,525.88,520.00,520.72,781185,-0.09,-7.57,-5.47,-2.10,25.50,533.18,29.76
2021-03-03 12:30:00,520.44,521.65,517.25,520.10,872166,-0.01,-8.26,-6.03,-2.23,27.37,530.56,29.44
2021-03-03 13:30:00,519.81,520.05,513.34,513.88,1122731,-0.04,-9.20,-6.66,-2.54,29.40,527.23,26.37
2021-03-03 14:30:00,513.70,517.92,512.65,514.69,1084077,0.05,-9.77,-7.28,-2.48,31.33,524.72,27.43
2021-03-03 15:30:00,515.00,517.25,511.95,512.19,1324651,0.07,-10.30,-7.89,-2.41,33.17,522.21,26.18
2021-03-04 09:30:00,512.00,519.00,495.16,502.40,3748733,-0.01,-11.38,-8.59,-2.80,35.80,518.25,21.95
2021-03-04 10:30:00,502.36,510.34,501.78,506.17,1360651,0.10,-11.80,-9.23,-2.57,38.24,515.83,26.85
2021-03-04 11:30:00,506.05,511.93,500.25,502.63,1029740,0.10,-12.27,-9.84,-2.44,40.12,513.19,25.25
2021-03-04 12:30:00,502.85,502.85,489.41,493.90,2103565,0.05,-13.20,-10.51,-2.69,42.35,509.33,21.79
2021-03-04 13:30:00,493.94,494.06,483.35,493.56,1970567,0.09,-13.81,-11.17,-2.64,44.63,506.18,21.67
2021-03-04 14:30:00,493.75,497.14,490.02,494.23,1505722,0.14,-14.07,-11.75,-2.32,46.08,503.79,22.61
2021-03-04 15:30:00,494.00,496.14,491.28,493.68,1484354,0.16,-14.16,-12.23,-1.93,47.43,501.77,22.37
2021-03-05 09:30:00,500.05,500.19,478.20,479.75,3095186,0.04,-15.18,-12.82,-2.36,49.20,497.36,17.40
2021-03-05 10:30:00,480.12,483.37,467.17,469.25,2370452,-0.02,-16.64,-13.58,-3.06,51.16,491.74,14.74
2021-03-05 11:30:00,469.95,486.85,469.66,485.33,1901829,0.20,-16.31,-14.13,-2.18,52.34,490.46,31.90
2021-03-05 12:30:00,485.10,496.85,483.84,496.64,1770842,0.37,-14.97,-14.30,-0.67,51.80,491.70,40.91
2021-03-05 13:30:00,496.79,498.36,491.83,496.55,1276349,0.39,-13.76,-14.19,0.43,51.07,492.67,40.86
2021-03-05 14:30:00,496.61,500.22,495.65,497.15,1257611,0.42,-12.60,-13.87,1.27,50.11,493.56,41.33
2021-03-05 15:30:00,497.25,499.59,496.51,498.45,1028531,0.46,-11.44,-13.39,1.94,49.22,494.54,42.42
2021-03-08 09:30:00,497.40,498.46,485.00,490.97,2584951,0.34,-11.01,-12.91,1.90,49.13,493.83,38.06
2021-03-08 10:30:00,491.01,493.50,484.20,485.85,1218092,0.26,-10.95,-12.52,1.57,49.10,492.23,35.38
2021-03-08 11:30:00,484.73,484.86,473.17,479.71,1889032,0.16,-11.26,-12.27,1.00,49.64,489.73,32.44
2021-03-08 12:30:00,479.85,482.20,474.61,476.04,1253978,0.12,-11.68,-12.15,0.47,50.14,486.99,30.78
2021-03-08 13:30:00,475.98,476.20,467.80,471.47,1784305,0.06,-12.23,-12.17,-0.07,50.92,483.89,28.82
2021-03-08 14:30:00,471.36,473.00,464.08,464.68,1876534,-0.02,-13.07,-12.35,-0.72,51.80,480.04,26.15
2021-03-08 15:30:00,464.57,468.35,462.66,463.23,2125724,0.02,-13.69,-12.62,-1.08,52.67,476.68,25.60
2021-03-09 09:30:00,487.15,496.75,482.82,494.66,3915144,0.68,-11.52,-12.40,0.88,49.67,480.28,49.98
2021-03-09 10:30:00,494.56,497.11,489.00,495.95,1435823,0.72,-9.58,-11.83,2.25,46.85,483.41,50.70
2021-03-09 11:30:00,496.09,499.89,493.65,498.60,1833284,0.77,-7.74,-11.01,3.27,43.96,486.45,52.21
2021-03-09 12:30:00,499.12,501.00,495.52,498.05,999827,0.75,-6.25,-10.06,3.81,41.16,488.77,51.85
2021-03-09 13:30:00,498.28,502.74,498.07,498.51,1222943,0.75,-4.98,-9.05,4.06,38.37,490.72,52.14
2021-03-09 14:30:00,498.65,504.67,498.38,502.96,1184749,0.82,-3.58,-7.95,4.38,35.69,493.17,55.00
2021-03-09 15:30:00,502.80,504.00,498.00,500.81,1315651,0.75,-2.60,-6.88,4.28,33.15,494.70,53.34
2021-03-10 09:30:00,513.06,519.13,505.37,505.74,3692893,0.82,-1.42,-5.79,4.37,32.26,496.90,56.57
2021-03-10 10:30:00,505.73,510.71,501.33,509.60,1407135,0.85,-0.17,-4.66,4.50,30.95,499.44,58.96
2021-03-10 11:30:00,509.33,510.22,502.41,503.44,552646,0.72,0.33,-3.67,3.99,29.74,500.24,53.86
2021-03-10 12:30:00,503.37,506.27,499.08,504.09,744615,0.72,0.76,-2.78,3.54,28.20,501.01,54.31
2021-03-10 13:30:00,504.36,505.00,498.41,503.03,714886,0.70,1.01,-2.02,3.03,26.69,501.42,53.40
2021-03-10 14:30:00,503.04,505.89,500.68,500.68,596294,0.65,1.00,-1.42,2.42,25.38,501.27,51.34
2021-03-10 15:30:00,500.64,502.83,498.30,498.73,1256132,0.61,0.83,-0.97,1.80,23.84,500.76,49.63
2021-03-11 09:30:00,516.84,518.43,509.39,512.81,2136832,0.83,1.81,-0.41,2.22,23.99,503.17,59.99
2021-03-11 10:30:00,512.82,518.10,512.82,517.19,933994,0.86,2.90,0.25,2.65,24.13,505.97,62.58
2021-03-11 11:30:00,517.41,519.65,516.43,518.65,848188,0.85,3.85,0.97,2.88,24.39,508.51,63.42
2021-03-11 12:30:00,518.94,521.85,517.22,520.46,748841,0.85,4.68,1.71,2.97,24.83,510.90,64.50
2021-03-11 13:30:00,520.49,521.28,517.33,519.84,577600,0.84,5.24,2.42,2.82,25.24,512.69,63.81
2021-03-11 14:30:00,519.99,521.83,519.16,521.51,648339,0.94,5.75,3.08,2.66,25.68,514.45,64.90
2021-03-11 15:30:00,521.36,521.59,518.88,519.83,876476,0.85,5.94,3.66,2.29,26.02,515.53,62.85
2021-03-12 09:30:00,505.93,515.04,503.60,508.73,2027264,0.52,5.15,3.95,1.19,24.39,514.17,51.31
2021-03-12 10:30:00,508.95,512.33,506.26,510.00,761136,0.54,4.56,4.08,0.49,22.88,513.34,52.39
2021-03-12 11:30:00,509.97,513.73,508.74,513.45,466219,0.63,4.33,4.13,0.20,21.27,513.36,55.28
2021-03-12 12:30:00,513.54,515.46,510.39,513.57,525124,0.61,4.11,4.12,-0.01,19.97,513.40,55.38
2021-03-12 13:30:00,513.64,514.11,509.61,511.17,429401,0.52,3.70,4.04,-0.34,18.64,512.95,52.80
2021-03-12 14:30:00,511.47,514.35,510.69,513.27,508675,0.57,3.50,3.93,-0.43,17.44,513.02,54.79
2021-03-12 15:30:00,513.30,515.10,512.78,514.24,653028,0.59,3.38,3.82,-0.44,16.45,513.26,55.71
2021-03-15 09:30:00,514.32,524.53,511.00,519.87,1190812,0.78,3.70,3.80,-0.10,16.88,514.58,60.75
2021-03-15 10:30:00,519.79,524.00,517.56,518.90,593982,0.72,3.83,3.80,0.03,17.27,515.45,59.49
2021-03-15 11:30:00,519.00,521.91,517.35,520.01,536163,0.73,3.98,3.84,0.14,17.60,516.36,60.50
2021-03-15 12:30:00,519.74,521.55,518.60,519.91,327181,0.71,4.04,3.88,0.16,17.90,517.07,60.35
2021-03-15 13:30:00,519.80,523.23,519.57,522.50,354130,0.80,4.25,3.95,0.30,18.42,518.16,62.84
2021-03-15 14:30:00,522.74,525.58,522.58,524.32,575475,0.92,4.51,4.06,0.44,19.25,519.39,64.53
2021-03-15 15:30:00,524.23,528.27,523.96,528.12,786589,1.03,4.96,4.24,0.72,20.37,521.13,67.81
2021-03-16 09:30:00,533.94,539.68,532.12,537.42,2003193,1.22,6.01,4.60,1.41,22.56,524.39,74.12
2021-03-16 10:30:00,537.67,540.49,536.80,537.48,760133,1.08,6.76,5.03,1.73,24.65,527.01,74.16
2021-03-16 11:30:00,537.53,538.68,530.32,531.24,775837,0.84,6.77,5.38,1.40,25.11,527.86,64.35
2021-03-16 12:30:00,531.31,536.95,531.00,534.16,597339,0.88,6.94,5.69,1.25,25.53,529.12,66.58
2021-03-16 13:30:00,534.05,534.31,526.26,526.98,667413,0.66,6.42,5.84,0.59,24.95,528.69,57.13
2021-03-16 14:30:00,526.78,531.83,524.67,530.78,731243,0.75,6.24,5.92,0.33,24.10,529.11,60.34
2021-03-16 15:30:00,531.05,533.57,530.83,531.39,686618,0.74,6.08,5.95,0.13,23.56,529.57,60.84
2021-03-17 09:30:00,521.74,529.88,519.59,526.62,1477396,0.59,5.51,5.86,-0.36,22.54,528.98,54.93
2021-03-17 10:30:00,526.07,527.64,522.54,525.49,583322,0.54,4.90,5.67,-0.77,21.60,528.28,53.60
2021-03-17 11:30:00,525.27,525.93,520.50,525.22,511610,0.51,4.35,5.41,-1.06,21.01,527.67,53.27
2021-03-17 12:30:00,525.00,525.25,521.03,525.16,364144,0.48,3.86,5.10,-1.23,20.46,527.16,53.19
2021-03-17 13:30:00,525.14,535.16,522.00,528.95,763649,0.60,3.74,4.83,-1.09,19.68,527.52,57.46
2021-03-17 14:30:00,529.00,538.12,527.92,535.20,1209292,0.84,4.10,4.68,-0.58,19.34,529.06,63.41
2021-03-17 15:30:00,535.37,536.97,530.79,533.98,648586,0.76,4.24,4.59,-0.35,19.03,530.04,61.60
2021-03-18 09:30:00,525.46,527.36,519.08,522.35,1358553,0.22,3.37,4.35,-0.98,18.39,528.50,47.65
2021-03-18 10:30:00,522.08,524.57,520.33,522.63,484895,0.21,2.67,4.01,-1.34,17.80,527.33,47.96
2021-03-18 11:30:00,522.84,525.39,519.30,525.15,750145,0.31,2.30,3.67,-1.37,17.39,526.89,50.75
2021-03-18 12:30:00,525.09,525.50,518.50,520.63,517122,0.09,1.62,3.26,-1.64,17.12,525.64,45.99
2021-03-18 13:30:00,520.43,521.61,516.16,516.38,654092,-0.04,0.73,2.75,-2.03,17.20,523.79,42.00
2021-03-18 14:30:00,517.10,517.38,511.92,514.41,1111793,-0.02,-0.13,2.18,-2.31,17.82,521.91,40.26
2021-03-18 15:30:00,514.25,514.50,508.68,508.90,1579296,-0.11,-1.25,1.49,-2.74,18.78,519.31,35.79
2021-03-19 09:30:00,514.25,515.00,504.50,510.00,1872762,0.00,-2.02,0.79,-2.81,20.12,517.45,37.29
2021-03-19 10:30:00,509.99,515.00,506.81,511.68,791075,0.11,-2.47,0.14,-2.60,21.37,516.30,39.61
2021-03-19 11:30:00,511.41,514.80,510.59,512.99,490345,0.19,-2.68,-0.43,-2.26,22.52,515.64,41.43
2021-03-19 12:30:00,513.01,516.74,513.01,516.28,465522,0.31,-2.56,-0.85,-1.71,23.10,515.76,45.83
2021-03-19 13:30:00,516.23,516.81,512.38,514.20,446248,0.27,-2.60,-1.20,-1.40,23.72,515.45,43.60
2021-03-19 14:30:00,513.93,514.96,508.90,510.45,631768,0.18,-2.90,-1.54,-1.36,24.75,514.45,39.83
2021-03-19 15:30:00,510.32,515.50,510.09,513.83,906108,0.31,-2.84,-1.80,-1.04,25.56,514.33,44.48
2021-03-22 09:30:00,516.27,524.85,516.27,524.44,1196996,0.66,-1.91,-1.82,-0.08,24.15,516.35,56.00
2021-03-22 10:30:00,524.57,529.60,523.36,529.20,919979,0.80,-0.78,-1.61,0.84,22.83,518.92,60.01
2021-03-22 11:30:00,529.24,534.60,528.52,533.68,916182,0.90,0.48,-1.20,1.67,22.33,521.87,63.39
2021-03-22 12:30:00,533.53,535.33,531.83,533.46,798248,0.87,1.43,-0.67,2.10,21.97,524.19,63.10
2021-03-22 13:30:00,533.50,535.76,532.66,533.73,518561,0.89,2.19,-0.10,2.29,21.70,526.10,63.32
2021-03-22 14:30:00,533.89,534.20,529.02,529.17,702436,0.77,2.39,0.40,1.99,20.71,526.71,57.23
2021-03-22 15:30:00,529.16,530.68,526.59,527.45,735893,0.71,2.39,0.80,1.59,19.32,526.86,55.08
2021-03-23 09:30:00,530.17,533.78,526.63,529.81,1471469,0.76,2.55,1.15,1.40,18.57,527.45,57.44
2021-03-23 10:30:00,529.79,532.72,526.44,531.53,526948,0.79,2.78,1.47,1.30,17.84,528.27,59.13
