datetime,open,high,low,close,volume,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2021-03-08 10:30:00,127.06,127.14,126.31,127.04,1102197,0.93,0.61,0.16,0.45,31.04,125.76,66.69
2021-03-08 11:30:00,127.18,128.33,127.11,128.29,1300554,1.02,0.80,0.29,0.51,32.49,126.26,71.93
2021-03-08 12:30:00,128.28,128.56,128.14,128.53,803142,0.97,0.95,0.42,0.53,33.95,126.72,72.80
2021-03-08 13:30:00,128.54,128.90,128.35,128.46,881920,0.90,1.06,0.55,0.51,35.49,127.07,72.09
2021-03-08 14:30:00,128.48,128.52,127.98,128.15,878928,0.83,1.10,0.66,0.44,36.26,127.28,68.93
2021-03-08 15:30:00,128.16,128.19,127.23,127.27,1242456,0.71,1.05,0.74,0.31,35.79,127.28,60.62
2021-03-09 09:30:00,128.04,128.91,127.02,127.96,2122317,0.76,1.06,0.80,0.26,35.88,127.42,64.24
2021-03-09 10:30:00,127.96,128.05,126.96,127.07,1146944,0.64,0.98,0.84,0.14,35.88,127.35,57.01
2021-03-09 11:30:00,127.11,127.42,126.78,127.42,728732,0.66,0.94,0.86,0.08,35.59,127.36,58.95
2021-03-09 12:30:00,127.41,127.61,127.18,127.18,676586,0.61,0.87,0.86,0.01,35.47,127.33,57.02
2021-03-09 13:30:00,127.17,127.35,126.95,127.08,837879,0.58,0.80,0.85,-0.05,34.98,127.28,56.20
2021-03-09 14:30:00,127.08,127.22,126.51,126.54,687520,0.44,0.70,0.82,-0.12,33.83,127.13,51.80
2021-03-09 15:30:00,126.54,126.71,126.12,126.13,1009451,0.30,0.57,0.77,-0.20,32.17,126.93,48.75
2021-03-10 09:30:00,126.18,127.78,125.47,127.76,1863614,0.69,0.60,0.73,-0.14,31.71,127.10,59.17
2021-03-10 10:30:00,127.75,128.05,127.24,127.89,1371165,0.70,0.62,0.71,-0.09,31.51,127.25,59.86
2021-03-10 11:30:00,127.88,128.05,127.37,127.85,730531,0.68,0.63,0.70,-0.06,31.32,127.37,59.54
2021-03-10 12:30:00,127.87,128.23,127.67,127.86,680221,0.66,0.63,0.68,-0.05,31.32,127.47,59.60
2021-03-10 13:30:00,127.87,128.42,127.85,128.15,899936,0.74,0.65,0.68,-0.03,31.49,127.61,61.44
2021-03-10 14:30:00,128.15,128.20,127.74,127.84,809848,0.61,0.63,0.67,-0.04,31.43,127.65,58.39
2021-03-10 15:30:00,127.84,127.90,127.21,127.30,1229844,0.38,0.56,0.65,-0.08,30.44,127.58,53.41
2021-03-11 09:30:00,127.34,127.85,126.72,127.68,1501654,0.52,0.54,0.62,-0.09,28.74,127.60,56.24
2021-03-11 10:30:00,127.69,127.85,127.03,127.55,892832,0.49,0.50,0.60,-0.10,27.17,127.59,55.01
2021-03-11 11:30:00,127.54,127.68,127.08,127.24,907872,0.37,0.44,0.57,-0.13,25.72,127.52,52.09
2021-03-11 12:30:00,127.24,127.59,127.15,127.46,526331,0.50,0.40,0.53,-0.13,24.36,127.51,53.96
2021-03-11 13:30:00,127.46,127.80,127.36,127.50,663922,0.53,0.38,0.50,-0.13,23.44,127.51,54.31
2021-03-11 14:30:00,127.50,127.62,127.08,127.14,678781,0.35,0.32,0.47,-0.15,22.05,127.43,50.54
2021-03-11 15:30:00,127.14,127.36,126.90,126.90,837745,0.25,0.25,0.42,-0.17,20.52,127.33,48.22
2021-03-12 09:30:00,127.65,128.71,127.65,128.47,1184760,0.98,0.32,0.40,-0.08,20.91,127.55,61.07
2021-03-12 10:30:00,128.47,128.81,127.95,128.12,741358,0.79,0.35,0.39,-0.04,21.38,127.67,57.61
2021-03-12 11:30:00,128.11,128.11,127.84,127.88,431669,0.66,0.34,0.38,-0.04,21.60,127.71,55.34
2021-03-12 12:30:00,127.89,128.11,127.80,128.10,368284,0.74,0.35,0.38,-0.02,21.72,127.79,57.02
