datetime,open,high,low,close,volume,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-12-08 13:16:00,195.27,195.30,195.23,195.26,47725,0.53,0.03,0.03,-0.01,16.36,195.27,52.62
2023-12-08 13:17:00,195.27,195.27,195.16,195.16,43456,0.05,0.02,0.03,-0.01,15.41,195.25,42.83
2023-12-08 13:18:00,195.16,195.22,195.14,195.19,85190,0.20,0.01,0.03,-0.02,14.83,195.24,46.27
2023-12-08 13:19:00,195.20,195.20,195.15,195.15,64095,0.02,0.00,0.02,-0.02,14.30,195.22,42.64
2023-12-08 13:20:00,195.15,195.16,195.05,195.12,83637,-0.08,-0.01,0.02,-0.02,15.16,195.20,39.84
2023-12-08 13:21:00,195.11,195.16,195.04,195.04,68289,-0.18,-0.02,0.01,-0.03,16.08,195.17,34.58
2023-12-08 13:22:00,195.04,195.11,195.02,195.11,75236,0.11,-0.02,0.00,-0.03,17.16,195.16,42.15
2023-12-08 13:23:00,195.10,195.18,195.10,195.18,54436,0.34,-0.02,-0.00,-0.02,16.82,195.16,48.29
2023-12-08 13:24:00,195.17,195.21,195.15,195.19,45472,0.40,-0.02,-0.01,-0.01,16.00,195.17,49.60
2023-12-08 13:25:00,195.19,195.22,195.13,195.15,49369,0.29,-0.02,-0.01,-0.01,15.49,195.16,46.24
2023-12-08 13:26:00,195.15,195.18,195.13,195.13,43441,0.26,-0.02,-0.01,-0.01,15.06,195.16,45.00
2023-12-08 13:27:00,195.13,195.22,195.13,195.22,39752,0.55,-0.02,-0.01,-0.00,13.99,195.17,52.61
2023-12-08 13:28:00,195.22,195.31,195.22,195.23,90975,0.58,-0.01,-0.01,0.00,14.30,195.18,53.43
2023-12-08 13:29:00,195.22,195.28,195.22,195.24,35606,0.62,-0.00,-0.01,0.01,14.59,195.19,54.40
2023-12-08 13:30:00,195.24,195.27,195.24,195.24,42245,0.62,-0.00,-0.01,0.01,14.86,195.20,53.87
2023-12-08 13:31:00,195.23,195.27,195.19,195.23,46091,0.63,0.00,-0.01,0.01,14.25,195.21,53.42
2023-12-08 13:32:00,195.24,195.32,195.24,195.27,66392,0.79,0.01,-0.00,0.01,14.41,195.22,57.19
2023-12-08 13:33:00,195.27,195.30,195.22,195.29,49194,0.87,0.01,-0.00,0.01,14.19,195.23,59.45
2023-12-08 13:34:00,195.30,195.32,195.27,195.31,45959,0.91,0.02,0.00,0.02,14.33,195.25,60.80
