datetime,open,high,low,close,volume,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-12-08 15:18:00,475.36,475.38,475.18,475.30,26004,0.51,-0.22,-0.29,0.06,37.58,475.22,46.29
2023-12-08 15:19:00,475.27,475.36,474.98,475.06,24477,0.41,-0.22,-0.27,0.05,37.63,475.19,42.20
2023-12-08 15:20:00,475.06,475.12,474.82,474.88,47147,0.31,-0.23,-0.26,0.03,38.03,475.12,39.25
2023-12-08 15:21:00,474.84,475.07,474.80,475.02,39767,0.43,-0.23,-0.26,0.03,38.45,475.10,42.52
2023-12-08 15:22:00,475.05,475.17,474.82,474.88,50448,0.29,-0.23,-0.25,0.02,38.29,475.06,40.22
2023-12-08 15:23:00,474.89,474.99,474.65,474.89,79271,0.31,-0.23,-0.25,0.02,38.54,475.02,40.42
2023-12-08 15:24:00,474.92,474.98,474.82,474.95,31205,0.40,-0.22,-0.24,0.02,38.78,475.01,42.13
2023-12-08 15:25:00,474.95,474.99,474.81,474.83,37268,0.20,-0.22,-0.24,0.02,39.03,474.97,39.86
2023-12-08 15:26:00,474.82,474.94,474.74,474.81,30280,0.20,-0.22,-0.23,0.01,39.44,474.94,39.48
2023-12-08 15:27:00,474.84,475.21,474.80,475.21,103818,0.72,-0.19,-0.22,0.04,38.21,475.00,49.92
2023-12-08 15:28:00,475.24,475.39,475.09,475.36,64680,0.90,-0.15,-0.21,0.06,36.23,475.07,53.05
2023-12-08 15:29:00,475.38,475.39,475.10,475.14,67353,0.61,-0.13,-0.19,0.06,34.40,475.08,48.04
2023-12-08 15:30:00,475.10,475.28,475.02,475.21,61308,0.69,-0.11,-0.18,0.07,33.00,475.11,49.74
2023-12-08 15:31:00,475.21,475.39,475.05,475.27,66685,0.75,-0.09,-0.16,0.07,31.15,475.14,51.12
2023-12-08 15:32:00,475.28,475.28,474.95,475.27,59347,0.73,-0.07,-0.14,0.07,29.85,475.17,51.12
2023-12-08 15:33:00,475.24,475.24,475.06,475.09,39071,0.48,-0.07,-0.13,0.06,28.63,475.15,46.66
2023-12-08 15:34:00,475.06,475.13,474.92,475.03,37797,0.40,-0.07,-0.12,0.04,28.07,475.13,45.25
2023-12-08 15:35:00,475.04,475.09,474.93,475.00,41657,0.37,-0.08,-0.11,0.03,27.55,475.10,44.52
2023-12-08 15:36:00,475.02,475.15,474.93,475.09,57513,0.51,-0.07,-0.10,0.03,26.70,475.10,47.18
2023-12-08 15:37:00,475.05,475.17,474.83,475.16,74216,0.64,-0.06,-0.09,0.03,26.34,475.11,49.36
2023-12-08 15:38:00,475.14,475.28,474.98,475.10,67748,0.56,-0.06,-0.09,0.03,25.32,475.11,47.61
2023-12-08 15:39:00,475.11,475.20,475.04,475.14,45055,0.62,-0.05,-0.08,0.03,24.37,475.12,49.00
2023-12-08 15:40:00,475.19,475.39,475.05,475.14,74222,0.60,-0.05,-0.07,0.03,22.86,475.12,48.86
2023-12-08 15:41:00,475.11,475.25,475.02,475.12,59381,0.56,-0.04,-0.07,0.02,21.28,475.12,48.22
2023-12-08 15:42:00,475.12,475.17,474.96,474.99,67210,0.33,-0.05,-0.06,0.01,20.04,475.10,44.04
2023-12-08 15:43:00,475.01,475.17,474.95,475.03,60753,0.38,-0.05,-0.06,0.01,18.94,475.08,45.47
2023-12-08 15:44:00,475.00,475.07,474.77,474.81,76918,0.02,-0.07,-0.06,-0.01,18.86,475.03,38.78
2023-12-08 15:45:00,474.79,474.98,474.57,474.98,188337,0.29,-0.07,-0.06,-0.01,19.61,475.02,45.49
2023-12-08 15:46:00,474.95,475.02,474.73,474.94,79696,0.17,-0.07,-0.07,-0.01,20.06,475.00,44.23
2023-12-08 15:47:00,474.92,474.94,474.72,474.86,82569,0.07,-0.08,-0.07,-0.01,20.51,474.97,41.77
2023-12-08 15:48:00,474.89,474.96,474.79,474.81,62906,0.02,-0.09,-0.07,-0.02,20.74,474.94,40.34
2023-12-08 15:49:00,474.82,474.94,474.61,474.77,91686,0.03,-0.10,-0.08,-0.02,21.72,474.91,39.25
2023-12-08 15:50:00,474.69,475.09,474.69,475.01,138046,0.46,-0.08,-0.08,-0.01,21.56,474.93,48.92
2023-12-08 15:51:00,474.96,475.01,474.67,474.91,165751,0.30,-0.08,-0.08,-0.00,21.50,474.92,45.61
2023-12-08 15:52:00,474.91,474.98,474.66,474.89,98803,0.28,-0.08,-0.08,-0.00,21.49,474.92,44.96
2023-12-08 15:53:00,474.89,475.12,474.86,475.04,103799,0.60,-0.07,-0.08,0.01,20.51,474.94,50.50
2023-12-08 15:54:00,475.01,475.16,474.67,474.90,141174,0.33,-0.06,-0.07,0.01,20.53,474.93,46.02
2023-12-08 15:55:00,474.92,475.19,474.92,475.07,111176,0.66,-0.05,-0.07,0.02,20.34,474.96,51.70
2023-12-08 15:56:00,475.07,475.21,475.00,475.20,140812,0.90,-0.03,-0.06,0.03,20.03,475.01,55.77
2023-12-08 15:57:00,475.19,475.21,475.00,475.10,116954,0.72,-0.02,-0.05,0.03,19.74,475.03,52.22
2023-12-08 15:58:00,475.08,475.10,474.98,474.99,200888,0.51,-0.02,-0.05,0.03,19.59,475.02,48.54
2023-12-08 15:59:00,475.01,475.13,474.96,475.08,303836,0.71,-0.01,-0.04,0.03,19.20,475.03,51.61
2023-12-11 09:30:00,471.25,471.31,470.31,470.46,1774302,-0.58,-0.37,-0.11,-0.27,23.93,474.12,12.01
2023-12-11 09:31:00,470.58,471.67,469.64,469.95,362356,-0.29,-0.69,-0.22,-0.47,28.45,473.28,11.01
2023-12-11 09:32:00,470.04,470.18,467.50,467.55,356532,-0.29,-1.13,-0.40,-0.72,32.90,472.14,7.73
2023-12-11 09:33:00,467.57,469.81,467.57,469.26,348152,0.01,-1.32,-0.59,-0.73,37.04,471.56,24.88
2023-12-11 09:34:00,469.16,471.30,469.01,469.21,381768,0.07,-1.46,-0.76,-0.70,38.35,471.09,24.74
2023-12-11 09:35:00,469.26,469.96,467.50,467.87,298122,0.02,-1.66,-0.94,-0.72,40.10,470.45,21.17
2023-12-11 09:36:00,467.85,467.85,466.24,467.10,323595,0.03,-1.86,-1.13,-0.73,42.08,469.78,19.44
2023-12-11 09:37:00,467.10,467.71,466.88,467.22,231101,0.10,-1.98,-1.30,-0.69,43.91,469.26,20.57
2023-12-11 09:38:00,467.24,469.70,466.93,469.61,275585,0.30,-1.87,-1.41,-0.46,43.29,469.33,38.42
2023-12-11 09:39:00,469.61,470.23,469.00,470.17,306438,0.36,-1.71,-1.47,-0.24,42.20,469.50,41.76
2023-12-11 09:40:00,470.17,470.74,469.08,469.08,247568,0.30,-1.66,-1.51,-0.15,40.72,469.42,37.52
2023-12-11 09:41:00,469.14,471.02,469.14,470.51,256630,0.43,-1.48,-1.50,0.02,39.09,469.64,45.32
2023-12-11 09:42:00,470.50,470.60,469.37,469.53,171594,0.37,-1.40,-1.48,0.08,37.57,469.61,41.50
2023-12-11 09:43:00,469.52,469.63,467.73,468.08,271377,0.27,-1.44,-1.47,0.03,37.14,469.31,36.58
