datetime,open,high,low,close,volume,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-12-18 10:40:00,257.27,257.43,257.10,257.36,231715,0.22,-0.13,-0.01,-0.12,23.87,257.46,44.15
2023-12-18 10:41:00,257.33,257.62,257.30,257.59,265763,0.37,-0.12,-0.03,-0.09,23.19,257.49,48.59
2023-12-18 10:42:00,257.61,257.64,257.31,257.45,191540,0.31,-0.12,-0.05,-0.07,22.49,257.48,46.22
2023-12-18 10:43:00,257.42,257.58,257.39,257.54,301418,0.38,-0.11,-0.06,-0.05,21.84,257.49,47.95
2023-12-18 10:44:00,257.54,257.54,257.15,257.35,208444,0.28,-0.12,-0.07,-0.04,21.97,257.46,44.66
2023-12-18 10:45:00,257.32,257.33,257.13,257.21,325504,0.20,-0.13,-0.08,-0.05,22.15,257.41,42.35
2023-12-18 10:46:00,257.22,257.25,256.75,257.17,451502,0.20,-0.15,-0.10,-0.05,23.28,257.36,41.61
2023-12-18 10:47:00,257.14,257.19,256.92,257.09,185589,0.18,-0.16,-0.11,-0.05,24.33,257.31,40.32
2023-12-18 10:48:00,257.11,257.20,256.98,257.08,141330,0.20,-0.17,-0.12,-0.05,25.27,257.26,40.12
2023-12-18 10:49:00,257.08,257.12,256.95,256.98,170052,0.12,-0.19,-0.13,-0.05,26.21,257.21,38.39
2023-12-18 10:50:00,256.97,257.00,256.88,256.88,101729,0.06,-0.20,-0.15,-0.05,27.28,257.14,36.62
2023-12-18 10:51:00,256.65,256.74,256.45,256.68,401459,-0.02,-0.23,-0.16,-0.07,29.17,257.05,33.30
2023-12-18 10:52:00,256.68,256.68,256.68,256.68,745888,0.04,-0.25,-0.18,-0.07,30.93,256.98,33.23
2023-12-18 10:53:00,256.69,256.92,256.62,256.86,304577,0.21,-0.25,-0.19,-0.05,31.21,256.95,39.15
2023-12-18 10:54:00,256.85,256.92,256.58,256.67,297555,0.08,-0.26,-0.21,-0.05,31.58,256.90,35.49
2023-12-18 10:55:00,256.66,256.73,256.50,256.53,226550,0.02,-0.27,-0.22,-0.05,32.12,256.82,33.15
2023-12-18 10:56:00,256.53,256.53,256.05,256.23,462010,-0.08,-0.31,-0.24,-0.07,33.55,256.70,28.81
2023-12-18 10:57:00,256.24,256.24,255.76,255.83,454957,-0.16,-0.36,-0.26,-0.10,35.30,256.53,24.23
2023-12-18 10:58:00,255.83,255.87,255.62,255.77,508491,-0.06,-0.41,-0.29,-0.11,37.12,256.38,23.63
2023-12-18 10:59:00,255.77,255.80,255.51,255.56,250589,-0.05,-0.45,-0.32,-0.13,38.95,256.21,21.54
2023-12-18 11:00:00,255.56,255.78,255.50,255.65,497454,0.06,-0.48,-0.35,-0.12,40.66,256.10,24.76
2023-12-18 11:01:00,255.66,255.96,255.58,255.96,483422,0.21,-0.46,-0.38,-0.09,41.27,256.07,34.03
2023-12-18 11:02:00,255.92,256.19,255.81,256.19,333134,0.33,-0.43,-0.39,-0.04,40.70,256.10,39.97
2023-12-18 11:03:00,256.16,256.16,255.70,255.80,304245,0.19,-0.43,-0.40,-0.04,40.41,256.04,34.32
2023-12-18 11:04:00,255.81,255.94,255.48,255.67,353932,0.16,-0.44,-0.40,-0.03,40.60,255.96,32.64
2023-12-18 11:05:00,255.67,256.00,255.60,255.82,281226,0.26,-0.43,-0.41,-0.02,40.49,255.94,36.60
2023-12-18 11:06:00,255.84,256.24,255.82,256.11,366606,0.41,-0.39,-0.40,0.02,39.29,255.97,43.20
2023-12-18 11:07:00,256.09,256.29,255.78,255.90,348614,0.33,-0.37,-0.40,0.03,37.95,255.96,39.91
2023-12-18 11:08:00,255.87,256.12,255.80,255.91,250656,0.35,-0.35,-0.39,0.04,36.71,255.95,40.20
2023-12-18 11:09:00,255.90,256.17,255.88,256.15,185477,0.50,-0.31,-0.37,0.06,35.32,255.99,45.60
2023-12-18 11:10:00,256.13,256.42,256.00,256.42,353995,0.69,-0.26,-0.35,0.09,32.97,256.07,51.01
2023-12-18 11:11:00,256.42,256.65,256.38,256.61,351734,0.82,-0.20,-0.32,0.12,31.27,256.18,54.38
2023-12-18 11:12:00,256.62,256.68,256.53,256.59,264650,0.82,-0.15,-0.29,0.14,29.80,256.26,54.00
2023-12-18 11:13:00,256.58,256.68,256.53,256.64,161555,0.88,-0.11,-0.25,0.14,28.45,256.34,55.01
2023-12-18 11:14:00,256.64,256.98,256.59,256.88,328447,1.01,-0.05,-0.21,0.16,28.14,256.44,59.30
2023-12-18 11:15:00,256.89,257.29,256.87,257.09,433346,1.06,0.01,-0.17,0.17,28.65,256.57,62.78
2023-12-18 11:16:00,257.07,257.08,256.81,257.02,244810,0.95,0.05,-0.12,0.17,28.83,256.66,60.98
2023-12-18 11:17:00,257.02,257.02,256.86,256.91,186697,0.85,0.07,-0.09,0.16,29.01,256.71,58.10
2023-12-18 11:18:00,256.90,257.01,256.72,256.75,206656,0.74,0.08,-0.05,0.13,28.48,256.72,54.09
2023-12-18 11:19:00,256.76,256.87,256.66,256.76,200783,0.72,0.08,-0.03,0.11,27.70,256.73,54.21
2023-12-18 11:20:00,256.76,256.95,256.72,256.87,236221,0.76,0.09,-0.00,0.09,27.24,256.76,56.69
2023-12-18 11:21:00,256.86,257.00,256.57,256.60,251214,0.59,0.08,0.01,0.06,26.09,256.72,49.79
2023-12-18 11:22:00,256.61,256.77,256.12,256.17,394036,0.35,0.03,0.02,0.01,25.12,256.61,41.31
2023-12-18 11:23:00,256.17,256.17,255.74,255.75,409426,0.12,-0.04,0.00,-0.05,25.22,256.44,35.01
2023-12-18 11:24:00,255.75,255.78,255.52,255.65,336154,0.06,-0.10,-0.02,-0.09,25.80,256.28,33.63
2023-12-18 11:25:00,255.65,255.92,255.56,255.87,268512,0.18,-0.13,-0.04,-0.09,25.78,256.20,39.17
2023-12-18 11:26:00,255.86,255.93,255.70,255.90,211481,0.21,-0.15,-0.06,-0.09,25.71,256.14,39.86
2023-12-18 11:27:00,255.92,255.98,255.78,255.90,177877,0.21,-0.17,-0.08,-0.08,25.44,256.09,39.89
2023-12-18 11:28:00,255.87,255.89,255.75,255.77,159807,0.15,-0.19,-0.10,-0.08,25.27,256.03,37.73
2023-12-18 11:29:00,255.78,255.91,255.71,255.78,170487,0.18,-0.20,-0.12,-0.07,25.23,255.98,37.88
