datetime,open,open change,open change (%),open trend,high,high change,high change (%),high trend,low,low change,low change (%),low trend,close,close change,close change (%),close trend,volume,sma,sma change,sma change (%),sma trend,ema,ema change,ema change (%),ema trend,percent_b,percent_b trend,atr,atr trend,macd,macd trend,macd_signal,macd_signal trend,macd_hist,macd_hist trend,adx,adx trend,rsi,rsi trend,%K,%K trend,%D,%D trend,vpt,vpt trend,price movement,price range,price trend,day,hour
2021-03-15 10:30:00,122.6,1.34,1.1051,1,123.22,-0.42,-0.3397,0,122.24,1.81,1.5029,1,122.39,-0.21,-0.1713,0,11490083,120.9289,0.0478,0.0395,1,121.4447,0.2363,0.195,1,0.8252,0,1.1847,0,0.6075,1,0.6179,0,-0.0104,1,37.992,1,61.5877,0,72.0982,0,65.1835,1,1586736.5872,0,-0.21,0.98,0,0,10
2021-03-15 11:30:00,122.39,-0.21,-0.1713,0,122.49,-0.73,-0.5924,0,122.04,-0.2,-0.1636,0,122.33,-0.06,-0.049,0,7767154,121.2522,0.3233,0.2673,1,121.6218,0.1771,0.1458,1,0.7792,0,1.1323,0,0.6431,1,0.6229,1,0.0202,1,38.2048,1,61.0954,0,70.7589,0,73.2143,1,1582928.8477,0,-0.06,0.45,0,0,11
2021-03-15 12:30:00,122.34,-0.05,-0.0409,0,122.72,0.23,0.1878,1,122.24,0.2,0.1639,1,122.68,0.35,0.2861,1,5731668,121.57,0.3178,0.2621,1,121.8334,0.2116,0.174,1,0.8317,1,1.0857,0,0.6916,1,0.6367,1,0.0549,1,38.5316,1,62.9558,1,78.5714,1,73.8095,1,1599327.7997,1,0.34,0.48,1,0,12
2021-03-15 13:30:00,122.68,0.34,0.2779,1,123.63,0.91,0.7415,1,122.65,0.41,0.3354,1,123.48,0.8,0.6521,1,8376142,121.8633,0.2933,0.2413,1,122.1627,0.3293,0.2703,1,0.9617,1,1.0781,0,0.7855,1,0.6664,1,0.1191,1,39.3071,1,66.8572,1,96.4286,1,81.9196,1,1653948.8757,1,0.8,0.98,1,0,13
2021-03-15 14:30:00,123.47,0.79,0.644,1,123.57,-0.06,-0.0485,0,123.06,0.41,0.3343,1,123.35,-0.13,-0.1053,0,8484677,122.1356,0.2723,0.2234,1,122.4002,0.2375,0.1944,1,0.8882,0,1.0375,0,0.8398,1,0.7011,1,0.1387,1,40.0272,1,65.6473,0,93.5268,0,89.5089,1,1645016.1902,0,-0.12,0.51,0,0,14
2021-03-15 15:30:00,123.35,-0.12,-0.0972,0,124.0,0.43,0.348,1,123.28,0.22,0.1788,1,124.0,0.65,0.527,1,9950448,122.5144,0.3788,0.3101,1,122.7201,0.3199,0.2614,1,0.963,1,1.0149,0,0.9246,1,0.7458,1,0.1788,1,40.9111,1,68.6976,1,100.0,1,96.6518,1,1697450.6547,1,0.65,0.72,1,0,15
2021-03-16 09:30:00,125.42,2.07,1.6782,1,126.84,2.84,2.2903,1,125.29,2.01,1.6304,1,126.4,2.4,1.9355,1,26292710,123.1422,0.6278,0.5124,1,123.4561,0.736,0.5997,1,1.215,1,1.1452,1,1.172,1,0.831,1,0.3409,1,42.7431,1,76.8656,1,94.094,0,95.8736,0,2206341.816,1,0.98,1.55,1,1,9
2021-03-16 10:30:00,126.42,1.0,0.7973,1,127.19,0.35,0.2759,1,126.25,0.96,0.7662,1,126.75,0.35,0.2769,1,17425861,123.7756,0.6334,0.5144,1,124.1149,0.6588,0.5336,1,1.1085,0,1.1306,0,1.3803,1,0.9409,1,0.4394,1,44.535,1,77.7764,1,94.2105,1,96.1015,1,2254593.8045,1,0.33,0.94,1,1,10
2021-03-16 11:30:00,126.76,0.34,0.2689,1,126.9,-0.29,-0.228,0,125.34,-0.91,-0.7208,0,125.46,-1.29,-1.0178,0,15125837,124.0933,0.3177,0.2567,1,124.3839,0.269,0.2167,1,0.8835,0,1.1612,1,1.425,1,1.0377,1,0.3872,0,45.0467,1,67.2655,0,74.4083,0,87.5709,0,2100650.3747,0,-1.3,1.56,0,1,11
2021-03-16 12:30:00,125.46,-1.3,-1.0256,0,126.28,-0.62,-0.4886,0,125.42,0.08,0.0638,1,125.84,0.38,0.3029,1,11774785,124.4767,0.3834,0.309,1,124.6751,0.2912,0.2341,1,0.8815,0,1.1397,0,1.474,1,1.125,1,0.349,0,45.5218,1,68.6112,1,80.0296,1,82.8828,0,2136314.4772,1,0.38,0.86,1,1,12
2021-03-16 13:30:00,125.85,0.39,0.3109,1,125.86,-0.42,-0.3326,0,124.91,-0.51,-0.4066,0,125.01,-0.83,-0.6596,0,12172994,124.7744,0.2977,0.2392,1,124.7421,0.067,0.0537,1,0.7584,0,1.1262,0,1.4294,0,1.1859,1,0.2435,0,45.3258,0,62.5616,0,67.7515,0,74.0631,0,2056025.34,0,-0.84,0.95,0,1,13
2021-03-16 14:30:00,125.02,-0.83,-0.6595,0,125.74,-0.12,-0.0953,0,124.71,-0.2,-0.1601,0,125.61,0.6,0.48,1,12167081,125.1,0.3256,0.261,1,124.9157,0.1736,0.1392,1,0.7964,1,1.1193,0,1.426,0,1.2339,1,0.1921,0,44.8967,0,64.9664,1,76.6272,1,74.8028,1,2114422.657,1,0.59,1.03,1,1,14
2021-03-16 15:30:00,125.62,0.6,0.4799,1,125.93,0.19,0.1511,1,125.39,0.68,0.5453,1,125.57,-0.04,-0.0318,0,8650995,125.3322,0.2322,0.1856,1,125.0465,0.1308,0.1047,1,0.7679,0,1.0779,0,1.4039,0,1.2679,1,0.136,0,44.6031,0,64.6682,0,76.0355,0,73.4714,0,2111667.7824,0,-0.05,0.54,0,1,15
2021-03-17 09:30:00,124.07,-1.55,-1.2339,0,124.21,-1.72,-1.3658,0,122.79,-2.6,-2.0735,0,123.46,-2.11,-1.6803,0,23564501,125.3444,0.0122,0.0097,1,124.7292,-0.3173,-0.2537,0,0.5009,0,1.1995,1,1.2023,0,1.2548,0,-0.0525,0,41.6877,0,51.2926,0,27.5728,0,60.0785,0,1715704.5977,0,-0.61,1.42,0,2,9
