datetime,open,open change,open change (%),open trend,high,high change,high change (%),high trend,low,low change,low change (%),low trend,close,close change,close change (%),close trend,volume,sma,sma change,sma change (%),sma trend,ema,ema change,ema change (%),ema trend,percent_b,percent_b trend,atr,atr trend,macd,macd trend,macd_signal,macd_signal trend,macd_hist,macd_hist trend,adx,adx trend,rsi,rsi trend,%K,%K trend,%D,%D trend,vpt,vpt trend,price movement,price range,price trend,day,hour
2021-03-15 11:30:00,109.88,0.59,0.5398,1,110.0,0.0,0.0,0,109.51,0.38,0.3482,1,109.99,0.11,0.1001,1,499813,108.6333,0.2389,0.2204,1,108.9281,0.2654,0.2442,1,1.1559,0,0.6414,0,0.3667,1,0.1583,1,0.2083,1,18.9353,1,74.2914,1,88.4746,1,79.435,1,22239.1725,1,0.11,0.49,1,0,11
2021-03-15 12:30:00,109.98,0.1,0.091,1,110.33,0.33,0.3,1,109.88,0.37,0.3379,1,110.06,0.07,0.0636,1,419541,108.8933,0.26,0.2393,1,109.1545,0.2264,0.2078,1,1.0574,0,0.6278,0,0.4436,1,0.2154,1,0.2282,1,21.1258,1,74.8213,1,90.8475,1,88.0226,1,22506.1774,1,0.08,0.45,1,0,12
2021-03-15 13:30:00,110.07,0.09,0.0818,1,110.36,0.03,0.0272,1,109.77,-0.11,-0.1001,0,110.24,0.18,0.1635,1,796992,109.1533,0.26,0.2388,1,109.3716,0.2171,0.1989,1,1.0164,0,0.6251,0,0.5132,1,0.275,1,0.2383,1,22.8335,1,76.1811,1,95.9732,1,91.7651,1,23809.6352,1,0.17,0.59,1,0,13
2021-03-15 14:30:00,110.25,0.18,0.1635,1,110.27,-0.09,-0.0816,0,109.92,0.15,0.1366,1,109.99,-0.25,-0.2268,0,519471,109.3622,0.2089,0.1914,1,109.4953,0.1237,0.1131,1,0.8871,0,0.6054,0,0.542,1,0.3284,1,0.2136,0,24.4191,1,70.4875,0,87.5839,0,91.4682,0,22631.5896,0,-0.26,0.35,0,0,14
2021-03-15 15:30:00,109.98,-0.27,-0.2449,0,110.35,0.08,0.0725,1,109.83,-0.09,-0.0819,0,110.24,0.25,0.2273,1,502889,109.5822,0.22,0.2012,1,109.6442,0.1489,0.136,1,0.9027,1,0.5993,0,0.5782,1,0.3783,1,0.1999,0,25.5998,1,72.6859,1,95.9732,1,93.1767,1,23774.623,1,0.26,0.52,1,0,15
2021-03-16 09:30:00,110.07,0.09,0.0818,1,110.92,0.57,0.5165,1,109.9,0.07,0.0637,1,110.74,0.5,0.4536,1,1021244,109.8433,0.2611,0.2383,1,109.8634,0.2192,0.1999,1,0.9633,1,0.6294,1,0.64,1,0.4307,1,0.2093,1,27.3758,1,76.4623,1,94.5946,0,92.7172,0,28406.5352,1,0.67,1.02,1,1,9
2021-03-16 10:30:00,110.71,0.64,0.5814,1,111.07,0.15,0.1352,1,110.43,0.53,0.4823,1,110.53,-0.21,-0.1896,0,709902,110.1078,0.2645,0.2408,1,109.9967,0.1333,0.1213,1,0.8642,0,0.6301,1,0.6643,1,0.4774,1,0.1869,0,29.1795,1,71.9621,0,84.4828,0,91.6835,0,27060.3241,0,-0.18,0.64,0,1,10
2021-03-16 11:30:00,110.54,-0.17,-0.1536,0,110.77,-0.3,-0.2701,0,110.37,-0.06,-0.0543,0,110.44,-0.09,-0.0814,0,391844,110.2344,0.1266,0.115,1,110.0854,0.0887,0.0806,1,0.808,0,0.6137,0,0.6686,1,0.5156,1,0.153,0,30.653,1,70.059,0,80.3125,0,86.4633,0,26741.2617,0,-0.1,0.4,0,1,11
2021-03-16 12:30:00,110.45,-0.09,-0.0814,0,110.51,-0.26,-0.2347,0,110.12,-0.25,-0.2265,0,110.24,-0.2,-0.1811,0,354152,110.2744,0.04,0.0363,1,110.1163,0.0309,0.0281,1,0.7379,0,0.5977,0,0.6484,0,0.5422,1,0.1062,0,31.2025,1,65.889,0,73.2258,0,79.3404,0,26099.9144,0,-0.21,0.39,0,1,12
2021-03-16 13:30:00,110.24,-0.21,-0.1901,0,110.54,0.03,0.0271,1,110.13,0.01,0.0091,1,110.39,0.15,0.1361,1,402360,110.3189,0.0445,0.0404,1,110.171,0.0547,0.0497,1,0.7462,1,0.5843,0,0.6371,0,0.5612,1,0.076,0,31.7559,1,67.4537,1,77.6316,1,77.0566,0,26647.3926,1,0.15,0.41,1,1,13
