datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 09:30:00,3074.57,-15.43,-47.29,-0.4994,-1.5148,0,0,0.625,3074.65,3037.77,3041.31,3074.55,-0.9989,3075.2297,-0.9422,0.1582,43.3422,34.8254,0,0,-33.26,36.88,0,0,9
2021-03-15 10:30:00,3040.98,-33.59,-32.27,-1.0925,-1.05,0,0,0.0,3058.0,3032.09,3039.39,3066.3056,-0.916,3068.0618,-0.7964,0.1506,42.9128,32.7486,0,0,-1.59,25.91,0,0,10
2021-03-15 11:30:00,3039.8,-1.18,-13.69,-0.0388,-0.4483,0,0,0.0,3054.16,3034.0,3053.95,3066.2178,-0.0098,3065.2394,-0.3136,0.2727,47.1858,30.8201,0,0,14.15,20.16,1,0,11
2021-03-15 12:30:00,3051.32,11.52,-10.67,0.379,-0.3485,1,0,0.25,3057.65,3043.62,3051.26,3065.0311,-0.1319,3062.4436,-0.3107,0.2412,46.4934,28.8839,0,0,-0.06,14.03,0,0,12
2021-03-15 13:30:00,3050.41,-0.91,-29.46,-0.0298,-0.9565,0,0,0.25,3068.0,3048.81,3065.31,3063.54,-0.1657,3063.0168,0.0637,0.3562,50.573,26.9849,1,1,14.9,19.19,1,0,13
2021-03-15 14:30:00,3066.51,16.1,-1.64,0.5278,-0.0535,1,0,0.5,3074.78,3062.9,3065.05,3063.1833,-0.0396,3063.4235,0.0452,0.3491,50.4963,25.4956,1,1,-1.46,11.88,0,0,14
2021-03-15 15:30:00,3065.03,-1.48,-7.39,-0.0483,-0.2405,0,0,0.5,3082.12,3062.02,3082.12,3064.3433,0.1289,3067.1628,0.4155,0.5084,55.2921,24.4062,1,1,17.09,20.1,1,0,15
2021-03-16 09:30:00,3091.0,25.97,1.0,0.8473,0.0324,1,1,0.875,3125.45,3085.0,3123.0,3068.0689,0.414,3078.3302,1.2408,0.8661,64.2295,24.7908,1,1,32.0,40.45,1,1,9
2021-03-16 10:30:00,3123.55,32.55,48.98,1.0531,1.5931,1,1,0.875,3128.91,3113.16,3114.11,3070.6111,0.2825,3085.4862,0.7951,0.7966,61.357,25.2401,1,1,-9.44,15.75,0,1,10
2021-03-16 11:30:00,3115.71,-7.84,74.73,-0.251,2.4574,0,1,0.75,3117.61,3093.52,3095.29,3076.6089,0.6664,3087.4469,0.2179,0.6429,55.6798,24.7114,1,1,-20.42,24.09,0,1,11
2021-03-16 12:30:00,3095.58,-20.13,55.78,-0.6461,1.835,0,1,0.625,3110.88,3092.93,3106.44,3084.0589,0.8278,3091.2456,0.4221,0.7613,58.1504,24.1931,1,1,10.86,17.95,1,1,12
2021-03-16 13:30:00,3106.53,10.95,55.21,0.3537,1.8094,1,1,0.625,3106.53,3082.21,3083.37,3087.3278,0.3632,3089.6704,-0.175,0.5612,51.7256,23.2092,0,0,-23.16,24.32,0,1,13
2021-03-16 14:30:00,3082.63,-23.9,32.22,-0.7693,1.0563,0,1,0.25,3094.56,3075.86,3091.97,3091.8511,0.5026,3090.1304,0.0511,0.6709,53.7758,22.0051,1,1,9.34,18.7,1,1,14
2021-03-16 15:30:00,3091.19,8.56,24.68,0.2777,0.8048,1,1,0.375,3097.72,3088.35,3090.91,3094.6956,0.316,3090.2863,0.0173,0.6416,53.4744,21.0165,0,1,-0.28,9.37,0,1,15
2021-03-17 09:30:00,3077.25,-13.94,12.22,-0.451,0.3987,0,1,0.0,3108.0,3070.22,3100.0,3098.5789,0.4315,3092.229,0.2159,0.7205,55.7645,19.7572,1,1,22.75,37.78,1,2,9
2021-03-17 10:30:00,3099.41,22.16,8.41,0.7201,0.2721,1,1,0.5,3111.39,3088.14,3095.81,3100.1,0.169,3092.9452,0.0796,0.6627,54.4344,18.4323,0,1,-3.6,23.25,0,2,10
2021-03-17 11:30:00,3092.29,-7.12,-31.26,-0.2297,-1.0008,0,0,0.375,3095.0,3077.49,3093.06,3096.7733,-0.3696,3092.9682,0.0026,0.6191,53.5319,17.6712,0,1,0.77,17.51,1,2,11
2021-03-17 12:30:00,3091.75,-0.54,-23.96,-0.0175,-0.769,0,0,0.375,3107.56,3085.28,3103.48,3095.5922,-0.1312,3095.0705,0.2336,0.7133,56.4764,16.4529,1,1,11.73,22.28,1,2,12
2021-03-17 13:30:00,3104.88,13.13,9.3,0.4247,0.3004,1,1,0.75,3133.87,3096.0,3121.54,3098.5089,0.3241,3100.3644,0.5882,0.8694,61.0796,16.3822,1,1,16.66,37.87,1,2,13
2021-03-17 14:30:00,3120.0,15.12,13.47,0.487,0.4336,1,1,0.875,3173.0,3116.66,3159.13,3104.3633,0.6505,3112.1175,1.3059,1.1008,68.5383,17.4825,1,1,39.13,56.34,1,2,14
2021-03-17 15:30:00,3157.65,37.65,75.02,1.2067,2.4336,1,1,0.875,3163.76,3131.89,3135.73,3110.1811,0.6464,3116.84,0.5247,0.8659,60.7354,18.5042,1,1,-21.92,31.87,0,2,15
2021-03-18 09:30:00,3102.01,-55.64,10.82,-1.7621,0.35,0,1,0.5,3116.63,3074.08,3085.0,3109.4067,-0.086,3110.472,-0.7076,0.3964,47.9819,17.2522,0,0,-17.01,42.55,0,3,9
2021-03-18 10:30:00,3083.6,-18.41,6.35,-0.5935,0.2064,0,1,0.0,3095.0,3077.97,3088.39,3109.1267,-0.0311,3106.0556,-0.4907,0.4061,48.7563,16.0895,0,0,4.79,17.03,1,3,10
2021-03-18 11:30:00,3087.05,3.45,-12.36,0.1119,-0.3988,1,0,0.125,3093.75,3072.8,3092.0,3108.2378,-0.0988,3103.2445,-0.3123,0.4139,49.6164,15.1877,0,0,4.95,20.95,1,3,11
2021-03-18 12:30:00,3090.8,3.75,-1.49,0.1215,-0.0482,1,0,0.25,3091.75,3067.0,3079.95,3106.4756,-0.1958,3098.5856,-0.5177,0.2586,46.793,14.5536,0,0,-10.85,24.75,0,3,12
2021-03-18 13:30:00,3079.2,-11.6,-12.55,-0.3753,-0.4059,0,0,0.0,3085.0,3056.64,3058.15,3102.5967,-0.431,3090.4985,-0.8986,0.0184,42.1229,14.3238,0,0,-21.05,28.36,0,3,13
2021-03-18 14:30:00,3057.58,-21.62,-47.3,-0.7021,-1.5234,0,0,0.0,3058.53,3034.34,3044.09,3095.9978,-0.7332,3081.2168,-1.0313,-0.0473,39.3922,14.8109,0,0,-13.49,24.19,0,3,14
2021-03-18 15:30:00,3044.98,-12.6,-75.02,-0.4121,-2.4045,0,0,0.0,3045.74,3025.01,3028.29,3085.6367,-1.1512,3070.6314,-1.1762,-0.0757,36.5266,15.5307,0,0,-16.69,20.73,0,3,15
2021-03-19 09:30:00,3040.57,-4.41,-117.08,-0.1448,-3.7078,0,0,0.0,3056.55,3016.66,3049.99,3073.51,-1.3474,3066.5031,-0.4587,0.1578,42.6926,15.7002,0,0,9.42,39.89,1,4,9
2021-03-19 10:30:00,3050.05,9.48,-51.96,0.3118,-1.675,1,0,0.25,3057.0,3030.55,3036.2,3062.4511,-1.2288,3060.4425,-0.6734,0.0961,40.0312,15.8365,0,0,-13.85,26.45,0,4,10
