datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-11 13:30:00,49.01,-0.02,-0.85,-0.0408,-1.7048,0,0,0.25,49.09,48.88,48.91,49.3556,-0.0117,49.2002,-0.0081,0.2427,47.7484,37.6488,0,0,-0.1,0.21,0,3,13
2021-03-11 14:30:00,48.91,-0.1,-0.99,-0.204,-1.984,0,0,0.125,48.92,48.74,48.78,49.2311,-0.0138,49.1162,-0.0093,0.1018,45.1892,35.1094,0,0,-0.13,0.18,0,3,14
2021-03-11 15:30:00,48.78,-0.13,-1.0,-0.2658,-2.0088,0,0,0.0,48.8,48.59,48.67,49.1089,-0.0136,49.0269,-0.0099,0.0892,43.085,33.2197,0,0,-0.11,0.21,0,3,15
2021-03-12 09:30:00,48.23,-0.55,-1.62,-1.1275,-3.2497,0,0,0.0,48.25,47.88,48.2,48.9256,-0.0204,48.8615,-0.0184,-0.0617,35.4823,33.1255,0,0,-0.03,0.37,0,4,9
2021-03-12 10:30:00,48.2,-0.03,-0.75,-0.0622,-1.5322,0,0,0.0,48.29,48.08,48.26,48.7533,-0.0191,48.7412,-0.0134,0.0442,37.0104,32.8948,0,0,0.06,0.21,1,4,10
2021-03-12 11:30:00,48.26,0.06,-0.82,0.1245,-1.6707,1,0,0.25,48.35,48.13,48.18,48.6533,-0.0111,48.629,-0.0125,0.071,35.7931,32.4581,0,0,-0.08,0.22,0,4,11
2021-03-12 12:30:00,48.17,-0.09,-0.66,-0.1865,-1.3516,0,0,0.0,48.42,48.17,48.42,48.6067,-0.0052,48.5872,-0.0046,0.2008,41.9604,31.7878,0,0,0.25,0.25,1,4,12
2021-03-12 13:30:00,48.41,0.24,-0.62,0.4982,-1.2645,1,0,0.5,48.51,48.29,48.43,48.54,-0.0074,48.5558,-0.0035,0.2289,42.2095,30.8233,0,0,0.02,0.22,1,4,13
2021-03-12 14:30:00,48.44,0.03,-0.57,0.062,-1.163,1,0,0.625,48.46,48.4,48.42,48.4744,-0.0073,48.5286,-0.003,0.2487,42.0153,29.9277,0,0,-0.02,0.06,0,4,14
2021-03-12 15:30:00,48.43,-0.01,-0.48,-0.0206,-0.9814,0,0,0.625,48.58,48.37,48.42,48.42,-0.006,48.5069,-0.0024,0.2721,42.0153,28.6165,0,0,-0.01,0.21,0,4,15
