datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 15:30:00,229.57,0.26,-2.05,0.1134,-0.8851,1,0,0.75,230.22,229.32,230.22,229.0722,-0.0174,229.763,0.0127,0.3621,41.2696,30.3319,1,1,0.65,0.9,1,0,15
2021-03-16 09:30:00,228.15,-1.42,-3.21,-0.6185,-1.3874,0,0,0.5,229.8,227.5,229.73,228.8967,-0.0195,229.7564,-0.0007,0.3582,39.8367,30.2538,1,0,1.58,2.3,1,1,9
2021-03-16 10:30:00,229.79,1.64,1.17,0.7188,0.5118,1,1,0.875,229.84,228.2,228.48,228.5233,-0.0415,229.5011,-0.0284,0.3163,36.3678,30.1561,0,0,-1.31,1.64,0,1,10
2021-03-16 11:30:00,228.48,-1.31,1.33,-0.5701,0.5855,0,1,0.5,228.53,227.52,227.55,228.5656,0.0047,229.1109,-0.0434,0.2845,33.9959,30.3082,0,0,-0.93,1.01,0,1,11
2021-03-16 12:30:00,227.55,-0.93,0.54,-0.407,0.2379,0,1,0.125,228.4,227.22,227.57,228.6278,0.0069,228.8027,-0.0342,0.2996,34.0954,30.5568,0,0,0.02,1.18,1,1,12
2021-03-16 13:30:00,227.59,0.04,0.26,0.0176,0.1144,1,1,0.125,227.63,226.14,226.17,228.4956,-0.0147,228.2762,-0.0585,0.2007,30.6147,31.1627,0,0,-1.42,1.49,0,1,13
2021-03-16 14:30:00,226.13,-1.46,-1.82,-0.6415,-0.7984,0,0,0.0,227.34,225.53,227.26,228.4178,-0.0086,228.0729,-0.0226,0.2325,36.0855,31.9257,0,0,1.13,1.81,1,1,14
2021-03-16 15:30:00,227.25,1.12,-2.06,0.4953,-0.8983,1,0,0.125,227.35,226.54,226.91,228.1567,-0.029,227.8403,-0.0258,0.2148,35.1278,32.626,0,0,-0.34,0.81,0,1,15
2021-03-17 09:30:00,226.6,-0.65,-2.97,-0.286,-1.2937,0,0,0.125,232.17,225.81,231.81,228.4111,0.0283,228.6343,0.0882,0.8514,53.6683,30.3157,1,1,5.21,6.36,1,2,9
2021-03-17 10:30:00,231.81,5.21,3.66,2.2992,1.6042,1,1,0.875,233.31,231.04,231.43,228.5456,0.0149,229.1934,0.0621,0.8064,52.4172,28.6705,1,1,-0.38,2.27,0,2,10
2021-03-17 11:30:00,231.36,-0.45,1.57,-0.1941,0.6832,0,1,0.75,231.72,229.85,231.37,228.7278,0.0202,229.6287,0.0484,0.8002,52.2102,26.663,1,1,0.01,1.87,1,2,11
2021-03-17 12:30:00,231.36,0.0,2.88,0.0,1.2605,0,1,0.625,232.53,230.82,232.49,229.1733,0.0495,230.201,0.0636,0.9266,55.7245,25.0837,1,1,1.13,1.71,1,2,12
2021-03-17 13:30:00,232.53,1.17,4.98,0.5057,2.1885,1,1,0.875,234.44,232.12,233.23,229.8044,0.0701,230.8068,0.0673,0.9733,57.926,24.3974,1,1,0.7,2.32,1,2,13
2021-03-17 14:30:00,233.21,0.68,5.62,0.2924,2.4694,1,1,0.875,235.62,233.1,234.35,230.5578,0.0837,231.5154,0.0787,1.0362,61.0803,24.1874,1,1,1.14,2.52,1,2,14
2021-03-17 15:30:00,234.41,1.2,8.28,0.5146,3.6616,1,1,0.875,234.57,232.97,233.34,231.3544,0.0885,231.8803,0.0405,0.8791,56.935,23.9201,1,1,-1.07,1.6,0,2,15
2021-03-18 09:30:00,238.18,3.77,10.93,1.6083,4.8097,1,1,0.875,239.34,235.56,236.26,232.3544,0.1111,232.7563,0.0973,1.0596,64.4473,25.0784,1,1,-1.92,3.78,0,3,9
2021-03-18 10:30:00,236.24,-1.94,9.64,-0.8145,4.2542,0,1,0.75,238.45,235.95,237.86,233.5711,0.1352,233.777,0.1134,1.0742,67.7653,26.154,1,1,1.62,2.5,1,3,10
2021-03-18 11:30:00,237.88,1.64,6.07,0.6942,2.6185,1,1,0.75,238.7,237.63,238.03,234.2622,0.0768,234.6276,0.0945,0.997,68.1059,27.2161,1,1,0.15,1.07,1,3,11
2021-03-18 12:30:00,238.07,0.19,6.71,0.0799,2.9002,1,1,0.75,238.17,236.86,237.56,234.9433,0.0757,235.2141,0.0652,0.9052,66.0287,27.7304,1,1,-0.51,1.31,0,3,12
2021-03-18 13:30:00,237.55,-0.52,6.19,-0.2184,2.6755,0,1,0.5,238.23,237.01,237.29,235.6011,0.0731,235.6293,0.0461,0.845,64.8059,28.2262,1,1,-0.26,1.22,0,3,13
2021-03-18 14:30:00,237.28,-0.27,4.75,-0.1137,2.0427,0,1,0.375,237.78,236.42,237.15,236.1189,0.0575,235.9334,0.0338,0.8028,64.1426,28.3035,1,1,-0.13,1.36,0,3,14
2021-03-18 15:30:00,237.12,-0.16,3.91,-0.0674,1.6766,0,1,0.25,237.61,236.38,236.45,236.4767,0.0398,236.0367,0.0115,0.7352,60.7921,28.3486,0,1,-0.67,1.23,0,3,15
2021-03-19 09:30:00,239.73,2.61,5.32,1.1007,2.2695,1,1,0.875,240.98,238.52,240.67,237.1789,0.078,236.9634,0.103,0.9319,70.7213,29.4476,1,1,0.94,2.46,1,4,9
2021-03-19 10:30:00,240.74,1.01,2.56,0.4213,1.0748,1,1,0.875,241.6,236.88,238.95,237.8022,0.0693,237.3607,0.0441,0.8013,63.6465,29.4578,1,1,-1.79,4.72,0,4,10
2021-03-19 11:30:00,238.97,-1.77,2.73,-0.7352,1.1556,0,1,0.625,239.63,238.24,239.04,238.1111,0.0343,237.6966,0.0373,0.7801,63.8502,29.4672,1,1,0.07,1.39,1,4,11
2021-03-19 12:30:00,239.01,0.04,1.13,0.0167,0.475,1,1,0.625,239.76,238.52,239.74,238.32,0.0232,238.1053,0.0454,0.8031,65.4715,29.5211,1,1,0.73,1.24,1,4,12
2021-03-19 13:30:00,239.74,0.73,1.67,0.3054,0.7015,1,1,0.75,240.51,239.58,240.4,238.5833,0.0293,238.5642,0.051,0.8266,66.9753,29.8341,1,1,0.66,0.93,1,4,13
