datetime,open,open change,open change (%),open trend,high,high change,high change (%),high trend,low,low change,low change (%),low trend,close,close change,close change (%),close trend,volume,sma,sma change,sma change(%),sma trend,ema,ema change,ema change(%),ema trend,price movement,price range,price trend,percent_b,atr,macd,macd_signal,macd_hist,adx,rsi,%K,%D,vpt,day,hour
2021-03-15 11:30:00,37.42,-0.21,-0.0056,0,37.42,-0.26,-0.0069,0,37.22,-0.18,-0.0048,0,37.4,-0.01,-0.0003,0,6042709,37.7322,-0.0489,-0.0013,0,37.7322,-0.0489,-0.0013,0,-0.02,0.2,0,0.31857495121052404,0.3279,0.1949,0.2558,-0.0608,24.2342,50.4832,29.0909,36.3636,505618.407,0,11
2021-03-15 12:30:00,37.4,-0.02,-0.0005,0,37.63,0.21,0.0056,1,37.32,0.1,0.0027,1,37.49,0.09,0.0024,1,5135703,37.6778,-0.0544,-0.0014,0,37.6778,-0.0544,-0.0014,0,0.09,0.31,1,0.411660908326677,0.3267,0.1723,0.2391,-0.0668,22.8286,52.8161,37.2727,32.1212,517977.0506,0,12
2021-03-15 13:30:00,37.49,0.09,0.0024,1,37.66,0.03,0.0008,1,37.44,0.12,0.0032,1,37.65,0.16,0.0043,1,3165317,37.66,-0.0178,-0.0005,0,37.66,-0.0178,-0.0005,0,0.16,0.22,1,0.559279311339855,0.319,0.1654,0.2244,-0.0589,21.6142,56.7199,51.8182,39.3939,531486.0055,0,13
2021-03-15 14:30:00,37.64,0.15,0.004,1,37.69,0.03,0.0008,1,37.49,0.05,0.0013,1,37.51,-0.14,-0.0037,0,4517004,37.6278,-0.0322,-0.0009,0,37.6278,-0.0322,-0.0009,0,-0.13,0.2,0,0.39946261785079096,0.3105,0.147,0.2089,-0.0619,20.5817,52.6177,35.5769,41.5559,514689.7091,0,14
2021-03-15 15:30:00,37.51,-0.13,-0.0035,0,37.77,0.08,0.0021,1,37.49,0.0,0.0,0,37.77,0.26,0.0069,1,5957496,37.6267,-0.0011,-0.0,0,37.6267,-0.0011,-0.0,0,0.26,0.28,1,0.6731928784684164,0.3084,0.1515,0.1974,-0.0459,19.8819,58.6053,57.2917,48.2289,555984.0029,0,15
2021-03-16 09:30:00,37.44,-0.07,-0.0019,0,37.62,-0.15,-0.004,0,37.16,-0.33,-0.0088,0,37.21,-0.56,-0.0148,0,9579581,37.5567,-0.07,-0.0019,0,37.5567,-0.07,-0.0019,0,-0.23,0.46,0,0.11914485143522739,0.3299,0.1087,0.1797,-0.0709,18.8611,45.321,5.4945,32.7877,413951.5602,1,9
2021-03-16 10:30:00,37.21,-0.23,-0.0061,0,37.25,-0.37,-0.0098,0,36.97,-0.19,-0.0051,0,37.22,0.01,0.0003,1,7695378,37.4767,-0.08,-0.0021,0,37.4767,-0.08,-0.0021,0,0.01,0.28,1,0.16262907069496013,0.3263,0.0748,0.1587,-0.0839,18.4794,45.5583,22.7273,28.5045,416019.6543,1,10
2021-03-16 11:30:00,37.22,0.01,0.0003,1,37.49,0.24,0.0064,1,37.19,0.22,0.006,1,37.46,0.24,0.0064,1,5137038,37.4578,-0.0189,-0.0005,0,37.4578,-0.0189,-0.0005,0,0.24,0.3,1,0.38811421555061887,0.3245,0.0665,0.1402,-0.0738,17.2938,51.0495,44.5455,24.2557,449144.0261,1,11
2021-03-16 12:30:00,37.46,0.24,0.0064,1,37.56,0.07,0.0019,1,37.38,0.19,0.0051,1,37.56,0.1,0.0027,1,6006935,37.4744,0.0166,0.0004,1,37.4744,0.0166,0.0004,1,0.1,0.18,1,0.47506673185744674,0.3141,0.0672,0.1256,-0.0585,16.1511,53.169,53.6364,40.303,465179.6241,1,12
2021-03-16 13:30:00,37.56,0.1,0.0027,1,37.65,0.09,0.0024,1,37.48,0.1,0.0027,1,37.57,0.01,0.0003,1,5015097,37.4933,0.0189,0.0005,1,37.4933,0.0189,0.0005,1,0.01,0.17,1,0.46159223081753264,0.3038,0.0677,0.114,-0.0463,15.382,53.3864,54.5455,50.9091,466514.847,1,13
2021-03-16 14:30:00,37.58,0.02,0.0005,1,37.72,0.07,0.0019,1,37.51,0.03,0.0008,1,37.6,0.03,0.0008,1,5251410,37.5056,0.0123,0.0003,1,37.5056,0.0123,0.0003,1,0.02,0.21,1,0.47272386617404744,0.2971,0.0698,0.1052,-0.0354,14.8942,54.075,57.2727,55.1515,470708.1475,1,14
2021-03-16 15:30:00,37.6,0.02,0.0005,1,37.72,0.0,0.0,0,37.54,0.03,0.0008,1,37.66,0.06,0.0016,1,5687929,37.5067,0.0011,0.0,1,37.5067,0.0011,0.0,1,0.06,0.18,1,0.5542067834684324,0.2888,0.0754,0.0992,-0.0238,14.4413,55.4913,62.7273,58.1818,479784.6299,1,15
2021-03-17 09:30:00,38.01,0.41,0.0109,1,38.36,0.64,0.017,1,37.52,-0.02,-0.0005,0,37.56,-0.1,-0.0027,0,11869086,37.5122,0.0055,0.0001,1,37.5122,0.0055,0.0001,1,-0.45,0.84,0,0.45649732170701773,0.3281,0.071,0.0936,-0.0226,15.7334,52.5808,42.446,54.1487,448268.204,2,9
2021-03-17 10:30:00,37.56,-0.45,-0.0118,0,37.77,-0.59,-0.0154,0,37.33,-0.19,-0.0051,0,37.69,0.13,0.0035,1,7209665,37.5033,-0.0089,-0.0002,0,37.5033,-0.0089,-0.0002,0,0.13,0.44,1,0.636681246777289,0.3361,0.0771,0.0903,-0.0132,16.2011,55.8246,51.7986,52.324,473221.7836,2,10
2021-03-17 11:30:00,37.7,0.14,0.0037,1,37.98,0.21,0.0056,1,37.67,0.34,0.0091,1,37.83,0.14,0.0037,1,5848666,37.5722,0.0689,0.0018,1,37.5722,0.0689,0.0018,1,0.13,0.31,1,0.8183022494010916,0.3343,0.0921,0.0907,0.0015,17.1033,59.0716,61.8705,52.0384,494946.7303,2,11
2021-03-17 12:30:00,37.83,0.13,0.0034,1,37.94,-0.04,-0.0011,0,37.77,0.1,0.0027,1,37.83,0.0,0.0,0,4162668,37.64,0.0678,0.0018,1,37.64,0.0678,0.0018,1,0.0,0.17,0,0.8103837861775673,0.3225,0.1029,0.0931,0.0098,17.9411,59.0716,61.8705,58.5132,494946.7303,2,12
2021-03-17 13:30:00,37.84,0.01,0.0003,1,38.1,0.16,0.0042,1,37.61,-0.16,-0.0042,0,37.72,-0.11,-0.0029,0,11270838,37.6689,0.0289,0.0008,1,37.6689,0.0289,0.0008,1,-0.12,0.49,0,0.6807567128967743,0.3345,0.1014,0.0948,0.0066,18.719,55.3634,53.9568,59.2326,462174.0055,2,13
2021-03-17 14:30:00,37.71,-0.13,-0.0034,0,37.89,-0.21,-0.0055,0,37.42,-0.19,-0.0051,0,37.67,-0.05,-0.0013,0,12470025,37.6811,0.0122,0.0003,1,37.6811,0.0122,0.0003,1,-0.04,0.47,0,0.6451356603669846,0.3442,0.095,0.0948,0.0002,18.641,53.7129,50.3597,55.3957,445644.2798,2,14
2021-03-17 15:30:00,37.67,-0.04,-0.0011,0,38.0,0.11,0.0029,1,37.66,0.24,0.0064,1,37.96,0.29,0.0077,1,7321225,37.7244,0.0433,0.0011,1,37.7244,0.0433,0.0011,1,0.29,0.34,1,0.9923558156249233,0.3439,0.1121,0.0983,0.0138,18.8712,60.9791,71.223,58.5132,502006.2456,2,15
2021-03-18 09:30:00,38.51,0.84,0.0223,1,39.68,1.68,0.0442,1,38.43,0.77,0.0204,1,39.66,1.7,0.0448,1,26461353,37.9533,0.2289,0.0061,1,37.9533,0.2289,0.0061,1,1.15,1.25,1,1.508371587018724,0.4422,0.2598,0.1306,0.1292,21.6428,80.4016,99.262,73.6149,1687051.0322,3,9
2021-03-18 10:30:00,39.67,1.16,0.0301,1,39.87,0.19,0.0048,1,39.58,1.15,0.0299,1,39.67,0.01,0.0003,1,17141019,38.1767,0.2234,0.0059,1,38.1767,0.2234,0.0059,1,0.0,0.29,0,1.2224058682675356,0.4313,0.3734,0.1791,0.1943,24.3763,80.4632,92.5373,87.6741,1691373.0239,3,10
2021-03-18 11:30:00,39.68,0.01,0.0003,1,39.97,0.1,0.0025,1,39.66,0.08,0.002,1,39.8,0.13,0.0033,1,11208415,38.4256,0.2489,0.0065,1,38.4256,0.2489,0.0065,1,0.12,0.31,1,1.108205503620541,0.4226,0.4685,0.237,0.2315,26.9978,81.2867,93.5606,95.12,1728103.3982,3,11
2021-03-18 12:30:00,39.8,0.12,0.003,1,39.83,-0.14,-0.0035,0,39.43,-0.23,-0.0058,0,39.45,-0.35,-0.0088,0,7678746,38.6211,0.1955,0.0051,1,38.6211,0.1955,0.0051,1,-0.35,0.4,0,0.9290353539698041,0.421,0.5097,0.2915,0.2182,28.6587,72.4344,80.303,88.8003,1660576.7374,3,12
2021-03-18 13:30:00,39.45,-0.35,-0.0088,0,39.62,-0.21,-0.0053,0,39.33,-0.1,-0.0025,0,39.35,-0.1,-0.0025,0,6685757,38.79,0.1689,0.0044,1,38.79,0.1689,0.0044,1,-0.1,0.29,0,0.8547162030900884,0.4117,0.5283,0.3389,0.1894,29.8735,70.0859,76.5152,83.4596,1643629.3179,3,13
2021-03-18 14:30:00,39.35,-0.1,-0.0025,0,39.41,-0.21,-0.0053,0,38.87,-0.46,-0.0117,0,39.01,-0.34,-0.0086,0,10332250,38.9211,0.1311,0.0034,1,38.9211,0.1311,0.0034,1,-0.34,0.54,0,0.7348560712982058,0.4208,0.5096,0.373,0.1366,29.6353,62.6486,63.6364,73.4848,1554354.4767,3,14
