datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-11 09:30:00,61.0,-0.21,0.1,-0.3431,0.1642,0,1,0.125,61.18,60.56,60.97,60.9733,0.0009,61.012,-0.0012,0.4137,54.2123,39.3135,0,0,-0.03,0.62,0,3,9
2021-03-11 10:30:00,60.96,-0.04,-0.11,-0.0656,-0.1801,0,0,0.125,61.1,60.85,60.87,61.0067,0.0037,60.9836,-0.0032,0.3494,52.1229,37.218,0,0,-0.09,0.25,0,3,10
2021-03-11 11:30:00,60.87,-0.09,0.08,-0.1476,0.1316,0,1,0.0,60.97,60.75,60.8,61.0078,0.0001,60.9469,-0.0041,0.3124,50.6513,34.9376,0,0,-0.07,0.22,0,3,11
2021-03-11 12:30:00,60.81,-0.06,-0.31,-0.0986,-0.5072,0,0,0.0,60.96,60.8,60.81,60.9733,-0.0038,60.9195,-0.003,0.3357,50.8647,32.8201,0,0,0.0,0.16,0,3,12
2021-03-11 13:30:00,60.81,0.0,-0.32,0.0,-0.5235,0,0,0.0,60.92,60.77,60.81,60.94,-0.0037,60.8976,-0.0024,0.3311,50.8647,30.7439,0,0,0.0,0.15,0,3,13
2021-03-11 14:30:00,60.81,0.0,-0.21,0.0,-0.3441,0,0,0.0,60.83,60.51,60.52,60.8856,-0.006,60.8221,-0.0084,0.0648,44.4055,29.1689,0,0,-0.29,0.32,0,3,14
2021-03-11 15:30:00,60.53,-0.28,-0.56,-0.4605,-0.9167,0,0,0.0,60.53,60.35,60.35,60.8044,-0.009,60.7277,-0.0105,-0.0423,41.1098,28.1869,0,0,-0.18,0.18,0,3,15
2021-03-12 09:30:00,60.45,-0.08,-0.76,-0.1322,-1.2416,0,0,0.0,60.94,60.42,60.56,60.7333,-0.0079,60.6941,-0.0037,0.1726,46.4017,26.4648,0,0,0.11,0.52,1,4,9
2021-03-12 10:30:00,60.57,0.12,-0.43,0.1985,-0.7049,1,0,0.25,60.69,60.28,60.46,60.6833,-0.0056,60.6473,-0.0052,0.0979,44.3576,24.718,0,0,-0.11,0.41,0,4,10
2021-03-12 11:30:00,60.47,-0.1,-0.49,-0.1651,-0.8038,0,0,0.125,60.5,60.26,60.44,60.6244,-0.0065,60.6059,-0.0046,0.1198,43.9407,23.1584,0,0,-0.03,0.24,0,4,11
2021-03-12 12:30:00,60.44,-0.03,-0.43,-0.0496,-0.7064,0,0,0.0,60.44,60.2,60.35,60.5667,-0.0064,60.5547,-0.0057,0.0877,42.0264,21.9044,0,0,-0.09,0.24,0,4,12
2021-03-12 13:30:00,60.35,-0.09,-0.46,-0.1489,-0.7565,0,0,0.0,60.56,60.21,60.53,60.5367,-0.0033,60.5497,-0.0005,0.2808,46.9996,20.3687,0,0,0.18,0.35,1,4,13
2021-03-12 14:30:00,60.54,0.19,-0.27,0.3148,-0.444,1,0,0.625,60.61,60.44,60.56,60.5089,-0.0031,60.5518,0.0002,0.3097,47.8032,19.1197,1,1,0.02,0.17,1,4,14
2021-03-12 15:30:00,60.56,0.02,-0.25,0.033,-0.4111,1,0,0.75,60.72,60.53,60.63,60.4889,-0.0022,60.5674,0.0017,0.3837,49.7191,18.3463,1,1,0.07,0.19,1,4,15
2021-03-15 09:30:00,60.66,0.1,0.13,0.1651,0.2148,1,1,0.875,60.99,60.35,60.42,60.4778,-0.0012,60.5379,-0.0033,0.2155,44.4482,18.4686,0,0,-0.24,0.64,0,0,9
2021-03-15 10:30:00,60.42,-0.24,-0.03,-0.3956,-0.0496,0,0,0.125,60.89,60.29,60.78,60.5256,0.0053,60.5864,0.0054,0.5776,53.541,18.3267,1,1,0.36,0.6,1,0,10
2021-03-15 11:30:00,60.79,0.37,0.22,0.6124,0.3632,1,1,0.875,61.09,60.69,61.08,60.5833,0.0064,60.6851,0.011,0.8693,59.4914,18.7713,1,1,0.29,0.4,1,0,11
2021-03-15 12:30:00,61.08,0.29,0.61,0.4771,1.0088,1,1,0.875,61.28,61.03,61.27,60.6733,0.01,60.8021,0.013,1.0135,62.7458,19.6689,1,1,0.19,0.25,1,0,12
2021-03-15 13:30:00,61.28,0.2,0.84,0.3274,1.3898,1,1,0.875,61.43,61.24,61.37,60.7767,0.0115,60.9157,0.0126,1.0624,64.3683,20.8508,1,1,0.09,0.19,1,0,13
