datetime,open,open change,open change (%),open trend,high,high change,high change (%),high trend,low,low change,low change (%),low trend,close,close change,close change (%),close trend,volume,sma,sma change,sma change (%),sma trend,ema,ema change,ema change (%),ema trend,percent_b,percent_b trend,atr,atr trend,macd,macd trend,macd_signal,macd_signal trend,macd_hist,macd_hist trend,adx,adx trend,rsi,rsi trend,%K,%K trend,%D,%D trend,vpt,vpt trend,price movement,price range,price trend,day,hour
2021-03-11 11:30:00,26.81,-0.06,-0.2233,0,26.83,-0.16,-0.5928,0,26.7,-0.1,-0.3731,0,26.82,0.01,0.0373,1,986480,26.5944,0.0544,0.205,1,26.643,0.0443,0.1665,1,0.905,0,0.2468,0,0.0543,1,-0.0196,1,0.074,0,30.7471,0,59.7194,1,81.5217,1,86.1284,0,-118176.8557,1,0.01,0.13,1,3,11
2021-03-11 12:30:00,26.82,0.01,0.0373,1,26.83,0.0,0.0,0,26.7,0.0,0.0,0,26.71,-0.11,-0.4101,0,853913,26.6378,0.0434,0.1632,1,26.6564,0.0134,0.0503,1,0.7774,0,0.2385,0,0.0593,1,-0.0039,1,0.0631,0,29.0748,0,55.4299,0,69.5652,0,77.1739,0,-121679.1089,0,-0.11,0.13,0,3,12
2021-03-11 13:30:00,26.72,-0.1,-0.3729,0,26.73,-0.1,-0.3727,0,26.61,-0.09,-0.3371,0,26.68,-0.03,-0.1123,0,748801,26.6844,0.0466,0.1749,1,26.6611,0.0047,0.0176,1,0.7323,0,0.23,0,0.0601,1,0.0089,1,0.0511,0,27.0301,0,54.2848,0,66.3043,0,72.4638,0,-122520.1434,0,-0.04,0.12,0,3,13
2021-03-11 14:30:00,26.69,-0.03,-0.1123,0,26.71,-0.02,-0.0748,0,26.59,-0.02,-0.0752,0,26.62,-0.06,-0.2249,0,929475,26.7044,0.02,0.075,1,26.6529,-0.0082,-0.0308,0,0.6629,0,0.2222,0,0.0552,0,0.0182,1,0.037,0,25.1758,0,51.9721,0,59.7826,0,65.2174,0,-124610.417,0,-0.07,0.12,0,3,14
2021-03-11 15:30:00,26.62,-0.07,-0.2623,0,26.66,-0.05,-0.1872,0,26.58,-0.01,-0.0376,0,26.65,0.03,0.1127,1,1195612,26.7089,0.0045,0.0169,1,26.6523,-0.0006,-0.0023,0,0.6746,1,0.212,0,0.0532,0,0.0252,1,0.028,0,23.511,0,53.0491,1,63.0435,1,63.0435,0,-123262.9955,1,0.03,0.08,1,3,15
2021-03-12 09:30:00,26.76,0.14,0.5259,1,27.01,0.35,1.3128,1,26.73,0.15,0.5643,1,26.78,0.13,0.4878,1,2591262,26.7322,0.0233,0.0872,1,26.6778,0.0255,0.0957,1,0.7859,1,0.2226,1,0.0614,1,0.0324,1,0.0289,1,23.3963,0,57.4972,1,70.8861,1,64.5707,1,-110622.693,1,0.02,0.28,1,4,9
2021-03-12 10:30:00,26.78,0.02,0.0747,1,27.02,0.01,0.037,1,26.73,0.0,0.0,0,26.99,0.21,0.7842,1,2140817,26.7711,0.0389,0.1455,1,26.7403,0.0625,0.2343,1,0.9432,1,0.2274,1,0.0838,1,0.0427,1,0.0411,1,23.3295,0,63.511,1,96.25,1,76.7265,1,-93835.1064,1,0.21,0.29,1,4,10
2021-03-12 11:30:00,26.99,0.21,0.7842,1,27.03,0.01,0.037,1,26.88,0.15,0.5612,1,26.89,-0.1,-0.3705,0,997327,26.7722,0.0011,0.0041,1,26.7702,0.0299,0.1118,1,0.8084,0,0.2219,0,0.0925,1,0.0527,1,0.0398,0,23.3097,0,59.2144,0,82.2785,0,83.1382,1,-97530.2787,0,-0.1,0.15,0,4,11
2021-03-12 12:30:00,26.9,-0.09,-0.3335,0,26.94,-0.09,-0.333,0,26.86,-0.02,-0.0744,0,26.92,0.03,0.1116,1,561587,26.7844,0.0122,0.0456,1,26.8002,0.03,0.1121,1,0.8085,1,0.2117,0,0.1006,1,0.0622,1,0.0384,0,23.1494,0,60.0867,1,82.2581,0,86.9288,1,-96903.7406,1,0.02,0.08,1,4,12
2021-03-12 13:30:00,26.92,0.02,0.0743,1,26.94,0.0,0.0,0,26.8,-0.06,-0.2234,0,26.91,-0.01,-0.0371,0,889884,26.7944,0.01,0.0373,1,26.8221,0.0219,0.0817,1,0.7734,0,0.2066,0,0.105,1,0.0708,1,0.0342,0,22.5718,0,59.6289,0,78.5714,0,81.036,0,-97234.3067,0,-0.01,0.14,0,4,13
2021-03-12 14:30:00,26.91,-0.01,-0.0371,0,26.94,0.0,0.0,0,26.87,0.07,0.2612,1,26.92,0.01,0.0372,1,569695,26.8178,0.0234,0.0873,1,26.8417,0.0196,0.0731,1,0.7734,0,0.1969,0,0.1081,1,0.0783,1,0.0298,0,22.0354,0,59.9575,1,78.8462,1,79.8919,0,-97022.6029,1,0.01,0.07,1,4,14
2021-03-12 15:30:00,26.92,0.01,0.0372,1,26.97,0.03,0.1114,1,26.92,0.05,0.1861,1,26.97,0.05,0.1857,1,804926,26.85,0.0322,0.1201,1,26.8674,0.0257,0.0957,1,0.8064,1,0.1864,0,0.1132,1,0.0853,1,0.028,0,21.707,0,61.6387,1,88.4615,1,81.9597,1,-95527.5694,1,0.05,0.05,1,4,15
2021-03-15 09:30:00,26.72,-0.2,-0.7429,0,26.83,-0.14,-0.5191,0,26.23,-0.69,-2.5632,0,26.48,-0.49,-1.8168,0,3658695,26.8344,-0.0156,-0.0581,0,26.7899,-0.0775,-0.2885,0,0.1765,0,0.2259,1,0.0769,0,0.0836,0,-0.0067,0,22.3423,1,42.7126,0,31.25,0,66.1859,0,-161999.9665,0,-0.24,0.6,0,0,9
2021-03-15 10:30:00,26.46,-0.26,-0.9731,0,26.53,-0.3,-1.1182,0,26.32,0.09,0.3431,1,26.38,-0.1,-0.3776,0,1373940,26.8044,-0.03,-0.1118,0,26.7079,-0.082,-0.3061,0,0.0033,0,0.2248,0,0.0396,0,0.0748,0,-0.0352,0,22.9322,1,40.0124,0,18.75,0,46.1538,0,-167188.5617,0,-0.08,0.21,0,0,10
2021-03-15 11:30:00,26.38,-0.08,-0.3023,0,26.43,-0.1,-0.3769,0,26.21,-0.11,-0.4179,0,26.4,0.02,0.0758,1,1686642,26.7622,-0.0422,-0.1574,0,26.6463,-0.0616,-0.2306,0,0.0432,1,0.2244,0,0.0115,0,0.0621,0,-0.0506,0,23.8286,1,40.8182,1,23.1707,1,24.3902,0,-165909.8339,1,0.02,0.22,1,0,11
2021-03-15 12:30:00,26.4,0.02,0.0758,1,26.53,0.1,0.3784,1,26.33,0.12,0.4578,1,26.5,0.1,0.3788,1,1038576,26.7078,-0.0544,-0.2033,0,26.6171,-0.0292,-0.1096,0,0.1972,1,0.2227,0,-0.0027,0,0.0492,0,-0.0518,0,24.0377,1,44.8102,1,35.3659,1,25.7622,1,-161975.8339,1,0.1,0.2,1,0,12
2021-03-15 13:30:00,26.51,0.11,0.4167,1,26.72,0.19,0.7162,1,26.49,0.16,0.6077,1,26.66,0.16,0.6038,1,1270094,26.6822,-0.0256,-0.0959,0,26.6257,0.0086,0.0323,1,0.4041,1,0.2232,1,-0.001,1,0.0391,0,-0.0401,1,23.1776,0,50.5568,1,54.878,1,37.8049,1,-154307.3418,1,0.15,0.23,1,0,13
2021-03-15 14:30:00,26.65,0.14,0.5281,1,26.65,-0.07,-0.262,0,26.43,-0.06,-0.2265,0,26.46,-0.2,-0.7502,0,1450359,26.6311,-0.0511,-0.1915,0,26.5925,-0.0332,-0.1247,0,0.16,0,0.2237,1,-0.0156,0,0.0282,0,-0.0438,0,22.6184,0,44.3416,0,30.4878,0,40.2439,1,-165187.7544,0,-0.19,0.22,0,0,14
2021-03-15 15:30:00,26.45,-0.2,-0.7505,0,26.53,-0.12,-0.4503,0,26.44,0.01,0.0378,1,26.49,0.03,0.1134,1,1344676,26.5844,-0.0467,-0.1754,0,26.572,-0.0205,-0.0771,0,0.2282,1,0.2141,0,-0.0245,0,0.0177,0,-0.0421,1,22.0991,0,45.4254,1,34.1463,1,39.8374,0,-163663.1785,1,0.04,0.09,1,0,15
2021-03-16 09:30:00,26.1,-0.35,-1.3233,0,26.12,-0.41,-1.5454,0,25.75,-0.69,-2.6097,0,25.88,-0.61,-2.3028,0,3389856,26.4689,-0.1155,-0.4345,0,26.4336,-0.1384,-0.5208,0,-0.2378,0,0.2517,1,-0.0798,0,-0.0018,0,-0.078,0,23.6539,1,31.8463,0,10.1562,0,24.9301,0,-241723.2826,0,-0.22,0.37,0,1,9
2021-03-16 10:30:00,25.87,-0.23,-0.8812,0,25.91,-0.21,-0.804,0,25.69,-0.06,-0.233,0,25.83,-0.05,-0.1932,0,1575245,26.3422,-0.1267,-0.4787,0,26.3129,-0.1207,-0.4566,0,-0.1156,1,0.2494,0,-0.1263,0,-0.0267,0,-0.0995,0,25.2202,1,31.0276,0,10.4478,1,18.2501,0,-244766.6462,0,-0.04,0.22,0,1,10
2021-03-16 11:30:00,25.85,-0.02,-0.0773,0,26.01,0.1,0.386,1,25.79,0.1,0.3893,1,26.0,0.17,0.6581,1,1255885,26.2889,-0.0533,-0.2023,0,26.2503,-0.0626,-0.2379,0,0.081,1,0.2473,0,-0.1476,0,-0.0509,0,-0.0967,1,26.1335,1,36.9617,1,24.2187,1,14.9409,0,-236501.0462,1,0.15,0.22,1,1,11
2021-03-16 12:30:00,26.01,0.16,0.619,1,26.13,0.12,0.4614,1,25.98,0.19,0.7367,1,26.11,0.11,0.4231,1,1235684,26.2589,-0.03,-0.1141,0,26.2223,-0.028,-0.1067,0,0.1946,1,0.2404,0,-0.1539,0,-0.0715,0,-0.0824,1,26.3605,1,40.5272,1,32.8125,1,22.493,1,-231273.1523,1,0.1,0.15,1,1,12
2021-03-16 13:30:00,26.12,0.11,0.4229,1,26.15,0.02,0.0765,1,26.03,0.05,0.1925,1,26.06,-0.05,-0.1915,0,1157668,26.2211,-0.0378,-0.144,0,26.1898,-0.0325,-0.1239,0,0.1918,0,0.2318,0,-0.1611,0,-0.0894,0,-0.0717,1,26.468,1,39.4353,0,28.9062,0,28.6458,1,-233490.0577,0,-0.06,0.12,0,1,13
2021-03-16 14:30:00,26.05,-0.07,-0.268,0,26.17,0.02,0.0765,1,26.02,-0.01,-0.0384,0,26.13,0.07,0.2686,1,878590,26.18,-0.0411,-0.1567,0,26.1778,-0.012,-0.0458,0,0.262,1,0.2259,0,-0.1593,1,-0.1034,0,-0.0559,1,26.4591,0,41.7994,1,34.375,1,32.0312,1,-231130.0692,1,0.08,0.15,1,1,14
2021-03-16 15:30:00,26.12,0.07,0.2687,1,26.14,-0.03,-0.1146,0,26.05,0.03,0.1153,1,26.08,-0.05,-0.1914,0,913557,26.1156,-0.0644,-0.246,0,26.1583,-0.0195,-0.0745,0,0.2544,0,0.2162,0,-0.1601,0,-0.1147,0,-0.0453,1,26.4509,0,40.5809,0,34.2105,0,32.4973,1,-232878.1691,0,-0.04,0.09,0,1,15
2021-03-17 09:30:00,25.95,-0.17,-0.6508,0,26.38,0.24,0.9181,1,25.95,-0.1,-0.3839,0,26.24,0.16,0.6135,1,2661097,26.0911,-0.0245,-0.0938,0,26.1746,0.0163,0.0623,1,0.3786,1,0.2315,1,-0.1461,1,-0.121,0,-0.0251,1,25.1611,0,46.0051,1,53.3981,1,40.6612,1,-216552.4207,1,0.29,0.43,1,2,9
2021-03-17 10:30:00,26.25,0.3,1.1561,1,26.25,-0.13,-0.4928,0,25.99,0.04,0.1541,1,26.2,-0.04,-0.1524,0,2024878,26.0589,-0.0322,-0.1234,0,26.1797,0.0051,0.0195,1,0.3697,0,0.2335,1,-0.1366,1,-0.1241,0,-0.0125,1,23.9634,0,44.9016,0,49.5146,0,45.7077,1,-219639.1249,0,-0.05,0.26,0,2,10
2021-03-17 11:30:00,26.21,-0.04,-0.1524,0,26.31,0.06,0.2286,1,26.16,0.17,0.6541,1,26.2,0.0,0.0,0,1196117,26.0944,0.0355,0.1362,1,26.1838,0.0041,0.0157,1,0.3888,1,0.2276,0,-0.1277,1,-0.1248,0,-0.0028,1,22.5449,0,44.9016,0,49.5146,0,50.8091,1,-219639.1249,0,-0.01,0.15,0,2,11
