datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 14:30:00,49.28,0.1,0.49,0.2033,1.0043,1,1,0.875,49.34,49.18,49.24,49.0422,0.0054,49.0762,0.0046,0.9132,67.5432,30.719,1,1,-0.04,0.16,0,0,14
2021-03-15 15:30:00,49.24,-0.04,0.39,-0.0812,0.7984,0,1,0.75,49.43,49.21,49.4,49.1033,0.0068,49.1409,0.0072,1.0516,71.147,31.9323,1,1,0.16,0.22,1,0,15
2021-03-16 09:30:00,49.44,0.2,0.68,0.4062,1.3946,1,1,0.875,49.48,49.19,49.42,49.1767,0.0081,49.1968,0.0062,0.9896,71.5719,33.1886,1,1,-0.02,0.29,0,1,9
2021-03-16 10:30:00,49.41,-0.03,0.51,-0.0607,1.0429,0,1,0.75,49.61,49.37,49.51,49.2533,0.0085,49.2594,0.007,0.9961,73.4656,34.6748,1,1,0.1,0.24,1,1,10
2021-03-16 11:30:00,49.51,0.1,0.39,0.2024,0.794,1,1,0.875,49.69,49.48,49.58,49.3033,0.0056,49.3235,0.0071,0.9802,74.8679,36.237,1,1,0.07,0.21,1,1,11
2021-03-16 12:30:00,49.58,0.07,0.52,0.1414,1.0599,1,1,0.875,49.74,49.54,49.62,49.3656,0.0069,49.3828,0.0066,0.9458,75.6595,37.7995,1,1,0.04,0.2,1,1,12
2021-03-16 13:30:00,49.62,0.04,0.56,0.0807,1.1415,1,1,0.875,49.64,49.46,49.46,49.41,0.0049,49.3983,0.0017,0.7845,66.6204,38.5907,1,1,-0.16,0.18,0,1,13
2021-03-16 14:30:00,49.46,-0.16,0.28,-0.3225,0.5693,0,1,0.5,49.63,49.4,49.58,49.4544,0.0049,49.4346,0.004,0.841,69.5579,38.8465,1,1,0.12,0.23,1,1,14
2021-03-16 15:30:00,49.57,0.11,0.29,0.2224,0.5885,1,1,0.625,49.68,49.53,49.67,49.4978,0.0048,49.4817,0.0052,0.8731,71.5782,39.2444,1,1,0.1,0.15,1,1,15
2021-03-17 09:30:00,49.57,0.0,0.33,0.0,0.6702,0,1,0.5,49.61,49.23,49.46,49.5222,0.0027,49.4773,-0.0005,0.6874,61.3479,37.5439,0,0,-0.11,0.38,0,2,9
