datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-12 12:30:00,73.43,0.31,0.9,0.424,1.2409,1,1,0.875,73.57,73.33,73.43,72.8544,0.011,72.975,0.0126,0.8888,67.5587,43.1248,1,1,0.0,0.24,0,4,12
2021-03-12 13:30:00,73.44,0.01,0.84,0.0136,1.157,1,1,0.875,73.76,73.44,73.75,72.9833,0.0143,73.13,0.0172,0.999,71.2472,44.0199,1,1,0.31,0.32,1,4,13
2021-03-12 14:30:00,73.75,0.31,1.14,0.4221,1.57,1,1,0.875,74.02,73.73,73.89,73.1244,0.0157,73.282,0.0169,1.061,72.7092,45.1351,1,1,0.14,0.29,1,4,14
2021-03-12 15:30:00,73.9,0.15,1.21,0.2034,1.6646,1,1,0.875,74.05,73.87,73.96,73.2656,0.0157,73.4176,0.0151,1.0278,73.4365,46.2025,1,1,0.06,0.18,1,4,15
2021-03-15 09:30:00,73.95,0.05,1.5,0.0677,2.0704,1,1,0.875,74.25,73.58,74.13,73.4511,0.0206,73.5601,0.0158,1.015,75.1673,46.0165,1,1,0.18,0.67,1,0,9
2021-03-15 10:30:00,74.12,0.17,1.5,0.2299,2.0655,1,1,0.875,74.48,74.05,74.2,73.6556,0.0227,73.6881,0.0142,0.9694,75.8646,46.1693,1,1,0.08,0.43,1,0,10
2021-03-15 11:30:00,74.21,0.09,1.24,0.1214,1.6993,1,1,0.875,74.91,74.21,74.91,73.8711,0.024,73.9324,0.0272,1.1091,81.5301,46.8296,1,1,0.7,0.7,1,0,11
2021-03-15 12:30:00,74.91,0.7,1.79,0.9433,2.448,1,1,0.875,75.16,74.83,75.12,74.0922,0.0246,74.17,0.0264,1.057,82.815,47.6993,1,1,0.21,0.33,1,0,12
2021-03-15 13:30:00,75.12,0.21,1.69,0.2803,2.3015,1,1,0.875,75.2,74.85,75.0,74.2656,0.0193,74.336,0.0184,0.9476,79.4151,48.5469,1,1,-0.12,0.35,0,0,13
2021-03-15 14:30:00,75.02,-0.1,1.58,-0.1331,2.1514,0,1,0.75,75.06,74.59,74.93,74.4322,0.0185,74.4548,0.0132,0.8782,77.4185,48.3371,1,1,-0.09,0.47,0,0,14
2021-03-15 15:30:00,74.93,-0.09,1.18,-0.12,1.6,0,1,0.625,75.02,74.56,74.98,74.5689,0.0152,74.5598,0.0117,0.85,77.8469,48.0305,1,1,0.05,0.46,1,0,15
2021-03-16 09:30:00,74.99,0.06,1.09,0.0801,1.475,1,1,0.625,75.08,74.39,74.48,74.6344,0.0073,74.5439,-0.0018,0.6964,64.6396,47.1122,0,0,-0.51,0.69,0,1,9
2021-03-16 10:30:00,74.48,-0.51,0.53,-0.6801,0.7167,0,1,0.25,74.82,74.15,74.6,74.7056,0.0079,74.5551,0.0012,0.7068,66.125,45.433,0,1,0.12,0.67,1,1,10
2021-03-16 11:30:00,74.64,0.16,0.52,0.2148,0.7016,1,1,0.25,74.81,74.43,74.73,74.7722,0.0074,74.5901,0.0039,0.7202,67.7077,43.8738,0,1,0.09,0.38,1,1,11
2021-03-16 12:30:00,74.74,0.1,0.53,0.134,0.7142,1,1,0.25,75.09,74.6,75.04,74.8656,0.0104,74.6801,0.01,0.7817,71.167,42.9924,1,1,0.3,0.49,1,1,12
2021-03-16 13:30:00,75.04,0.3,0.13,0.4014,0.1735,1,1,0.75,75.21,74.82,75.09,74.8856,0.0022,74.762,0.0091,0.7768,71.6937,42.3975,1,1,0.05,0.39,1,1,13
2021-03-16 14:30:00,75.07,0.03,-0.05,0.04,-0.0666,1,0,0.875,75.18,74.93,75.0,74.8722,-0.0015,74.8096,0.0053,0.7386,69.2418,41.8451,1,1,-0.07,0.25,0,1,14
2021-03-16 15:30:00,75.01,-0.06,-0.01,-0.0799,-0.0133,0,0,0.625,75.25,74.94,75.06,74.8789,0.0007,74.8597,0.0056,0.7434,69.9789,41.4721,1,1,0.05,0.31,1,1,15
