datetime,open,open change,open change (%),open trend,high,high change,high change (%),high trend,low,low change,low change (%),low trend,close,close change,close change (%),close trend,volume,sma,sma change,sma change (%),sma trend,ema,ema change,ema change (%),ema trend,percent_b,percent_b trend,atr,atr trend,macd,macd trend,macd_signal,macd_signal trend,macd_hist,macd_hist trend,adx,adx trend,rsi,rsi trend,%K,%K trend,%D,%D trend,vpt,vpt trend,price movement,price range,price trend,day,hour
2021-03-12 13:30:00,36.35,0.04,0.1102,1,36.42,0.06,0.165,1,36.3,0.04,0.1103,1,36.38,0.03,0.0825,1,472948,36.3167,0.0056,0.0154,1,36.2973,0.0206,0.0568,1,0.7509,1,0.1785,0,0.1333,1,0.1235,1,0.0098,0,34.1101,1,66.548,1,73.5294,1,72.2046,1,21072.7176,1,0.03,0.12,1,4,13
2021-03-12 14:30:00,36.38,0.03,0.0825,1,36.49,0.07,0.1922,1,36.38,0.08,0.2204,1,36.42,0.04,0.11,1,551719,36.3267,0.01,0.0275,1,36.3219,0.0246,0.0678,1,0.7772,1,0.1736,0,0.1358,1,0.126,1,0.0098,0,34.8575,1,68.1907,1,79.4118,1,74.9804,1,21679.3355,1,0.04,0.11,1,4,14
2021-03-12 15:30:00,36.42,0.04,0.11,1,36.49,0.0,0.0,0,36.39,0.01,0.0275,1,36.4,-0.02,-0.0549,0,601769,36.3356,0.0089,0.0245,1,36.3375,0.0156,0.0429,1,0.7374,0,0.1684,0,0.1347,0,0.1277,1,0.007,0,35.5514,1,66.434,0,69.8113,0,74.2508,0,21348.8748,0,-0.02,0.1,0,4,15
2021-03-15 09:30:00,36.54,0.12,0.3295,1,36.62,0.13,0.3563,1,36.34,-0.05,-0.1374,0,36.62,0.22,0.6044,1,801488,36.37,0.0344,0.0947,1,36.394,0.0565,0.1555,1,0.9639,1,0.1764,1,0.1498,1,0.1322,1,0.0177,1,36.713,1,74.2824,1,100.0,1,83.0744,1,26193.033,1,0.08,0.28,1,0,9
2021-03-15 10:30:00,36.62,0.08,0.2189,1,36.63,0.01,0.0273,1,36.32,-0.02,-0.055,0,36.37,-0.25,-0.6827,0,420392,36.3744,0.0044,0.0121,1,36.3892,-0.0048,-0.0132,0,0.6347,0,0.1859,1,0.14,0,0.1337,1,0.0063,0,37.5619,1,57.756,0,42.2222,0,70.6778,0,23323.0713,0,-0.25,0.31,0,0,10
2021-03-15 11:30:00,36.38,-0.24,-0.6554,0,36.42,-0.21,-0.5733,0,36.29,-0.03,-0.0826,0,36.38,0.01,0.0275,1,472890,36.3922,0.0178,0.0489,1,36.3874,-0.0018,-0.0049,0,0.6327,0,0.1819,0,0.1315,0,0.1333,0,-0.0018,0,37.9989,1,58.157,1,44.4444,1,62.2222,0,23453.0933,1,0.0,0.13,0,0,11
2021-03-15 12:30:00,36.4,0.02,0.055,1,36.45,0.03,0.0824,1,36.36,0.07,0.1929,1,36.42,0.04,0.11,1,294054,36.4067,0.0145,0.0398,1,36.3939,0.0065,0.0179,1,0.6806,1,0.1753,0,0.1266,0,0.1319,0,-0.0054,0,38.5432,1,59.8008,1,53.3333,1,46.6667,0,23776.4072,1,0.02,0.09,1,0,12
2021-03-15 13:30:00,36.42,0.02,0.0549,1,36.63,0.18,0.4938,1,36.42,0.06,0.165,1,36.61,0.19,0.5217,1,342948,36.4389,0.0322,0.0884,1,36.4371,0.0432,0.1187,1,0.9769,1,0.1778,1,0.1364,1,0.1328,1,0.0036,1,39.7551,1,66.5275,1,95.5556,1,64.4444,1,25565.5373,1,0.19,0.21,1,0,13
2021-03-15 14:30:00,36.62,0.2,0.5491,1,36.62,-0.01,-0.0273,0,36.55,0.13,0.3569,1,36.56,-0.05,-0.1366,0,293576,36.4622,0.0233,0.0639,1,36.4617,0.0246,0.0675,1,0.9387,0,0.1701,0,0.1386,1,0.134,1,0.0046,1,40.8805,1,63.5155,0,84.4444,0,77.7778,1,25164.5867,0,-0.06,0.07,0,0,14
2021-03-15 15:30:00,36.56,-0.06,-0.1638,0,36.64,0.02,0.0546,1,36.52,-0.03,-0.0821,0,36.61,0.05,0.1368,1,334616,36.4878,0.0256,0.0702,1,36.4914,0.0297,0.0815,1,0.9787,1,0.1665,0,0.1427,1,0.1357,1,0.0069,1,41.5482,1,65.2117,1,93.4783,1,91.1594,1,25622.2126,1,0.05,0.12,1,0,15
2021-03-16 09:30:00,36.52,-0.04,-0.1094,0,36.58,-0.06,-0.1638,0,36.12,-0.4,-1.0953,0,36.28,-0.33,-0.9014,0,760829,36.4722,-0.0156,-0.0428,0,36.4491,-0.0423,-0.1159,0,0.2536,0,0.1896,1,0.1179,0,0.1322,0,-0.0142,0,38.6504,0,49.0149,0,30.7692,0,69.564,0,18764.1528,0,-0.24,0.46,0,1,9
2021-03-16 10:30:00,36.26,-0.26,-0.7119,0,36.28,-0.3,-0.8201,0,36.14,0.02,0.0554,1,36.2,-0.08,-0.2205,0,393951,36.45,-0.0222,-0.0609,0,36.3993,-0.0498,-0.1366,0,0.1157,0,0.1861,0,0.0908,0,0.1239,0,-0.0331,0,35.9596,0,46.0302,0,15.3846,0,46.544,0,17895.4626,0,-0.06,0.14,0,1,10
2021-03-16 11:30:00,36.22,-0.04,-0.1103,0,36.42,0.14,0.3859,1,36.15,0.01,0.0277,1,36.37,0.17,0.4696,1,548088,36.4222,-0.0278,-0.0763,0,36.3934,-0.0059,-0.0162,0,0.4626,1,0.1921,1,0.0821,0,0.1155,0,-0.0334,0,34.2917,0,52.6312,1,48.0769,1,31.4103,0,20469.3565,1,0.15,0.27,1,1,11
2021-03-16 12:30:00,36.37,0.15,0.4141,1,36.54,0.12,0.3295,1,36.37,0.22,0.6086,1,36.48,0.11,0.3024,1,437075,36.4344,0.0122,0.0335,1,36.4107,0.0173,0.0475,1,0.6737,1,0.1905,0,0.0831,1,0.1091,0,-0.0259,1,33.3534,0,56.3514,1,69.2308,1,44.2308,1,21791.277,1,0.11,0.17,1,1,12
2021-03-16 13:30:00,36.47,0.1,0.275,1,36.5,-0.04,-0.1095,0,36.39,0.02,0.055,1,36.42,-0.06,-0.1645,0,389990,36.4389,0.0045,0.0124,1,36.4126,0.0019,0.0052,1,0.5387,0,0.1848,0,0.0782,0,0.1029,0,-0.0247,1,32.4822,0,53.8664,0,57.6923,0,58.3333,1,21149.8461,0,-0.05,0.11,0,1,13
2021-03-16 14:30:00,36.41,-0.06,-0.1645,0,36.47,-0.03,-0.0822,0,36.37,-0.02,-0.055,0,36.38,-0.04,-0.1098,0,576476,36.4344,-0.0045,-0.0123,0,36.4061,-0.0065,-0.0179,0,0.4493,0,0.1787,0,0.0702,0,0.0963,0,-0.0261,0,31.5126,0,52.2133,0,50.0,0,58.9744,1,20516.7039,0,-0.03,0.1,0,1,14
2021-03-16 15:30:00,36.38,-0.03,-0.0824,0,36.46,-0.01,-0.0274,0,36.3,-0.07,-0.1925,0,36.45,0.07,0.1924,1,485036,36.4167,-0.0177,-0.0486,0,36.4149,0.0088,0.0242,1,0.5778,1,0.1774,0,0.0688,0,0.0908,0,-0.022,1,30.0571,0,54.826,1,63.4615,1,57.0513,0,21449.9782,1,0.07,0.16,1,1,15
2021-03-17 09:30:00,36.3,-0.08,-0.2199,0,36.44,-0.02,-0.0549,0,36.17,-0.13,-0.3581,0,36.36,-0.09,-0.2469,0,442560,36.3944,-0.0223,-0.0612,0,36.4039,-0.011,-0.0302,0,0.3633,0,0.1847,1,0.0597,0,0.0846,0,-0.0249,0,28.0325,0,50.9676,0,46.1538,0,53.2051,0,20357.2375,0,0.06,0.27,1,2,9
2021-03-17 10:30:00,36.36,0.06,0.1653,1,36.37,-0.07,-0.1921,0,36.11,-0.06,-0.1659,0,36.26,-0.1,-0.275,0,344996,36.3556,-0.0388,-0.1066,0,36.3751,-0.0288,-0.0791,0,0.15,0,0.1901,1,0.0439,0,0.0765,0,-0.0326,0,26.5341,0,47.0089,0,28.3019,0,45.9724,0,19408.4036,0,-0.1,0.26,0,2,10
2021-03-17 11:30:00,36.28,-0.08,-0.22,0,36.33,-0.04,-0.11,0,36.23,0.12,0.3323,1,36.23,-0.03,-0.0827,0,271825,36.35,-0.0056,-0.0154,0,36.3461,-0.029,-0.0797,0,0.1182,0,0.1836,0,0.0286,0,0.0669,0,-0.0383,0,25.1427,0,45.8582,0,22.6415,0,32.3657,0,19183.507,0,-0.05,0.1,0,2,11
2021-03-17 12:30:00,36.23,-0.05,-0.1378,0,36.33,0.0,0.0,0,36.23,0.0,0.0,0,36.3,0.07,0.1932,1,266514,36.3611,0.0111,0.0305,1,36.3369,-0.0092,-0.0253,0,0.2794,1,0.1777,0,0.0219,0,0.0579,0,-0.036,1,23.8507,0,48.9956,1,35.8491,1,28.9308,0,19698.4388,1,0.07,0.1,1,2,12
2021-03-17 13:30:00,36.3,0.07,0.1932,1,36.62,0.29,0.7982,1,36.29,0.06,0.1656,1,36.56,0.26,0.7163,1,411091,36.3822,0.0211,0.058,1,36.3815,0.0446,0.1227,1,0.7946,1,0.1886,1,0.0372,1,0.0538,0,-0.0166,1,23.532,0,58.5932,1,84.9057,1,47.7987,1,22642.8923,1,0.26,0.33,1,2,13
2021-03-17 14:30:00,36.55,0.25,0.6887,1,36.76,0.14,0.3823,1,36.51,0.22,0.6062,1,36.63,0.07,0.1915,1,692443,36.3989,0.0167,0.0459,1,36.4312,0.0497,0.1366,1,0.8853,1,0.1929,1,0.0543,1,0.0539,1,0.0004,1,23.8915,1,60.7354,1,80.0,0,66.9182,1,23968.6858,1,0.08,0.25,1,2,14
2021-03-17 15:30:00,36.62,0.07,0.1915,1,36.7,-0.06,-0.1632,0,36.59,0.08,0.2191,1,36.63,0.0,0.0,0,417664,36.4222,0.0233,0.064,1,36.471,0.0398,0.1092,1,0.8823,0,0.187,0,0.0671,1,0.0565,1,0.0106,1,24.2252,1,60.7354,0,80.0,0,81.6352,1,23968.6858,0,0.01,0.11,1,2,15
2021-03-18 09:30:00,36.42,-0.2,-0.5461,0,36.52,-0.18,-0.4905,0,36.29,-0.3,-0.8199,0,36.35,-0.28,-0.7644,0,552175,36.4189,-0.0033,-0.0091,0,36.4468,-0.0242,-0.0664,0,0.3625,0,0.1979,1,0.054,0,0.056,0,-0.002,0,22.5104,0,48.9799,0,36.9231,0,65.641,0,19747.8558,0,-0.07,0.23,0,3,9
2021-03-18 10:30:00,36.33,-0.09,-0.2471,0,36.4,-0.12,-0.3286,0,36.26,-0.03,-0.0827,0,36.37,0.02,0.055,1,358853,36.41,-0.0089,-0.0244,0,36.4314,-0.0154,-0.0423,0,0.4007,1,0.1938,0,0.0447,0,0.0537,0,-0.009,0,21.053,0,49.7284,1,40.0,1,52.3077,0,19945.299,1,0.04,0.14,1,3,10
2021-03-18 11:30:00,36.37,0.04,0.1101,1,36.4,0.0,0.0,0,36.28,0.02,0.0552,1,36.34,-0.03,-0.0825,0,331530,36.4078,-0.0022,-0.006,0,36.4131,-0.0183,-0.0502,0,0.3538,0,0.1885,0,0.0345,0,0.0499,0,-0.0154,0,19.6996,0,48.5772,0,35.3846,0,37.4359,0,19671.8346,0,-0.03,0.12,0,3,11
2021-03-18 12:30:00,36.35,-0.02,-0.055,0,36.35,-0.05,-0.1374,0,36.15,-0.13,-0.3583,0,36.24,-0.1,-0.2752,0,423589,36.4056,-0.0022,-0.006,0,36.3785,-0.0346,-0.095,0,0.1995,0,0.1894,1,0.0182,0,0.0436,0,-0.0254,0,19.1729,0,44.8501,0,20.0,0,31.7949,0,18506.2072,0,-0.11,0.2,0,3,12
2021-03-18 13:30:00,36.24,-0.11,-0.3026,0,36.26,-0.09,-0.2476,0,36.04,-0.11,-0.3043,0,36.04,-0.2,-0.5519,0,372817,36.3844,-0.0212,-0.0582,0,36.3108,-0.0677,-0.1861,0,-0.0581,0,0.1915,1,-0.0108,0,0.0327,0,-0.0435,0,19.2277,1,38.4896,0,0.0,0,18.4615,0,16448.7183,0,-0.2,0.22,0,3,13
2021-03-18 14:30:00,36.05,-0.19,-0.5243,0,36.07,-0.19,-0.524,0,35.83,-0.21,-0.5827,0,35.88,-0.16,-0.444,0,573343,36.3378,-0.0466,-0.1281,0,36.2246,-0.0862,-0.2374,0,-0.1545,0,0.195,1,-0.0461,0,0.0169,0,-0.063,0,20.1451,1,34.2989,0,5.3763,1,8.4588,0,13903.3553,0,-0.17,0.24,0,3,14
2021-03-18 15:30:00,35.89,-0.16,-0.4438,0,35.89,-0.18,-0.499,0,35.73,-0.1,-0.2791,0,35.83,-0.05,-0.1394,0,549944,36.2567,-0.0811,-0.2232,0,36.1457,-0.0789,-0.2178,0,-0.0864,1,0.1925,0,-0.0772,0,-0.0019,0,-0.0753,0,21.3469,1,33.0865,0,9.7087,1,5.0284,0,13136.9897,0,-0.06,0.16,0,3,15
2021-03-19 09:30:00,35.84,-0.05,-0.1393,0,36.05,0.16,0.4458,1,35.59,-0.14,-0.3918,0,36.02,0.19,0.5303,1,735334,36.1889,-0.0678,-0.187,0,36.1206,-0.0251,-0.0694,0,0.1674,1,0.2116,1,-0.0856,0,-0.0186,0,-0.067,1,21.3816,1,41.5424,1,36.7521,1,17.2791,1,17036.3327,1,0.18,0.46,1,4,9
2021-03-19 10:30:00,36.04,0.2,0.558,1,36.27,0.22,0.6103,1,35.99,0.4,1.1239,1,36.14,0.12,0.3331,1,468644,36.1344,-0.0545,-0.1506,0,36.1245,0.0039,0.0108,1,0.3218,1,0.2165,1,-0.0816,1,-0.0312,0,-0.0504,1,20.1901,0,46.1693,1,47.0085,1,31.1565,1,18597.612,1,0.1,0.28,1,4,10
2021-03-19 11:30:00,36.15,0.11,0.3052,1,36.33,0.06,0.1654,1,36.15,0.16,0.4446,1,36.33,0.19,0.5257,1,303333,36.1322,-0.0022,-0.0061,0,36.1656,0.0411,0.1138,1,0.549,1,0.2146,0,-0.0624,1,-0.0375,0,-0.0249,1,18.7871,0,52.5703,1,63.2479,1,49.0028,1,20192.3344,1,0.18,0.18,1,4,11
2021-03-19 12:30:00,36.33,0.18,0.4979,1,36.36,0.03,0.0826,1,36.25,0.1,0.2766,1,36.25,-0.08,-0.2202,0,227222,36.1189,-0.0133,-0.0368,0,36.1825,0.0169,0.0467,1,0.4653,0,0.2071,0,-0.053,1,-0.0406,0,-0.0124,1,17.5562,0,49.8808,0,56.4103,0,55.5556,1,19691.9832,0,-0.08,0.11,0,4,12
2021-03-19 13:30:00,36.26,-0.07,-0.1927,0,36.34,-0.02,-0.055,0,36.21,-0.04,-0.1103,0,36.22,-0.03,-0.0828,0,250084,36.1056,-0.0133,-0.0368,0,36.19,0.0075,0.0207,1,0.4391,0,0.2016,0,-0.0474,1,-0.0419,0,-0.0055,1,16.4026,0,48.8711,0,53.8462,0,57.8348,1,19485.0171,0,-0.04,0.13,0,4,13
2021-03-19 14:30:00,36.22,-0.04,-0.1103,0,36.38,0.04,0.1101,1,36.19,-0.02,-0.0552,0,36.37,0.15,0.4141,1,342972,36.12,0.0144,0.0399,1,36.226,0.036,0.0995,1,0.6228,1,0.2008,0,-0.0306,1,-0.0397,1,0.0091,1,15.3511,0,53.8963,1,70.2703,1,60.1756,1,20905.3871,1,0.15,0.19,1,4,14
2021-03-19 15:30:00,36.38,0.16,0.4417,1,36.42,0.04,0.11,1,36.19,0.0,0.0,0,36.28,-0.09,-0.2475,0,973416,36.1467,0.0267,0.0739,1,36.2368,0.0108,0.0298,1,0.5199,0,0.2029,1,-0.0242,1,-0.0366,1,0.0124,1,14.5975,0,50.6779,0,74.1935,1,66.1033,1,18496.604,0,-0.1,0.23,0,4,15
2021-03-22 09:30:00,36.29,-0.09,-0.2474,0,36.4,-0.02,-0.0549,0,36.19,0.0,0.0,0,36.25,-0.03,-0.0827,0,553076,36.1878,0.0411,0.1137,1,36.2394,0.0026,0.0072,1,0.4843,0,0.2034,1,-0.0213,1,-0.0335,1,0.0122,0,13.8978,0,49.6143,0,79.5181,1,74.6606,1,18039.2645,0,-0.04,0.21,0,0,9
2021-03-22 10:30:00,36.22,-0.07,-0.1929,0,36.41,0.01,0.0275,1,36.22,0.03,0.0829,1,36.28,0.03,0.0828,1,767325,36.2378,0.05,0.1382,1,36.2475,0.0081,0.0224,1,0.5175,1,0.2024,0,-0.0164,1,-0.0301,1,0.0137,1,13.3101,0,50.7279,1,83.1325,1,78.9481,1,18674.292,1,0.06,0.19,1,0,10
2021-03-22 11:30:00,36.28,0.06,0.1657,1,36.39,-0.02,-0.0549,0,36.28,0.06,0.1657,1,36.33,0.05,0.1378,1,273528,36.2722,0.0344,0.0949,1,36.264,0.0165,0.0455,1,0.5758,1,0.1958,0,-0.0084,1,-0.0258,1,0.0174,1,12.7644,0,52.6079,1,89.1566,1,83.9357,1,19051.2601,1,0.05,0.11,1,0,11
2021-03-22 12:30:00,36.31,0.03,0.0827,1,36.35,-0.04,-0.1099,0,36.23,-0.05,-0.1378,0,36.34,0.01,0.0275,1,291558,36.2944,0.0222,0.0612,1,36.2792,0.0152,0.0419,1,0.6063,1,0.1904,0,-0.0012,1,-0.0209,1,0.0196,1,11.8786,0,52.9942,1,90.3614,1,87.5502,1,19131.5128,1,0.03,0.12,1,0,12
2021-03-22 13:30:00,36.34,0.03,0.0826,1,36.36,0.01,0.0275,1,36.26,0.03,0.0828,1,36.33,-0.01,-0.0275,0,279187,36.2944,0.0,0.0,0,36.2894,0.0102,0.0281,1,0.6242,1,0.184,0,0.0036,1,-0.016,1,0.0196,0,11.1322,0,52.5331,0,89.1566,0,89.5582,1,19054.6864,0,-0.01,0.1,0,0,13
2021-03-22 14:30:00,36.34,0.0,0.0,0,36.47,0.11,0.3025,1,36.33,0.07,0.1931,1,36.37,0.04,0.1101,1,473980,36.3078,0.0134,0.0369,1,36.3055,0.0161,0.0444,1,0.7236,1,0.1808,0,0.0105,1,-0.0107,1,0.0212,1,11.2312,1,54.2481,1,88.6364,0,89.3848,0,19576.5471,1,0.03,0.14,1,0,14
2021-03-22 15:30:00,36.37,0.03,0.0826,1,36.41,-0.06,-0.1645,0,36.23,-0.1,-0.2753,0,36.28,-0.09,-0.2475,0,730718,36.3144,0.0066,0.0182,1,36.3004,-0.0051,-0.014,0,0.5885,0,0.1808,0,0.0087,0,-0.0068,1,0.0155,0,10.5258,0,49.8812,0,78.4091,0,85.4007,0,17768.3365,0,-0.09,0.18,0,0,15
2021-03-23 09:30:00,36.07,-0.3,-0.8249,0,36.27,-0.14,-0.3845,0,35.93,-0.3,-0.828,0,36.21,-0.07,-0.1929,0,482866,36.2967,-0.0177,-0.0487,0,36.2823,-0.0181,-0.0499,0,0.4894,0,0.1928,1,0.0015,0,-0.0051,1,0.0067,0,11.4345,1,46.7303,0,51.8519,0,72.9658,0,16836.6766,0,0.14,0.34,1,1,9
2021-03-23 10:30:00,36.19,0.12,0.3327,1,36.22,-0.05,-0.1379,0,36.08,0.15,0.4175,1,36.22,0.01,0.0276,1,283159,36.29,-0.0067,-0.0185,0,36.2699,-0.0124,-0.0342,0,0.5158,1,0.1891,0,-0.0033,0,-0.0048,1,0.0015,0,12.2783,1,47.243,1,53.7037,1,61.3215,0,16914.8757,1,0.03,0.14,1,1,10
2021-03-24 09:30:00,36.34,0.15,0.4145,1,36.85,0.63,1.7394,1,36.27,0.19,0.5266,1,36.78,0.56,1.5461,1,834674,36.3489,0.0589,0.1623,1,36.3719,0.102,0.2812,1,1.1947,1,0.2206,1,0.0376,1,0.0037,1,0.0339,1,13.0115,1,66.6186,1,92.3913,1,65.9823,1,29819.8299,1,0.44,0.58,1,2,9
2021-03-24 10:30:00,36.78,0.44,1.2108,1,37.03,0.18,0.4885,1,36.76,0.49,1.351,1,36.96,0.18,0.4894,1,766435,36.4244,0.0755,0.2077,1,36.4895,0.1176,0.3233,1,1.1896,0,0.2241,1,0.0837,1,0.0197,1,0.0639,1,14.26,1,70.3837,1,93.6364,1,79.9105,1,33570.7353,1,0.18,0.27,1,2,10
2021-03-24 11:30:00,36.96,0.18,0.4894,1,37.02,-0.01,-0.027,0,36.87,0.11,0.2992,1,37.0,0.04,0.1082,1,419715,36.4989,0.0745,0.2045,1,36.5916,0.1021,0.2798,1,1.1048,0,0.2188,0,0.1219,1,0.0402,1,0.0818,1,15.4193,1,71.1621,1,97.2727,1,94.4335,1,34024.9723,1,0.04,0.15,1,2,11
2021-03-24 12:30:00,37.0,0.04,0.1082,1,37.05,0.03,0.081,1,36.87,0.0,0.0,0,36.88,-0.12,-0.3243,0,364546,36.5589,0.06,0.1644,1,36.6493,0.0577,0.1577,1,0.9503,0,0.216,0,0.141,1,0.0603,1,0.0806,0,16.5923,1,65.5924,0,84.8214,0,91.9102,0,32842.661,0,-0.12,0.18,0,2,12
2021-03-24 13:30:00,36.88,-0.12,-0.3243,0,36.94,-0.11,-0.2969,0,36.76,-0.11,-0.2983,0,36.84,-0.04,-0.1085,0,484353,36.6156,0.0567,0.1551,1,36.6874,0.0381,0.104,1,0.8719,0,0.2135,0,0.1511,1,0.0785,1,0.0726,0,17.01,1,63.7998,0,81.25,0,87.7814,0,32317.3323,0,-0.04,0.18,0,2,13
2021-03-24 14:30:00,36.83,-0.05,-0.1356,0,36.87,-0.07,-0.1895,0,36.75,-0.01,-0.0272,0,36.85,0.01,0.0271,1,592385,36.6689,0.0533,0.1456,1,36.7199,0.0325,0.0886,1,0.8415,0,0.2068,0,0.1581,1,0.0944,1,0.0637,0,17.3373,1,64.0642,1,82.1429,1,82.7381,0,32478.1317,1,0.02,0.12,1,2,14
