datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 11:30:00,62.22,0.15,0.1,0.2417,0.161,1,1,0.75,62.44,62.1,62.36,61.9933,0.0028,62.2287,0.0036,0.3625,35.9595,65.0676,1,1,0.14,0.34,1,0,11
2021-03-15 12:30:00,62.37,0.15,0.38,0.2411,0.613,1,1,0.875,62.46,62.29,62.44,62.0433,0.0056,62.271,0.0047,0.403,37.7771,63.1865,1,1,0.07,0.17,1,0,12
2021-03-15 13:30:00,62.44,0.07,0.45,0.1122,0.7259,1,1,0.875,62.92,62.43,62.9,62.1433,0.0111,62.3968,0.014,0.5643,47.0782,59.903,1,1,0.46,0.49,1,0,13
2021-03-15 14:30:00,62.89,0.45,0.93,0.7207,1.501,1,1,0.875,63.02,62.83,62.95,62.2522,0.0121,62.5074,0.0123,0.6023,47.9882,56.5607,1,1,0.06,0.19,1,0,14
2021-03-15 15:30:00,62.96,0.07,1.03,0.1113,1.6632,1,1,0.875,63.17,62.88,63.07,62.3778,0.014,62.6199,0.0125,0.6635,50.2016,53.0243,1,1,0.11,0.29,1,0,15
2021-03-16 09:30:00,63.29,0.33,1.47,0.5241,2.3779,1,1,0.875,63.69,63.17,63.65,62.58,0.0225,62.826,0.0229,0.8625,59.232,50.0074,1,1,0.36,0.52,1,1,9
2021-03-16 10:30:00,63.64,0.35,1.34,0.553,2.1509,1,1,0.875,64.1,63.49,63.88,62.8378,0.0286,63.0368,0.0234,0.9296,62.1622,47.996,1,1,0.24,0.61,1,1,10
2021-03-16 11:30:00,63.88,0.24,1.81,0.3771,2.9161,1,1,0.875,63.99,63.73,63.81,63.0322,0.0216,63.1914,0.0172,0.9099,60.7315,46.1283,1,1,-0.07,0.26,0,1,11
2021-03-16 12:30:00,63.81,-0.07,1.59,-0.1096,2.5554,0,1,0.75,64.07,63.66,63.94,63.2222,0.0211,63.3411,0.0166,0.9303,62.4595,44.5462,1,1,0.13,0.41,1,1,12
2021-03-16 13:30:00,63.94,0.13,1.57,0.2037,2.5172,1,1,0.875,63.94,63.69,63.81,63.3833,0.0179,63.4349,0.0104,0.8651,59.6335,43.0772,1,1,-0.13,0.25,0,1,13
2021-03-16 14:30:00,63.81,-0.13,1.37,-0.2033,2.1941,0,1,0.5,64.05,63.73,63.94,63.55,0.0185,63.5359,0.0112,0.8722,61.509,41.9396,1,1,0.13,0.32,1,1,14
2021-03-16 15:30:00,63.94,0.13,1.05,0.2037,1.6696,1,1,0.75,64.2,63.92,64.01,63.6733,0.0137,63.6307,0.0105,0.8504,62.5189,41.1834,1,1,0.07,0.28,1,1,15
2021-03-17 09:30:00,63.97,0.03,1.01,0.0469,1.6042,1,1,0.875,64.03,63.45,63.88,63.7767,0.0115,63.6806,0.0055,0.7819,59.4019,38.9522,1,1,-0.09,0.58,0,2,9
2021-03-17 10:30:00,63.88,-0.09,0.59,-0.1407,0.9322,0,1,0.375,64.32,63.8,64.28,63.9111,0.0149,63.8005,0.0133,0.8558,65.158,37.5089,1,1,0.4,0.52,1,2,10
2021-03-17 11:30:00,64.28,0.4,0.64,0.6262,1.0057,1,1,0.875,64.36,64.05,64.21,63.9733,0.0069,63.8824,0.0091,0.8038,63.4622,36.2517,1,1,-0.07,0.31,0,2,11
