datetime,open,open change,open change (%),open trend,high,high change,high change (%),high trend,low,low change,low change (%),low trend,close,close change,close change (%),close trend,volume,sma,sma change,sma change (%),sma trend,ema,ema change,ema change (%),ema trend,percent_b,percent_b trend,atr,atr trend,macd,macd trend,macd_signal,macd_signal trend,macd_hist,macd_hist trend,adx,adx trend,rsi,rsi trend,%K,%K trend,%D,%D trend,vpt,vpt trend,price movement,price range,price trend,day,hour
2021-03-16 10:30:00,2110.0,36.5,1.7603,1,2123.56,13.72,0.6503,1,2107.6,34.1,1.6446,1,2113.58,3.74,0.1773,1,212041,2065.8133,5.74,0.2786,1,2077.3223,9.0645,0.4383,1,0.8472,1,17.6077,0,4.0409,1,-0.3535,1,4.3944,1,12.1654,1,67.731,1,87.4859,0,77.7006,1,2243.2496,1,3.58,15.96,1,1,10
2021-03-16 11:30:00,2115.78,5.78,0.2739,1,2118.71,-4.85,-0.2284,0,2096.39,-11.21,-0.5319,0,2099.55,-14.03,-0.6638,0,164147,2071.4578,5.6445,0.2732,1,2081.7678,4.4455,0.214,1,0.7406,0,17.9443,1,5.7434,1,0.8659,1,4.8775,1,13.5295,1,60.759,0,69.8934,0,85.7931,1,1153.6374,0,-16.23,22.32,0,1,11
2021-03-16 12:30:00,2099.61,-16.17,-0.7643,0,2104.0,-14.71,-0.6943,0,2096.0,-0.39,-0.0186,0,2098.8,-0.75,-0.0357,0,124648,2077.0667,5.6089,0.2708,1,2085.1742,3.4064,0.1636,1,0.7634,1,17.2339,0,6.952,1,2.0831,1,4.8689,0,14.768,1,60.4011,0,68.953,0,75.4441,0,1109.1107,0,-0.81,8.0,0,1,12
2021-03-16 13:30:00,2097.0,-2.61,-0.1243,0,2097.0,-7.0,-0.3327,0,2085.06,-10.94,-0.5219,0,2086.5,-12.3,-0.586,0,93130,2081.2078,4.1411,0.1994,1,2085.4394,0.2652,0.0127,1,0.6709,0,16.9844,0,6.8385,0,3.0342,1,3.8043,0,15.1383,1,54.709,0,53.5298,0,64.1254,0,563.3232,0,-10.5,11.94,0,1,13
2021-03-16 14:30:00,2084.92,-12.08,-0.5761,0,2098.49,1.49,0.0711,1,2084.92,-0.14,-0.0067,0,2097.41,10.91,0.5229,1,143919,2086.5833,5.3755,0.2583,1,2087.8335,2.3941,0.1148,1,0.8185,1,16.7405,0,7.542,1,3.9357,1,3.6062,0,15.5513,1,58.4493,1,67.21,1,63.2309,0,1315.8543,1,12.49,13.57,1,1,14
2021-03-16 15:30:00,2098.08,13.16,0.6312,1,2104.12,5.63,0.2683,1,2088.95,4.03,0.1933,1,2093.05,-4.36,-0.2079,0,193008,2090.5789,3.9956,0.1915,1,2088.8768,1.0433,0.05,1,0.7429,0,16.6283,0,7.6593,1,4.6805,1,2.9789,0,16.1995,1,56.4432,0,61.7429,0,60.8276,0,914.6381,0,-5.03,15.17,0,1,15
2021-03-17 09:30:00,2076.03,-22.05,-1.051,0,2085.98,-18.14,-0.8621,0,2067.55,-21.4,-1.0244,0,2077.52,-15.53,-0.742,0,267974,2093.4589,2.88,0.1378,1,2086.6054,-2.2714,-0.1087,0,0.5552,0,17.262,1,6.4252,0,5.0294,1,1.3958,0,15.3683,0,49.8765,0,42.2696,0,57.0742,0,-1073.6738,0,1.49,18.43,1,2,9
2021-03-17 10:30:00,2076.33,0.3,0.0145,1,2080.46,-5.52,-0.2646,0,2060.85,-6.7,-0.3241,0,2062.0,-15.52,-0.747,0,168496,2093.1389,-0.32,-0.0153,0,2081.6844,-4.921,-0.2358,0,0.3806,0,17.4297,1,4.1469,0,4.8529,0,-0.706,0,14.3292,0,44.3264,0,22.8088,0,42.2738,0,-2332.414,0,-14.33,19.61,0,2,10
2021-03-17 11:30:00,2060.86,-15.47,-0.7451,0,2066.36,-14.1,-0.6777,0,2054.12,-6.73,-0.3266,0,2065.48,3.48,0.1688,1,110162,2088.21,-4.9289,-0.2355,0,2078.4435,-3.2409,-0.1557,0,0.4201,1,17.059,0,2.5923,0,4.4008,0,-1.8085,0,13.7381,0,45.7833,1,25.975,1,30.3511,0,-2146.4956,1,4.62,12.24,1,2,11
2021-03-17 12:30:00,2065.51,4.65,0.2256,1,2069.33,2.97,0.1437,1,2056.0,1.88,0.0915,1,2064.59,-0.89,-0.0431,0,72527,2082.7667,-5.4433,-0.2607,0,2075.6728,-2.7707,-0.1333,0,0.4031,0,16.7927,0,1.2738,0,3.7754,0,-2.5016,0,13.0039,0,45.4557,0,24.8407,0,24.5415,0,-2177.7469,0,-0.92,13.33,0,2,12
2021-03-17 13:30:00,2065.53,0.02,0.001,1,2089.28,19.95,0.9641,1,2063.66,7.66,0.3726,1,2079.66,15.07,0.7299,1,117233,2080.5567,-2.21,-0.1061,0,2076.4702,0.7974,0.0384,1,0.5671,1,17.4232,1,1.4284,1,3.306,0,-1.8776,1,12.939,0,51.7512,1,40.6436,1,30.4864,1,-1322.0316,1,14.13,25.62,1,2,13
2021-03-17 14:30:00,2078.5,12.97,0.6279,1,2109.78,20.5,0.9812,1,2077.66,14.0,0.6784,1,2100.81,21.15,1.017,1,176973,2080.78,0.2233,0.0107,1,2081.3382,4.868,0.2344,1,0.7846,1,18.473,1,3.2205,1,3.2889,0,-0.0684,1,13.7743,1,58.9179,1,69.2401,1,44.9081,1,477.7717,1,22.31,32.12,1,2,14
2021-03-17 15:30:00,2100.48,21.98,1.0575,1,2102.32,-7.46,-0.3536,0,2082.88,5.22,0.2512,1,2092.03,-8.78,-0.4179,0,188998,2081.3944,0.6144,0.0295,1,2083.4765,2.1383,0.1027,1,0.6646,0,18.542,1,3.8874,1,3.4086,1,0.4788,1,14.5499,1,55.2491,0,54.5939,0,54.8259,1,-312.1152,0,-8.45,19.44,0,2,15
2021-03-18 09:30:00,2057.96,-42.52,-2.0243,0,2075.5,-26.82,-1.2757,0,2055.93,-26.95,-1.2939,0,2071.22,-20.81,-0.9947,0,234917,2078.4844,-2.91,-0.1398,0,2081.0252,-2.4513,-0.1177,0,0.4013,0,19.7962,1,2.7055,0,3.268,0,-0.5624,0,13.6799,0,47.672,0,24.6256,0,49.4865,0,-2648.8995,0,13.26,19.57,1,3,9
2021-03-18 10:30:00,2069.01,11.05,0.5369,1,2074.21,-1.29,-0.0622,0,2063.26,7.33,0.3565,1,2069.69,-1.53,-0.0739,0,110543,2075.8889,-2.5955,-0.1249,0,2078.7582,-2.267,-0.1089,0,0.3625,0,19.1643,0,1.6267,0,2.9397,0,-1.313,0,12.8721,0,47.1599,0,24.1059,0,34.4418,0,-2730.5571,0,0.68,10.95,1,3,10
2021-03-18 11:30:00,2069.68,0.67,0.0324,1,2069.68,-4.53,-0.2184,0,2060.0,-3.26,-0.158,0,2066.03,-3.66,-0.1768,0,108449,2074.6122,-1.2767,-0.0615,0,2076.2126,-2.5456,-0.1225,0,0.2921,0,18.4876,0,0.471,0,2.446,0,-1.975,0,11.9621,0,45.8899,0,21.3978,0,23.3764,0,-2922.3362,0,-3.65,9.68,0,3,11
2021-03-18 12:30:00,2066.15,-3.53,-0.1706,0,2066.55,-3.13,-0.1512,0,2054.21,-5.79,-0.2811,0,2065.28,-0.75,-0.0363,0,114017,2074.9767,0.3645,0.0176,1,2074.026,-2.1866,-0.1053,0,0.2703,0,18.0485,0,-0.4997,0,1.8568,0,-2.3566,0,11.4358,0,45.6188,0,20.0503,0,21.8513,0,-2963.7261,0,-0.87,12.34,0,3,12
2021-03-18 13:30:00,2065.28,-0.87,-0.0421,0,2071.76,5.21,0.2521,1,2056.85,2.64,0.1285,1,2057.19,-8.09,-0.3917,0,102629,2074.0556,-0.9211,-0.0444,0,2070.6588,-3.3672,-0.1624,0,0.1427,0,17.8243,0,-1.8999,0,1.1055,0,-3.0054,0,10.6371,0,42.6893,0,5.5156,0,15.6546,0,-3365.7387,0,-8.09,14.91,0,3,13
2021-03-18 14:30:00,2056.79,-8.49,-0.4111,0,2057.99,-13.77,-0.6647,0,2040.0,-16.85,-0.8192,0,2048.44,-8.75,-0.4253,0,195486,2072.2611,-1.7945,-0.0865,0,2066.2151,-4.4437,-0.2146,0,0.0568,0,17.8361,1,-3.6732,0,0.1497,0,-3.823,0,10.795,1,39.7184,0,12.0952,1,12.5537,0,-4197.2139,0,-8.35,17.99,0,3,14
2021-03-18 15:30:00,2048.63,-8.16,-0.3967,0,2048.63,-9.36,-0.4548,0,2033.55,-6.45,-0.3162,0,2036.22,-12.22,-0.5966,0,250656,2067.4344,-4.8267,-0.2329,0,2060.2161,-5.999,-0.2903,0,-0.0258,0,17.6393,0,-5.9956,0,-1.0793,0,-4.9163,0,11.2497,1,35.9551,0,3.5026,0,7.0378,0,-5692.5061,0,-12.41,15.08,0,3,15
2021-03-19 09:30:00,2043.25,-5.38,-0.2626,0,2043.89,-4.74,-0.2314,0,2017.68,-15.87,-0.7804,0,2034.17,-2.05,-0.1007,0,432709,2060.03,-7.4044,-0.3581,0,2055.0068,-5.2093,-0.2529,0,0.0059,1,18.2515,1,-7.9103,0,-2.4455,0,-5.4648,0,12.3577,1,35.35,0,17.9045,1,11.1674,1,-6128.1434,0,-9.08,26.21,0,4,9
2021-03-19 10:30:00,2034.17,-9.08,-0.4444,0,2047.8,3.91,0.1913,1,2026.41,8.73,0.4327,1,2033.99,-0.18,-0.0088,0,133765,2053.5811,-6.4489,-0.313,0,2050.8035,-4.2033,-0.2045,0,0.0626,1,18.4756,1,-9.3346,0,-3.8233,0,-5.5113,0,13.1164,1,35.2938,0,17.709,0,13.0387,1,-6139.98,0,-0.18,21.39,0,4,10
2021-03-19 11:30:00,2037.92,3.75,0.1844,1,2048.49,0.69,0.0337,1,2037.58,11.17,0.5512,1,2043.87,9.88,0.4857,1,97775,2050.5422,-3.0389,-0.148,0,2049.4168,-1.3867,-0.0676,0,0.2108,1,18.1917,0,-9.556,0,-4.9699,0,-4.5862,1,13.7714,1,40.8493,1,28.4365,1,21.35,1,-5665.0431,1,5.95,10.91,1,4,11
2021-03-19 12:30:00,2045.5,7.58,0.3719,1,2050.04,1.55,0.0757,1,2040.58,3.0,0.1472,1,2049.5,5.63,0.2755,1,95484,2048.2989,-2.2433,-0.1094,0,2049.4334,0.0166,0.0008,1,0.3018,1,17.568,0,-9.1715,1,-5.8102,0,-3.3613,1,14.2621,1,43.8098,1,34.5494,1,26.8983,1,-5402.0249,1,4.0,9.46,1,4,12
2021-03-19 13:30:00,2049.01,3.51,0.1716,1,2052.11,2.07,0.101,1,2043.24,2.66,0.1304,1,2048.07,-1.43,-0.0698,0,100703,2046.3033,-1.9956,-0.0974,0,2049.1607,-0.2727,-0.0133,0,0.3042,1,16.9467,0,-8.8797,1,-6.4241,0,-2.4556,1,14.5542,1,43.2181,0,32.9967,0,31.9942,1,-5472.2886,0,-0.94,8.87,0,4,13
2021-03-19 14:30:00,2048.75,-0.26,-0.0127,0,2052.78,0.67,0.0326,1,2045.0,1.76,0.0861,1,2049.48,1.41,0.0688,1,140445,2044.5478,-1.7555,-0.0858,0,2049.2246,0.0639,0.0031,1,0.3422,1,16.2919,0,-8.4375,1,-6.8268,0,-1.6107,1,14.7698,1,44.0209,1,37.5709,1,35.039,1,-5375.5988,1,0.73,7.78,1,4,14
