datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 15:30:00,19.1,0.0,0.26,0.0,1.38,0,1,0.75,19.16,19.1,19.14,18.9878,0.0037,19.018,0.0034,0.8429,68.2678,42.7242,1,1,0.04,0.06,1,0,15
2021-03-16 09:30:00,19.19,0.09,0.36,0.4712,1.9118,1,1,0.875,19.35,19.16,19.34,19.0444,0.0063,19.0824,0.0072,1.0968,75.6966,44.1891,1,1,0.15,0.19,1,1,9
2021-03-16 10:30:00,19.35,0.16,0.44,0.8338,2.3268,1,1,0.875,19.37,19.28,19.3,19.0878,0.0048,19.1259,0.0048,0.9606,72.0629,45.6193,1,1,-0.05,0.09,0,1,10
2021-03-16 11:30:00,19.3,-0.05,0.34,-0.2584,1.7932,0,1,0.75,19.35,19.3,19.32,19.1289,0.0046,19.1647,0.0043,0.943,72.7668,46.9473,1,1,0.02,0.05,1,1,11
2021-03-16 12:30:00,19.32,0.02,0.42,0.1036,2.2222,1,1,0.75,19.37,19.31,19.34,19.1778,0.0054,19.1998,0.0039,0.9198,73.4863,48.2571,1,1,0.02,0.06,1,1,12
2021-03-16 13:30:00,19.34,0.02,0.38,0.1035,2.0042,1,1,0.75,19.37,19.28,19.3,19.2156,0.0042,19.2198,0.0022,0.8436,69.53,48.9281,1,1,-0.04,0.09,0,1,13
2021-03-16 14:30:00,19.29,-0.05,0.28,-0.2585,1.4729,0,1,0.375,19.33,19.25,19.31,19.25,0.0038,19.2379,0.002,0.8258,69.9654,49.0177,1,1,0.02,0.08,1,1,14
2021-03-16 15:30:00,19.32,0.03,0.22,0.1555,1.1518,1,1,0.5,19.35,19.3,19.32,19.2744,0.0027,19.2543,0.0018,0.806,70.4205,49.218,1,1,0.0,0.05,0,1,15
2021-03-17 09:30:00,19.18,-0.14,0.08,-0.7246,0.4188,0,1,0.0,19.18,18.85,19.0,19.2633,-0.0012,19.2034,-0.0057,0.3998,46.2622,46.8107,0,0,-0.18,0.33,0,2,9
2021-03-17 10:30:00,19.0,-0.18,-0.19,-0.9385,-0.9901,0,0,0.0,19.05,18.93,18.97,19.2444,-0.0021,19.1568,-0.0052,0.3477,44.7135,44.5754,0,0,-0.03,0.12,0,2,10
2021-03-17 11:30:00,18.97,-0.03,-0.38,-0.1579,-1.9638,0,0,0.0,18.99,18.91,18.97,19.2033,-0.0046,19.1194,-0.0042,0.3266,44.7135,42.6347,0,0,0.0,0.08,0,2,11
2021-03-17 12:30:00,18.97,0.0,-0.33,0.0,-1.7098,0,0,0.0,18.99,18.91,18.98,19.1678,-0.004,19.0915,-0.0031,0.3235,45.4199,40.8325,0,0,0.01,0.08,1,2,12
2021-03-17 13:30:00,18.98,0.01,-0.34,0.0527,-1.7598,1,0,0.25,19.12,18.93,19.02,19.1344,-0.0037,19.0772,-0.0016,0.3592,48.267,37.9499,0,0,0.04,0.19,1,2,13
2021-03-17 14:30:00,19.01,0.03,-0.33,0.1581,-1.7063,1,0,0.5,19.19,19.0,19.1,19.1078,-0.003,19.0818,0.0005,0.4663,53.4924,35.759,0,1,0.09,0.19,1,2,14
2021-03-17 15:30:00,19.1,0.09,-0.19,0.4734,-0.985,1,0,0.625,19.15,19.06,19.1,19.0856,-0.0025,19.0854,0.0004,0.4528,53.4924,33.7246,1,1,0.0,0.09,0,2,15
2021-03-18 09:30:00,18.66,-0.44,-0.66,-2.3037,-3.4161,0,0,0.0,18.68,18.5,18.67,19.0144,-0.0079,19.0023,-0.0092,-0.1393,32.8246,33.993,0,0,0.01,0.18,1,3,9
2021-03-18 10:30:00,18.67,0.01,-0.51,0.0536,-2.659,1,0,0.125,18.67,18.56,18.64,18.9389,-0.0084,18.9299,-0.0081,-0.0731,31.8986,34.2422,0,0,-0.03,0.11,0,3,10
2021-03-18 11:30:00,18.64,-0.03,-0.36,-0.1607,-1.8947,0,0,0.0,18.67,18.61,18.66,18.9011,-0.0042,18.8759,-0.006,0.0229,33.2505,34.4736,0,0,0.02,0.06,1,3,11
2021-03-18 12:30:00,18.66,0.02,-0.31,0.1073,-1.6342,1,0,0.125,18.67,18.58,18.67,18.8678,-0.0037,18.8347,-0.0046,0.0906,33.9564,34.8097,0,0,0.01,0.09,1,3,12
2021-03-18 13:30:00,18.66,0.0,-0.31,0.0,-1.6342,0,0,0.125,18.73,18.6,18.6,18.8267,-0.0046,18.7878,-0.0052,0.0789,31.449,34.5724,0,0,-0.06,0.13,0,3,13
2021-03-18 14:30:00,18.6,-0.06,-0.38,-0.3215,-2.0021,0,0,0.0,18.6,18.43,18.45,18.7678,-0.0065,18.7202,-0.0075,0.0201,26.8702,35.0583,0,0,-0.15,0.17,0,3,14
2021-03-18 15:30:00,18.45,-0.15,-0.56,-0.8065,-2.9458,0,0,0.0,18.45,18.35,18.39,18.6978,-0.0078,18.6542,-0.0073,0.0385,25.2845,35.7947,0,0,-0.06,0.1,0,3,15
2021-03-19 09:30:00,18.61,0.16,-0.49,0.8672,-2.5654,1,0,0.25,18.62,18.39,18.58,18.64,-0.0064,18.6393,-0.0016,0.2227,37.8024,35.0778,0,0,-0.03,0.23,0,4,9
2021-03-19 10:30:00,18.58,-0.03,-0.08,-0.1612,-0.4287,0,0,0.125,18.71,18.55,18.66,18.5911,-0.0054,18.6435,0.0005,0.309,42.1939,33.7705,1,1,0.08,0.16,1,4,10
2021-03-19 11:30:00,18.65,0.07,-0.02,0.3767,-0.1071,1,0,0.625,18.77,18.64,18.73,18.5978,0.0007,18.6608,0.0019,0.3872,45.8,32.1498,1,1,0.08,0.13,1,4,11
2021-03-19 12:30:00,18.73,0.08,0.09,0.429,0.4828,1,1,0.875,18.76,18.69,18.73,18.6078,0.0011,18.6746,0.0015,0.4066,45.8,30.6449,1,1,0.0,0.07,0,4,12
2021-03-19 13:30:00,18.73,0.0,0.07,0.0,0.3751,0,1,0.75,18.75,18.67,18.69,18.6111,0.0004,18.6777,0.0003,0.3879,43.9817,29.365,1,1,-0.04,0.08,0,4,13
2021-03-19 14:30:00,18.7,-0.03,0.04,-0.1602,0.2144,0,1,0.625,18.75,18.67,18.69,18.6133,0.0002,18.6802,0.0003,0.4088,43.9817,28.1765,1,1,-0.01,0.08,0,4,14
2021-03-19 15:30:00,18.69,-0.01,0.09,-0.0535,0.4839,0,1,0.5,18.79,18.69,18.75,18.63,0.0019,18.6941,0.0016,0.4969,47.6007,26.7415,1,1,0.06,0.1,1,4,15
2021-03-22 09:30:00,18.94,0.25,0.49,1.3376,2.6558,1,1,0.875,19.02,18.8,19.0,18.6911,0.0068,18.7553,0.0068,0.8072,59.3768,25.8219,1,1,0.06,0.22,1,0,9
2021-03-22 10:30:00,19.01,0.07,0.4,0.3696,2.1494,1,1,0.875,19.06,18.98,19.06,18.7656,0.0083,18.8162,0.0068,0.866,61.6069,25.1934,1,1,0.05,0.08,1,0,10
2021-03-22 11:30:00,19.06,0.05,0.48,0.263,2.5834,1,1,0.875,19.15,19.05,19.15,18.8289,0.007,18.883,0.0074,0.9391,64.7343,25.0932,1,1,0.09,0.1,1,0,11
2021-03-22 12:30:00,19.15,0.09,0.5,0.4722,2.681,1,1,0.875,19.16,19.1,19.12,18.88,0.0057,18.9304,0.0053,0.887,62.8952,25.0528,1,1,-0.03,0.06,0,0,12
2021-03-22 13:30:00,19.12,-0.03,0.39,-0.1567,2.0822,0,1,0.75,19.17,19.12,19.16,18.9278,0.0053,18.9763,0.0051,0.9193,64.3495,25.0708,1,1,0.04,0.05,1,0,13
2021-03-22 14:30:00,19.16,0.04,0.43,0.2092,2.2958,1,1,0.875,19.18,19.15,19.15,18.9744,0.0052,19.0111,0.0039,0.8992,63.6775,25.146,1,1,-0.01,0.03,0,0,14
2021-03-22 15:30:00,19.15,-0.01,0.45,-0.0522,2.4064,0,1,0.625,19.17,19.05,19.08,19.0178,0.0048,19.0248,0.0015,0.7927,59.0307,24.2639,1,1,-0.07,0.12,0,0,15
2021-03-23 09:30:00,18.92,-0.23,0.23,-1.201,1.2306,0,1,0.0,18.93,18.75,18.77,19.0267,0.001,18.9739,-0.0057,0.4638,43.7902,23.6672,0,0,-0.15,0.18,0,1,9
2021-03-23 10:30:00,18.77,-0.15,-0.17,-0.7928,-0.8976,0,0,0.0,18.86,18.7,18.85,19.0378,0.0012,18.9491,-0.0028,0.5381,47.5534,23.3755,0,0,0.08,0.16,1,1,10
2021-03-23 11:30:00,18.85,0.08,-0.16,0.4262,-0.8417,1,0,0.125,18.87,18.8,18.82,19.0178,-0.0022,18.9233,-0.0029,0.4984,46.3015,23.0251,0,0,-0.03,0.07,0,1,11
2021-03-23 12:30:00,18.82,-0.03,-0.24,-0.1592,-1.2592,0,0,0.125,18.87,18.8,18.84,18.9933,-0.0027,18.9066,-0.0019,0.5071,47.2976,22.6997,0,0,0.02,0.07,1,1,12
2021-03-23 13:30:00,18.84,0.02,-0.31,0.1063,-1.6188,1,0,0.25,18.86,18.81,18.84,18.9589,-0.0038,18.8933,-0.0015,0.4846,47.2976,22.3975,0,0,0.0,0.05,0,1,13
2021-03-23 14:30:00,18.84,0.0,-0.28,0.0,-1.4644,0,0,0.25,18.84,18.75,18.75,18.9178,-0.0046,18.8646,-0.0032,0.3355,43.1229,22.4971,0,0,-0.09,0.09,0,1,14
2021-03-23 15:30:00,18.75,-0.09,-0.41,-0.4777,-2.1399,0,0,0.0,18.77,18.71,18.71,18.8678,-0.0056,18.8337,-0.0034,0.2615,41.375,22.8334,0,0,-0.04,0.06,0,1,15
2021-03-24 09:30:00,18.77,0.02,-0.38,0.1067,-1.9843,1,0,0.125,18.78,18.61,18.62,18.8089,-0.0065,18.791,-0.0047,0.1417,37.6748,23.705,0,0,-0.15,0.17,0,2,9
