datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 15:30:00,63.33,-0.03,0.49,-0.0473,0.7798,0,1,0.625,63.88,63.32,63.79,62.9933,0.0117,63.1415,0.018,0.9508,66.0442,35.2646,1,1,0.46,0.56,1,0,15
2021-03-16 09:30:00,64.15,0.82,1.37,1.2948,2.1822,1,1,0.875,65.67,64.09,65.6,63.3089,0.0351,63.6332,0.0546,1.3834,79.8958,37.9981,1,1,1.45,1.58,1,1,9
2021-03-16 10:30:00,65.61,1.46,2.0,2.2759,3.1442,1,1,0.875,65.73,65.24,65.45,63.5956,0.0319,63.9966,0.0404,1.155,77.0892,40.5622,1,1,-0.16,0.49,0,1,10
2021-03-16 11:30:00,65.45,-0.16,2.89,-0.2439,4.6196,0,1,0.75,65.59,64.98,65.1,63.8778,0.0314,64.2173,0.0245,0.9754,70.8364,42.1973,1,1,-0.35,0.61,0,1,11
2021-03-16 12:30:00,65.1,-0.35,2.44,-0.5348,3.894,0,1,0.625,65.54,65.09,65.28,64.17,0.0325,64.4298,0.0236,0.9532,72.0902,43.7155,1,1,0.18,0.45,1,1,12
2021-03-16 13:30:00,65.28,0.18,2.59,0.2765,4.1314,1,1,0.625,65.29,64.63,64.64,64.3856,0.024,64.4718,0.0047,0.7728,61.9004,43.8445,1,1,-0.64,0.66,0,1,13
2021-03-16 14:30:00,64.64,-0.64,1.71,-0.9804,2.7173,0,1,0.375,64.86,64.47,64.77,64.59,0.0227,64.5315,0.0066,0.7771,63.0431,43.5541,1,1,0.13,0.39,1,1,14
2021-03-16 15:30:00,64.79,0.15,1.43,0.2321,2.2569,1,1,0.375,65.04,64.7,64.78,64.7489,0.0177,64.5812,0.0055,0.753,63.1347,43.4807,1,1,-0.01,0.34,0,1,15
2021-03-17 09:30:00,64.09,-0.7,0.76,-1.0804,1.2001,0,1,0.0,64.6,63.71,64.48,64.8767,0.0142,64.5609,-0.0022,0.6664,58.4541,41.2462,0,0,0.39,0.89,1,2,9
2021-03-17 10:30:00,64.48,0.39,0.33,0.6085,0.5144,1,1,0.125,64.55,63.96,64.14,64.9156,0.0043,64.4768,-0.0094,0.5728,53.6038,39.1713,0,0,-0.34,0.59,0,2,10
2021-03-17 11:30:00,64.15,-0.33,-1.46,-0.5118,-2.2253,0,0,0.125,66.29,63.87,65.47,64.9011,-0.0016,64.6754,0.0221,0.8462,65.621,39.142,1,1,1.32,2.42,1,2,11
2021-03-17 12:30:00,65.48,1.33,0.03,2.0733,0.0458,1,1,0.875,65.5,64.79,65.14,64.8667,-0.0038,64.7683,0.0103,0.7442,61.3734,39.1147,1,1,-0.34,0.71,0,2,12
2021-03-17 13:30:00,65.15,-0.33,0.05,-0.504,0.0768,0,1,0.625,65.71,64.81,65.25,64.8833,0.0019,64.8647,0.0107,0.7447,62.2505,39.2671,1,1,0.1,0.9,1,2,13
2021-03-17 14:30:00,65.25,0.1,-0.03,0.1535,-0.046,1,0,0.75,66.08,65.15,65.94,64.9567,0.0081,65.0797,0.0239,0.8658,67.2712,39.709,1,1,0.69,0.93,1,2,14
2021-03-17 15:30:00,65.95,0.7,1.31,1.0728,2.0266,1,1,0.875,66.0,65.62,65.78,65.0833,0.0141,65.2198,0.0156,0.8031,65.1088,40.1193,1,1,-0.17,0.38,0,2,15
2021-03-18 09:30:00,65.63,-0.32,0.84,-0.4852,1.2965,0,1,0.75,65.7,64.75,64.84,65.0911,0.0009,65.1438,-0.0084,0.5538,54.1049,38.8037,0,0,-0.79,0.95,0,3,9
2021-03-18 10:30:00,64.83,-0.8,0.74,-1.219,1.1546,0,1,0.25,65.01,64.67,64.97,65.1122,0.0023,65.1091,-0.0039,0.5659,55.2317,37.4438,0,0,0.14,0.34,1,3,10
2021-03-18 11:30:00,64.84,0.01,0.36,0.0154,0.5583,1,1,0.25,65.45,64.68,65.4,65.2144,0.0114,65.1672,0.0065,0.6808,58.8324,36.6746,1,1,0.56,0.77,1,3,11
2021-03-18 12:30:00,65.4,0.56,1.25,0.8637,1.9486,1,1,0.5,65.47,64.76,65.11,65.3222,0.012,65.1558,-0.0013,0.5577,55.5854,35.9824,0,0,-0.29,0.71,0,3,12
2021-03-18 13:30:00,65.1,-0.3,-0.38,-0.4587,-0.5803,0,0,0.25,65.16,64.54,64.57,65.2222,-0.0111,65.0386,-0.013,0.2835,50.0465,34.9099,0,0,-0.53,0.62,0,3,13
2021-03-18 14:30:00,64.58,-0.52,-0.57,-0.7988,-0.8749,0,0,0.0,64.64,63.94,64.24,65.1222,-0.0111,64.8789,-0.0177,0.0792,46.9665,32.8584,0,0,-0.34,0.7,0,3,14
2021-03-18 15:30:00,64.25,-0.33,-1.0,-0.511,-1.5326,0,0,0.0,64.28,63.65,63.72,64.9522,-0.0189,64.6471,-0.0258,-0.0686,42.5253,30.5228,0,0,-0.53,0.63,0,3,15
2021-03-19 09:30:00,63.18,-1.07,-2.77,-1.6654,-4.2002,0,0,0.0,63.92,62.92,63.79,64.7133,-0.0265,64.4757,-0.019,0.0385,43.3025,29.3486,0,0,0.61,1.0,1,4,9
2021-03-19 10:30:00,63.79,0.61,-1.84,0.9655,-2.8036,1,0,0.125,64.27,63.27,64.06,64.5222,-0.0212,64.3926,-0.0092,0.1883,46.318,27.7109,0,0,0.27,1.0,1,4,10
2021-03-19 11:30:00,64.06,0.27,-0.77,0.4233,-1.1877,1,0,0.25,64.79,64.03,64.63,64.4989,-0.0026,64.44,0.0053,0.435,52.1089,26.0106,1,1,0.57,0.76,1,4,11
