datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 11:30:00,155.13,-0.27,-1.3,-0.1737,-0.831,0,0,0.0,155.13,153.97,154.53,155.6611,-0.0237,155.3383,-0.0225,0.1672,48.1858,20.3696,0,0,-0.6,1.16,0,0,11
2021-03-15 12:30:00,154.57,-0.56,-2.03,-0.361,-1.2963,0,0,0.0,155.09,154.45,154.49,155.4256,-0.0262,155.1687,-0.0189,0.1877,47.8756,19.456,0,0,-0.08,0.64,0,0,12
2021-03-15 13:30:00,154.44,-0.13,-1.57,-0.0841,-1.0063,0,0,0.0,155.0,154.39,154.95,155.3067,-0.0132,155.1249,-0.0049,0.359,51.7238,18.6628,0,0,0.51,0.61,1,0,13
2021-03-15 14:30:00,154.95,0.51,-0.67,0.3302,-0.4305,1,0,0.25,155.03,154.49,154.84,155.2189,-0.0098,155.0679,-0.0063,0.3259,50.7588,17.8916,0,0,-0.11,0.54,0,0,14
2021-03-15 15:30:00,154.84,-0.11,-0.75,-0.071,-0.482,0,0,0.25,155.53,154.61,155.33,155.19,-0.0032,155.1204,0.0058,0.5011,54.804,16.6242,1,1,0.49,0.92,1,0,15
2021-03-16 09:30:00,154.29,-0.55,-1.62,-0.3552,-1.0391,0,0,0.0,154.4,153.01,153.12,154.88,-0.0344,154.7203,-0.0445,-0.1248,39.1732,16.8843,0,0,-1.17,1.39,0,1,9
2021-03-16 10:30:00,153.11,-1.18,-3.32,-0.7648,-2.1224,0,0,0.0,153.34,152.19,152.66,154.4956,-0.0427,154.3082,-0.0458,-0.1028,36.8192,17.7018,0,0,-0.45,1.15,0,1,10
2021-03-16 11:30:00,152.67,-0.44,-2.73,-0.2874,-1.7568,0,0,0.0,153.53,152.34,153.39,154.2689,-0.0252,154.1246,-0.0204,0.1222,42.7034,18.2353,0,0,0.72,1.19,1,1,11
2021-03-16 12:30:00,153.39,0.72,-1.74,0.4716,-1.1216,1,0,0.25,153.67,153.25,153.47,154.0867,-0.0202,153.9937,-0.0145,0.1749,43.3263,18.5594,0,0,0.08,0.42,1,1,12
2021-03-16 13:30:00,153.5,0.11,-1.07,0.0717,-0.6922,1,0,0.375,153.95,153.43,153.83,154.0089,-0.0086,153.9609,-0.0036,0.2631,46.1628,18.5129,0,0,0.33,0.52,1,1,13
