datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-16 09:30:00,275.3,1.71,7.08,0.625,2.6396,1,1,0.875,279.96,274.94,279.9,273.1544,0.1444,273.7663,0.1704,0.9854,71.1932,22.7592,1,1,4.6,5.02,1,1,9
2021-03-16 10:30:00,279.95,4.65,10.94,1.6891,4.0668,1,1,0.875,282.13,279.69,280.71,274.5178,0.1515,275.155,0.1543,0.9769,72.2807,24.8435,1,1,0.76,2.44,1,1,10
2021-03-16 11:30:00,280.7,0.75,8.84,0.2679,3.2517,1,1,0.875,281.61,278.36,278.66,275.2711,0.0837,275.856,0.0779,0.8544,65.5374,26.1953,1,1,-2.04,3.25,0,1,11
2021-03-16 12:30:00,278.63,-2.07,7.01,-0.7374,2.5808,0,1,0.625,281.23,278.33,281.15,276.3222,0.1168,276.9148,0.1176,0.9438,69.2856,27.4371,1,1,2.52,2.9,1,1,12
2021-03-16 13:30:00,281.15,2.52,9.28,0.9044,3.4134,1,1,0.875,281.59,279.38,279.41,277.1511,0.0921,277.4139,0.0554,0.831,64.0437,28.657,1,1,-1.74,2.21,0,1,13
2021-03-16 14:30:00,279.36,-1.79,7.17,-0.6367,2.6342,0,1,0.5,281.3,277.9,281.12,278.1389,0.1098,278.1551,0.0824,0.8727,66.7093,29.0838,1,1,1.76,3.4,1,1,14
2021-03-16 15:30:00,281.13,1.77,6.15,0.6336,2.2365,1,1,0.75,281.56,278.91,279.28,278.6211,0.0536,278.3801,0.025,0.7643,61.4319,29.5397,1,1,-1.85,2.65,0,1,15
2021-03-17 09:30:00,275.7,-5.43,2.11,-1.9315,0.7712,0,1,0.125,281.91,275.41,280.84,279.4244,0.0893,278.8721,0.0547,0.8084,64.0301,28.4512,1,1,5.14,6.5,1,2,9
2021-03-17 10:30:00,280.76,5.06,5.46,1.8353,1.9833,1,1,0.625,281.02,278.57,278.83,279.9889,0.0627,278.8636,-0.0009,0.6914,58.5565,27.4404,0,0,-1.93,2.45,0,2,10
2021-03-17 11:30:00,278.81,-1.95,-1.14,-0.6945,-0.4072,0,0,0.25,279.61,277.76,279.24,279.9156,-0.0081,278.9389,0.0084,0.6923,59.3204,26.1733,0,1,0.43,1.85,1,2,11
2021-03-17 12:30:00,279.08,0.27,-1.62,0.0968,-0.5771,1,0,0.375,279.97,278.3,279.73,279.8067,-0.0121,279.0971,0.0176,0.7007,60.2631,25.1185,0,1,0.65,1.67,1,2,12
2021-03-17 13:30:00,279.75,0.67,1.12,0.2401,0.402,1,1,0.5,283.45,278.81,282.52,280.2356,0.0477,279.7817,0.0761,0.8384,65.2071,25.1795,1,1,2.77,4.64,1,2,13
2021-03-17 14:30:00,282.53,2.78,1.38,0.9937,0.4908,1,1,0.875,286.23,282.12,284.4,280.5967,0.0401,280.7054,0.1026,0.9249,68.0883,25.8914,1,1,1.87,4.11,1,2,14
2021-03-17 15:30:00,284.42,1.89,5.06,0.669,1.8113,1,1,0.875,284.79,282.79,284.02,281.1089,0.0569,281.3683,0.0737,0.8636,66.8827,26.5524,1,1,-0.4,2.0,0,2,15
2021-03-18 09:30:00,280.69,-3.73,-0.44,-1.3114,-0.1565,0,0,0.5,282.99,279.49,281.25,281.1233,0.0016,281.3446,-0.0026,0.6654,58.7205,25.7594,1,0,0.56,3.5,1,3,9
2021-03-18 10:30:00,281.29,0.6,5.59,0.2138,2.0276,1,1,0.625,284.08,280.05,283.84,281.63,0.0563,281.8437,0.0555,0.8242,63.238,25.3207,1,1,2.55,4.03,1,3,10
2021-03-18 11:30:00,283.9,2.61,3.14,0.9279,1.1184,1,1,0.75,284.48,282.55,283.98,281.9789,0.0388,282.271,0.0475,0.8198,63.4707,25.023,1,1,0.08,1.93,1,3,11
2021-03-18 12:30:00,283.94,0.04,5.13,0.0141,1.84,1,1,0.75,284.3,282.05,284.08,282.5622,0.0648,282.6328,0.0402,0.8023,63.6477,24.5296,1,1,0.14,2.25,1,3,12
2021-03-18 13:30:00,284.08,0.14,5.0,0.0493,1.7916,1,1,0.75,285.17,282.13,282.74,282.9511,0.0432,282.6542,0.0024,0.6755,59.4879,24.3339,0,1,-1.34,3.04,0,3,13
2021-03-18 14:30:00,282.93,-1.15,3.18,-0.4048,1.1367,0,1,0.375,282.94,280.01,280.73,283.0622,0.0123,282.2694,-0.0428,0.4222,53.807,23.2356,0,0,-2.2,2.93,0,3,14
2021-03-18 15:30:00,280.69,-2.24,-1.84,-0.7917,-0.6513,0,0,0.0,280.91,278.28,278.62,282.6289,-0.0481,281.5395,-0.0811,0.1649,48.5641,21.5956,0,0,-2.07,2.63,0,3,15
