datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-17 13:30:00,40.76,-0.02,0.43,-0.049,1.0662,0,1,0.625,40.83,40.72,40.78,40.4267,0.0042,40.5166,0.0073,0.9781,65.2495,19.2533,1,1,0.02,0.11,1,2,13
2024-01-17 12:30:00,40.93,0.17,0.77,0.4171,1.9173,1,1,0.875,40.95,40.72,40.76,40.4644,0.0042,40.5653,0.0054,0.9003,64.1447,20.0046,1,1,-0.17,0.23,0,2,12
2024-01-17 11:30:00,41.01,0.08,0.86,0.1955,2.142,1,1,0.875,41.06,40.87,40.93,40.53,0.0073,40.6382,0.0081,1.0108,68.9565,21.1125,1,1,-0.08,0.19,0,2,11
2024-01-17 10:30:00,41.07,0.06,0.88,0.1463,2.1896,1,1,0.875,41.08,40.93,41.01,40.6244,0.0105,40.7126,0.0083,1.019,70.9334,22.2139,1,1,-0.06,0.15,0,2,10
2024-01-17 09:30:00,40.88,-0.19,0.6,-0.4626,1.4896,0,1,0.5,41.21,40.83,41.07,40.7267,0.0114,40.7841,0.0079,0.9879,72.3553,23.6871,1,1,0.19,0.38,1,2,9
2024-01-16 15:30:00,40.82,-0.06,0.21,-0.1468,0.5171,0,1,0.375,41.0,40.76,40.96,40.8133,0.0096,40.8192,0.0039,0.8506,65.9825,24.4992,1,1,0.14,0.24,1,1,15
2024-01-16 14:30:00,40.83,0.01,0.05,0.0245,0.1226,1,1,0.375,40.92,40.81,40.82,40.8722,0.0065,40.8194,0.0,0.7164,58.8751,25.2533,0,1,-0.01,0.11,0,1,14
2024-01-16 13:30:00,41.06,0.23,0.28,0.5633,0.6866,1,1,0.75,41.06,40.83,40.84,40.8833,0.0012,40.8235,0.0005,0.7118,59.5455,26.474,0,1,-0.22,0.23,0,1,13
2024-01-16 12:30:00,41.04,-0.02,0.28,-0.0487,0.6869,0,1,0.625,41.07,40.94,41.06,40.9144,0.0035,40.8708,0.0053,0.8458,66.0933,27.6428,1,1,0.02,0.13,1,1,12
2024-01-16 11:30:00,41.17,0.13,0.24,0.3168,0.5864,1,1,0.875,41.2,41.03,41.04,40.9433,0.0032,40.9047,0.0038,0.7992,65.0623,29.1649,1,1,-0.13,0.17,0,1,11
2024-01-16 10:30:00,41.21,0.04,0.2,0.0972,0.4877,1,1,0.875,41.26,41.1,41.17,40.9889,0.0051,40.9577,0.0059,0.8582,68.5017,30.7624,1,1,-0.04,0.16,0,1,10
2024-01-16 09:30:00,41.38,0.17,0.31,0.4125,0.7548,1,1,0.875,41.52,41.15,41.21,41.02,0.0035,41.0082,0.0056,0.8463,69.4967,32.906,1,1,-0.17,0.37,0,1,9
2024-01-12 15:30:00,41.35,-0.03,0.47,-0.0725,1.1497,0,1,0.75,41.39,41.33,41.35,41.0578,0.0042,41.0765,0.0076,0.8952,72.7422,34.8965,1,1,0.0,0.06,0,4,15
2024-01-12 14:30:00,41.37,0.02,0.55,0.0484,1.3474,1,1,0.75,41.37,41.27,41.35,41.0889,0.0035,41.1312,0.0061,0.8549,72.7422,36.1872,1,1,-0.02,0.1,0,4,14
2024-01-12 13:30:00,41.4,0.03,0.57,0.0725,1.396,1,1,0.875,41.42,41.33,41.37,41.1344,0.0051,41.179,0.0053,0.8427,73.2144,37.526,1,1,-0.03,0.09,0,4,13
2024-01-12 12:30:00,41.42,0.02,0.36,0.0483,0.8768,1,1,0.875,41.48,41.35,41.39,41.1978,0.007,41.2212,0.0047,0.8405,73.705,38.934,1,1,-0.03,0.13,0,4,12
2024-01-12 11:30:00,41.37,-0.05,0.33,-0.1207,0.8041,0,1,0.375,41.43,41.32,41.42,41.2622,0.0072,41.261,0.0044,0.8586,74.4605,39.9401,1,1,0.05,0.11,1,4,11
2024-01-12 10:30:00,41.41,0.04,0.24,0.0967,0.5829,1,1,0.75,41.47,41.33,41.37,41.2967,0.0038,41.2828,0.0024,0.8164,70.8087,40.9988,1,1,-0.04,0.14,0,4,10
2024-01-12 09:30:00,41.88,0.47,0.67,1.135,1.6258,1,1,0.875,42.01,41.33,41.39,41.3356,0.0043,41.3042,0.0024,0.8072,71.4126,43.114,1,1,-0.49,0.68,0,4,9
