datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-11 10:30:00,75.0,0.14,0.22,0.187,0.2942,1,1,0.625,75.12,74.85,75.01,74.9244,0.01,74.8782,0.0037,0.6581,60.218,50.1291,1,1,0.01,0.27,1,3,10
2021-03-11 11:30:00,75.0,0.0,0.2,0.0,0.2674,0,1,0.5,75.18,74.9,75.04,74.9478,0.0026,74.9105,0.0036,0.7196,60.6137,50.129,1,1,0.04,0.28,1,3,11
2021-03-11 12:30:00,75.04,0.04,0.02,0.0533,0.0267,1,1,0.75,75.14,74.86,74.86,74.93,-0.002,74.9004,-0.0011,0.5693,56.9532,49.9668,0,0,-0.18,0.28,0,3,12
2021-03-11 13:30:00,74.85,-0.19,-0.07,-0.2532,-0.0934,0,0,0.125,75.04,74.85,74.93,74.9311,0.0001,74.9063,0.0007,0.6115,58.015,49.7734,0,1,0.08,0.19,1,3,13
2021-03-11 14:30:00,74.93,0.08,0.01,0.1069,0.0133,1,1,0.375,74.95,74.62,74.64,74.8989,-0.0036,74.8531,-0.0059,0.3064,52.2631,48.6344,0,0,-0.29,0.33,0,3,14
2021-03-11 15:30:00,74.64,-0.29,-0.17,-0.387,-0.2272,0,0,0.0,74.72,74.59,74.64,74.8811,-0.002,74.8105,-0.0047,0.3264,52.2631,47.4559,0,0,0.0,0.13,0,3,15
2021-03-12 09:30:00,74.11,-0.53,-0.94,-0.7101,-1.2525,0,0,0.0,74.72,73.99,74.62,74.8333,-0.0053,74.7724,-0.0042,0.3238,51.8519,44.3408,0,0,0.51,0.73,1,4,9
2021-03-12 10:30:00,74.64,0.53,-0.22,0.7152,-0.2939,1,0,0.125,74.89,74.52,74.65,74.82,-0.0015,74.7479,-0.0027,0.3721,52.4562,41.8693,0,0,0.01,0.37,1,4,10
2021-03-12 11:30:00,74.65,0.01,-0.35,0.0134,-0.4667,1,0,0.375,74.69,74.18,74.25,74.7378,-0.0091,74.6483,-0.0111,0.0139,44.4468,39.0975,0,0,-0.4,0.51,0,4,11
2021-03-12 12:30:00,74.26,-0.39,-0.74,-0.5224,-0.9867,0,0,0.125,74.46,74.25,74.44,74.6744,-0.007,74.6067,-0.0046,0.2154,48.4714,36.5236,0,0,0.18,0.21,1,4,12
2021-03-12 13:30:00,74.45,0.19,-0.59,0.2559,-0.7862,1,0,0.25,74.82,74.43,74.73,74.64,-0.0038,74.6313,0.0027,0.463,53.9546,34.6185,1,1,0.28,0.39,1,4,13
2021-03-12 14:30:00,74.73,0.28,-0.12,0.3761,-0.1603,1,0,0.75,74.74,74.57,74.65,74.6167,-0.0026,74.6351,0.0004,0.3335,52.3012,32.8495,1,1,-0.08,0.17,0,4,14
2021-03-12 15:30:00,74.66,-0.07,-0.27,-0.0937,-0.3603,0,0,0.75,74.78,74.53,74.61,74.5811,-0.004,74.63,-0.0006,0.3018,51.4522,31.3092,1,0,-0.05,0.25,0,4,15
2021-03-15 09:30:00,75.42,0.76,0.78,1.0179,1.045,1,1,0.875,76.17,75.08,75.43,74.6689,0.0098,74.79,0.0178,1.1316,64.2603,32.2421,1,1,0.01,1.09,1,0,9
2021-03-15 10:30:00,75.43,0.01,1.32,0.0133,1.7811,1,1,0.875,76.03,75.18,75.88,74.8067,0.0153,75.008,0.0242,1.2523,69.0811,33.1084,1,1,0.45,0.85,1,0,10
2021-03-15 11:30:00,75.88,0.45,1.24,0.5966,1.6613,1,1,0.875,76.26,75.79,76.26,74.9889,0.0202,75.2584,0.0278,1.2295,72.4594,34.1782,1,1,0.38,0.47,1,0,11
2021-03-15 12:30:00,76.26,0.38,1.61,0.5008,2.1567,1,1,0.875,76.56,76.01,76.03,75.1422,0.017,75.4127,0.0171,1.0069,67.642,35.4897,1,1,-0.23,0.55,0,0,12
2021-03-15 13:30:00,76.02,-0.24,1.76,-0.3147,2.3701,0,1,0.75,76.36,75.99,76.17,75.3556,0.0237,75.5642,0.0168,0.9892,68.9933,36.6407,1,1,0.15,0.37,1,0,13
2021-03-15 14:30:00,76.17,0.15,1.72,0.1973,2.3103,1,1,0.75,76.26,76.09,76.2,75.5511,0.0217,75.6914,0.0141,0.9346,69.2893,37.7096,1,1,0.03,0.17,1,0,14
2021-03-15 15:30:00,76.19,0.02,1.46,0.0263,1.9537,1,1,0.75,76.33,76.11,76.22,75.7167,0.0184,75.7971,0.0117,0.8907,69.4983,38.7859,1,1,0.03,0.22,1,0,15
2021-03-16 09:30:00,76.08,-0.11,1.42,-0.1444,1.902,0,1,0.5,77.04,76.08,77.03,75.9811,0.0294,76.0437,0.0274,1.0605,76.4805,40.4915,1,1,0.95,0.96,1,1,9
2021-03-16 10:30:00,77.04,0.96,1.62,1.2618,2.148,1,1,0.875,77.16,76.68,76.7,76.2133,0.0258,76.1749,0.0146,0.9003,69.5003,42.1731,1,1,-0.34,0.48,0,1,10
2021-03-16 11:30:00,76.69,-0.35,1.26,-0.4543,1.6704,0,1,0.75,76.79,76.34,76.36,76.3167,0.0115,76.2119,0.0041,0.7712,63.1094,42.5545,1,1,-0.33,0.45,0,1,11
2021-03-16 12:30:00,76.37,-0.32,0.49,-0.4173,0.6458,0,1,0.625,76.8,76.33,76.69,76.4067,0.01,76.3076,0.0106,0.8281,66.3443,42.8752,1,1,0.32,0.47,1,1,12
2021-03-16 13:30:00,76.68,0.31,0.42,0.4059,0.5507,1,1,0.625,76.86,76.54,76.76,76.4622,0.0062,76.398,0.0101,0.8125,67.0052,43.2491,1,1,0.08,0.32,1,1,13
