datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 09:30:00,234.9,-0.48,-3.14,-0.2039,-1.3191,0,0,0.375,235.18,232.5,232.74,234.9911,-0.0654,234.976,-0.0621,0.1738,42.4837,29.8008,0,0,-2.16,2.68,0,0,9
2021-03-15 10:30:00,232.75,-2.15,-1.57,-0.9153,-0.67,0,0,0.0,233.4,232.25,232.48,234.46,-0.059,234.4768,-0.0555,0.1688,41.5258,28.5319,0,0,-0.27,1.15,0,0,10
2021-03-15 11:30:00,232.48,-0.27,-1.61,-0.116,-0.6878,0,0,0.0,233.08,231.82,232.72,234.3089,-0.0168,234.1254,-0.039,0.2097,42.8077,27.5926,0,0,0.24,1.26,1,0,11
2021-03-15 12:30:00,232.68,0.2,-1.62,0.086,-0.6914,1,0,0.125,233.12,232.49,232.93,234.1578,-0.0168,233.8863,-0.0266,0.2265,43.9653,26.6891,0,0,0.25,0.63,1,0,12
2021-03-15 13:30:00,232.92,0.24,-2.25,0.1031,-0.9568,1,0,0.375,233.47,232.56,233.3,233.95,-0.0231,233.7691,-0.013,0.2647,46.0377,25.5666,0,0,0.38,0.91,1,0,13
2021-03-15 14:30:00,233.31,0.39,-1.82,0.1674,-0.774,1,0,0.5,233.9,233.27,233.37,233.7533,-0.0219,233.6893,-0.0089,0.2606,46.4413,24.178,0,0,0.06,0.63,1,0,14
2021-03-15 15:30:00,233.37,0.06,-1.7,0.0257,-0.7232,1,0,0.625,235.03,233.19,234.81,233.7256,-0.0031,233.9134,0.0249,0.4455,54.0539,22.8476,1,1,1.44,1.84,1,0,15
2021-03-16 09:30:00,236.23,2.86,0.85,1.2255,0.3611,1,1,0.875,239.23,235.94,239.13,234.1422,0.0463,234.9567,0.1159,0.946,68.513,23.6752,1,1,2.9,3.29,1,1,9
2021-03-16 10:30:00,239.14,2.91,4.24,1.2319,1.805,1,1,0.875,239.91,238.91,239.77,234.5833,0.049,235.9194,0.107,0.9826,70.0183,24.6808,1,1,0.63,1.0,1,1,10
2021-03-16 11:30:00,239.76,0.62,7.01,0.2593,3.0118,1,1,0.875,240.05,238.58,238.97,235.2756,0.0769,236.5295,0.0678,0.8858,65.7846,25.3609,1,1,-0.79,1.47,0,1,11
2021-03-16 12:30:00,238.95,-0.81,6.47,-0.3378,2.783,0,1,0.625,239.75,238.85,239.08,236.0089,0.0815,237.0396,0.0567,0.8829,66.0883,25.9925,1,1,0.13,0.9,1,1,12
2021-03-16 13:30:00,239.08,0.13,6.4,0.0544,2.7506,1,1,0.625,239.13,237.13,237.16,236.5022,0.0548,237.0637,0.0027,0.6868,56.6403,25.2868,1,1,-1.92,2.0,0,1,13
2021-03-16 14:30:00,237.17,-1.91,4.25,-0.7989,1.8247,0,1,0.375,238.52,236.94,238.41,237.1111,0.0677,237.3329,0.0299,0.8079,60.5904,24.5007,1,1,1.24,1.58,1,1,14
2021-03-16 15:30:00,238.42,1.25,5.11,0.527,2.1902,1,1,0.375,239.25,237.66,237.71,237.6011,0.0544,237.4084,0.0084,0.7128,57.4349,24.146,1,1,-0.71,1.59,0,1,15
2021-03-17 09:30:00,236.2,-2.22,2.83,-0.9311,1.2127,0,1,0.0,236.59,234.17,235.87,237.8789,0.0309,237.1007,-0.0342,0.5126,50.0554,23.0741,0,0,-0.33,2.42,0,2,9
2021-03-17 10:30:00,235.85,-0.35,-0.38,-0.1482,-0.1609,0,0,0.0,236.34,234.39,234.75,237.8722,-0.0007,236.6305,-0.0522,0.3972,46.167,22.0788,0,0,-1.1,1.95,0,2,10
2021-03-17 11:30:00,234.73,-1.12,-4.41,-0.4749,-1.8441,0,0,0.0,234.73,233.23,234.56,237.3644,-0.0564,236.2164,-0.046,0.3808,45.521,21.704,0,0,-0.17,1.5,0,2,11
2021-03-17 12:30:00,234.53,-0.2,-5.23,-0.0852,-2.1813,0,0,0.0,234.73,233.63,234.59,236.7889,-0.064,235.8912,-0.0361,0.3868,45.6503,21.3559,0,0,0.06,1.1,1,2,12
2021-03-17 13:30:00,234.61,0.08,-4.34,0.0341,-1.8163,1,0,0.125,236.67,234.25,235.77,236.4333,-0.0395,235.8669,-0.0027,0.5077,50.6159,19.8558,0,0,1.16,2.42,1,2,13
2021-03-17 14:30:00,235.79,1.18,-3.29,0.503,-1.3761,1,0,0.375,238.55,235.34,237.39,236.2456,-0.0209,236.1715,0.0338,0.6663,56.4928,19.3319,1,1,1.6,3.21,1,2,14
2021-03-17 15:30:00,237.41,1.62,0.24,0.6871,0.1012,1,1,0.75,237.92,236.44,237.19,236.2489,0.0004,236.3752,0.0226,0.6273,55.6129,18.8453,1,1,-0.22,1.48,0,2,15
2021-03-18 09:30:00,233.31,-4.1,-5.11,-1.727,-2.1433,0,0,0.0,234.19,232.21,232.91,235.6378,-0.0679,235.6822,-0.077,0.1636,40.9232,18.6207,0,0,-0.4,1.98,0,3,9
2021-03-18 10:30:00,232.89,-0.42,-3.31,-0.18,-1.4014,0,0,0.0,233.36,232.3,232.61,235.0711,-0.063,235.0677,-0.0683,0.133,40.1232,18.4122,0,0,-0.28,1.06,0,3,10
2021-03-18 11:30:00,232.61,-0.28,-3.24,-0.1202,-1.3738,0,0,0.0,233.4,232.03,233.05,234.7578,-0.0348,234.6642,-0.0448,0.1787,41.9167,18.3283,0,0,0.44,1.37,1,3,11
2021-03-18 12:30:00,233.04,0.43,-1.69,0.1849,-0.72,1,0,0.25,233.12,231.8,232.97,234.56,-0.022,234.3254,-0.0376,0.1747,41.6723,18.3477,0,0,-0.07,1.32,0,3,12
2021-03-18 13:30:00,232.99,-0.05,-1.54,-0.0215,-0.6566,0,0,0.25,233.59,231.61,231.68,234.24,-0.0356,233.7963,-0.0588,0.0679,37.8408,18.0697,0,0,-1.31,1.98,0,3,13
2021-03-18 14:30:00,231.68,-1.31,-2.93,-0.5623,-1.2489,0,0,0.0,231.94,230.57,231.1,233.8522,-0.0431,233.257,-0.0599,0.0647,36.228,18.2812,0,0,-0.58,1.37,0,3,14
2021-03-18 15:30:00,231.09,-0.59,-4.7,-0.2547,-1.9933,0,0,0.0,231.22,230.33,230.72,233.2911,-0.0623,232.7496,-0.0564,0.083,35.1704,18.5832,0,0,-0.37,0.89,0,3,15
2021-03-19 09:30:00,231.02,-0.07,-6.39,-0.0303,-2.6915,0,0,0.0,232.47,229.35,230.57,232.5333,-0.0842,232.3137,-0.0484,0.1091,34.7392,18.0314,0,0,-0.45,3.12,0,4,9
2021-03-19 10:30:00,230.56,-0.46,-2.75,-0.1991,-1.1787,0,0,0.0,231.59,230.17,230.74,231.8167,-0.0796,231.999,-0.035,0.1583,35.7012,17.519,0,0,0.18,1.42,1,4,10
2021-03-19 11:30:00,230.72,0.16,-2.17,0.0694,-0.9318,1,0,0.125,231.78,230.58,231.33,231.6411,-0.0195,231.8652,-0.0149,0.2347,39.0588,16.9126,0,0,0.61,1.2,1,4,11
2021-03-19 12:30:00,231.32,0.6,-1.29,0.2601,-0.5546,1,0,0.5,231.93,231.1,231.6,231.5289,-0.0125,231.8121,-0.0059,0.2838,40.5877,16.2418,1,0,0.28,0.83,1,4,12
2021-03-19 13:30:00,231.61,0.29,-1.43,0.1254,-0.6136,1,0,0.625,231.99,230.92,231.34,231.3389,-0.0211,231.7177,-0.0105,0.2766,39.5585,15.735,1,0,-0.27,1.07,0,4,13
2021-03-19 14:30:00,231.35,-0.26,-1.64,-0.1123,-0.7039,0,0,0.625,231.69,230.78,231.16,231.1378,-0.0223,231.6062,-0.0124,0.2759,38.8245,15.3583,1,0,-0.19,0.91,0,4,14
2021-03-19 15:30:00,231.17,-0.18,-0.51,-0.0778,-0.2201,0,0,0.5,231.46,229.9,229.91,230.9411,-0.0219,231.2669,-0.0377,0.1668,34.0934,15.5799,0,0,-1.26,1.56,0,4,15
2021-03-22 09:30:00,230.27,-0.9,-0.82,-0.3893,-0.3548,0,0,0.0,234.67,230.14,234.24,231.29,0.0388,231.8615,0.0661,0.6711,54.6906,15.3463,1,1,3.97,4.53,1,0,9
2021-03-22 10:30:00,234.26,3.99,3.24,1.7327,1.4025,1,1,0.875,236.11,234.03,235.84,231.8589,0.0632,232.6572,0.0884,0.8389,59.7022,15.8278,1,1,1.58,2.08,1,0,10
2021-03-22 11:30:00,235.91,1.65,5.35,0.7043,2.3204,1,1,0.875,236.62,235.43,236.51,232.5189,0.0733,233.4278,0.0856,0.8841,61.6167,16.502,1,1,0.6,1.19,1,0,11
2021-03-22 12:30:00,236.53,0.62,5.81,0.2628,2.5182,1,1,0.875,236.9,236.23,236.38,233.1456,0.0696,234.0182,0.0656,0.8606,61.011,17.2537,1,1,-0.15,0.67,0,0,12
2021-03-22 13:30:00,236.39,-0.14,5.07,-0.0592,2.1918,0,1,0.75,236.66,236.1,236.31,233.6989,0.0615,234.4766,0.0509,0.8732,60.6652,17.8461,1,1,-0.08,0.56,0,0,13
