datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 15:30:00,88.05,-0.1,0.59,-0.1134,0.6746,0,1,0.75,88.87,88.03,88.87,87.7022,0.0172,87.9392,0.0259,0.69,57.2927,16.6685,1,1,0.82,0.84,1,0,15
2021-03-16 09:30:00,90.9,2.85,3.17,3.2368,3.6134,1,1,0.875,94.68,90.74,94.04,88.4033,0.0779,89.1594,0.1356,1.3895,77.1015,18.6793,1,1,3.14,3.94,1,1,9
2021-03-16 10:30:00,94.05,3.15,6.23,3.4653,7.0941,1,1,0.875,94.28,93.24,93.6,89.0511,0.072,90.0475,0.0987,1.1502,73.9574,20.5464,1,1,-0.45,1.04,0,1,10
2021-03-16 11:30:00,93.61,-0.44,6.67,-0.4678,7.672,0,1,0.75,93.72,91.87,92.07,89.61,0.0621,90.452,0.0449,0.9059,64.1601,21.09,1,1,-1.54,1.85,0,1,11
2021-03-16 12:30:00,92.07,-1.54,5.43,-1.6451,6.2673,0,1,0.625,93.2,92.0,92.79,90.2922,0.0758,90.9196,0.052,0.9334,66.4148,21.5947,1,1,0.72,1.2,1,1,12
2021-03-16 13:30:00,92.78,0.71,5.44,0.7712,6.2285,1,1,0.625,92.84,90.85,90.88,90.6833,0.0435,90.9117,-0.0009,0.7106,56.2967,21.1413,1,0,-1.9,1.99,0,1,13
2021-03-16 14:30:00,90.89,-1.89,3.21,-2.0371,3.661,0,1,0.25,91.5,90.11,91.34,91.09,0.0452,90.9973,0.0095,0.7433,57.9579,20.1832,1,1,0.45,1.39,1,1,14
2021-03-16 15:30:00,91.34,0.45,3.19,0.4951,3.6188,1,1,0.375,91.98,91.11,91.43,91.4533,0.0404,91.0839,0.0096,0.7294,58.2919,19.5808,0,1,0.09,0.87,1,1,15
2021-03-17 09:30:00,91.22,-0.12,3.17,-0.1314,3.6002,0,1,0.25,93.97,90.11,93.36,92.0422,0.0654,91.5391,0.0506,0.8819,64.7585,20.0484,1,1,2.14,3.86,1,2,9
2021-03-17 10:30:00,93.36,2.14,2.46,2.346,2.7063,1,1,0.625,93.45,92.04,92.5,92.4456,0.0448,91.7313,0.0214,0.767,60.274,20.4826,1,1,-0.86,1.41,0,2,10
2021-03-17 11:30:00,92.52,-0.84,-1.53,-0.8997,-1.6268,0,0,0.5,92.99,91.87,92.88,92.3167,-0.0143,91.961,0.0255,0.7753,61.5413,20.7427,1,1,0.36,1.12,1,2,11
2021-03-17 12:30:00,92.89,0.37,-0.72,0.3999,-0.7691,1,0,0.75,92.89,91.88,92.5,92.1944,-0.0136,92.0688,0.012,0.715,59.4973,20.9842,1,1,-0.39,1.01,0,2,12
2021-03-17 13:30:00,92.5,-0.39,0.43,-0.4199,0.467,0,1,0.375,94.45,92.31,94.04,92.4133,0.0243,92.4631,0.0438,0.8303,64.6252,21.9923,1,1,1.54,2.14,1,2,13
2021-03-17 14:30:00,94.03,1.53,1.25,1.6541,1.3473,1,1,0.875,95.49,93.57,94.74,92.63,0.0241,92.9184,0.0506,0.8565,66.6896,23.3643,1,1,0.71,1.92,1,2,14
2021-03-17 15:30:00,94.76,0.73,3.87,0.7763,4.2579,1,1,0.875,95.07,94.32,94.81,93.0667,0.0485,93.2968,0.042,0.8312,66.8976,24.6384,1,1,0.05,0.75,1,2,15
2021-03-18 09:30:00,92.97,-1.79,1.63,-1.889,1.7845,0,1,0.5,93.48,91.22,92.08,93.1489,0.0091,93.0534,-0.027,0.5448,52.9962,23.3467,0,0,-0.89,2.26,0,3,9
2021-03-18 10:30:00,92.08,-0.89,0.86,-0.9573,0.9428,0,1,0.0,92.4,91.05,91.95,93.2067,0.0064,92.8327,-0.0245,0.5072,52.4374,22.0385,0,0,-0.13,1.35,0,3,10
2021-03-18 11:30:00,91.95,-0.13,-1.41,-0.1412,-1.5103,0,0,0.0,92.33,91.06,92.3,93.0889,-0.0131,92.7262,-0.0118,0.5237,53.8484,20.8238,0,0,0.35,1.27,1,3,11
2021-03-18 12:30:00,92.3,0.35,-0.22,0.3806,-0.2378,1,0,0.25,92.43,90.8,91.46,92.9733,-0.0128,92.4729,-0.0281,0.3769,50.0137,19.5104,0,0,-0.84,1.63,0,3,12
