datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-10 11:30:00,74.35,0.2,0.17,0.2697,0.2292,1,1,0.5,74.61,74.07,74.54,74.3233,0.0043,73.972,0.0158,0.7681,66.5293,14.3851,1,1,0.19,0.54,1,2,11
2021-03-10 12:30:00,74.56,0.21,0.14,0.2824,0.1881,1,1,0.75,74.64,74.23,74.42,74.3222,-0.0001,74.0616,0.01,0.731,64.9921,13.4751,1,1,-0.14,0.41,0,2,12
2021-03-10 13:30:00,74.43,-0.13,-0.22,-0.1744,-0.2947,0,0,0.625,74.61,74.35,74.5,74.3044,-0.002,74.1493,0.0097,0.7241,65.5633,12.6302,1,1,0.07,0.26,1,2,13
2021-03-10 14:30:00,74.53,0.1,0.03,0.1344,0.0403,1,1,0.75,74.74,74.43,74.57,74.3133,0.001,74.2334,0.0093,0.7168,66.0849,12.0204,1,1,0.04,0.31,1,2,14
2021-03-10 15:30:00,74.57,0.04,0.34,0.0537,0.458,1,1,0.875,74.63,74.31,74.48,74.3422,0.0032,74.2828,0.0055,0.68,64.7276,11.2747,1,1,-0.09,0.32,0,2,15
2021-03-11 09:30:00,74.88,0.31,0.8,0.4157,1.0799,1,1,0.875,75.48,74.64,74.72,74.4144,0.008,74.3702,0.0097,0.7035,66.6921,11.6752,1,1,-0.16,0.84,0,3,9
2021-03-11 10:30:00,74.73,-0.15,0.73,-0.2003,0.9865,0,1,0.75,75.0,74.47,74.99,74.5256,0.0123,74.4942,0.0138,0.7303,68.7976,11.7765,1,1,0.26,0.53,1,3,10
2021-03-11 11:30:00,74.99,0.26,0.84,0.3479,1.1328,1,1,0.875,75.32,74.84,75.21,74.6422,0.013,74.6373,0.0159,0.75,70.4374,12.2533,1,1,0.22,0.48,1,3,11
2021-03-11 12:30:00,75.22,0.23,0.87,0.3067,1.1701,1,1,0.875,75.52,75.21,75.36,74.7544,0.0125,74.7819,0.0161,0.763,71.5358,12.9279,1,1,0.14,0.31,1,3,12
2021-03-11 13:30:00,75.39,0.17,0.83,0.226,1.1132,1,1,0.875,75.52,75.27,75.48,74.8589,0.0116,74.9215,0.0155,0.8036,72.4187,13.5544,1,1,0.09,0.25,1,3,13
2021-03-11 14:30:00,75.47,0.08,1.04,0.1061,1.3973,1,1,0.875,75.54,75.1,75.25,74.9511,0.0102,74.9872,0.0073,0.8785,68.0612,13.8078,1,1,-0.22,0.44,0,3,14
2021-03-11 15:30:00,75.25,-0.22,0.72,-0.2915,0.9661,0,1,0.625,75.25,74.85,74.86,74.9911,0.0044,74.9618,-0.0028,0.6327,61.3232,13.5708,0,0,-0.39,0.4,0,3,15
2021-03-12 09:30:00,75.17,-0.08,0.6,-0.1063,0.8046,0,1,0.375,75.17,74.04,74.74,75.01,0.0021,74.9174,-0.0049,0.5522,59.3755,13.151,0,0,-0.43,1.13,0,4,9
2021-03-12 10:30:00,74.74,-0.43,-0.14,-0.572,-0.187,0,0,0.125,75.14,74.66,74.95,75.0622,0.0058,74.9239,0.0007,0.6674,61.6699,12.7612,0,1,0.21,0.48,1,4,10
2021-03-12 11:30:00,74.94,0.2,0.21,0.2676,0.281,1,1,0.125,75.51,74.94,75.5,75.1489,0.0096,75.0391,0.0128,0.9282,66.9369,11.917,1,1,0.56,0.57,1,4,11
2021-03-12 12:30:00,75.5,0.56,0.51,0.7473,0.6801,1,1,0.875,75.59,75.31,75.45,75.2,0.0057,75.1213,0.0091,0.8581,66.0483,11.2628,1,1,-0.05,0.28,0,4,12
2021-03-12 13:30:00,75.45,-0.05,0.23,-0.0662,0.3058,0,1,0.625,75.88,75.4,75.79,75.2644,0.0072,75.255,0.0149,0.9742,69.0563,11.1192,1,1,0.34,0.48,1,4,13
2021-03-12 14:30:00,75.81,0.36,0.42,0.4771,0.5571,1,1,0.875,76.01,75.7,75.82,75.3156,0.0057,75.368,0.0126,0.9437,69.3146,11.1883,1,1,0.01,0.31,1,4,14
2021-03-12 15:30:00,75.85,0.04,0.38,0.0528,0.5035,1,1,0.875,75.86,75.59,75.68,75.3378,0.0025,75.4304,0.0069,0.841,66.5236,11.0309,1,1,-0.17,0.27,0,4,15
2021-03-15 09:30:00,75.51,-0.34,0.26,-0.4483,0.3455,0,1,0.625,76.21,75.35,75.43,75.3578,0.0022,75.4303,-0.0,0.6886,61.7425,11.4478,1,0,-0.08,0.86,0,0,9
2021-03-15 10:30:00,75.4,-0.11,0.23,-0.1457,0.306,0,1,0.25,75.8,75.33,75.56,75.4356,0.0086,75.4563,0.0029,0.7357,63.2227,11.7907,1,1,0.16,0.47,1,0,10
2021-03-15 11:30:00,75.56,0.16,0.82,0.2122,1.0971,1,1,0.625,75.77,75.29,75.73,75.5456,0.0122,75.511,0.0061,0.8038,65.123,12.0153,1,1,0.17,0.48,1,0,11
2021-03-15 12:30:00,75.72,0.16,0.78,0.2118,1.0408,1,1,0.625,75.99,75.64,75.65,75.6233,0.0086,75.5388,0.0031,0.7361,63.4612,12.6047,1,1,-0.07,0.35,0,0,12
2021-03-15 13:30:00,75.68,-0.04,0.18,-0.0528,0.2384,0,1,0.5,76.0,75.59,75.61,75.6356,0.0014,75.5531,0.0016,0.6923,62.6011,13.0223,0,1,-0.07,0.41,0,0,13
2021-03-15 14:30:00,75.65,-0.03,0.2,-0.0396,0.2651,0,1,0.375,75.65,75.26,75.36,75.6256,-0.0011,75.5144,-0.0043,0.5022,57.3674,12.5895,0,0,-0.29,0.39,0,0,14
2021-03-15 15:30:00,75.37,-0.28,-0.44,-0.3701,-0.5804,0,0,0.0,75.55,75.05,75.47,75.59,-0.004,75.5056,-0.001,0.5624,58.9919,11.7115,0,0,0.1,0.5,1,0,15
2021-03-16 09:30:00,75.41,0.04,-0.44,0.0531,-0.5801,1,0,0.25,75.85,75.13,75.81,75.5889,-0.0001,75.5664,0.0068,0.8115,63.6079,11.5192,1,1,0.4,0.72,1,1,9
2021-03-16 10:30:00,75.86,0.45,0.35,0.5967,0.4635,1,1,0.875,76.33,75.76,76.2,75.6467,0.0064,75.6932,0.0141,1.0281,68.0505,12.192,1,1,0.34,0.57,1,1,10
2021-03-16 11:30:00,76.19,0.33,0.79,0.435,1.0477,1,1,0.875,76.21,75.86,75.99,75.7089,0.0069,75.7525,0.0066,0.8341,63.5517,12.8167,1,1,-0.2,0.35,0,1,11
2021-03-16 12:30:00,75.98,-0.21,0.42,-0.2756,0.5558,0,1,0.75,76.06,75.77,75.95,75.7522,0.0048,75.792,0.0044,0.7797,62.7015,13.1576,1,1,-0.03,0.29,0,1,12
2021-03-16 13:30:00,75.95,-0.03,0.23,-0.0395,0.3038,0,1,0.625,75.96,75.45,75.51,75.7278,-0.0027,75.7356,-0.0063,0.4702,54.1232,12.6687,0,0,-0.44,0.51,0,1,13
2021-03-16 14:30:00,75.52,-0.43,-0.16,-0.5662,-0.2114,0,0,0.25,75.64,75.24,75.25,75.6833,-0.0049,75.6385,-0.0108,0.2571,49.7886,11.7948,0,0,-0.27,0.4,0,1,14
2021-03-16 15:30:00,75.26,-0.26,-0.39,-0.3443,-0.5155,0,0,0.0,75.55,75.22,75.37,75.6567,-0.003,75.5848,-0.006,0.2887,51.7109,11.0293,0,0,0.11,0.33,1,1,15
2021-03-17 09:30:00,75.02,-0.24,-0.35,-0.3189,-0.4644,0,0,0.0,75.03,73.23,73.75,75.4778,-0.0199,75.2178,-0.0408,-0.4487,33.2208,13.2107,0,0,-1.27,1.8,0,2,9
2021-03-17 10:30:00,73.75,-1.27,-1.66,-1.6929,-2.2013,0,0,0.0,73.94,73.29,73.36,75.2433,-0.026,74.8463,-0.0413,-0.2737,30.4024,15.2363,0,0,-0.39,0.65,0,2,10
2021-03-17 11:30:00,73.35,-0.4,-2.51,-0.5424,-3.3087,0,0,0.0,73.54,73.28,73.5,74.9867,-0.0285,74.577,-0.0299,-0.0801,32.6125,17.1271,0,0,0.15,0.26,1,2,11
2021-03-17 12:30:00,73.5,0.15,-2.69,0.2045,-3.5306,1,0,0.125,73.59,73.27,73.31,74.6656,-0.0357,74.3236,-0.0282,-0.0297,31.166,18.7548,0,0,-0.19,0.32,0,2,12
2021-03-17 13:30:00,73.31,-0.19,-2.67,-0.2585,-3.5141,0,0,0.0,73.54,72.95,72.95,74.3278,-0.0375,74.0489,-0.0305,-0.0236,28.5795,20.6105,0,0,-0.36,0.59,0,2,13
2021-03-17 14:30:00,72.93,-0.38,-3.02,-0.5183,-3.9763,0,0,0.0,73.39,72.81,73.12,74.0133,-0.0349,73.8631,-0.0206,0.0806,31.4718,22.4774,0,0,0.19,0.58,1,2,14
2021-03-17 15:30:00,73.13,0.2,-2.39,0.2742,-3.1647,1,0,0.125,73.21,72.82,72.99,73.7333,-0.0311,73.6885,-0.0194,0.1053,30.4561,24.2109,0,0,-0.14,0.39,0,2,15
2021-03-18 09:30:00,72.96,-0.17,-2.3,-0.2325,-3.0561,0,0,0.125,72.96,70.91,70.93,73.2533,-0.0533,73.1368,-0.0613,-0.1434,19.6396,27.2111,0,0,-2.03,2.05,0,3,9
2021-03-18 10:30:00,70.94,-2.02,-4.08,-2.7686,-5.4385,0,0,0.0,71.13,70.74,70.81,72.7467,-0.0563,72.6714,-0.0517,-0.0467,19.2115,30.0787,0,0,-0.13,0.39,0,3,10
2021-03-18 11:30:00,70.82,-0.12,-2.93,-0.1692,-3.9729,0,0,0.0,70.86,70.39,70.39,72.3733,-0.0415,72.2151,-0.0507,-0.0127,17.7532,32.9042,0,0,-0.43,0.47,0,3,11
2021-03-18 12:30:00,70.38,-0.44,-2.97,-0.6213,-4.0491,0,0,0.0,70.96,70.27,70.87,72.0967,-0.0307,71.9461,-0.0299,0.1071,24.7809,35.5825,0,0,0.49,0.69,1,3,12
2021-03-18 13:30:00,70.86,0.48,-2.64,0.682,-3.5918,1,0,0.25,71.44,70.79,71.23,71.8444,-0.028,71.8029,-0.0159,0.1898,29.6369,36.8805,0,0,0.37,0.65,1,3,13
2021-03-18 14:30:00,71.21,0.35,-2.1,0.4939,-2.8645,1,0,0.5,71.4,70.98,71.25,71.6156,-0.0254,71.6923,-0.0123,0.2222,29.9077,38.0858,0,0,0.04,0.42,1,3,14
2021-03-18 15:30:00,71.25,0.04,-1.68,0.0562,-2.3036,1,0,0.625,71.39,71.07,71.13,71.4133,-0.0225,71.5799,-0.0125,0.2342,29.1821,39.205,0,0,-0.12,0.32,0,3,15
2021-03-19 09:30:00,71.21,-0.04,-1.92,-0.0561,-2.6255,0,0,0.5,71.47,70.06,70.71,71.1456,-0.0298,71.4059,-0.0193,0.2068,26.7374,40.919,0,0,-0.5,1.41,0,4,9
2021-03-19 10:30:00,70.71,-0.5,-2.25,-0.7021,-3.0839,0,0,0.125,71.26,70.56,70.91,70.9144,-0.0257,71.3067,-0.011,0.2552,29.7552,42.5106,0,0,0.2,0.7,1,4,10
2021-03-19 11:30:00,70.89,0.18,-0.05,0.2546,-0.0705,1,0,0.5,71.71,70.78,71.61,70.99,0.0084,71.3674,0.0067,0.3721,39.1959,42.8755,1,1,0.72,0.93,1,4,11
2021-03-19 12:30:00,71.61,0.72,0.79,1.0157,1.1155,1,1,0.875,72.04,71.57,71.89,71.11,0.0133,71.4719,0.0116,0.4364,42.5234,42.4751,1,1,0.28,0.47,1,4,12
2021-03-19 13:30:00,71.88,0.27,1.5,0.377,2.1313,1,1,0.875,72.49,71.8,72.45,71.3389,0.0254,71.6675,0.0217,0.5615,48.5839,41.1879,1,1,0.57,0.69,1,4,13
2021-03-19 14:30:00,72.45,0.57,1.59,0.793,2.2439,1,1,0.875,72.63,72.04,72.15,71.4811,0.0158,71.764,0.0107,0.5425,45.7979,39.7231,1,1,-0.3,0.59,0,4,14
2021-03-19 15:30:00,72.15,-0.3,0.94,-0.4141,1.32,0,1,0.75,72.31,70.71,70.77,71.43,-0.0057,71.5652,-0.0221,0.2469,35.6662,39.7046,0,0,-1.38,1.6,0,4,15
2021-03-22 09:30:00,70.81,-1.34,-0.44,-1.8572,-0.6175,0,0,0.125,72.43,70.79,72.31,71.5478,0.0131,71.7142,0.0166,0.6394,49.178,39.4633,1,1,1.5,1.64,1,0,9
2021-03-22 10:30:00,72.32,1.51,1.11,2.1325,1.5588,1,1,0.75,72.37,72.0,72.15,71.6611,0.0126,71.8013,0.0097,0.6259,48.0489,39.2393,1,1,-0.17,0.37,0,0,10
2021-03-22 11:30:00,72.15,-0.17,1.44,-0.2351,2.0365,0,1,0.5,72.18,71.59,71.82,71.7844,0.0137,71.8051,0.0004,0.5602,45.7174,39.4034,1,1,-0.33,0.59,0,0,11
2021-03-22 12:30:00,71.82,-0.33,0.93,-0.4574,1.3119,0,1,0.25,71.82,71.22,71.33,71.8311,0.0052,71.7101,-0.0106,0.4311,42.4255,39.8635,0,0,-0.49,0.6,0,0,12
2021-03-22 13:30:00,71.33,-0.49,-0.28,-0.6823,-0.391,0,0,0.125,71.41,71.06,71.21,71.7867,-0.0049,71.61,-0.0111,0.413,41.6349,40.419,0,0,-0.12,0.35,0,0,13
2021-03-22 14:30:00,71.2,-0.13,-0.68,-0.1823,-0.946,0,0,0.125,71.68,71.2,71.59,71.7533,-0.0037,71.606,-0.0004,0.5927,45.1226,40.3353,0,0,0.39,0.48,1,0,14
2021-03-22 15:30:00,71.57,0.37,-0.88,0.5197,-1.2146,1,0,0.375,71.8,71.56,71.66,71.6656,-0.0098,71.6168,0.0012,0.6084,45.7655,39.9941,0,1,0.09,0.24,1,0,15
2021-03-23 09:30:00,71.58,0.01,-0.57,0.014,-0.79,1,0,0.5,72.39,71.58,72.34,71.6867,0.0023,71.7615,0.0161,0.8617,51.687,38.4861,1,1,0.76,0.81,1,1,9
2021-03-23 10:30:00,72.33,0.75,1.52,1.0478,2.1466,1,1,0.875,73.1,72.26,73.1,71.9456,0.0288,72.0292,0.0297,1.0853,57.2986,35.9183,1,1,0.77,0.84,1,1,10
2021-03-24 09:30:00,73.42,1.09,1.1,1.507,1.521,1,1,0.875,73.65,72.56,72.74,71.9933,0.0053,72.1713,0.0158,0.8932,54.0935,33.9252,1,1,-0.68,1.09,0,2,9
2021-03-24 10:30:00,72.74,-0.68,0.59,-0.9262,0.8177,0,1,0.75,73.24,72.67,73.24,72.1144,0.0135,72.3851,0.0237,0.9947,57.6378,32.0744,1,1,0.5,0.57,1,2,10
2021-03-24 11:30:00,73.24,0.5,1.42,0.6874,1.9772,1,1,0.75,73.36,72.99,73.2,72.2678,0.017,72.5481,0.0181,0.9194,57.2569,30.5226,1,1,-0.04,0.37,0,2,11
2021-03-24 12:30:00,73.2,-0.04,1.87,-0.0546,2.6216,0,1,0.625,73.44,72.92,73.01,72.4544,0.0207,72.6404,0.0103,0.8212,55.3849,29.1962,1,1,-0.19,0.52,0,2,12
2021-03-24 13:30:00,73.01,-0.19,1.81,-0.2596,2.5421,0,1,0.5,73.01,72.52,72.53,72.6011,0.0163,72.6184,-0.0025,0.6479,50.8607,27.2618,0,0,-0.48,0.49,0,2,13
2021-03-24 14:30:00,72.53,-0.48,0.96,-0.6574,1.3413,0,1,0.25,72.98,72.4,72.86,72.7422,0.0157,72.6667,0.0054,0.7399,53.6631,25.3649,1,1,0.33,0.58,1,2,14
2021-03-24 15:30:00,72.86,0.33,1.28,0.455,1.7882,1,1,0.375,73.0,72.63,72.82,72.8711,0.0143,72.6973,0.0034,0.7038,53.2666,23.568,0,1,-0.04,0.37,0,2,15
2021-03-25 09:30:00,73.0,0.14,0.67,0.1921,0.9263,1,1,0.375,73.16,72.48,73.11,72.9567,0.0095,72.7799,0.0092,0.7795,55.8158,22.1614,1,1,0.11,0.68,1,3,9
