datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 12:30:00,144.36,1.09,5.24,0.7608,3.7665,1,1,0.875,144.67,144.13,144.56,141.7267,0.0674,142.4216,0.0594,0.9809,77.0091,41.5869,1,1,0.2,0.54,1,0,12
2021-03-15 13:30:00,144.56,0.2,5.12,0.1385,3.6718,1,1,0.875,144.87,144.36,144.42,142.2811,0.0616,142.8213,0.0444,0.9178,75.6135,42.6616,1,1,-0.14,0.51,0,0,13
2021-03-15 14:30:00,144.41,-0.15,4.91,-0.1038,3.5197,0,1,0.75,144.6,144.02,144.15,142.8,0.0577,143.0871,0.0295,0.8537,72.8707,43.1373,1,1,-0.26,0.58,0,0,14
2021-03-15 15:30:00,144.16,-0.25,4.04,-0.1731,2.8832,0,1,0.5,145.0,144.1,144.92,143.3322,0.0591,143.4536,0.0407,0.9044,75.5901,43.7812,1,1,0.76,0.9,1,0,15
2021-03-16 09:30:00,145.71,1.55,5.44,1.0752,3.8782,1,1,0.875,146.15,143.84,144.87,143.8422,0.0567,143.7369,0.0315,0.8544,75.0639,44.8828,1,1,-0.84,2.31,0,1,9
2021-03-16 10:30:00,144.87,-0.84,4.12,-0.5765,2.9272,0,1,0.75,145.66,144.42,144.66,144.3189,0.053,143.9215,0.0205,0.7962,72.7727,45.9057,1,1,-0.21,1.24,0,1,10
2021-03-16 11:30:00,144.65,-0.22,1.03,-0.1519,0.7172,0,1,0.625,145.02,144.48,145.0,144.4722,0.017,144.1372,0.024,0.8057,74.1485,46.8555,1,1,0.35,0.54,1,1,11
2021-03-16 12:30:00,145.0,0.35,1.73,0.242,1.2075,1,1,0.75,145.46,144.7,144.82,144.64,0.0186,144.2738,0.0152,0.76,72.0721,47.9293,1,1,-0.18,0.76,0,1,12
2021-03-16 13:30:00,144.79,-0.21,0.43,-0.1448,0.2979,0,1,0.5,145.17,144.74,144.8,144.6889,0.0054,144.379,0.0117,0.7354,71.8315,48.9263,1,1,0.01,0.43,1,1,13
2021-03-16 14:30:00,144.79,0.0,0.23,0.0,0.1591,0,1,0.375,145.12,144.4,145.01,144.7389,0.0056,144.5052,0.014,0.7343,72.8565,49.2082,1,1,0.22,0.72,1,1,14
2021-03-16 15:30:00,145.03,0.24,0.62,0.1658,0.4293,1,1,0.75,145.25,144.65,144.65,144.7644,0.0028,144.5342,0.0032,0.6753,68.2701,49.5455,0,1,-0.38,0.6,0,1,15
2021-03-17 09:30:00,143.2,-1.83,-0.96,-1.2618,-0.6659,0,0,0.0,145.97,143.2,145.79,144.9467,0.0202,144.7853,0.0279,0.7825,73.8779,47.5264,1,1,2.59,2.77,1,2,9
2021-03-17 10:30:00,145.77,2.57,0.06,1.7947,0.0412,1,1,0.875,146.15,144.6,145.33,144.9922,0.0051,144.8943,0.0121,0.7099,68.6088,45.8066,1,1,-0.44,1.55,0,2,10
2021-03-17 11:30:00,145.33,-0.44,0.46,-0.3018,0.3175,0,1,0.75,145.35,144.47,144.62,144.9644,-0.0031,144.8394,-0.0061,0.5965,61.3371,44.0244,0,0,-0.71,0.88,0,2,11
