datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 10:30:00,519.79,5.47,13.86,1.0635,2.7395,1,1,0.875,524.0,517.56,518.9,513.6889,-0.0115,515.4301,0.0964,0.7174,65.9467,53.3564,1,1,-0.89,6.44,0,0,10
2021-03-15 11:30:00,519.0,-0.79,10.05,-0.152,1.9747,0,1,0.75,521.91,517.35,520.01,514.9422,0.1393,516.3461,0.1018,0.7346,66.9479,52.8508,1,1,1.01,4.56,1,0,11
2021-03-15 12:30:00,519.74,0.74,9.77,0.1426,1.9158,1,1,0.75,521.55,518.6,519.91,516.0433,0.1223,517.0589,0.0792,0.7104,66.7574,52.3814,1,1,0.17,2.95,1,0,12
2021-03-15 13:30:00,519.8,0.06,6.26,0.0115,1.219,1,1,0.875,523.23,519.57,522.5,517.0489,0.1117,518.1471,0.1209,0.8021,69.2009,52.1087,1,1,2.7,3.66,1,0,13
2021-03-15 14:30:00,522.74,2.94,9.1,0.5656,1.7717,1,1,0.875,525.58,522.58,524.32,518.2433,0.1327,519.3817,0.1372,0.9196,70.8238,52.0765,1,1,1.58,3.0,1,0,14
2021-03-15 15:30:00,524.23,1.49,12.76,0.285,2.4948,1,1,0.875,528.27,523.96,528.12,520.1267,0.2093,521.1293,0.1942,1.0316,73.9145,52.2851,1,1,3.89,4.31,1,0,15
2021-03-16 09:30:00,533.94,9.71,20.64,1.8522,4.021,1,1,0.875,539.68,532.12,537.42,522.81,0.2981,524.3875,0.362,1.2195,79.6079,53.2497,1,1,3.48,7.56,1,1,9
2021-03-16 10:30:00,537.67,3.73,23.35,0.6986,4.54,1,1,0.875,540.49,536.8,537.48,525.3922,0.2869,527.006,0.2909,1.0802,79.6388,54.1893,1,1,-0.19,3.69,0,1,10
2021-03-16 11:30:00,537.53,-0.14,17.74,-0.026,3.4129,0,1,0.75,538.68,530.32,531.24,526.6556,0.1404,527.8528,0.0941,0.8407,68.0915,53.4658,1,1,-6.29,8.36,0,1,11
2021-03-16 12:30:00,531.31,-6.22,12.31,-1.1571,2.3719,0,1,0.5,536.95,531.0,534.16,528.3511,0.1884,529.1142,0.1402,0.8831,70.2643,52.7939,1,1,2.85,5.95,1,1,12
2021-03-16 13:30:00,534.05,2.74,14.31,0.5157,2.7533,1,1,0.625,534.31,526.26,526.98,529.1256,0.086,528.6874,-0.0474,0.6645,59.5301,51.1177,0,0,-7.07,8.05,0,1,13
2021-03-16 14:30:00,526.78,-7.27,6.98,-1.3613,1.3428,0,1,0.25,531.83,524.67,530.78,530.3333,0.1342,529.1059,0.0465,0.7512,62.7716,49.2321,1,1,4.0,7.16,1,1,14
2021-03-16 15:30:00,531.05,4.27,8.31,0.8106,1.5897,1,1,0.25,533.57,530.83,531.39,531.3211,0.1098,529.5627,0.0508,0.7447,63.2801,47.6979,1,1,0.34,2.74,1,1,15
2021-03-17 09:30:00,521.74,-9.31,-2.49,-1.7531,-0.475,0,0,0.0,529.88,519.59,526.62,531.5767,0.0284,528.9742,-0.0654,0.5876,56.7527,44.3065,0,0,4.88,10.29,1,2,9
2021-03-17 10:30:00,526.07,4.33,-7.87,0.8299,-1.4739,1,0,0.125,527.64,522.54,525.49,531.2844,-0.0325,528.2773,-0.0774,0.5359,55.2975,41.1574,0,0,-0.58,5.1,0,2,10
2021-03-17 11:30:00,525.27,-0.8,-12.4,-0.1521,-2.3062,0,0,0.125,525.93,520.5,525.22,529.9289,-0.1506,527.6659,-0.0679,0.509,54.935,38.5472,0,0,-0.05,5.43,0,2,11
2021-03-17 12:30:00,525.0,-0.27,-12.53,-0.0514,-2.331,0,0,0.125,525.25,521.03,525.16,528.56,-0.1521,527.1647,-0.0557,0.4815,54.849,36.1235,0,0,0.16,4.22,1,2,12
2021-03-17 13:30:00,525.14,0.14,-6.17,0.0267,-1.1613,1,0,0.25,535.16,522.0,528.95,528.3056,-0.0283,527.5218,0.0397,0.6036,59.1962,34.6995,1,1,3.81,13.16,1,2,13
2021-03-17 14:30:00,529.0,3.86,-5.05,0.735,-0.9456,1,0,0.75,538.12,527.92,535.2,528.4211,0.0128,529.0574,0.1706,0.8407,65.1545,33.7372,1,1,6.2,10.2,1,2,14
2021-03-17 15:30:00,535.37,6.37,8.59,1.2042,1.6307,1,1,0.875,536.97,530.79,533.98,529.1989,0.0864,530.0419,0.1094,0.761,63.2141,32.8436,1,1,-1.39,6.18,0,2,15
2021-03-18 09:30:00,525.46,-9.91,-5.59,-1.8511,-1.0526,0,0,0.5,527.36,519.08,522.35,528.2622,-0.1041,528.5035,-0.1709,0.2164,48.4123,30.8535,0,0,-3.11,8.28,0,3,9
2021-03-18 10:30:00,522.08,-3.38,0.34,-0.6432,0.0652,0,1,0.0,524.57,520.33,522.63,527.2889,-0.1081,527.3288,-0.1305,0.2138,48.7236,29.0055,0,0,0.55,4.24,1,3,10
2021-03-18 11:30:00,522.84,0.76,-3.23,0.1456,-0.614,1,0,0.125,525.39,519.3,525.15,527.1256,-0.0181,526.8931,-0.0484,0.3122,51.5569,27.436,0,0,2.31,6.09,1,3,11
2021-03-18 12:30:00,525.09,2.25,-0.18,0.4303,-0.0343,1,0,0.375,525.5,518.5,520.63,526.5856,-0.06,525.6405,-0.1392,0.0933,46.5848,26.0964,0,0,-4.46,7.0,0,3,12
2021-03-18 13:30:00,520.43,-4.66,-4.57,-0.8875,-0.8705,0,0,0.0,521.61,516.16,516.38,525.6033,-0.1091,523.7884,-0.2058,-0.0352,42.4403,25.1974,0,0,-4.05,5.45,0,3,13
2021-03-18 14:30:00,517.1,-3.33,-8.04,-0.6399,-1.531,0,0,0.0,517.38,511.92,514.41,524.4089,-0.1327,521.9127,-0.2084,-0.0209,40.6357,24.9406,0,0,-2.69,5.46,0,3,14
2021-03-18 15:30:00,514.25,-2.85,-14.75,-0.5512,-2.7883,0,0,0.0,514.5,508.68,508.9,522.1811,-0.2475,519.3102,-0.2892,-0.1068,36.0219,25.1025,0,0,-5.35,5.82,0,3,15
2021-03-19 09:30:00,514.25,0.0,-21.12,0.0,-3.9449,0,0,0.0,515.0,504.5,510.0,519.3811,-0.3111,517.4481,-0.2069,0.003,37.5464,25.7226,0,0,-4.25,10.5,0,4,9
2021-03-19 10:30:00,509.99,-4.26,-15.47,-0.8284,-2.9441,0,0,0.0,515.0,506.81,511.68,516.9033,-0.2753,516.2945,-0.1282,0.1114,39.9018,26.2984,0,0,1.69,8.19,1,4,10
2021-03-19 11:30:00,511.41,1.42,-10.67,0.2784,-2.0437,1,0,0.125,514.8,510.59,512.99,515.8633,-0.1156,515.6336,-0.0734,0.1857,41.7467,26.8331,0,0,1.58,4.21,1,4,11
2021-03-19 12:30:00,513.01,1.6,-9.83,0.3129,-1.8801,1,0,0.25,516.74,513.01,516.28,515.1578,-0.0784,515.7629,0.0144,0.3103,46.2125,26.854,1,1,3.27,3.73,1,4,12
2021-03-19 13:30:00,516.23,3.22,-8.86,0.6277,-1.6873,1,0,0.625,516.81,512.38,514.2,513.9411,-0.1352,515.4503,-0.0347,0.2681,43.9201,26.9625,1,0,-2.03,4.43,0,4,13
2021-03-19 14:30:00,513.93,-2.3,-6.5,-0.4455,-1.249,0,0,0.375,514.96,508.9,510.45,512.81,-0.1257,514.4502,-0.1111,0.1805,40.0616,27.5358,0,0,-3.48,6.06,0,4,14
