datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 15:30:00,67.44,-0.18,0.3,-0.2662,0.4468,0,1,0.625,67.78,67.27,67.73,67.34,0.0074,67.4684,0.0073,0.8361,39.9149,69.0791,1,1,0.29,0.51,1,0,15
2021-03-16 09:30:00,67.99,0.55,0.8,0.8155,1.1907,1,1,0.875,68.07,66.9,67.0,67.3189,-0.0023,67.3747,-0.0104,0.2147,33.1368,68.0472,0,0,-0.99,1.17,0,1,9
2021-03-16 10:30:00,66.99,-1.0,0.09,-1.4708,0.1345,0,1,0.0,67.19,66.9,67.01,67.3011,-0.002,67.3018,-0.0081,0.2247,33.3039,67.0891,0,0,0.02,0.29,1,1,10
2021-03-16 11:30:00,67.02,0.03,-0.07,0.0448,-0.1043,1,0,0.125,67.07,66.86,67.02,67.2944,-0.0007,67.2454,-0.0063,0.2538,33.4829,66.2376,0,0,0.0,0.21,0,1,11
2021-03-16 12:30:00,67.02,0.0,-0.08,0.0,-0.1192,0,0,0.125,67.07,66.89,66.96,67.2789,-0.0017,67.1883,-0.0063,0.2291,32.9121,65.4469,0,0,-0.06,0.18,0,1,12
2021-03-16 13:30:00,66.97,-0.05,-0.32,-0.0746,-0.4756,0,0,0.0,66.97,66.68,66.83,67.2278,-0.0057,67.1167,-0.008,0.1026,31.6531,64.9271,0,0,-0.14,0.29,0,1,13
2021-03-16 14:30:00,66.84,-0.13,-0.61,-0.1941,-0.9044,0,0,0.0,66.97,66.76,66.91,67.1689,-0.0065,67.0753,-0.0046,0.2175,33.343,64.4444,0,0,0.07,0.21,1,1,14
2021-03-16 15:30:00,66.91,0.07,-0.71,0.1047,-1.05,1,0,0.125,66.99,66.78,66.85,67.0833,-0.0095,67.0303,-0.005,0.1531,32.6902,63.9132,0,0,-0.06,0.21,0,1,15
2021-03-17 09:30:00,66.81,-0.1,-0.63,-0.1495,-0.9342,0,0,0.0,66.84,66.19,66.66,66.9967,-0.0096,66.9562,-0.0082,0.0333,30.6441,64.0007,0,0,-0.15,0.65,0,2,9
2021-03-17 10:30:00,66.66,-0.15,-1.33,-0.2245,-1.9562,0,0,0.0,66.68,66.3,66.43,66.8522,-0.016,66.851,-0.0117,-0.0585,28.3323,64.0819,0,0,-0.23,0.38,0,2,10
2021-03-17 11:30:00,66.42,-0.24,-0.57,-0.36,-0.8509,0,0,0.0,66.59,66.38,66.52,66.7989,-0.0059,66.7848,-0.0074,0.0789,30.5405,64.1573,0,0,0.1,0.21,1,2,11
2021-03-17 12:30:00,66.52,0.1,-0.5,0.1506,-0.746,1,0,0.125,66.54,66.38,66.44,66.7356,-0.007,66.7158,-0.0077,0.079,29.6655,64.2273,0,0,-0.08,0.16,0,2,12
2021-03-17 13:30:00,66.44,-0.08,-0.58,-0.1203,-0.8654,0,0,0.125,66.52,66.24,66.3,66.6556,-0.0089,66.6327,-0.0092,0.0522,28.1458,64.434,0,0,-0.14,0.28,0,2,13
2021-03-17 14:30:00,66.31,-0.13,-0.66,-0.1957,-0.9855,0,0,0.0,66.56,66.23,66.36,66.5889,-0.0074,66.5781,-0.0061,0.1372,29.8055,64.4205,0,0,0.05,0.33,1,2,14
2021-03-17 15:30:00,66.35,0.04,-0.49,0.0603,-0.7331,1,0,0.125,66.44,66.16,66.2,66.5189,-0.0078,66.5025,-0.0084,0.0957,27.9514,64.4882,0,0,-0.15,0.28,0,2,15
2021-03-18 09:30:00,66.44,0.09,-0.47,0.1356,-0.7024,1,0,0.375,67.0,66.09,66.42,66.4644,-0.006,66.486,-0.0018,0.247,34.0281,62.035,0,0,-0.02,0.91,0,3,9
2021-03-18 10:30:00,66.42,-0.02,-0.39,-0.0301,-0.5837,0,0,0.25,66.89,66.36,66.75,66.4533,-0.0012,66.5388,0.0059,0.4458,41.9386,59.757,1,1,0.33,0.53,1,3,10
2021-03-18 11:30:00,66.76,0.34,0.1,0.5119,0.15,1,1,0.875,66.95,66.65,66.89,66.4789,0.0028,66.609,0.0078,0.544,44.9542,57.4021,1,1,0.13,0.3,1,3,11
2021-03-18 12:30:00,66.89,0.13,0.47,0.1947,0.7076,1,1,0.875,66.92,66.68,66.81,66.5211,0.0047,66.6492,0.0045,0.5225,43.5619,55.2153,1,1,-0.08,0.24,0,3,12
2021-03-18 13:30:00,66.8,-0.09,0.28,-0.1345,0.4209,0,1,0.75,66.96,66.47,66.49,66.5178,-0.0004,66.6174,-0.0035,0.3259,38.4341,53.6802,0,0,-0.31,0.49,0,3,13
2021-03-18 14:30:00,66.49,-0.31,0.05,-0.4641,0.0753,0,1,0.5,66.86,66.3,66.83,66.5611,0.0048,66.6599,0.0047,0.6418,45.7421,52.616,1,1,0.34,0.56,1,3,14
2021-03-18 15:30:00,66.82,0.33,0.51,0.4963,0.7691,1,1,0.75,66.86,66.54,66.74,66.61,0.0054,66.6759,0.0018,0.5697,44.2449,51.6278,1,1,-0.08,0.32,0,3,15
2021-03-19 09:30:00,66.83,0.01,0.48,0.015,0.7234,1,1,0.75,66.83,65.96,66.11,66.5822,-0.0031,66.5627,-0.0126,0.0096,35.4886,51.7243,0,0,-0.72,0.87,0,4,9
2021-03-19 10:30:00,66.12,-0.71,-0.32,-1.0624,-0.4816,0,0,0.0,66.44,66.06,66.38,66.6022,0.0022,66.5262,-0.0041,0.2876,40.888,51.8138,0,0,0.26,0.38,1,4,10
2021-03-19 11:30:00,66.38,0.26,-0.04,0.3932,-0.0602,1,0,0.125,66.71,66.38,66.71,66.6344,0.0036,66.563,0.0041,0.6343,46.7538,50.6811,1,1,0.33,0.33,1,4,11
2021-03-19 12:30:00,66.71,0.33,-0.05,0.4971,-0.0749,1,0,0.375,66.77,66.53,66.64,66.6222,-0.0014,66.5784,0.0017,0.573,45.7175,49.3775,1,1,-0.07,0.24,0,4,12
2021-03-19 13:30:00,66.64,-0.07,-0.25,-0.1049,-0.3737,0,0,0.375,66.67,66.44,66.63,66.5933,-0.0032,66.5887,0.0011,0.5817,45.5621,48.361,1,1,-0.01,0.23,0,4,13
2021-03-19 14:30:00,66.63,-0.01,-0.17,-0.015,-0.2545,0,0,0.375,66.83,66.59,66.63,66.5733,-0.0022,66.597,0.0009,0.5985,45.5621,46.7271,1,1,0.0,0.24,0,4,14
