datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-05 11:30:00,62.94,-0.88,-2.92,-1.3789,-4.4336,0,0,0.0,64.07,62.79,63.95,64.12,-0.024,64.2136,-0.0073,0.2321,40.9561,28.1627,0,0,1.01,1.28,1,4,11
2021-03-05 12:30:00,63.94,1.0,-1.04,1.5888,-1.6005,1,0,0.375,64.12,63.88,64.04,64.0178,-0.0114,64.1789,-0.0039,0.268,41.8938,27.8549,1,0,0.1,0.24,1,4,12
2021-03-05 13:30:00,64.05,0.11,-1.09,0.172,-1.6733,1,0,0.625,64.62,64.01,64.52,63.9456,-0.008,64.2471,0.0076,0.3674,46.7505,26.7064,1,1,0.47,0.61,1,4,13
2021-03-05 14:30:00,64.53,0.48,0.13,0.7494,0.2019,1,1,0.875,64.82,64.53,64.81,63.9911,0.0051,64.3597,0.0125,0.4268,49.497,25.318,1,1,0.28,0.29,1,4,14
2021-03-05 15:30:00,64.8,0.27,0.9,0.4184,1.4085,1,1,0.875,65.08,64.79,64.87,64.0989,0.012,64.4618,0.0113,0.4462,50.0708,23.6195,1,1,0.07,0.29,1,4,15
2021-03-08 09:30:00,64.79,-0.01,0.79,-0.0154,1.2344,0,1,0.75,65.33,64.63,65.32,64.2444,0.0162,64.6334,0.0191,0.5449,54.2675,22.2027,1,1,0.53,0.7,1,0,9
2021-03-08 10:30:00,65.34,0.55,0.84,0.8489,1.3023,1,1,0.875,65.72,65.07,65.72,64.4378,0.0215,64.8507,0.0241,0.6424,57.6732,21.4434,1,1,0.38,0.65,1,0,10
2021-03-08 11:30:00,65.65,0.31,1.83,0.4744,2.8674,1,1,0.875,66.19,65.49,66.13,64.6933,0.0284,65.1066,0.0284,0.74,60.8883,21.3389,1,1,0.48,0.7,1,0,11
2021-03-08 12:30:00,66.16,0.51,3.22,0.7768,5.116,1,1,0.875,66.32,66.07,66.19,65.0611,0.0409,65.3233,0.0241,0.7759,61.351,21.3991,1,1,0.03,0.25,1,0,12
2021-03-08 13:30:00,66.14,-0.02,2.2,-0.0302,3.4407,0,1,0.75,66.18,65.79,65.85,65.2722,0.0235,65.4286,0.0117,0.7453,57.2202,20.9311,1,1,-0.29,0.39,0,0,13
2021-03-08 14:30:00,65.84,-0.3,1.79,-0.4536,2.7947,0,1,0.625,65.98,65.42,65.59,65.4444,0.0191,65.4609,0.0036,0.7195,54.2142,19.8508,1,1,-0.25,0.56,0,0,14
2021-03-08 15:30:00,65.57,-0.27,1.04,-0.4101,1.6117,0,1,0.375,65.65,65.21,65.22,65.5222,0.0086,65.4127,-0.0054,0.6302,50.1746,18.5008,0,0,-0.35,0.44,0,0,15
2021-03-09 09:30:00,65.57,0.0,0.77,0.0,1.1883,0,1,0.25,66.44,65.02,66.32,65.69,0.0186,65.5942,0.0202,0.8978,59.7716,18.3566,1,1,0.75,1.42,1,1,9
2021-03-09 10:30:00,66.32,0.75,1.53,1.1438,2.3615,1,1,0.875,66.65,65.96,66.02,65.8178,0.0142,65.6793,0.0095,0.7956,56.5713,18.479,1,1,-0.3,0.69,0,1,10
2021-03-09 11:30:00,66.01,-0.31,0.67,-0.4674,1.0254,0,1,0.5,66.28,65.94,66.08,65.9022,0.0094,65.7595,0.0089,0.7814,57.0664,18.555,1,1,0.07,0.34,1,1,11
2021-03-09 12:30:00,66.11,0.1,0.46,0.1515,0.7007,1,1,0.5,66.23,65.75,65.8,65.9111,0.001,65.7676,0.0009,0.69,53.9739,18.2588,0,1,-0.31,0.48,0,1,12
2021-03-09 13:30:00,65.81,-0.3,-0.35,-0.4538,-0.529,0,0,0.25,65.88,65.55,65.59,65.8511,-0.0067,65.7321,-0.0039,0.6191,51.7105,17.6043,0,0,-0.22,0.33,0,1,13
2021-03-09 14:30:00,65.6,-0.21,-0.54,-0.3191,-0.8164,0,0,0.25,65.82,65.27,65.27,65.7489,-0.0114,65.6396,-0.0103,0.5191,48.3811,16.4867,0,0,-0.33,0.55,0,1,14
2021-03-09 15:30:00,65.26,-0.34,-0.58,-0.5183,-0.8809,0,0,0.0,65.34,64.94,64.94,65.6478,-0.0112,65.4997,-0.0155,0.4087,45.1525,15.7276,0,0,-0.32,0.4,0,1,15
2021-03-10 09:30:00,64.93,-0.33,-0.64,-0.5057,-0.9761,0,0,0.0,65.75,64.61,65.54,65.6422,-0.0006,65.5078,0.0009,0.5564,51.491,14.8892,0,1,0.61,1.14,1,2,9
2021-03-10 10:30:00,65.54,0.61,-0.03,0.9395,-0.0458,1,0,0.25,65.94,65.43,65.77,65.7033,0.0068,65.5602,0.0058,0.6233,53.6999,14.4151,1,1,0.23,0.51,1,2,10
2021-03-10 11:30:00,65.73,0.19,-0.59,0.2899,-0.8896,1,0,0.5,66.37,65.7,66.29,65.7,-0.0004,65.7062,0.0162,0.84,58.3208,14.6143,1,1,0.56,0.67,1,2,11
2021-03-10 12:30:00,66.28,0.55,0.27,0.8368,0.409,1,1,0.875,66.44,66.07,66.41,65.7433,0.0048,65.8469,0.0156,0.8767,59.3295,14.8989,1,1,0.13,0.37,1,2,12
2021-03-10 13:30:00,66.43,0.15,0.32,0.2263,0.484,1,1,0.875,66.5,66.23,66.37,65.7756,0.0036,65.9516,0.0116,0.8308,58.8185,15.252,1,1,-0.06,0.27,0,2,13
2021-03-10 14:30:00,66.34,-0.09,0.53,-0.1355,0.8053,0,1,0.75,66.41,65.92,66.0,65.7978,0.0025,65.9612,0.0011,0.6089,54.1705,14.9087,1,1,-0.34,0.49,0,2,14
2021-03-10 15:30:00,66.01,-0.33,0.41,-0.4974,0.625,0,1,0.5,66.29,65.93,66.2,65.8656,0.0075,66.009,0.0053,0.7083,56.186,14.5899,1,1,0.19,0.36,1,2,15
2021-03-11 09:30:00,66.25,0.24,0.99,0.3636,1.517,1,1,0.5,67.07,65.9,67.07,66.0656,0.0222,66.2212,0.0236,1.0947,63.6705,15.485,1,1,0.82,1.17,1,3,9
2021-03-11 10:30:00,67.07,0.82,2.14,1.2377,3.2959,1,1,0.875,67.59,66.96,67.26,66.3233,0.0286,66.429,0.0231,1.0692,65.0737,16.9299,1,1,0.19,0.63,1,3,10
2021-03-11 11:30:00,67.26,0.19,1.72,0.2833,2.6244,1,1,0.875,67.38,66.97,66.99,66.4844,0.0179,66.5412,0.0125,0.9015,61.4419,18.2717,1,1,-0.27,0.41,0,3,11
2021-03-11 12:30:00,67.0,-0.26,1.27,-0.3866,1.9321,0,1,0.625,67.17,66.73,67.17,66.64,0.0173,66.6669,0.014,0.9161,62.9274,18.9421,1,1,0.17,0.44,1,3,12
2021-03-11 13:30:00,67.17,0.17,0.89,0.2537,1.3428,1,1,0.75,67.58,66.93,67.5,66.7744,0.0149,66.8335,0.0185,0.9657,65.5479,20.0734,1,1,0.33,0.65,1,3,13
2021-03-11 14:30:00,67.49,0.32,1.06,0.4764,1.5957,1,1,0.875,67.64,67.24,67.25,66.8678,0.0104,66.9168,0.0093,0.8412,61.9739,21.1951,1,1,-0.24,0.4,0,3,14
2021-03-11 15:30:00,67.25,-0.24,0.91,-0.3556,1.3717,0,1,0.625,67.54,67.14,67.29,66.97,0.0114,66.9915,0.0083,0.823,62.3278,21.9778,1,1,0.04,0.4,1,3,15
2021-03-12 09:30:00,67.3,0.05,1.29,0.0743,1.9542,1,1,0.75,67.43,66.12,66.45,67.02,0.0056,66.8832,-0.012,0.5301,51.4895,20.5641,0,0,-0.85,1.31,0,4,9
