datetime,open,open change,open change (%),open trend,high,high change,high change (%),high trend,low,low change,low change (%),low trend,close,close change,close change (%),close trend,volume,sma,sma change,sma change (%),sma trend,ema,ema change,ema change (%),ema trend,percent_b,percent_b trend,atr,atr trend,macd,macd trend,macd_signal,macd_signal trend,macd_hist,macd_hist trend,adx,adx trend,rsi,rsi trend,%K,%K trend,%D,%D trend,vpt,vpt trend,price movement,price range,price trend,day,hour
2021-03-15 11:30:00,337.43,-1.58,-0.4661,0,340.26,-0.24,-0.0705,0,336.69,-0.48,-0.1424,0,339.47,2.07,0.6135,1,50692,339.9178,0.0578,0.017,1,339.9863,-0.1291,-0.038,0,0.3963,1,3.3061,1,-0.5952,0,-0.3144,0,-0.2808,1,22.9772,0,46.4367,1,28.9885,1,15.9702,0,-2857.5343,1,2.04,3.57,1,0,11
2021-03-15 12:30:00,339.32,1.89,0.5601,1,341.05,0.79,0.2322,1,339.3,2.61,0.7752,1,340.26,0.79,0.2327,1,83138,339.9378,0.02,0.0059,1,340.0411,0.0548,0.0161,1,0.4471,1,3.1949,0,-0.5496,1,-0.3614,0,-0.1882,1,21.4453,0,48.5127,1,37.2651,1,22.9261,1,-2664.0591,1,0.94,1.75,1,0,12
2021-03-15 13:30:00,340.37,1.05,0.3094,1,341.32,0.27,0.0792,1,339.86,0.56,0.165,1,340.01,-0.25,-0.0735,0,43917,339.8744,-0.0634,-0.0187,0,340.0348,-0.0063,-0.0019,0,0.4011,0,3.071,0,-0.5276,1,-0.3947,0,-0.1329,1,19.9221,0,47.8802,0,34.6555,0,33.6364,1,-2696.3264,0,-0.36,1.46,0,0,13
2021-03-15 14:30:00,340.0,-0.37,-0.1087,0,342.22,0.9,0.2637,1,339.66,-0.2,-0.0588,0,341.84,1.83,0.5382,1,77788,340.0944,0.22,0.0647,1,340.3959,0.3611,0.1062,1,0.5371,1,3.0345,0,-0.3584,1,-0.3874,1,0.029,1,18.9014,0,52.7372,1,53.7578,1,41.8928,1,-2277.6562,1,1.84,2.56,1,0,14
2021-03-15 15:30:00,342.3,2.3,0.6765,1,344.32,2.1,0.6136,1,342.26,2.6,0.7655,1,343.75,1.91,0.5587,1,108871,340.5544,0.46,0.1353,1,341.0667,0.6708,0.1971,1,0.7192,1,2.9949,0,-0.0693,1,-0.3238,1,0.2545,1,18.7743,0,57.2184,1,92.5295,1,60.3143,1,-1669.3494,1,1.45,2.06,1,0,15
2021-03-16 09:30:00,348.06,5.76,1.6827,1,350.4,6.08,1.7658,1,343.36,1.1,0.3214,1,344.89,1.14,0.3316,1,107253,341.0344,0.48,0.1409,1,341.8314,0.7647,0.2242,1,0.8106,1,3.2838,1,0.2489,1,-0.2093,1,0.4581,1,20.2852,1,59.6758,1,59.8104,0,68.6992,1,-1313.6594,1,-3.17,7.04,0,1,9
2021-03-16 10:30:00,344.97,-3.09,-0.8878,0,345.84,-4.56,-1.3014,0,343.07,-0.29,-0.0845,0,344.46,-0.43,-0.1247,0,60393,341.2356,0.2012,0.059,1,342.3571,0.5257,0.1538,1,0.7753,0,3.2471,0,0.461,1,-0.0752,1,0.5362,1,21.5489,1,58.3151,0,56.674,0,69.6713,1,-1388.9559,0,-0.51,2.77,0,1,10
2021-03-16 11:30:00,344.84,-0.13,-0.0377,0,344.85,-0.99,-0.2863,0,340.12,-2.95,-0.8599,0,340.65,-3.81,-1.1061,0,59068,341.4144,0.1788,0.0524,1,342.0157,-0.3414,-0.0997,0,0.414,0,3.353,1,0.318,0,0.0034,1,0.3146,0,21.4169,0,47.8946,0,28.884,0,48.4561,0,-2042.2947,0,-4.19,4.73,0,1,11
2021-03-16 12:30:00,340.36,-4.48,-1.2992,0,342.32,-2.53,-0.7337,0,340.36,0.24,0.0706,1,341.22,0.57,0.1673,1,42105,341.8389,0.4245,0.1243,1,341.8565,-0.1592,-0.0465,0,0.4939,1,3.2535,0,0.2479,0,0.0523,1,0.1955,0,21.2943,0,49.3527,1,33.0416,1,39.5332,0,-1971.8416,1,0.86,1.96,1,1,12
2021-03-16 13:30:00,341.23,0.87,0.2556,1,341.23,-1.09,-0.3184,0,338.35,-2.01,-0.5906,0,338.35,-2.87,-0.8411,0,45434,341.7144,-0.1245,-0.0364,0,341.1552,-0.7013,-0.2051,0,0.1926,0,3.2269,0,-0.0389,0,0.0341,0,-0.073,0,20.3704,0,42.8504,0,12.108,0,24.6779,0,-2353.9868,0,-2.88,2.88,0,1,13
