datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 11:30:00,35.09,0.05,0.31,0.1427,0.8913,1,1,0.75,35.18,35.03,35.14,34.9444,0.0044,34.9747,0.0046,1.026,70.6474,13.4646,1,1,0.05,0.15,1,0,11
2021-03-15 12:30:00,35.14,0.05,0.29,0.1425,0.8321,1,1,0.875,35.28,35.12,35.27,34.9911,0.0052,35.0337,0.0066,1.17,75.4407,14.832,1,1,0.13,0.16,1,0,12
2021-03-15 13:30:00,35.26,0.12,0.43,0.3415,1.2346,1,1,0.875,35.43,35.25,35.37,35.05,0.0065,35.101,0.0075,1.1647,78.3672,16.7795,1,1,0.11,0.18,1,0,13
2021-03-15 14:30:00,35.37,0.11,0.49,0.312,1.4048,1,1,0.875,35.37,35.26,35.28,35.0944,0.0049,35.1368,0.004,0.9555,70.2534,18.5878,1,1,-0.09,0.11,0,0,14
2021-03-15 15:30:00,35.28,-0.09,0.39,-0.2545,1.1178,0,1,0.75,35.43,35.26,35.4,35.1522,0.0064,35.1894,0.0058,1.0165,74.1034,20.5205,1,1,0.12,0.17,1,0,15
2021-03-16 09:30:00,35.47,0.19,0.58,0.5385,1.6624,1,1,0.875,35.83,35.31,35.77,35.2511,0.011,35.3056,0.0129,1.2018,81.8874,23.5018,1,1,0.3,0.52,1,1,9
2021-03-16 10:30:00,35.78,0.31,0.68,0.874,1.9373,1,1,0.875,35.78,35.51,35.54,35.3211,0.0078,35.3524,0.0052,0.9232,68.1702,26.2701,1,1,-0.24,0.27,0,1,10
2021-03-16 11:30:00,35.54,-0.24,0.5,-0.6708,1.4269,0,1,0.75,35.67,35.54,35.65,35.3889,0.0075,35.412,0.0066,0.9468,70.6983,28.8407,1,1,0.11,0.13,1,1,11
2021-03-16 12:30:00,35.65,0.11,0.56,0.3095,1.5959,1,1,0.75,35.73,35.61,35.71,35.4589,0.0078,35.4716,0.0066,0.9307,72.0044,31.3736,1,1,0.06,0.12,1,1,12
2021-03-16 13:30:00,35.71,0.06,0.57,0.1683,1.6221,1,1,0.75,35.77,35.67,35.71,35.5222,0.007,35.5192,0.0053,0.8839,72.0044,33.8211,1,1,0.0,0.1,0,1,13
2021-03-16 14:30:00,35.71,0.0,0.45,0.0,1.2762,0,1,0.625,35.76,35.66,35.72,35.5722,0.0056,35.5594,0.0045,0.8535,72.2436,35.9757,1,1,0.01,0.1,1,1,14
2021-03-16 15:30:00,35.71,0.0,0.34,0.0,0.9613,0,1,0.5,35.86,35.71,35.83,35.6233,0.0057,35.6135,0.006,0.8879,74.7943,38.226,1,1,0.12,0.15,1,1,15
2021-03-17 09:30:00,35.83,0.12,0.55,0.336,1.559,1,1,0.875,35.83,35.12,35.3,35.6256,0.0002,35.5508,-0.007,0.4925,50.6449,35.7536,0,0,-0.53,0.71,0,2,9
2021-03-17 10:30:00,35.29,-0.54,-0.18,-1.5071,-0.5075,0,0,0.0,35.75,35.29,35.73,35.6622,0.0041,35.5867,0.004,0.7857,61.5047,33.4579,1,1,0.44,0.46,1,2,10
2021-03-17 11:30:00,35.72,0.43,-0.06,1.2185,-0.1677,1,0,0.75,35.85,35.68,35.76,35.6611,-0.0001,35.6213,0.0039,0.7816,62.1308,31.8062,1,1,0.04,0.17,1,2,11
2021-03-17 12:30:00,35.76,0.04,0.22,0.112,0.619,1,1,0.75,35.85,35.71,35.71,35.68,0.0021,35.6391,0.002,0.7217,60.3686,30.2725,1,1,-0.05,0.14,0,2,12
2021-03-17 13:30:00,35.71,-0.05,0.06,-0.1398,0.1683,0,1,0.125,35.85,35.65,35.67,35.6822,0.0002,35.6452,0.0007,0.6704,58.9287,28.4836,0,1,-0.04,0.2,0,2,13
2021-03-17 14:30:00,35.67,-0.04,-0.04,-0.112,-0.112,0,0,0.125,35.87,35.67,35.79,35.6911,0.001,35.6742,0.0032,0.7618,61.8672,26.9332,1,1,0.12,0.2,1,2,14
2021-03-17 15:30:00,35.78,0.11,0.07,0.3084,0.196,1,1,0.75,35.96,35.74,35.78,35.6989,0.0009,35.6954,0.0024,0.734,61.4725,25.9821,1,1,0.0,0.22,0,2,15
2021-03-18 09:30:00,35.57,-0.21,-0.14,-0.5869,-0.392,0,0,0.125,35.97,35.52,35.91,35.72,0.0023,35.7383,0.0048,0.8521,64.6317,24.4674,1,1,0.34,0.45,1,3,9
2021-03-18 10:30:00,35.91,0.34,0.08,0.9559,0.2233,1,1,0.875,35.95,35.78,35.84,35.7211,0.0001,35.7586,0.0023,0.7578,61.698,23.0609,1,1,-0.07,0.17,0,3,10
