datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-12 12:30:00,127.89,-0.22,0.35,-0.1717,0.2744,0,1,0.625,128.11,127.8,128.1,127.6456,0.0068,127.7902,0.0086,0.7393,55.517,16.1178,1,1,0.21,0.31,1,4,12
2021-03-12 13:30:00,128.08,0.19,0.84,0.1486,0.6602,1,1,0.625,128.4,128.03,128.25,127.7578,0.0125,127.8822,0.0102,0.7859,56.9014,16.8727,1,1,0.17,0.37,1,4,13
2021-03-12 14:30:00,128.27,0.19,0.81,0.1483,0.6355,1,1,0.75,128.3,127.92,128.18,127.8378,0.0089,127.9417,0.0066,0.7655,56.0251,17.3344,1,1,-0.09,0.38,0,4,14
2021-03-12 15:30:00,128.19,-0.08,0.69,-0.0624,0.5412,0,1,0.625,128.34,128.06,128.1,127.9044,0.0074,127.9734,0.0035,0.7013,54.983,17.8192,1,1,-0.09,0.28,0,4,15
2021-03-15 09:30:00,128.14,-0.05,1.0,-0.039,0.7865,0,1,0.5,129.04,127.22,127.47,127.9411,0.0041,127.8727,-0.0112,0.3282,47.4914,16.6012,0,0,-0.67,1.82,0,0,9
2021-03-15 10:30:00,127.45,-0.69,-0.2,-0.5385,-0.1567,0,0,0.0,128.14,127.21,128.13,128.0778,0.0152,127.9242,0.0057,0.7176,54.4876,15.4529,1,1,0.68,0.93,1,0,10
2021-03-15 11:30:00,128.13,0.68,-0.34,0.5335,-0.2647,1,0,0.5,128.56,128.06,128.51,128.0822,0.0005,128.0413,0.013,0.8966,57.9607,15.0841,1,1,0.38,0.5,1,0,11
2021-03-15 12:30:00,128.5,0.37,0.39,0.2888,0.3044,1,1,0.875,128.5,128.05,128.15,128.0856,0.0004,128.0631,0.0024,0.696,53.7741,14.7219,1,1,-0.35,0.45,0,0,12
2021-03-15 13:30:00,128.17,-0.33,0.28,-0.2568,0.2189,0,1,0.5,128.69,128.09,128.37,128.14,0.006,128.1245,0.0068,0.7927,55.8718,14.6996,1,1,0.2,0.6,1,0,13
2021-03-15 14:30:00,128.38,0.21,0.3,0.1638,0.2342,1,1,0.75,128.43,127.96,127.97,128.1256,-0.0016,128.0936,-0.0034,0.5619,51.3124,14.3949,0,0,-0.41,0.47,0,0,14
2021-03-15 15:30:00,127.97,-0.41,-0.3,-0.3194,-0.2339,0,0,0.125,128.75,127.87,128.54,128.1578,0.0036,128.1829,0.0099,0.8383,56.7311,14.6516,1,1,0.57,0.88,1,0,15
2021-03-16 09:30:00,128.93,0.96,0.74,0.7502,0.5773,1,1,0.875,129.79,128.65,129.74,128.3311,0.0193,128.4943,0.0346,1.2074,65.4492,16.2252,1,1,0.81,1.14,1,1,9
2021-03-16 10:30:00,129.74,0.81,1.6,0.6282,1.2486,1,1,0.875,129.98,129.37,129.45,128.4811,0.0167,128.6854,0.0212,1.0036,62.1881,17.8806,1,1,-0.29,0.61,0,1,10
2021-03-16 11:30:00,129.45,-0.29,2.0,-0.2235,1.5692,0,1,0.75,129.66,128.92,129.66,128.7244,0.027,128.8803,0.0217,0.9955,63.6024,18.4352,1,1,0.21,0.74,1,1,11
2021-03-16 12:30:00,129.66,0.21,1.53,0.1622,1.1941,1,1,0.75,129.72,129.26,129.47,128.8733,0.0165,128.9983,0.0131,0.881,61.366,19.0244,1,1,-0.19,0.46,0,1,12
2021-03-16 13:30:00,129.47,-0.19,0.97,-0.1465,0.7549,0,1,0.625,129.67,129.14,129.67,129.0022,0.0143,129.1326,0.0149,0.9045,62.8469,19.3072,1,1,0.2,0.53,1,1,13
2021-03-16 14:30:00,129.66,0.19,1.49,0.1468,1.1625,1,1,0.625,129.67,128.96,129.01,129.0978,0.0106,129.1081,-0.0027,0.6678,55.312,19.1739,0,0,-0.65,0.71,0,1,14
2021-03-16 15:30:00,129.01,-0.65,0.63,-0.5013,0.4907,0,1,0.25,129.4,128.89,129.0,129.1678,0.0078,129.0865,-0.0024,0.6527,55.204,18.8948,0,0,-0.01,0.51,0,1,15
2021-03-17 09:30:00,129.18,0.17,1.21,0.1318,0.9455,1,1,0.25,129.25,128.39,128.99,129.2811,0.0126,129.0672,-0.0021,0.6335,55.0882,17.6088,0,0,-0.19,0.86,0,2,9
2021-03-17 10:30:00,128.96,-0.22,0.03,-0.1703,0.0233,0,1,0.0,129.34,128.87,128.94,129.3256,0.0049,129.0417,-0.0028,0.598,54.4727,16.5818,0,0,-0.02,0.47,0,2,10
