datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-10 12:30:00,75.74,0.37,-0.2,0.4909,-0.2634,1,0,0.75,76.02,75.54,76.02,75.4244,0.0011,75.5721,0.0124,0.5706,56.2514,8.3114,1,1,0.28,0.48,1,2,12
2021-03-10 13:30:00,76.04,0.3,0.24,0.3961,0.3166,1,1,0.875,76.77,75.88,76.76,75.5311,0.0119,75.8097,0.0264,0.7931,62.9591,9.1248,1,1,0.72,0.89,1,2,13
2021-03-10 14:30:00,76.75,0.71,1.49,0.9337,1.9798,1,1,0.875,77.15,76.28,76.33,75.6489,0.0131,75.9138,0.0116,0.628,57.4472,10.2637,1,1,-0.42,0.87,0,2,14
2021-03-10 15:30:00,76.32,-0.43,1.07,-0.5603,1.4219,0,1,0.75,76.7,76.15,76.52,75.79,0.0157,76.035,0.0135,0.7023,59.149,11.1064,1,1,0.2,0.55,1,2,15
2021-03-11 09:30:00,76.57,0.25,1.42,0.3276,1.8896,1,1,0.75,77.72,76.2,77.31,76.03,0.0267,76.29,0.0283,0.962,65.3535,12.829,1,1,0.74,1.52,1,3,9
2021-03-11 10:30:00,77.32,0.75,2.24,0.9795,2.9835,1,1,0.875,78.08,77.23,77.93,76.3689,0.0377,76.618,0.0364,1.1014,69.2949,14.7077,1,1,0.61,0.85,1,3,10
2021-03-11 11:30:00,77.93,0.61,2.6,0.7889,3.4515,1,1,0.875,78.04,77.41,77.49,76.6078,0.0265,76.7924,0.0194,0.9424,63.752,16.4521,1,1,-0.44,0.63,0,3,11
2021-03-11 12:30:00,77.49,-0.44,2.12,-0.5646,2.8128,0,1,0.75,77.66,77.28,77.65,76.8589,0.0279,76.9639,0.0191,0.9409,64.853,17.8271,1,1,0.16,0.38,1,3,12
2021-03-11 13:30:00,77.65,0.16,1.91,0.2065,2.5218,1,1,0.75,77.96,77.46,77.84,77.0944,0.0262,77.1391,0.0195,0.9296,66.1672,19.3689,1,1,0.19,0.5,1,3,13
2021-03-11 14:30:00,77.84,0.19,1.8,0.2447,2.3672,1,1,0.75,77.86,76.94,76.96,77.1989,0.0116,77.1033,-0.004,0.6844,55.7667,19.8324,0,0,-0.88,0.92,0,3,14
