datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2022-02-09 09:30:00,54.42,-0.12,-1.56,-0.22,-2.7867,0,0,0.25,55.04,54.28,55.03,54.69,-0.0119,54.7896,0.0067,0.5247,58.5536,35.7626,1,1,0.61,0.76,1,2,9
2022-02-09 10:30:00,55.08,0.66,-0.3,1.2128,-0.5417,1,0,0.875,55.27,54.87,55.06,54.6156,-0.0083,54.8436,0.006,0.5158,58.9228,33.8479,1,1,-0.02,0.4,0,2,10
2022-02-09 11:30:00,55.05,-0.03,0.5,-0.0545,0.9166,0,1,0.75,55.05,54.65,54.71,54.6344,0.0021,54.8169,-0.003,0.3615,52.9918,31.5826,1,0,-0.34,0.4,0,2,11
2022-02-09 12:30:00,54.71,-0.34,0.67,-0.6176,1.2398,0,1,0.5,54.75,54.46,54.5,54.6844,0.0056,54.7535,-0.007,0.2526,49.7556,29.5757,0,0,-0.21,0.29,0,2,12
2022-02-09 13:30:00,54.5,-0.21,0.09,-0.3838,0.1654,0,1,0.125,54.64,54.41,54.63,54.7111,0.003,54.7288,-0.0027,0.322,51.7212,27.818,0,0,0.13,0.23,1,2,13
2022-02-09 14:30:00,54.63,0.13,-0.08,0.2385,-0.1462,1,0,0.5,54.67,54.47,54.57,54.6967,-0.0016,54.6971,-0.0035,0.3109,50.7347,26.1121,0,0,-0.06,0.2,0,2,14
2022-02-09 15:30:00,54.57,-0.06,-0.04,-0.1098,-0.0732,0,0,0.375,54.77,54.5,54.76,54.7133,0.0019,54.7096,0.0014,0.4067,53.7434,24.2752,1,1,0.19,0.27,1,2,15
2022-02-10 09:30:00,54.04,-0.53,-0.5,-0.9712,-0.9168,0,0,0.0,55.17,54.03,55.13,54.7778,0.0072,54.7937,0.0093,0.5898,58.9953,23.6158,1,1,1.09,1.14,1,3,9
2022-02-10 10:30:00,55.13,1.09,0.71,2.017,1.3047,1,1,0.875,55.25,54.97,55.16,54.8389,0.0068,54.867,0.0081,0.6213,59.3978,22.7879,1,1,0.03,0.28,1,3,10
2022-02-10 11:30:00,55.15,0.02,0.07,0.0363,0.1271,1,1,0.875,55.25,55.02,55.08,54.8444,0.0006,54.9096,0.0047,0.6007,57.7692,22.019,1,1,-0.07,0.23,0,3,11
2022-02-10 12:30:00,55.08,-0.07,0.03,-0.1269,0.0545,0,1,0.625,55.1,54.65,54.7,54.8044,-0.0044,54.8677,-0.0047,0.4287,50.6635,22.0807,0,0,-0.38,0.45,0,3,12
2022-02-10 13:30:00,54.7,-0.38,-0.01,-0.6899,-0.0183,0,0,0.5,54.82,54.42,54.56,54.7878,-0.0019,54.8061,-0.0068,0.3618,48.306,22.5584,0,0,-0.14,0.4,0,3,13
2022-02-10 14:30:00,54.56,-0.14,0.06,-0.2559,0.1101,0,1,0.125,54.69,54.46,54.48,54.7856,-0.0002,54.7409,-0.0072,0.307,46.9613,23.0019,0,0,-0.08,0.23,0,3,14
2022-02-10 15:30:00,54.48,-0.08,-0.15,-0.1466,-0.2746,0,0,0.125,54.57,54.21,54.54,54.7756,-0.0011,54.7007,-0.0045,0.3619,48.1276,23.8604,0,0,0.06,0.36,1,3,15
2022-02-11 09:30:00,54.85,0.37,0.28,0.6791,0.5131,1,1,0.5,55.55,54.73,55.47,54.8756,0.0111,54.8546,0.0171,1.1279,62.0556,22.2619,1,1,0.62,0.82,1,4,9
2022-02-11 10:30:00,55.47,0.62,1.43,1.1304,2.6462,1,1,0.875,55.73,55.45,55.62,54.9711,0.0106,55.0077,0.017,1.1128,63.7464,21.1348,1,1,0.15,0.28,1,4,10
2022-02-11 11:30:00,55.6,0.13,0.47,0.2344,0.8525,1,1,0.875,55.65,55.21,55.35,54.9956,0.0027,55.0761,0.0076,0.8601,58.6779,19.6788,1,1,-0.25,0.44,0,4,11
2022-02-11 12:30:00,55.36,-0.24,0.21,-0.4317,0.3808,0,1,0.625,55.44,55.15,55.18,54.9978,0.0002,55.0969,0.0023,0.7141,55.6762,18.4542,1,1,-0.18,0.29,0,4,12
2022-02-11 13:30:00,55.16,-0.2,0.08,-0.3613,0.1452,0,1,0.5,55.4,54.91,55.15,55.0056,0.0009,55.1075,0.0012,0.6728,55.1402,17.817,1,1,-0.01,0.49,0,4,13
2022-02-11 14:30:00,55.14,-0.02,0.44,-0.0363,0.8044,0,1,0.375,55.21,54.78,55.11,55.0511,0.0051,55.108,0.0001,0.627,54.3882,17.4852,1,1,-0.03,0.43,0,4,14
2022-02-11 15:30:00,55.11,-0.03,0.55,-0.0544,1.0081,0,1,0.25,55.31,55.01,55.21,55.1233,0.008,55.1284,0.0023,0.6921,56.0035,16.9164,1,1,0.1,0.3,1,4,15
2022-02-14 09:30:00,54.38,-0.73,-0.1,-1.3246,-0.1836,0,0,0.0,54.42,53.82,53.84,55.0522,-0.0079,54.8707,-0.0286,-0.1297,36.7842,18.2776,0,0,-0.54,0.6,0,0,9
2022-02-14 10:30:00,53.85,-0.53,-1.0,-0.9746,-1.8232,0,0,0.0,54.2,53.71,54.07,55.0,-0.0058,54.7106,-0.0178,0.065,40.4774,19.6709,0,0,0.22,0.49,1,0,10
2022-02-14 11:30:00,54.06,0.21,-1.41,0.39,-2.5419,1,0,0.125,54.43,54.05,54.22,54.8611,-0.0154,54.6125,-0.0109,0.1668,42.8234,20.3755,0,0,0.16,0.38,1,0,11
2022-02-14 12:30:00,54.21,0.15,-1.39,0.2775,-2.5,1,0,0.25,54.26,54.03,54.06,54.6878,-0.0193,54.502,-0.0123,0.1196,40.9685,21.0578,0,0,-0.15,0.23,0,0,12
2022-02-14 13:30:00,54.07,-0.14,-1.29,-0.2583,-2.3302,0,0,0.25,54.49,53.8,54.4,54.5822,-0.0117,54.4816,-0.0023,0.2979,46.2923,21.6914,0,0,0.33,0.69,1,0,13
2022-02-14 14:30:00,54.39,0.32,-0.77,0.5918,-1.3959,1,0,0.625,54.58,53.92,54.1,54.4622,-0.0133,54.4053,-0.0085,0.1793,42.6383,22.0173,0,0,-0.29,0.66,0,0,14
2022-02-14 15:30:00,54.09,-0.3,-1.05,-0.5516,-1.9042,0,0,0.375,54.39,54.08,54.38,54.3767,-0.0095,54.4002,-0.0006,0.3309,46.8547,22.32,1,0,0.29,0.31,1,0,15
2022-02-15 09:30:00,52.81,-1.28,-2.3,-2.3664,-4.1735,0,0,0.0,53.29,52.59,53.24,54.1689,-0.0231,54.1682,-0.0258,-0.0767,35.4345,24.4544,0,0,0.43,0.7,1,1,9
2022-02-15 10:30:00,53.23,0.42,-1.15,0.7953,-2.1147,1,0,0.125,53.63,53.21,53.58,53.9878,-0.0201,54.0505,-0.0131,0.1152,40.122,25.5712,0,0,0.35,0.42,1,1,10
2022-02-15 11:30:00,53.58,0.35,-0.27,0.6575,-0.5014,1,0,0.25,53.73,53.2,53.31,53.9289,-0.0065,53.9024,-0.0165,0.0732,37.7765,26.3621,0,0,-0.27,0.53,0,1,11
2022-02-15 12:30:00,53.31,-0.27,-0.75,-0.5039,-1.3873,0,0,0.25,53.45,53.23,53.38,53.8522,-0.0085,53.7979,-0.0116,0.1409,38.7758,27.0966,0,0,0.07,0.22,1,1,12
2022-02-15 13:30:00,53.37,0.06,-0.84,0.1125,-1.5495,1,0,0.375,53.5,53.35,53.36,53.7567,-0.0106,53.7104,-0.0097,0.1694,38.5852,27.6414,0,0,-0.01,0.15,0,1,13
2022-02-15 14:30:00,53.37,0.0,-0.7,0.0,-1.2946,0,0,0.375,53.48,53.23,53.42,53.6856,-0.0079,53.6523,-0.0065,0.2168,39.5456,28.3108,0,0,0.05,0.25,1,1,14
2022-02-15 15:30:00,53.42,0.05,-0.97,0.0937,-1.7834,1,0,0.625,53.56,53.32,53.47,53.5822,-0.0115,53.6158,-0.0041,0.2562,40.3822,28.692,0,0,0.05,0.24,1,1,15
2022-02-16 09:30:00,54.48,1.06,0.39,1.9843,0.721,1,1,0.875,55.01,54.44,54.96,53.6778,0.0106,53.8847,0.0299,0.7662,58.7178,27.3319,1,1,0.48,0.57,1,2,9
2022-02-16 10:30:00,54.95,0.47,2.14,0.8627,4.0523,1,1,0.875,55.02,54.77,54.87,53.7322,0.006,54.0817,0.0219,0.7545,57.5661,26.0845,1,1,-0.08,0.25,0,2,10
2022-02-16 11:30:00,54.87,-0.08,1.64,-0.1456,3.081,0,1,0.75,54.92,54.66,54.79,53.9044,0.0191,54.2234,0.0157,0.7409,56.5052,24.7091,1,1,-0.08,0.26,0,2,11
2022-02-16 12:30:00,54.79,-0.08,1.21,-0.1458,2.2583,0,1,0.625,54.86,54.59,54.77,54.0367,0.0147,54.3327,0.0121,0.7494,56.2262,23.2901,1,1,-0.02,0.27,0,2,12
2022-02-16 13:30:00,54.76,-0.03,1.45,-0.0548,2.7199,0,1,0.5,54.87,54.56,54.87,54.21,0.0193,54.4402,0.0119,0.8005,57.3598,21.9088,1,1,0.11,0.31,1,2,13
2022-02-16 14:30:00,54.89,0.13,1.52,0.2374,2.848,1,1,0.75,54.92,54.27,54.27,54.3089,0.011,54.4061,-0.0038,0.5874,49.1375,20.6659,0,0,-0.62,0.65,0,2,14
2022-02-16 15:30:00,54.28,-0.61,0.91,-1.1113,1.7051,0,1,0.125,54.28,53.97,54.04,54.3844,0.0084,54.3329,-0.0081,0.4835,46.3922,20.0788,0,0,-0.24,0.31,0,2,15
2022-02-17 09:30:00,53.82,-0.46,0.4,-0.8475,0.7488,0,1,0.0,54.0,53.33,53.4,54.3822,-0.0002,54.1463,-0.0207,0.2287,39.739,20.5364,0,0,-0.42,0.67,0,3,9
2022-02-17 10:30:00,53.4,-0.42,-1.08,-0.7804,-1.9824,0,0,0.0,53.53,53.13,53.51,54.3867,0.0005,54.0191,-0.0141,0.2933,41.2972,21.2303,0,0,0.11,0.4,1,3,10
