datetime,open,open change,open change (%),open trend,high,high change,high change (%),high trend,low,low change,low change (%),low trend,close,close change,close change (%),close trend,volume,sma,sma change,sma change (%),sma trend,ema,ema change,ema change (%),ema trend,percent_b,percent_b trend,atr,atr trend,macd,macd trend,macd_signal,macd_signal trend,macd_hist,macd_hist trend,adx,adx trend,rsi,rsi trend,%K,%K trend,%D,%D trend,vpt,vpt trend,price movement,price range,price trend,day,hour
2021-03-04 11:30:00,33.32,0.19,0.5735,1,33.61,0.22,0.6589,1,33.1,0.05,0.1513,1,33.1,-0.15,-0.4511,0,19115,33.8311,-0.0767,-0.2262,0,33.6233,-0.1309,-0.3878,0,-0.0514,1,0.4757,1,0.0455,0,0.2441,0,-0.1986,0,27.6078,0,40.9239,0,8.284,0,12.8205,1,-763.6751,0,-0.22,0.51,0,3,11
2021-03-04 12:30:00,33.08,-0.24,-0.7203,0,33.1,-0.51,-1.5174,0,32.47,-0.63,-1.9033,0,32.6,-0.5,-1.5106,0,30514,33.6111,-0.22,-0.6503,0,33.4187,-0.2046,-0.6085,0,-0.1461,0,0.4867,1,-0.046,0,0.1861,0,-0.2321,0,28.1991,1,35.0824,0,5.9633,0,10.469,0,-1224.6116,0,-0.48,0.63,0,3,12
2021-03-04 13:30:00,32.6,-0.48,-1.451,0,32.87,-0.23,-0.6949,0,32.38,-0.09,-0.2772,0,32.71,0.11,0.3374,1,49655,33.4344,-0.1767,-0.5257,0,33.2769,-0.1418,-0.4243,0,0.0009,1,0.4869,1,-0.1083,0,0.1272,0,-0.2355,0,28.8823,1,37.206,1,14.5374,1,9.5949,0,-1057.0641,1,0.11,0.49,1,3,13
2021-03-04 14:30:00,32.68,0.08,0.2454,1,32.95,0.08,0.2434,1,32.27,-0.11,-0.3397,0,32.38,-0.33,-1.0089,0,33957,33.2089,-0.2255,-0.6745,0,33.0975,-0.1794,-0.5391,0,-0.0301,0,0.5007,1,-0.1823,0,0.0653,0,-0.2476,0,29.6818,1,33.6497,0,4.6218,0,8.3742,0,-1399.6446,0,-0.3,0.68,0,3,14
2021-03-04 15:30:00,32.39,-0.29,-0.8874,0,32.67,-0.28,-0.8498,0,32.39,0.12,0.3719,1,32.62,0.24,0.7412,1,51562,33.0544,-0.1545,-0.4652,0,33.002,-0.0955,-0.2885,0,0.1127,1,0.4857,0,-0.219,0,0.0085,0,-0.2274,1,30.4242,1,38.2709,1,14.7059,1,11.2884,1,-1017.468,1,0.23,0.28,1,3,15
2021-03-05 09:30:00,33.11,0.72,2.2229,1,33.55,0.88,2.6936,1,32.81,0.42,1.2967,1,33.12,0.5,1.5328,1,53358,32.9533,-0.1011,-0.3059,0,33.0256,0.0236,0.0715,1,0.3101,1,0.5174,1,-0.2053,1,-0.0343,0,-0.171,1,28.5499,0,46.6133,1,35.7143,1,18.3473,1,-199.5955,1,0.01,0.74,1,4,9
2021-03-05 10:30:00,33.21,0.1,0.302,1,33.36,-0.19,-0.5663,0,32.63,-0.18,-0.5486,0,32.69,-0.43,-1.2983,0,40745,32.85,-0.1033,-0.3135,0,32.9585,-0.0671,-0.2032,0,0.192,0,0.5326,1,-0.2266,0,-0.0728,0,-0.1539,1,27.1751,0,41.428,0,17.6471,0,22.6891,1,-728.5916,0,-0.52,0.73,0,4,10
2021-03-05 11:30:00,32.79,-0.42,-1.2647,0,33.16,-0.2,-0.5995,0,32.72,0.09,0.2758,1,33.16,0.47,1.4377,1,44141,32.8478,-0.0022,-0.0067,0,32.9988,0.0403,0.1223,1,0.3725,1,0.5281,0,-0.2032,1,-0.0989,0,-0.1044,1,25.8986,0,48.2096,1,39.207,1,30.8561,1,-93.955,1,0.37,0.44,1,4,11
2021-03-05 12:30:00,33.2,0.41,1.2504,1,33.44,0.28,0.8444,1,33.09,0.37,1.1308,1,33.35,0.19,0.573,1,28749,32.8589,0.0111,0.0338,1,33.069,0.0702,0.2127,1,0.4571,1,0.5154,0,-0.1674,1,-0.1126,0,-0.0548,1,24.0705,0,50.6948,1,47.5771,1,34.8104,1,70.7709,1,0.15,0.35,1,4,12
2021-03-05 13:30:00,33.34,0.14,0.4217,1,33.6,0.16,0.4785,1,33.25,0.16,0.4835,1,33.48,0.13,0.3898,1,26826,32.9011,0.0422,0.1284,1,33.1512,0.0822,0.2486,1,0.5224,1,0.5036,0,-0.1271,1,-0.1155,0,-0.0116,1,22.7385,0,52.3787,1,62.3711,1,49.7184,1,175.34,1,0.14,0.35,1,4,13
2021-03-05 14:30:00,33.57,0.23,0.6899,1,33.78,0.18,0.5357,1,33.46,0.21,0.6316,1,33.78,0.3,0.8961,1,31847,33.0322,0.1311,0.3985,1,33.277,0.1258,0.3795,1,0.6479,1,0.4905,0,-0.0701,1,-0.1064,1,0.0363,1,21.8971,0,56.1042,1,83.8889,1,64.6124,1,460.7074,1,0.21,0.32,1,4,14
2021-03-05 15:30:00,33.79,0.22,0.6553,1,34.06,0.28,0.8289,1,33.75,0.29,0.8667,1,33.91,0.13,0.3848,1,58497,33.1656,0.1334,0.4038,1,33.4036,0.1266,0.3804,1,0.6959,1,0.4776,0,-0.0143,1,-0.088,1,0.0737,1,21.6838,0,57.6504,1,91.6201,1,79.2934,1,685.829,1,0.12,0.31,1,4,15
2021-03-08 09:30:00,34.48,0.69,2.042,1,34.97,0.91,2.6718,1,34.0,0.25,0.7407,1,34.82,0.91,2.6836,1,69249,33.4367,0.2711,0.8174,1,33.6869,0.2833,0.8481,1,1.0305,1,0.5192,1,0.1022,1,-0.0499,1,0.1521,1,22.8651,1,66.5359,1,94.4444,1,89.9845,1,2544.1773,1,0.34,0.97,1,0,9
2021-03-08 10:30:00,34.83,0.35,1.0151,1,35.25,0.28,0.8007,1,34.75,0.75,2.2059,1,35.23,0.41,1.1775,1,57608,33.7267,0.29,0.8673,1,33.9955,0.3086,0.9161,1,1.0904,1,0.5178,0,0.225,1,0.005,1,0.2199,1,24.2847,1,69.6279,1,99.3289,1,95.1311,1,3222.5024,1,0.4,0.5,1,0,10
2021-03-08 11:30:00,35.17,0.34,0.9762,1,35.31,0.06,0.1702,1,34.96,0.21,0.6043,1,35.14,-0.09,-0.2555,0,52474,33.9511,0.2244,0.6653,1,34.2244,0.2289,0.6733,1,1.0067,0,0.5058,0,0.3115,1,0.0663,1,0.2451,1,25.6708,1,68.1396,0,94.4079,0,96.0604,1,3088.4502,0,-0.03,0.35,0,0,11
2021-03-08 12:30:00,35.13,-0.04,-0.1137,0,35.2,-0.11,-0.3115,0,35.03,0.07,0.2002,1,35.2,0.06,0.1707,1,28732,34.23,0.2789,0.8215,1,34.4195,0.1951,0.5701,1,0.9635,0,0.4818,0,0.3804,1,0.1291,1,0.2513,1,26.9579,1,68.6212,1,96.3816,1,96.7061,1,3137.5088,1,0.07,0.17,1,0,12
2021-03-08 13:30:00,35.22,0.09,0.2562,1,35.23,0.03,0.0852,1,34.77,-0.26,-0.7422,0,35.17,-0.03,-0.0852,0,24417,34.4533,0.2233,0.6524,1,34.5696,0.1501,0.4361,1,0.9096,0,0.4803,0,0.4278,1,0.1889,1,0.2389,0,27.3629,1,68.0672,0,95.3947,0,95.3947,0,3116.6989,0,-0.05,0.46,0,0,13
2021-03-08 14:30:00,35.18,-0.04,-0.1136,0,35.18,-0.05,-0.1419,0,34.64,-0.13,-0.3739,0,34.69,-0.48,-1.3648,0,28044,34.6022,0.1489,0.4322,1,34.5937,0.0241,0.0697,1,0.7603,0,0.4845,1,0.4217,0,0.2354,1,0.1862,0,27.3618,0,59.7551,0,78.7671,0,90.1811,0,2733.9545,0,-0.49,0.54,0,0,14
2021-03-08 15:30:00,34.75,-0.43,-1.2223,0,34.92,-0.26,-0.7391,0,34.51,-0.13,-0.3753,0,34.55,-0.14,-0.4036,0,46757,34.7211,0.1189,0.3436,1,34.585,-0.0087,-0.0251,0,0.7044,0,0.4792,0,0.4009,0,0.2685,1,0.1324,0,26.9868,0,57.5477,0,71.6418,0,81.9346,0,2545.2551,0,-0.2,0.41,0,0,15
2021-03-09 09:30:00,34.97,0.22,0.6331,1,35.23,0.31,0.8877,1,34.67,0.16,0.4636,1,35.19,0.64,1.8524,1,53086,34.8778,0.1567,0.4513,1,34.706,0.121,0.3499,1,0.8289,1,0.4936,1,0.4311,1,0.301,1,0.1301,0,27.1699,1,64.0801,1,95.5224,1,81.9771,1,3528.6137,1,0.22,0.56,1,1,9
2021-03-09 10:30:00,35.25,0.28,0.8007,1,35.25,0.02,0.0568,1,34.91,0.24,0.6922,1,35.16,-0.03,-0.0853,0,47816,35.0167,0.1389,0.3982,1,34.7968,0.0908,0.2616,1,0.7898,0,0.4826,0,0.4475,1,0.3303,1,0.1172,0,27.373,1,63.5862,0,94.2085,0,87.1242,1,3487.8499,0,-0.09,0.34,0,1,10
2021-03-09 11:30:00,35.11,-0.14,-0.3972,0,35.24,-0.01,-0.0284,0,34.89,-0.02,-0.0573,0,35.24,0.08,0.2275,1,41736,35.0633,0.0466,0.1331,1,34.8854,0.0886,0.2546,1,0.7806,0,0.4731,0,0.4616,1,0.3566,1,0.105,0,27.4962,1,64.3747,1,96.8468,1,95.5259,1,3582.8123,1,0.13,0.35,1,1,11
2021-03-09 12:30:00,35.29,0.18,0.5127,1,35.29,0.05,0.1419,1,34.81,-0.08,-0.2293,0,34.94,-0.3,-0.8513,0,14909,35.0311,-0.0322,-0.0918,0,34.8963,0.0109,0.0312,1,0.6873,0,0.4736,1,0.4435,0,0.374,1,0.0695,0,27.3389,0,59.1975,0,82.0388,0,91.0314,0,3455.8912,0,-0.35,0.48,0,1,12
2021-03-09 13:30:00,35.05,-0.24,-0.6801,0,35.1,-0.19,-0.5384,0,34.88,0.07,0.2011,1,34.88,-0.06,-0.1717,0,23146,35.0022,-0.0289,-0.0825,0,34.8931,-0.0032,-0.0092,0,0.6535,0,0.4555,0,0.4195,0,0.3831,1,0.0364,0,27.1929,0,58.1895,0,76.7568,0,85.2141,0,3416.1442,0,-0.17,0.22,0,1,13
2021-03-09 14:30:00,34.87,-0.18,-0.5136,0,34.97,-0.13,-0.3704,0,34.73,-0.15,-0.43,0,34.78,-0.1,-0.2867,0,27501,34.9556,-0.0466,-0.1331,0,34.8705,-0.0226,-0.0648,0,0.6064,0,0.4401,0,0.3879,0,0.384,1,0.0038,0,26.5184,0,56.4639,0,66.0256,0,74.9404,0,3337.2996,0,-0.09,0.24,0,1,14
2021-03-09 15:30:00,34.79,-0.08,-0.2294,0,34.85,-0.12,-0.3432,0,34.17,-0.56,-1.6124,0,34.32,-0.46,-1.3226,0,60815,34.8611,-0.0945,-0.2703,0,34.7604,-0.1101,-0.3157,0,0.4476,0,0.4572,1,0.322,0,0.3716,0,-0.0496,0,24.9956,0,49.2315,0,24.4275,0,55.7366,0,2532.9609,0,-0.47,0.68,0,1,15
2021-03-10 09:30:00,34.56,-0.23,-0.6611,0,35.26,0.41,1.1765,1,34.41,0.24,0.7024,1,35.06,0.74,2.1562,1,33091,34.9022,0.0411,0.1179,1,34.8203,0.0599,0.1723,1,0.6699,1,0.4917,1,0.3257,1,0.3624,0,-0.0367,1,23.8397,0,58.4514,1,78.0702,1,56.1744,1,3246.4615,1,0.5,0.85,1,2,9
2021-03-10 10:30:00,35.13,0.57,1.6493,1,35.35,0.09,0.2552,1,34.9,0.49,1.424,1,35.16,0.1,0.2852,1,17173,34.97,0.0678,0.1943,1,34.8882,0.0679,0.195,1,0.6921,1,0.4887,0,0.3329,1,0.3565,0,-0.0236,1,22.9652,0,59.5212,1,83.8983,1,62.132,1,3295.4433,1,0.03,0.45,1,2,10
2021-03-10 11:30:00,35.17,0.04,0.1139,1,35.26,-0.09,-0.2546,0,35.0,0.1,0.2865,1,35.06,-0.1,-0.2844,0,16880,34.9556,-0.0144,-0.0412,0,34.9226,0.0344,0.0986,1,0.6328,0,0.4724,0,0.3268,0,0.3506,0,-0.0238,0,22.1532,0,57.9153,0,75.4237,0,79.1307,1,3247.4342,0,-0.11,0.26,0,2,11
