datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 10:30:00,704.32,10.23,34.51,1.4739,5.1522,1,1,0.875,708.78,695.61,696.96,689.4033,-0.0326,692.4545,0.1252,0.7344,63.0493,62.2017,1,1,-7.36,13.17,0,0,10
2021-03-15 11:30:00,696.62,-7.7,21.37,-1.0933,3.1648,0,1,0.75,704.06,692.1,701.45,692.2911,0.3209,694.2536,0.1999,0.8087,64.7559,61.4001,1,1,4.83,11.96,1,0,11
2021-03-15 12:30:00,701.07,4.45,19.62,0.6388,2.8792,1,1,0.75,707.8,700.01,701.59,694.5367,0.2495,695.7209,0.163,0.784,64.8105,60.7794,1,1,0.52,7.79,1,0,12
2021-03-15 13:30:00,701.7,0.63,8.92,0.0899,1.2876,1,1,0.75,706.99,701.4,705.66,695.9656,0.1588,697.7087,0.2209,0.864,66.4375,60.203,1,1,3.96,5.59,1,0,13
2021-03-15 14:30:00,705.69,3.99,17.38,0.5686,2.525,1,1,0.875,709.87,702.65,703.93,697.7167,0.1946,698.953,0.1383,0.8148,65.0605,59.771,1,1,-1.76,7.22,0,0,14
2021-03-15 15:30:00,703.85,-1.84,19.66,-0.2607,2.8735,0,1,0.625,708.3,703.21,707.94,700.3944,0.2975,700.7504,0.1997,0.8921,66.7793,59.37,1,1,4.09,5.09,1,0,15
2021-03-16 09:30:00,702.3,-1.55,13.54,-0.2202,1.9659,0,1,0.5,707.77,694.37,706.48,702.3756,0.2201,701.8963,0.1273,0.8148,65.5156,57.9167,1,1,4.18,13.4,1,1,9
2021-03-16 10:30:00,706.5,4.2,12.41,0.598,1.788,1,1,0.875,707.2,700.24,703.4,703.4944,0.1243,702.197,0.0334,0.7059,62.815,56.5672,0,1,-3.1,6.96,0,1,10
2021-03-16 11:30:00,703.31,-3.19,-1.01,-0.4515,-0.1434,0,0,0.5,704.63,690.69,693.67,702.3422,-0.128,700.4916,-0.1895,0.4311,55.0896,54.2266,0,0,-9.64,13.94,0,1,11
2021-03-16 12:30:00,694.02,-9.29,-2.6,-1.3209,-0.3732,0,0,0.0,698.8,692.0,694.89,702.1122,-0.0256,699.3713,-0.1245,0.4629,55.8232,52.0532,0,0,0.87,6.8,1,1,12
2021-03-16 13:30:00,695.0,0.98,-6.07,0.1412,-0.8658,1,0,0.125,695.03,681.81,682.0,699.9511,-0.2401,695.897,-0.386,0.1415,47.0735,48.9796,0,0,-13.0,13.22,0,1,13
2021-03-16 14:30:00,682.01,-12.99,-19.69,-1.8691,-2.806,0,0,0.0,684.91,671.0,678.56,697.3922,-0.2843,692.4296,-0.3853,0.1036,45.0444,45.7709,0,0,-3.45,13.91,0,1,14
2021-03-16 15:30:00,678.83,-3.18,-26.86,-0.4663,-3.8062,0,0,0.0,682.78,675.88,676.87,694.1933,-0.3554,689.3177,-0.3458,0.0532,44.04,42.7915,0,0,-1.96,6.9,0,1,15
2021-03-17 09:30:00,655.8,-23.03,-48.05,-3.3926,-6.8267,0,0,0.0,683.63,651.01,678.98,691.4211,-0.308,687.2502,-0.2297,0.1171,45.6689,41.6868,0,0,23.18,32.62,1,2,9
2021-03-17 10:30:00,678.87,23.07,-23.43,3.5178,-3.3362,1,0,0.25,681.85,669.28,676.17,687.8911,-0.3922,685.0341,-0.2462,0.0976,43.8388,40.661,0,0,-2.7,12.57,0,2,10
2021-03-17 11:30:00,676.09,-2.78,-30.41,-0.4095,-4.3043,0,0,0.125,676.09,663.22,669.57,683.79,-0.4557,681.9413,-0.3436,0.0171,39.8042,40.0414,0,0,-6.52,12.87,0,2,11
2021-03-17 12:30:00,669.5,-6.59,-33.81,-0.9747,-4.8073,0,0,0.125,677.0,667.26,674.51,680.58,-0.3567,680.455,-0.1651,0.1465,43.9614,39.3693,0,0,5.01,9.74,1,2,12
2021-03-17 13:30:00,674.58,5.08,-19.44,0.7588,-2.8011,1,0,0.25,695.85,670.03,683.5,679.45,-0.1256,681.064,0.0677,0.3357,50.6419,37.0066,1,1,8.92,25.82,1,2,13
