datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 10:30:00,117.61,-1.04,-1.29,-0.8765,-1.0849,0,0,0.0,118.26,117.33,117.43,118.1033,-0.0388,118.133,-0.0195,0.426,49.8479,26.2286,0,0,-0.18,0.93,0,0,10
2021-03-15 11:30:00,117.43,-0.18,-0.21,-0.153,-0.1785,0,0,0.0,117.46,116.98,117.26,118.06,-0.0048,117.9584,-0.0194,0.3857,48.735,24.7009,0,0,-0.17,0.48,0,0,11
2021-03-15 12:30:00,117.25,-0.18,-0.98,-0.1533,-0.8289,0,0,0.0,118.02,117.25,117.86,118.0189,-0.0046,117.9387,-0.0022,0.4363,52.7452,23.0973,0,0,0.61,0.77,1,0,12
2021-03-15 13:30:00,117.84,0.59,-0.58,0.5032,-0.4898,1,0,0.375,118.41,117.73,118.34,118.0089,-0.0011,118.019,0.0089,0.4695,55.7288,21.9454,1,1,0.5,0.68,1,0,13
2021-03-15 14:30:00,118.35,0.51,-0.1,0.4328,-0.0844,1,0,0.625,118.63,118.2,118.26,117.9911,-0.002,118.0672,0.0054,0.3853,55.1043,21.065,1,1,-0.09,0.43,0,0,14
2021-03-15 15:30:00,118.26,-0.09,-0.06,-0.076,-0.0507,0,0,0.5,119.1,118.25,119.05,118.0689,0.0086,118.2637,0.0218,0.5681,59.8847,20.6448,1,1,0.79,0.85,1,0,15
2021-03-16 09:30:00,119.97,1.71,1.39,1.446,1.1722,1,1,0.875,121.06,119.6,120.22,118.2522,0.0204,118.655,0.0435,0.8271,65.7083,21.5661,1,1,0.25,1.46,1,1,9
2021-03-16 10:30:00,120.24,0.27,1.59,0.2251,1.3401,1,1,0.875,121.12,120.16,120.98,118.5544,0.0336,119.12,0.0517,0.9593,68.8697,22.4553,1,1,0.74,0.96,1,1,10
2021-03-16 11:30:00,121.03,0.79,3.42,0.657,2.9079,1,1,0.875,121.24,119.27,119.4,118.7556,0.0223,119.176,0.0062,0.6318,57.0868,22.3075,1,1,-1.63,1.97,0,1,11
2021-03-16 12:30:00,119.45,-1.58,2.02,-1.3055,1.7202,0,1,0.5,120.68,119.44,120.02,119.0433,0.032,119.3448,0.0188,0.7755,59.9803,22.1703,1,1,0.57,1.24,1,1,12
2021-03-16 13:30:00,119.98,0.53,2.73,0.4437,2.3284,1,1,0.625,119.99,118.36,118.37,119.1667,0.0137,119.1498,-0.0217,0.4288,50.2666,20.9664,0,0,-1.61,1.63,0,1,13
2021-03-16 14:30:00,118.36,-1.62,0.52,-1.3502,0.4413,0,1,0.25,119.4,118.1,119.24,119.32,0.017,119.1679,0.002,0.6705,54.4549,19.6119,0,1,0.88,1.3,1,1,14
2021-03-16 15:30:00,119.29,0.93,0.94,0.7857,0.7943,1,1,0.25,119.78,119.15,119.32,119.4289,0.0121,119.1983,0.0034,0.6721,54.8316,18.6842,0,1,0.03,0.63,1,1,15
2021-03-17 09:30:00,117.72,-1.57,-0.54,-1.3161,-0.4566,0,0,0.0,117.84,115.4,117.26,119.3178,-0.0123,118.8106,-0.0431,0.1488,44.602,19.4188,0,0,-0.46,2.44,0,2,9
2021-03-17 10:30:00,117.22,-0.5,-2.75,-0.4247,-2.2922,0,0,0.0,117.66,116.58,117.01,119.0911,-0.0252,118.4505,-0.04,0.1266,43.5404,20.1009,0,0,-0.21,1.08,0,2,10
2021-03-17 11:30:00,116.97,-0.25,-3.27,-0.2133,-2.7196,0,0,0.0,117.8,116.32,117.68,118.8089,-0.0314,118.2964,-0.0171,0.3002,47.1697,20.8669,0,0,0.71,1.48,1,2,11
2021-03-17 12:30:00,117.7,0.73,-3.33,0.6241,-2.7514,1,0,0.25,117.77,116.87,117.32,118.4022,-0.0452,118.1011,-0.0217,0.2351,45.4781,21.5781,0,0,-0.38,0.9,0,2,12
2021-03-17 13:30:00,117.29,-0.41,-2.16,-0.3483,-1.8083,0,0,0.25,118.85,116.84,117.79,118.2233,-0.0199,118.0389,-0.0069,0.3535,48.0952,21.1935,0,0,0.5,2.01,1,2,13
2021-03-17 14:30:00,117.81,0.52,-2.17,0.4433,-1.8086,1,0,0.625,119.52,117.64,118.97,118.1067,-0.013,118.2251,0.0207,0.6137,54.0578,20.2592,1,1,1.16,1.88,1,2,14
2021-03-17 15:30:00,118.97,1.16,0.61,0.9846,0.5154,1,1,0.75,119.39,118.4,118.72,118.1456,0.0043,118.3241,0.011,0.5449,52.6771,19.3917,1,1,-0.25,0.99,0,2,15
2021-03-18 09:30:00,118.09,-0.88,-1.2,-0.7397,-1.006,0,0,0.75,118.09,115.77,116.3,117.8189,-0.0363,117.9193,-0.045,0.0353,41.6008,20.1642,0,0,-1.79,2.32,0,3,9
2021-03-18 10:30:00,116.24,-1.85,-1.48,-1.5666,-1.2572,0,0,0.0,116.73,115.85,116.11,117.4622,-0.0396,117.5574,-0.0402,0.0398,40.8741,20.8814,0,0,-0.13,0.88,0,3,10
2021-03-18 11:30:00,116.12,-0.12,-1.1,-0.1032,-0.9384,0,0,0.0,116.75,115.8,116.63,117.3922,-0.0078,117.3719,-0.0206,0.1705,43.7692,21.5737,0,0,0.51,0.95,1,3,11
2021-03-18 12:30:00,116.62,0.5,-0.35,0.4306,-0.2992,1,0,0.25,116.66,115.41,115.87,117.2656,-0.0141,117.0715,-0.0334,0.0829,40.6374,22.4269,0,0,-0.75,1.25,0,3,12
2021-03-18 13:30:00,115.86,-0.76,-1.84,-0.6517,-1.5633,0,0,0.0,116.1,115.31,115.32,117.0033,-0.0291,116.7212,-0.0389,0.0543,38.4909,23.2741,0,0,-0.54,0.79,0,3,13
2021-03-18 14:30:00,115.28,-0.58,-2.01,-0.5006,-1.7137,0,0,0.0,115.47,114.61,115.0,116.7456,-0.0286,116.377,-0.0382,0.0688,37.2579,24.4376,0,0,-0.28,0.86,0,3,14
2021-03-18 15:30:00,114.99,-0.29,-2.82,-0.2516,-2.3937,0,0,0.0,115.01,114.11,114.55,116.3856,-0.04,116.0116,-0.0406,0.0592,35.534,25.769,0,0,-0.44,0.9,0,3,15
2021-03-19 09:30:00,114.29,-0.7,-4.68,-0.6087,-3.9338,0,0,0.0,114.87,113.21,113.98,115.8311,-0.0616,115.6053,-0.0451,0.0239,33.4243,27.4172,0,0,-0.31,1.66,0,4,9
2021-03-19 10:30:00,114.01,-0.28,-4.08,-0.245,-3.455,0,0,0.0,114.35,113.32,113.87,115.2922,-0.0599,115.2582,-0.0386,0.0669,33.017,28.9477,0,0,-0.14,1.03,0,4,10
2021-03-19 11:30:00,113.84,-0.17,-2.4,-0.1491,-2.0647,0,0,0.0,114.23,113.7,114.13,115.0511,-0.0268,115.0326,-0.0251,0.1358,35.0325,30.3688,0,0,0.29,0.53,1,4,11
2021-03-19 12:30:00,114.12,0.28,-2.0,0.246,-1.7224,1,0,0.25,114.89,114.12,114.33,114.8533,-0.022,114.8921,-0.0156,0.1978,36.6126,30.7857,0,0,0.21,0.77,1,4,12
2021-03-19 13:30:00,114.35,0.23,-2.27,0.2015,-1.9465,1,0,0.5,114.37,113.75,114.03,114.5644,-0.0321,114.7196,-0.0192,0.1844,35.2286,31.395,0,0,-0.32,0.62,0,4,13
2021-03-19 14:30:00,114.06,-0.29,-1.8,-0.2536,-1.5536,0,0,0.25,114.15,113.7,113.93,114.3489,-0.024,114.5617,-0.0175,0.1933,34.7569,31.9914,0,0,-0.13,0.45,0,4,14
2021-03-19 15:30:00,113.94,-0.12,-1.34,-0.1052,-1.1624,0,0,0.125,114.18,113.61,113.61,114.1589,-0.0211,114.3714,-0.0211,0.1811,33.224,32.6031,0,0,-0.33,0.57,0,4,15
2021-03-22 09:30:00,114.91,0.97,-0.08,0.8513,-0.0696,1,0,0.875,116.74,114.8,116.1,114.2811,0.0136,114.7171,0.0384,0.5584,51.2436,30.3108,1,1,1.19,1.94,1,0,9
