datetime,open,open change,open change (%),open trend,high,high change,high change (%),high trend,low,low change,low change (%),low trend,close,close change,close change (%),close trend,volume,sma,sma change,sma change (%),sma trend,ema,ema change,ema change (%),ema trend,percent_b,percent_b trend,atr,atr trend,macd,macd trend,macd_signal,macd_signal trend,macd_hist,macd_hist trend,adx,adx trend,rsi,rsi trend,%K,%K trend,%D,%D trend,vpt,vpt trend,price movement,price range,price trend,day,hour
2021-03-11 13:30:00,29.79,-0.06,-0.201,0,29.82,-0.07,-0.2342,0,29.73,-0.05,-0.1679,0,29.74,-0.04,-0.1343,0,2855935,29.9067,-0.0066,-0.0221,0,29.8568,-0.0291,-0.0974,0,0.1773,0,0.2128,0,0.0154,0,0.0531,0,-0.0378,0,10.0954,1,46.1421,0,28.8136,0,37.2881,0,93766.5187,0,-0.05,0.09,0,3,13
2021-03-11 14:30:00,29.75,-0.04,-0.1343,0,29.76,-0.06,-0.2012,0,29.55,-0.18,-0.6054,0,29.56,-0.18,-0.6052,0,5071626,29.8633,-0.0434,-0.1451,0,29.7974,-0.0594,-0.1989,0,-0.0506,0,0.2126,0,-0.0105,0,0.0404,0,-0.0509,0,11.1172,1,41.0409,0,1.6393,0,22.0154,0,63070.7325,0,-0.19,0.21,0,3,14
2021-03-11 15:30:00,29.56,-0.19,-0.6387,0,29.62,-0.14,-0.4704,0,29.5,-0.05,-0.1692,0,29.53,-0.03,-0.1015,0,5934884,29.8033,-0.06,-0.2009,0,29.7439,-0.0535,-0.1795,0,-0.0046,1,0.206,0,-0.0331,0,0.0257,0,-0.0588,0,12.2622,1,40.2424,0,4.5455,1,11.6661,0,57047.5079,0,-0.03,0.12,0,3,15
2021-03-12 09:30:00,29.9,0.34,1.1502,1,30.66,1.04,3.5111,1,29.9,0.4,1.3559,1,30.57,1.04,3.5218,1,18155945,29.8567,0.0534,0.1792,1,29.9091,0.1652,0.5554,1,1.2396,1,0.272,1,0.0325,1,0.0271,1,0.0055,1,13.5218,1,65.3859,1,92.2414,1,32.8087,1,696471.2397,1,0.67,0.76,1,4,9
2021-03-12 10:30:00,30.56,0.66,2.2074,1,30.86,0.2,0.6523,1,30.4,0.5,1.6722,1,30.5,-0.07,-0.229,0,13296621,29.9122,0.0555,0.1859,1,30.0273,0.1182,0.3952,1,1.0499,0,0.2854,1,0.078,1,0.0373,1,0.0408,1,15.1171,1,63.4507,0,73.5294,0,56.7721,1,666024.2829,0,-0.06,0.46,0,4,10
2021-03-12 11:30:00,30.5,-0.06,-0.1963,0,30.53,-0.33,-1.0693,0,30.02,-0.38,-1.25,0,30.07,-0.43,-1.4098,0,9686440,29.95,0.0378,0.1264,1,30.0358,0.0085,0.0283,1,0.6363,0,0.3014,1,0.0784,1,0.0455,1,0.033,0,15.1606,1,53.0618,0,41.9118,0,69.2275,1,529461.3583,0,-0.43,0.51,0,4,11
2021-03-12 12:30:00,30.07,-0.43,-1.4098,0,30.11,-0.42,-1.3757,0,29.83,-0.19,-0.6329,0,29.93,-0.14,-0.4656,0,6758388,29.9478,-0.0022,-0.0073,0,30.0147,-0.0211,-0.0702,0,0.5083,0,0.2999,0,0.0667,0,0.0497,1,0.017,0,14.5902,0,50.1809,0,31.6176,0,49.0196,0,497995.6343,0,-0.14,0.28,0,4,12
2021-03-12 13:30:00,29.92,-0.15,-0.4988,0,29.93,-0.18,-0.5978,0,29.72,-0.11,-0.3688,0,29.82,-0.11,-0.3675,0,6685596,29.9444,-0.0034,-0.0114,0,29.9757,-0.039,-0.1299,0,0.4047,0,0.2935,0,0.048,0,0.0494,0,-0.0014,0,13.7233,0,47.9769,0,23.5294,0,32.3529,0,473424.4495,0,-0.1,0.21,0,4,13
2021-03-12 14:30:00,29.82,-0.1,-0.3342,0,29.87,-0.06,-0.2005,0,29.75,0.03,0.1009,1,29.87,0.05,0.1677,1,3576771,29.9544,0.01,0.0334,1,29.9546,-0.0211,-0.0704,0,0.4404,1,0.2811,0,0.0368,0,0.0469,0,-0.0101,0,12.9184,0,49.0719,1,27.2059,1,27.451,0,479421.7181,1,0.05,0.12,1,4,14
2021-03-12 15:30:00,29.86,0.04,0.1341,1,29.88,0.01,0.0335,1,29.78,0.03,0.1008,1,29.81,-0.06,-0.2009,0,5980235,29.9622,0.0078,0.026,1,29.9257,-0.0289,-0.0965,0,0.3864,0,0.2682,0,0.0228,0,0.0421,0,-0.0193,0,12.2031,0,47.7725,0,22.7941,0,24.5098,0,467409.1939,0,-0.05,0.1,0,4,15
