datetime,open,open change,open change (%),open trend,high,high change,high change (%),high trend,low,low change,low change (%),low trend,close,close change,close change (%),close trend,volume,sma,sma change,sma change (%),sma trend,ema,ema change,ema change (%),ema trend,percent_b,percent_b trend,atr,atr trend,macd,macd trend,macd_signal,macd_signal trend,macd_hist,macd_hist trend,adx,adx trend,rsi,rsi trend,%K,%K trend,%D,%D trend,vpt,vpt trend,price movement,price range,price trend,day,hour
2021-03-15 11:30:00,59.63,-0.44,-0.7325,0,59.93,-0.44,-0.7288,0,59.12,-0.46,-0.7721,0,59.77,0.13,0.218,1,1436216,59.8478,0.1156,0.1935,1,59.7099,0.0151,0.0253,1,0.6982,1,0.865,0,0.8417,0,0.8758,0,-0.0341,0,42.2963,0,63.1857,1,72.3906,1,74.1863,0,383373.0761,1,0.14,0.81,1,0,11
2021-03-15 12:30:00,59.76,0.13,0.218,1,60.07,0.14,0.2336,1,59.62,0.5,0.8457,1,59.88,0.11,0.184,1,857172,59.9278,0.08,0.1337,1,59.7439,0.034,0.0569,1,0.7118,1,0.8354,0,0.8061,0,0.8619,0,-0.0558,0,40.1221,0,64.1154,1,76.0943,1,72.1661,0,384950.6053,1,0.12,0.45,1,0,12
2021-03-15 13:30:00,59.88,0.12,0.2008,1,60.34,0.27,0.4495,1,59.86,0.24,0.4025,1,60.14,0.26,0.4342,1,1278964,59.9767,0.0489,0.0816,1,59.8231,0.0792,0.1326,1,0.7854,1,0.81,0,0.7897,0,0.8475,0,-0.0577,0,38.4808,0,66.2828,1,84.8485,1,77.7778,1,390503.8892,1,0.26,0.48,1,0,13
2021-03-15 14:30:00,60.14,0.26,0.4342,1,60.24,-0.1,-0.1657,0,59.91,0.05,0.0835,1,60.03,-0.11,-0.1829,0,988767,60.0044,0.0277,0.0462,1,59.8645,0.0414,0.0692,1,0.738,0,0.7757,0,0.7591,0,0.8298,0,-0.0706,0,36.9568,0,64.5076,0,81.1448,0,80.6958,1,388695.3696,0,-0.11,0.33,0,0,14
2021-03-15 15:30:00,60.03,-0.11,-0.1829,0,60.24,0.0,0.0,0,59.88,-0.03,-0.0501,0,60.17,0.14,0.2332,1,1300257,60.0222,0.0178,0.0297,1,59.9256,0.0611,0.1021,1,0.7713,1,0.746,0,0.7377,0,0.8114,0,-0.0737,0,35.4774,0,65.7644,1,85.8586,1,83.9506,1,391727.7864,1,0.14,0.36,1,0,15
2021-03-16 09:30:00,60.0,-0.03,-0.05,0,60.99,0.75,1.245,1,59.88,0.0,0.0,0,60.15,-0.02,-0.0332,0,2742295,60.0189,-0.0033,-0.0055,0,59.9705,0.0449,0.0749,1,0.7385,0,0.772,1,0.7109,0,0.7913,0,-0.0804,0,35.1275,0,65.408,0,65.1452,0,77.3829,0,390816.2707,0,0.15,1.11,1,1,9
2021-03-16 10:30:00,60.14,0.14,0.2333,1,60.15,-0.84,-1.3773,0,59.6,-0.28,-0.4676,0,59.77,-0.38,-0.6318,0,1557124,59.9567,-0.0622,-0.1036,0,59.9304,-0.0401,-0.0669,0,0.5575,0,0.7562,0,0.6515,0,0.7633,0,-0.1118,0,34.2021,0,58.8805,0,36.7876,0,62.5971,0,380979.0783,0,-0.37,0.55,0,1,10
2021-03-16 11:30:00,59.77,-0.37,-0.6152,0,59.96,-0.19,-0.3159,0,59.06,-0.54,-0.906,0,59.14,-0.63,-1.054,0,1525396,59.8544,-0.1023,-0.1706,0,59.7723,-0.1581,-0.2638,0,0.2224,0,0.7664,1,0.5472,0,0.7201,0,-0.1729,0,32.3137,0,49.9758,0,4.1451,0,35.3593,0,364900.7869,0,-0.63,0.9,0,1,11
2021-03-16 12:30:00,59.12,-0.65,-1.0875,0,59.68,-0.28,-0.467,0,59.06,0.0,0.0,0,59.47,0.33,0.558,1,1054206,59.8356,-0.0188,-0.0314,0,59.7118,-0.0605,-0.1012,0,0.3644,1,0.756,0,0.4857,0,0.6732,0,-0.1876,0,30.5602,0,53.908,1,21.2435,1,20.7254,0,370783.235,1,0.35,0.62,1,1,12
2021-03-16 13:30:00,59.47,0.35,0.592,1,59.47,-0.21,-0.3519,0,58.75,-0.31,-0.5249,0,58.75,-0.72,-1.2107,0,1207846,59.7222,-0.1134,-0.1895,0,59.5195,-0.1923,-0.322,0,0.0146,0,0.7534,0,0.3744,0,0.6135,0,-0.239,0,28.3831,0,45.5037,0,0.0,0,8.4629,0,356159.9103,0,-0.72,0.72,0,1,13
