datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 11:30:00,55.35,0.16,-0.64,0.2899,-1.1431,1,0,0.125,55.37,55.2,55.32,55.6133,-0.0083,55.5659,-0.0068,0.2163,31.778,38.7426,0,0,-0.03,0.17,0,0,11
2021-03-15 12:30:00,55.32,-0.03,-0.52,-0.0542,-0.9312,0,0,0.125,55.4,55.27,55.27,55.5489,-0.0072,55.5068,-0.0066,0.2074,30.9692,38.8986,0,0,-0.05,0.13,0,0,12
2021-03-15 13:30:00,55.28,-0.04,-0.57,-0.0723,-1.0206,0,0,0.125,55.35,55.26,55.33,55.4911,-0.0064,55.4714,-0.0039,0.2353,33.1675,39.0658,0,0,0.05,0.09,1,0,13
2021-03-15 14:30:00,55.33,0.05,-0.48,0.0904,-0.8601,1,0,0.375,55.46,55.31,55.43,55.4489,-0.0047,55.4631,-0.0009,0.2796,36.7809,38.629,0,0,0.1,0.15,1,0,14
2021-03-15 15:30:00,55.44,0.11,-0.34,0.1988,-0.6095,1,0,0.625,55.65,55.35,55.62,55.4311,-0.002,55.4945,0.0035,0.4586,43.0781,37.2889,1,1,0.18,0.3,1,0,15
2021-03-16 09:30:00,55.6,0.16,-0.11,0.2886,-0.1975,1,0,0.75,55.92,55.48,55.6,55.4178,-0.0015,55.5156,0.0023,0.4584,42.5971,34.924,1,1,0.0,0.44,0,1,9
2021-03-16 10:30:00,55.6,0.0,-0.18,0.0,-0.3227,0,0,0.75,55.65,55.46,55.56,55.4078,-0.0011,55.5245,0.001,0.4406,41.5967,32.7986,1,1,-0.04,0.19,0,1,10
2021-03-16 11:30:00,55.56,-0.04,0.37,-0.0719,0.6704,0,1,0.625,55.82,55.44,55.8,55.4756,0.0075,55.5796,0.0061,0.7117,49.2915,30.7358,1,1,0.24,0.38,1,1,11
2021-03-16 12:30:00,55.79,0.23,0.44,0.414,0.7949,1,1,0.875,55.81,55.55,55.6,55.5033,0.0031,55.5837,0.0005,0.5138,44.0796,28.8203,1,1,-0.19,0.26,0,1,12
2021-03-16 13:30:00,55.6,-0.19,0.28,-0.3406,0.5061,0,1,0.5,55.78,55.58,55.76,55.5522,0.0054,55.6189,0.0039,0.6826,48.7484,27.0416,1,1,0.16,0.2,1,1,13
2021-03-16 14:30:00,55.76,0.16,0.48,0.2878,0.8683,1,1,0.75,55.79,55.54,55.58,55.5867,0.0038,55.6111,-0.0009,0.4737,44.2704,25.2062,0,0,-0.18,0.25,0,1,14
2021-03-16 15:30:00,55.58,-0.18,0.25,-0.3228,0.4518,0,1,0.25,55.66,55.51,55.64,55.6211,0.0038,55.6169,0.0006,0.568,46.0494,23.4516,1,1,0.06,0.15,1,1,15
2021-03-17 09:30:00,55.75,0.17,0.31,0.3059,0.5592,1,1,0.625,55.77,55.29,55.46,55.6244,0.0004,55.5855,-0.0035,0.3624,41.7441,22.7741,0,0,-0.29,0.48,0,2,9
2021-03-17 10:30:00,55.47,-0.28,-0.13,-0.5022,-0.2338,0,0,0.0,55.81,55.39,55.81,55.6456,0.0023,55.6304,0.005,0.824,51.2819,21.9367,1,1,0.34,0.42,1,2,10
2021-03-17 11:30:00,55.81,0.34,0.21,0.6129,0.3777,1,1,0.875,55.95,55.77,55.92,55.6811,0.004,55.6883,0.0064,0.942,53.8398,20.4615,1,1,0.11,0.18,1,2,11
2021-03-17 12:30:00,55.92,0.11,0.36,0.1971,0.6479,1,1,0.875,55.97,55.82,55.94,55.7233,0.0047,55.7387,0.0056,0.9326,54.3096,19.0049,1,1,0.02,0.15,1,2,12
2021-03-17 13:30:00,55.94,0.02,0.15,0.0358,0.2689,1,1,0.875,56.12,55.76,55.77,55.72,-0.0004,55.7449,0.0007,0.7246,49.6817,18.3472,1,1,-0.17,0.36,0,2,13
2021-03-17 14:30:00,55.77,-0.17,0.17,-0.3039,0.3058,0,1,0.5,55.9,55.72,55.76,55.7378,0.002,55.748,0.0003,0.7033,49.415,17.5232,1,1,-0.01,0.18,0,2,14
2021-03-17 15:30:00,55.77,0.0,0.01,0.0,0.0179,0,1,0.375,55.88,55.72,55.75,55.7367,-0.0001,55.7484,0.0,0.6732,49.1309,16.758,1,1,-0.02,0.16,0,2,15
2021-03-18 09:30:00,55.74,-0.03,0.16,-0.0538,0.2879,0,1,0.125,56.36,55.67,55.96,55.7789,0.0047,55.7907,0.0047,0.893,54.9836,17.8751,1,1,0.22,0.69,1,3,9
2021-03-18 10:30:00,55.96,0.22,0.21,0.3947,0.3767,1,1,0.875,56.1,55.81,55.91,55.8089,0.0033,55.8146,0.0027,0.804,53.408,18.9124,1,1,-0.05,0.29,0,3,10
2021-03-18 11:30:00,55.92,-0.04,0.45,-0.0715,0.8112,0,1,0.5,56.15,55.92,56.03,55.8722,0.007,55.8576,0.0048,0.928,56.6208,20.0306,1,1,0.11,0.23,1,3,11
2021-03-18 12:30:00,56.02,0.1,0.21,0.1788,0.3763,1,1,0.875,56.06,55.93,56.03,55.8967,0.0027,55.8921,0.0038,0.9014,56.6208,21.0689,1,1,0.01,0.13,1,3,12
2021-03-18 13:30:00,56.03,0.01,0.11,0.0179,0.1967,1,1,0.875,56.19,56.02,56.16,55.9233,0.003,55.9457,0.006,1.0159,60.0794,22.4456,1,1,0.13,0.17,1,3,13
2021-03-18 14:30:00,56.17,0.14,0.23,0.2499,0.4112,1,1,0.875,56.33,56.08,56.31,55.9644,0.0046,56.0186,0.0081,1.082,63.6779,24.1197,1,1,0.14,0.25,1,3,14
2021-03-18 15:30:00,56.31,0.14,0.54,0.2492,0.9683,1,1,0.875,56.35,56.22,56.32,56.0256,0.0068,56.0788,0.0067,1.0032,63.9115,25.7286,1,1,0.01,0.13,1,3,15
2021-03-19 09:30:00,56.43,0.12,0.66,0.2131,1.1834,1,1,0.875,56.52,55.98,56.09,56.0622,0.0041,56.0811,0.0002,0.7313,55.1309,25.6096,1,1,-0.34,0.54,0,4,9
2021-03-19 10:30:00,56.1,-0.33,0.36,-0.5848,0.6459,0,1,0.5,56.18,55.95,55.99,56.0889,0.003,56.0629,-0.002,0.6105,51.7987,25.3191,0,0,-0.11,0.23,0,4,10
