datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 12:30:00,39.37,-0.07,-0.54,-0.1775,-1.353,0,0,0.0,39.69,39.35,39.4,39.7011,-0.0062,39.5653,-0.0046,0.4478,51.1699,12.7695,0,0,0.03,0.34,1,0,12
2021-03-15 13:30:00,39.4,0.03,-0.38,0.0762,-0.9553,1,0,0.125,39.62,39.33,39.57,39.6767,-0.0027,39.5663,0.0001,0.5639,54.9371,11.9368,0,1,0.17,0.29,1,0,13
2021-03-15 14:30:00,39.57,0.17,-0.29,0.4315,-0.7275,1,0,0.375,39.64,39.45,39.59,39.6467,-0.0033,39.571,0.0005,0.5785,55.3733,11.2273,0,1,0.02,0.19,1,0,14
2021-03-15 15:30:00,39.58,0.01,-0.21,0.0253,-0.5278,1,0,0.5,39.75,39.5,39.71,39.6389,-0.0009,39.5988,0.0031,0.6483,58.0003,10.9239,1,1,0.13,0.25,1,0,15
2021-03-16 09:30:00,39.33,-0.25,-0.52,-0.6316,-1.3049,0,0,0.0,39.37,38.81,38.94,39.5378,-0.0112,39.467,-0.0146,0.1475,41.2293,11.5965,0,0,-0.39,0.56,0,1,9
2021-03-16 10:30:00,38.92,-0.41,-1.1,-1.0425,-2.7486,0,0,0.0,39.05,38.72,38.94,39.4233,-0.0127,39.3616,-0.0117,0.1633,41.2293,12.418,0,0,0.02,0.33,1,1,10
2021-03-16 11:30:00,38.94,0.02,-0.91,0.0514,-2.2836,1,0,0.125,39.29,38.91,39.28,39.3611,-0.0069,39.3453,-0.0018,0.3636,48.8094,12.3856,0,0,0.34,0.38,1,1,11
2021-03-16 12:30:00,39.27,0.33,-0.17,0.8475,-0.431,1,0,0.25,39.39,39.19,39.35,39.3511,-0.0011,39.3462,0.0001,0.3961,50.2326,12.0435,0,1,0.08,0.2,1,1,12
2021-03-16 13:30:00,39.35,0.08,-0.02,0.2037,-0.0508,1,0,0.5,39.47,39.26,39.38,39.3511,0.0,39.353,0.0008,0.3861,50.8631,11.4761,1,1,0.03,0.21,1,1,13
2021-03-16 14:30:00,39.38,0.03,-0.02,0.0762,-0.0508,1,0,0.625,39.49,39.24,39.35,39.3456,-0.0006,39.3524,-0.0001,0.3281,50.1785,10.8846,1,0,-0.03,0.25,0,1,14
2021-03-16 15:30:00,39.35,-0.03,-0.22,-0.0762,-0.556,0,0,0.5,39.47,39.29,39.35,39.3211,-0.0027,39.3519,-0.0001,0.3441,50.1785,10.3354,1,0,0.0,0.18,0,1,15
2021-03-17 09:30:00,39.68,0.33,0.1,0.8386,0.2527,1,1,0.875,40.44,39.4,39.51,39.3122,-0.001,39.3835,0.0035,0.4965,54.0076,11.7865,1,1,-0.17,1.04,0,2,9
2021-03-17 10:30:00,39.48,-0.2,0.15,-0.504,0.3814,0,1,0.75,39.57,39.21,39.48,39.2867,-0.0028,39.4028,0.0021,0.4832,53.1823,12.5302,1,1,0.0,0.36,0,2,10
2021-03-17 11:30:00,39.49,0.01,0.57,0.0253,1.4645,1,1,0.75,39.86,39.47,39.69,39.37,0.0093,39.4603,0.0064,0.688,58.0186,13.7549,1,1,0.2,0.39,1,2,11
2021-03-17 12:30:00,39.69,0.2,0.75,0.5065,1.926,1,1,0.875,39.84,39.66,39.78,39.4633,0.0104,39.5242,0.0071,0.7726,59.9291,14.8923,1,1,0.09,0.18,1,2,12
2021-03-17 13:30:00,39.77,0.08,0.5,0.2016,1.2732,1,1,0.875,40.04,39.61,39.64,39.5033,0.0044,39.5474,0.0026,0.6571,55.684,16.307,1,1,-0.13,0.43,0,2,13
2021-03-17 14:30:00,39.63,-0.14,0.28,-0.352,0.7116,0,1,0.5,39.85,39.3,39.4,39.5089,0.0006,39.5179,-0.0033,0.4445,49.2442,16.596,0,0,-0.23,0.55,0,2,14
2021-03-17 15:30:00,39.4,-0.23,0.02,-0.5804,0.0508,0,1,0.125,39.83,39.4,39.83,39.5589,0.0056,39.5803,0.0069,0.9146,58.5038,16.8644,1,1,0.43,0.43,1,2,15
2021-03-18 09:30:00,40.19,0.79,0.84,2.0051,2.1347,1,1,0.875,41.44,40.19,41.44,39.7911,0.0258,39.9523,0.0413,1.4637,76.0913,19.3369,1,1,1.25,1.25,1,3,9
2021-03-18 10:30:00,41.43,1.24,1.75,3.0853,4.4103,1,1,0.875,41.54,41.14,41.29,40.0067,0.024,40.2198,0.0297,1.1659,72.9875,21.721,1,1,-0.14,0.4,0,3,10
2021-03-18 11:30:00,41.3,-0.13,1.82,-0.3138,4.6099,0,1,0.75,41.54,41.28,41.32,40.2078,0.0223,40.4398,0.0244,1.053,73.2228,23.9348,1,1,0.02,0.26,1,3,11
2021-03-18 12:30:00,41.33,0.03,1.84,0.0726,4.6594,1,1,0.75,41.46,41.14,41.33,40.4133,0.0228,40.6179,0.0198,0.9741,73.3062,25.5573,1,1,0.0,0.32,0,3,12
2021-03-18 13:30:00,41.33,0.0,1.64,0.0,4.132,0,1,0.625,41.49,41.24,41.28,40.59,0.0196,40.7503,0.0147,0.9021,72.0963,27.0984,1,1,-0.05,0.25,0,3,13
2021-03-18 14:30:00,41.29,-0.04,1.52,-0.0968,3.822,0,1,0.375,41.36,40.94,41.01,40.7267,0.0152,40.8022,0.0058,0.7927,65.7824,27.5931,1,1,-0.28,0.42,0,3,14
2021-03-18 15:30:00,41.01,-0.28,1.38,-0.6781,3.4822,0,1,0.25,41.06,40.52,40.81,40.8567,0.0144,40.8038,0.0002,0.7133,61.4869,26.9188,0,1,-0.2,0.54,0,3,15
2021-03-19 09:30:00,40.09,-0.92,0.69,-2.2434,1.7513,0,1,0.0,40.09,39.22,39.85,40.9067,0.0056,40.613,-0.0212,0.4187,45.9698,26.088,0,0,-0.24,0.87,0,4,9
2021-03-19 10:30:00,39.85,-0.24,-0.34,-0.5987,-0.846,0,0,0.0,39.97,39.44,39.71,40.8933,-0.0015,40.4324,-0.0201,0.3672,44.2173,25.3165,0,0,-0.14,0.53,0,4,10
2021-03-19 11:30:00,39.71,-0.14,-1.72,-0.3513,-4.1516,0,0,0.0,40.03,39.65,39.99,40.7322,-0.0179,40.3439,-0.0098,0.4424,48.4502,24.4772,0,0,0.28,0.38,1,4,11
2021-03-19 12:30:00,40.0,0.29,-1.3,0.7303,-3.1477,1,0,0.25,40.06,39.81,39.96,40.5844,-0.0164,40.2672,-0.0085,0.4218,48.0296,23.6332,0,0,-0.04,0.25,0,4,12
2021-03-19 13:30:00,39.97,-0.03,-1.36,-0.075,-3.2906,0,0,0.25,40.02,39.65,39.69,40.4033,-0.0201,40.1517,-0.0128,0.3253,44.3027,23.1227,0,0,-0.28,0.37,0,4,13
2021-03-19 14:30:00,39.69,-0.28,-1.64,-0.7005,-3.9681,0,0,0.0,39.81,39.59,39.67,40.2189,-0.0205,40.0554,-0.0107,0.3095,44.0302,22.7522,0,0,-0.02,0.22,0,4,14
2021-03-19 15:30:00,39.67,-0.02,-1.62,-0.0504,-3.9235,0,0,0.0,39.87,39.62,39.66,40.0389,-0.02,39.9763,-0.0088,0.3018,43.8848,22.2535,0,0,-0.01,0.25,0,4,15
2021-03-22 09:30:00,39.34,-0.33,-1.67,-0.8319,-4.0722,0,0,0.0,39.34,38.66,38.72,39.7844,-0.0283,39.725,-0.0279,0.0302,32.8915,23.2367,0,0,-0.62,0.68,0,0,9
2021-03-22 10:30:00,38.72,-0.62,-1.37,-1.576,-3.4173,0,0,0.0,39.03,38.67,38.78,39.5589,-0.0251,39.536,-0.021,0.091,34.0276,24.1496,0,0,0.06,0.36,1,0,10
2021-03-22 11:30:00,38.78,0.06,-1.07,0.155,-2.6851,1,0,0.125,39.01,38.63,38.69,39.43,-0.0143,39.3668,-0.0188,0.1066,33.1218,25.0499,0,0,-0.09,0.38,0,0,11
2021-03-22 12:30:00,38.69,-0.09,-1.02,-0.2321,-2.5686,0,0,0.0,38.92,38.62,38.9,39.34,-0.01,39.2735,-0.0104,0.1869,37.3145,25.8997,0,0,0.21,0.3,1,0,12
2021-03-22 13:30:00,38.9,0.21,-1.1,0.5428,-2.75,1,0,0.375,39.15,38.86,39.12,39.2433,-0.0107,39.2428,-0.0034,0.2528,41.4553,25.9951,0,0,0.22,0.29,1,0,13
2021-03-22 14:30:00,39.12,0.22,-0.85,0.5656,-2.1266,1,0,0.5,39.31,39.12,39.24,39.1633,-0.0089,39.2422,-0.0001,0.2958,43.6422,25.6251,1,0,0.12,0.19,1,0,14
2021-03-22 15:30:00,39.24,0.12,-0.45,0.3067,-1.1338,1,0,0.625,39.24,38.92,38.98,39.0844,-0.0088,39.1898,-0.0058,0.2517,40.1434,25.6412,0,0,-0.26,0.32,0,0,15
2021-03-23 09:30:00,38.5,-0.74,-1.17,-1.8858,-2.9493,0,0,0.0,39.05,38.34,38.72,38.9789,-0.0117,39.0958,-0.0104,0.2088,36.953,26.5339,0,0,0.22,0.71,1,1,9
2021-03-23 10:30:00,38.73,0.23,-0.61,0.5974,-1.5506,1,0,0.375,38.78,38.31,38.33,38.8311,-0.0164,38.9427,-0.017,0.1334,32.7486,27.4032,0,0,-0.4,0.47,0,1,10
2021-03-23 11:30:00,38.35,-0.38,-0.37,-0.9812,-0.9556,0,0,0.0,38.55,38.27,38.53,38.81,-0.0023,38.8601,-0.0092,0.2094,36.7245,28.2672,0,0,0.18,0.28,1,1,11
2021-03-23 12:30:00,38.54,0.19,-0.24,0.4954,-0.6189,1,0,0.25,38.75,38.52,38.75,38.8067,-0.0004,38.8381,-0.0024,0.29,40.8659,28.4194,0,0,0.21,0.23,1,1,12
2021-03-23 13:30:00,38.74,0.2,0.05,0.5189,0.1292,1,1,0.5,38.74,38.37,38.43,38.7778,-0.0032,38.7565,-0.0091,0.1886,37.0658,28.8095,0,0,-0.31,0.37,0,1,13
2021-03-23 14:30:00,38.42,-0.32,-0.48,-0.826,-1.2339,0,0,0.125,38.44,38.1,38.15,38.6944,-0.0093,38.6352,-0.0135,0.0855,34.0795,29.5896,0,0,-0.27,0.34,0,1,14
2021-03-23 15:30:00,38.12,-0.3,-1.0,-0.7808,-2.5562,0,0,0.0,38.3,38.06,38.24,38.5967,-0.0109,38.5561,-0.0088,0.1611,35.8681,30.3738,0,0,0.12,0.24,1,1,15
2021-03-24 09:30:00,38.37,0.25,-0.87,0.6558,-2.2171,1,0,0.25,38.79,38.35,38.64,38.53,-0.0074,38.5729,0.0019,0.3554,43.2391,29.5446,1,1,0.27,0.44,1,2,9
2021-03-24 10:30:00,38.62,0.25,0.12,0.6516,0.3117,1,1,0.625,39.01,38.51,38.53,38.48,-0.0056,38.5643,-0.001,0.3238,41.8157,28.1828,1,0,-0.09,0.5,0,2,10
2021-03-24 11:30:00,38.54,-0.08,-0.19,-0.2071,-0.4906,0,0,0.5,38.78,38.53,38.67,38.4744,-0.0006,38.5855,0.0023,0.4142,44.3276,26.9183,1,1,0.13,0.25,1,2,11
2021-03-24 12:30:00,38.68,0.14,0.33,0.3633,0.8605,1,1,0.75,38.76,38.5,38.54,38.4978,0.0026,38.5764,-0.001,0.3594,42.4931,25.8138,1,0,-0.14,0.26,0,2,12
2021-03-24 13:30:00,38.55,-0.13,0.01,-0.3361,0.0259,0,1,0.5,38.66,38.42,38.43,38.4867,-0.0012,38.5471,-0.0033,0.3034,40.9489,24.9805,0,0,-0.12,0.24,0,2,13
2021-03-24 14:30:00,38.42,-0.13,-0.32,-0.3372,-0.826,0,0,0.25,38.47,38.26,38.34,38.4411,-0.0051,38.5057,-0.0046,0.232,39.6784,24.5834,0,0,-0.08,0.21,0,2,14
2021-03-24 15:30:00,38.35,-0.07,-0.07,-0.1822,-0.1822,0,0,0.125,38.36,38.11,38.12,38.4067,-0.0038,38.4285,-0.0086,0.0914,36.6823,24.5507,0,0,-0.23,0.25,0,2,15
2021-03-25 09:30:00,37.97,-0.38,-0.15,-0.9909,-0.3935,0,0,0.0,38.53,37.78,38.45,38.44,0.0037,38.4328,0.0005,0.382,43.566,25.1792,1,1,0.48,0.75,1,3,9
2021-03-25 10:30:00,38.45,0.48,0.08,1.2642,0.2085,1,1,0.375,38.53,38.13,38.52,38.4711,0.0035,38.4503,0.0019,0.4481,44.9336,25.7627,1,1,0.07,0.4,1,3,10
2021-03-25 11:30:00,38.52,0.07,-0.1,0.1821,-0.2589,1,0,0.5,38.99,38.5,38.9,38.5,0.0032,38.5402,0.01,0.7689,51.7668,24.7403,1,1,0.38,0.49,1,3,11
2021-03-25 12:30:00,38.91,0.39,0.37,1.0125,0.96,1,1,0.875,39.25,38.85,38.85,38.5356,0.004,38.6022,0.0069,0.7547,50.8723,23.0675,1,1,-0.06,0.4,0,3,12
2021-03-25 13:30:00,38.86,-0.05,0.18,-0.1285,0.4654,0,1,0.75,39.08,38.83,38.83,38.5533,0.002,38.6477,0.0051,0.7957,50.4964,21.5669,1,1,-0.03,0.25,0,3,13
2021-03-25 14:30:00,38.84,-0.02,0.29,-0.0515,0.7523,0,1,0.625,39.21,38.83,39.14,38.62,0.0074,38.7462,0.0109,1.0723,55.9315,20.2417,1,1,0.3,0.38,1,3,14
2021-03-25 15:30:00,39.15,0.31,0.73,0.7981,1.9001,1,1,0.875,39.36,39.1,39.29,38.7156,0.0106,38.855,0.0121,1.0883,58.3163,19.4141,1,1,0.14,0.26,1,3,15
2021-03-26 09:30:00,39.93,0.78,1.58,1.9923,4.1199,1,1,0.875,40.23,39.65,39.94,38.8933,0.0198,39.072,0.0241,1.2684,66.7207,20.3846,1,1,0.01,0.58,1,4,9
2021-03-26 10:30:00,39.94,0.01,1.97,0.025,5.1883,1,1,0.875,40.1,39.54,39.64,39.0622,0.0188,39.1856,0.0126,0.9951,60.6433,20.953,1,1,-0.3,0.56,0,4,10
2021-03-26 11:30:00,39.65,-0.29,1.2,-0.7261,3.1209,0,1,0.625,39.71,39.41,39.54,39.1833,0.0135,39.2565,0.0079,0.8919,58.7232,21.0897,1,1,-0.11,0.3,0,4,11
