datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 14:30:00,133.14,0.12,-0.41,0.0902,-0.307,1,0,0.125,133.24,132.88,132.93,133.5289,-0.0077,133.1971,-0.0074,0.4959,56.7244,50.8741,0,0,-0.21,0.36,0,0,14
2021-03-15 15:30:00,132.94,-0.2,-1.16,-0.1502,-0.865,0,0,0.0,133.46,132.82,133.44,133.4556,-0.0081,133.2457,0.0054,0.6584,62.3357,49.6591,0,1,0.5,0.64,1,0,15
2021-03-16 09:30:00,132.82,-0.12,-1.44,-0.0903,-1.0725,0,0,0.0,134.28,132.82,134.23,133.4533,-0.0002,133.4425,0.0219,0.8994,69.0338,49.382,1,1,1.41,1.46,1,1,9
2021-03-16 10:30:00,134.24,1.42,0.12,1.0691,0.0895,1,1,0.875,134.27,133.64,134.07,133.4489,-0.0005,133.568,0.0139,0.8104,66.4561,49.1248,1,1,-0.17,0.63,0,1,10
2021-03-16 11:30:00,134.07,-0.17,0.29,-0.1266,0.2168,0,1,0.75,134.17,133.7,133.92,133.4644,0.0017,133.6384,0.0078,0.7329,64.0418,48.8858,1,1,-0.15,0.47,0,1,11
2021-03-16 12:30:00,133.93,-0.14,0.75,-0.1044,0.5631,0,1,0.625,134.13,133.7,134.0,133.5544,0.01,133.7107,0.008,0.7381,64.7768,48.664,1,1,0.07,0.43,1,1,12
2021-03-16 13:30:00,134.01,0.08,0.78,0.0597,0.5855,1,1,0.625,134.07,133.77,133.96,133.6356,0.009,133.7606,0.0055,0.7025,64.0716,48.458,1,1,-0.05,0.3,0,1,13
2021-03-16 14:30:00,133.94,-0.07,0.92,-0.0522,0.6916,0,1,0.5,134.0,133.39,133.49,133.6878,0.0058,133.7065,-0.006,0.4878,56.3143,47.1433,0,0,-0.45,0.61,0,1,14
2021-03-16 15:30:00,133.5,-0.44,0.36,-0.3285,0.2704,0,1,0.25,133.59,133.33,133.39,133.7144,0.003,133.6432,-0.007,0.4166,54.7942,45.7551,0,0,-0.11,0.26,0,1,15
2021-03-17 09:30:00,132.58,-0.92,-0.36,-0.6891,-0.2708,0,0,0.0,133.01,131.99,132.66,133.6844,-0.0033,133.4465,-0.0218,0.0228,45.2021,43.2653,0,0,0.08,1.02,1,2,9
2021-03-17 10:30:00,132.66,0.08,-0.16,0.0603,-0.1205,1,0,0.125,132.81,132.19,132.3,133.5578,-0.0141,133.2172,-0.0255,-0.0725,41.3571,40.9534,0,0,-0.36,0.62,0,2,10
2021-03-17 11:30:00,132.31,-0.35,-1.93,-0.2638,-1.4377,0,0,0.0,132.35,132.0,132.13,133.3244,-0.0259,132.9998,-0.0242,-0.0378,39.6422,39.108,0,0,-0.18,0.35,0,2,11
2021-03-17 12:30:00,132.15,-0.16,-1.92,-0.1209,-1.4321,0,0,0.0,132.63,132.08,132.35,133.1333,-0.0212,132.8698,-0.0144,0.1033,42.9396,36.8196,0,0,0.2,0.55,1,2,12
2021-03-17 13:30:00,132.36,0.21,-1.57,0.1589,-1.1723,1,0,0.25,133.14,132.22,132.27,132.95,-0.0204,132.7499,-0.0133,0.1169,42.0402,34.6069,0,0,-0.09,0.92,0,2,13
