datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 11:30:00,60.1,-0.49,-1.84,-0.8087,-2.9706,0,0,0.0,60.29,59.87,59.99,61.4267,-0.0241,61.063,-0.0298,-0.1358,33.3859,35.7669,0,0,-0.11,0.42,0,0,11
2021-03-15 12:30:00,59.99,-0.11,-2.29,-0.183,-3.6769,0,0,0.0,60.22,59.93,60.17,61.1922,-0.026,60.8844,-0.0198,0.0193,36.4704,35.3728,0,0,0.18,0.29,1,0,12
2021-03-15 13:30:00,60.17,0.18,-1.84,0.3001,-2.9673,1,0,0.25,60.44,60.03,60.39,61.0122,-0.02,60.7855,-0.011,0.1384,40.12,34.4827,0,0,0.22,0.41,1,0,13
2021-03-15 14:30:00,60.37,0.2,-1.78,0.3324,-2.864,1,0,0.375,60.47,60.25,60.28,60.8056,-0.023,60.6844,-0.0112,0.145,38.9162,33.5842,0,0,-0.09,0.22,0,0,14
2021-03-15 15:30:00,60.28,-0.09,-1.58,-0.1491,-2.5542,0,0,0.375,60.46,60.2,60.37,60.6411,-0.0183,60.6215,-0.007,0.2053,40.4895,32.8308,0,0,0.09,0.26,1,0,15
2021-03-16 09:30:00,59.26,-1.02,-2.66,-1.6921,-4.2959,0,0,0.0,59.66,58.44,59.14,60.3322,-0.0343,60.3252,-0.0329,-0.0552,29.3597,34.0822,0,0,-0.12,1.22,0,1,9
2021-03-16 10:30:00,59.13,-0.13,-2.32,-0.2194,-3.7754,0,0,0.0,59.24,58.78,59.0,60.0056,-0.0363,60.0602,-0.0294,-0.002,28.4027,35.2443,0,0,-0.13,0.46,0,1,10
2021-03-16 11:30:00,58.99,-0.14,-1.6,-0.2368,-2.6407,0,0,0.0,59.4,58.95,59.3,59.8611,-0.016,59.9081,-0.0169,0.1218,33.4115,35.9359,0,0,0.31,0.45,1,1,11
2021-03-16 12:30:00,59.3,0.31,-0.8,0.5255,-1.3311,1,0,0.375,59.44,59.2,59.33,59.7744,-0.0096,59.7925,-0.0128,0.168,33.9094,36.4787,0,0,0.03,0.24,1,1,12
2021-03-16 13:30:00,59.33,0.03,-0.66,0.0506,-1.1002,1,0,0.5,59.44,59.12,59.2,59.6867,-0.0098,59.674,-0.0132,0.1757,32.766,37.0645,0,0,-0.13,0.32,0,1,13
2021-03-16 14:30:00,59.2,-0.13,-0.97,-0.2191,-1.6121,0,0,0.25,59.52,59.19,59.26,59.5856,-0.0112,59.5912,-0.0092,0.219,33.8743,37.3874,0,0,0.06,0.33,1,1,14
2021-03-16 15:30:00,59.27,0.07,-1.1,0.1182,-1.8221,1,0,0.5,59.33,59.03,59.1,59.4422,-0.0159,59.493,-0.0109,0.2142,32.3433,37.871,0,0,-0.17,0.3,0,1,15
2021-03-17 09:30:00,58.9,-0.37,-1.38,-0.6243,-2.2893,0,0,0.0,59.71,58.9,59.14,59.3156,-0.0141,59.4224,-0.0078,0.2455,33.1567,37.2777,0,0,0.24,0.81,1,2,9
2021-03-17 10:30:00,59.13,0.23,-0.13,0.3905,-0.2194,1,0,0.25,59.19,58.62,59.09,59.1733,-0.0158,59.3559,-0.0074,0.2565,32.6286,37.1009,0,0,-0.04,0.57,0,2,10
