datetime,open,high,low,close,volume,adx,atr,sma,ema,rsi,macd_signal,percent_b,sma_(1_change),sma_(1_change(%)),sma_(1_trend),sma_(2_change),sma_(2_change(%)),sma_(2_trend),sma_(3_change),sma_(3_change(%)),sma_(3_trend),sma_(4_change),sma_(4_change(%)),sma_(4_trend),sma_(5_change),sma_(5_change(%)),sma_(5_trend),sma_(6_change),sma_(6_change(%)),sma_(6_trend),sma_(7_change),sma_(7_change(%)),sma_(7_trend),sma_(8_change),sma_(8_change(%)),sma_(8_trend),sma_(9_change),sma_(9_change(%)),sma_(9_trend),ema_(1_change),ema_(1_change(%)),ema_(1_trend),ema_(2_change),ema_(2_change(%)),ema_(2_trend),ema_(3_change),ema_(3_change(%)),ema_(3_trend),ema_(4_change),ema_(4_change(%)),ema_(4_trend),ema_(5_change),ema_(5_change(%)),ema_(5_trend),ema_(6_change),ema_(6_change(%)),ema_(6_trend),ema_(7_change),ema_(7_change(%)),ema_(7_trend),ema_(8_change),ema_(8_change(%)),ema_(8_trend),ema_(9_change),ema_(9_change(%)),ema_(9_trend),day,hour
2024-10-25 11:10:00,232.8,232.85,232.67,232.83,67668,14.52,0.17,232.96,232.92,51.43,0.12,0.44,-0.03,-0.0129,0,-0.05,-0.0215,0,-0.04,-0.0172,0,-0.01,-0.0043,0,0.04,0.0172,1,0.08,0.0344,1,0.1,0.0429,1,0.11,0.0472,1,0.13,0.0558,1,-0.02,-0.0086,0,-0.06,-0.0258,0,-0.06,-0.0258,0,-0.04,-0.0172,0,0.0,0.0,0,0.03,0.0129,1,0.05,0.0215,1,0.07,0.0301,1,0.08,0.0344,1,4,11
2024-10-25 11:11:00,232.84,232.91,232.74,232.76,53067,13.77,0.17,232.94,232.89,47.88,0.11,0.27,-0.02,-0.0086,0,-0.05,-0.0215,0,-0.07,-0.03,0,-0.06,-0.0258,0,-0.03,-0.0129,0,0.02,0.0086,1,0.06,0.0258,1,0.08,0.0344,1,0.09,0.0387,1,-0.03,-0.0129,0,-0.05,-0.0215,0,-0.09,-0.0386,0,-0.09,-0.0386,0,-0.07,-0.03,0,-0.03,-0.0129,0,0.0,0.0,0,0.02,0.0086,1,0.04,0.0172,1,4,11
2024-10-25 11:12:00,232.74,232.89,232.74,232.88,39061,13.08,0.17,232.94,232.89,53.77,0.1,0.48,0.0,0.0,0,-0.02,-0.0086,0,-0.05,-0.0215,0,-0.07,-0.03,0,-0.06,-0.0258,0,-0.03,-0.0129,0,0.02,0.0086,1,0.06,0.0258,1,0.08,0.0344,1,0.0,0.0,0,-0.03,-0.0129,0,-0.05,-0.0215,0,-0.09,-0.0386,0,-0.09,-0.0386,0,-0.07,-0.03,0,-0.03,-0.0129,0,0.0,0.0,0,0.02,0.0086,1,4,11
2024-10-25 11:13:00,232.89,233.0,232.85,233.0,58309,12.62,0.16,232.94,232.91,58.79,0.1,0.7,0.0,0.0,0,0.0,0.0,0,-0.02,-0.0086,0,-0.05,-0.0215,0,-0.07,-0.03,0,-0.06,-0.0258,0,-0.03,-0.0129,0,0.02,0.0086,1,0.06,0.0258,1,0.02,0.0086,1,0.02,0.0086,1,-0.01,-0.0043,0,-0.03,-0.0129,0,-0.07,-0.03,0,-0.07,-0.03,0,-0.05,-0.0215,0,-0.01,-0.0043,0,0.02,0.0086,1,4,11
2024-10-25 11:14:00,232.97,232.99,232.91,232.97,24346,12.2,0.16,232.93,232.92,57.12,0.09,0.63,-0.01,-0.0043,0,-0.01,-0.0043,0,-0.01,-0.0043,0,-0.03,-0.0129,0,-0.06,-0.0258,0,-0.08,-0.0343,0,-0.07,-0.03,0,-0.04,-0.0172,0,0.01,0.0043,1,0.01,0.0043,1,0.03,0.0129,1,0.03,0.0129,1,0.0,0.0,0,-0.02,-0.0086,0,-0.06,-0.0258,0,-0.06,-0.0258,0,-0.04,-0.0172,0,0.0,0.0,0,4,11
2024-10-25 11:15:00,232.98,232.98,232.9,232.95,29435,11.72,0.15,232.91,232.93,55.98,0.09,0.57,-0.02,-0.0086,0,-0.03,-0.0129,0,-0.03,-0.0129,0,-0.03,-0.0129,0,-0.05,-0.0215,0,-0.08,-0.0343,0,-0.1,-0.0429,0,-0.09,-0.0386,0,-0.06,-0.0258,0,0.01,0.0043,1,0.02,0.0086,1,0.04,0.0172,1,0.04,0.0172,1,0.01,0.0043,1,-0.01,-0.0043,0,-0.05,-0.0215,0,-0.05,-0.0215,0,-0.03,-0.0129,0,4,11
2024-10-25 11:16:00,232.93,232.98,232.9,232.93,43211,11.28,0.15,232.9,232.93,54.8,0.09,0.51,-0.01,-0.0043,0,-0.03,-0.0129,0,-0.04,-0.0172,0,-0.04,-0.0172,0,-0.04,-0.0172,0,-0.06,-0.0258,0,-0.09,-0.0386,0,-0.11,-0.0472,0,-0.1,-0.0429,0,0.0,0.0,0,0.01,0.0043,1,0.02,0.0086,1,0.04,0.0172,1,0.04,0.0172,1,0.01,0.0043,1,-0.01,-0.0043,0,-0.05,-0.0215,0,-0.05,-0.0215,0,4,11
2024-10-25 11:17:00,232.91,232.91,232.84,232.87,627,10.6,0.14,232.89,232.92,51.31,0.08,0.33,-0.01,-0.0043,0,-0.02,-0.0086,0,-0.04,-0.0172,0,-0.05,-0.0215,0,-0.05,-0.0215,0,-0.05,-0.0215,0,-0.07,-0.03,0,-0.1,-0.0429,0,-0.12,-0.0515,0,-0.01,-0.0043,0,-0.01,-0.0043,0,0.0,0.0,0,0.01,0.0043,1,0.03,0.0129,1,0.03,0.0129,1,0.0,0.0,0,-0.02,-0.0086,0,-0.06,-0.0258,0,4,11
2024-10-25 11:18:00,232.93,232.96,232.91,232.92,52243,10.14,0.14,232.9,232.92,53.94,0.08,0.44,0.01,0.0043,1,0.0,0.0,0,-0.01,-0.0043,0,-0.03,-0.0129,0,-0.04,-0.0172,0,-0.04,-0.0172,0,-0.04,-0.0172,0,-0.06,-0.0258,0,-0.09,-0.0386,0,0.0,0.0,0,-0.01,-0.0043,0,-0.01,-0.0043,0,0.0,0.0,0,0.01,0.0043,1,0.03,0.0129,1,0.03,0.0129,1,0.0,0.0,0,-0.02,-0.0086,0,4,11
2024-10-25 11:19:00,232.95,232.95,232.95,232.95,129,9.72,0.13,232.91,232.92,55.5,0.07,0.51,0.01,0.0043,1,0.02,0.0086,1,0.01,0.0043,1,0.0,0.0,0,-0.02,-0.0086,0,-0.03,-0.0129,0,-0.03,-0.0129,0,-0.03,-0.0129,0,-0.05,-0.0215,0,0.0,0.0,0,0.0,0.0,0,-0.01,-0.0043,0,-0.01,-0.0043,0,0.0,0.0,0,0.01,0.0043,1,0.03,0.0129,1,0.03,0.0129,1,0.0,0.0,0,4,11
