datetime,open,open_1 change,open_9 change,open_1 change(%),open_9 change(%),open_1 trend,open_9 trend,high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,day,hour
2024-01-04 10:54:00,161.79,-0.07,0.03,-0.0432,0.0185,0,1,161.82,161.73,161.77,161.7489,0.0016,161.761,0.0003,0.6557,61.7277,42.0716,3,10
2024-01-04 10:55:00,161.78,-0.01,0.17,-0.0062,0.1052,0,1,161.79,161.74,161.78,161.7733,0.0027,161.7648,0.0004,0.66,62.151,41.725,3,10
2024-01-04 10:56:00,161.75,-0.03,0.19,-0.0185,0.1176,0,1,161.77,161.65,161.74,161.7856,0.0014,161.7598,-0.0006,0.5676,59.3248,40.3439,3,10
2024-01-04 10:57:00,161.73,-0.02,0.1,-0.0124,0.0619,0,1,161.76,161.7,161.76,161.7856,0.0,161.7599,0.0,0.5914,60.2969,39.0615,3,10
2024-01-04 10:58:00,161.74,0.01,0.0,0.0062,0.0,1,0,161.79,161.73,161.79,161.7878,0.0002,161.7659,0.0007,0.6528,61.7728,38.093,3,10
2024-01-04 10:59:00,161.79,0.05,0.02,0.0309,0.0124,1,1,161.85,161.71,161.74,161.7867,-0.0001,161.7607,-0.0006,0.4909,57.9091,37.6167,3,10
2024-01-04 11:00:00,161.73,-0.06,-0.04,-0.0371,-0.0247,0,0,161.84,161.71,161.77,161.7822,-0.0005,161.7626,0.0002,0.561,59.5441,37.1745,3,11
2024-01-04 11:01:00,161.79,0.06,-0.01,0.0371,-0.0062,1,0,161.81,161.76,161.79,161.7722,-0.0011,161.7681,0.0006,0.6141,60.6418,36.7638,3,11
2024-01-04 11:02:00,161.78,-0.01,-0.08,-0.0062,-0.0494,0,0,161.85,161.77,161.79,161.77,-0.0002,161.7724,0.0005,0.6002,60.6418,36.6867,3,11
2024-01-04 11:03:00,161.79,0.01,0.0,0.0062,0.0,1,0,161.92,161.78,161.9,161.7844,0.0016,161.798,0.0028,0.9605,66.4485,37.0963,3,11
2024-01-04 11:04:00,161.87,0.08,0.09,0.0494,0.0556,1,1,161.9,161.5,161.56,161.76,-0.0027,161.7504,-0.0053,-0.0438,44.5636,34.5797,3,11
2024-01-04 11:05:00,161.58,-0.29,-0.17,-0.1792,-0.1051,0,0,161.69,161.54,161.64,161.7489,-0.0012,161.7283,-0.0025,0.1852,48.8337,32.2429,3,11
2024-01-04 11:06:00,161.64,0.06,-0.09,0.0371,-0.0556,1,0,161.75,161.63,161.72,161.7444,-0.0005,161.7266,-0.0002,0.3753,52.7529,30.3286,3,11
2024-01-04 11:07:00,161.68,0.04,-0.06,0.0247,-0.0371,1,0,161.68,161.58,161.64,161.7278,-0.0019,161.7093,-0.0019,0.107,48.7329,28.229,3,11
2024-01-04 11:08:00,161.64,-0.04,-0.15,-0.0247,-0.0927,0,0,161.68,161.6,161.61,161.7133,-0.0016,161.6894,-0.0022,0.0703,47.278,26.2795,3,11
2024-01-04 11:09:00,161.61,-0.03,-0.12,-0.0186,-0.0742,0,0,161.63,161.6,161.63,161.6978,-0.0017,161.6776,-0.0013,0.1686,48.3843,24.4691,3,11
2024-01-04 11:10:00,161.63,0.02,-0.16,0.0124,-0.0989,1,0,161.72,161.62,161.71,161.6889,-0.001,161.684,0.0007,0.4073,52.6635,23.5175,3,11
2024-01-04 11:11:00,161.7,0.07,-0.08,0.0433,-0.0494,1,0,161.86,161.7,161.86,161.6967,0.0009,161.7192,0.0039,0.8248,59.4514,23.694,3,11
2024-01-04 11:12:00,161.85,0.15,0.06,0.0928,0.0371,1,1,161.94,161.81,161.93,161.7,0.0004,161.7614,0.0047,0.9905,62.1771,24.3506,3,11
2024-01-04 11:13:00,161.91,0.06,0.04,0.0371,0.0247,1,1,161.95,161.9,161.95,161.7433,0.0048,161.7991,0.0042,0.9779,62.9436,25.0197,3,11
2024-01-04 11:14:00,161.93,0.02,0.35,0.0124,0.2166,1,1,161.98,161.9,161.91,161.7733,0.0033,161.8213,0.0025,0.8448,60.3112,25.8232,3,11
2024-01-04 11:15:00,161.92,-0.01,0.28,-0.0062,0.1732,0,1,162.08,161.9,161.9,161.7933,0.0022,161.837,0.0017,0.7964,59.6397,27.122,3,11
2024-01-04 11:16:00,161.89,-0.03,0.21,-0.0185,0.1299,0,1,161.95,161.88,161.89,161.8211,0.0031,161.8476,0.0012,0.7509,58.9331,28.066,3,11
2024-01-04 11:17:00,161.88,-0.01,0.24,-0.0062,0.1485,0,1,161.89,161.67,161.68,161.8289,0.0009,161.8141,-0.0037,0.3065,46.4786,26.7002,3,11
2024-01-04 11:18:00,161.75,-0.13,0.14,-0.0803,0.0866,0,1,161.91,161.74,161.91,161.86,0.0035,161.8333,0.0021,0.7764,57.1577,25.5778,3,11
2024-01-04 11:19:00,161.89,0.14,0.26,0.0866,0.1609,1,1,161.92,161.84,161.86,161.8767,0.0019,161.8386,0.0006,0.6591,54.6068,24.6115,3,11
2024-01-04 11:20:00,161.85,-0.04,0.15,-0.0247,0.0928,0,1,161.87,161.8,161.85,161.8756,-0.0001,161.8409,0.0003,0.6295,54.087,23.3229,3,11
2024-01-04 11:21:00,161.85,0.0,0.0,0.0,0.0,0,0,161.85,161.77,161.83,161.8644,-0.0012,161.8387,-0.0002,0.5844,53.0001,21.8372,3,11
2024-01-04 11:22:00,161.83,-0.02,-0.08,-0.0124,-0.0494,0,0,161.88,161.82,161.87,161.8556,-0.001,161.845,0.0007,0.6559,54.9499,20.7312,3,11
2024-01-04 11:23:00,161.87,0.04,-0.06,0.0247,-0.0371,1,0,162.02,161.85,162.02,161.8678,0.0014,161.88,0.0039,0.9196,61.4142,20.8075,3,11
2024-01-04 11:24:00,162.03,0.16,0.11,0.0988,0.0679,1,1,162.04,161.99,162.04,161.8833,0.0017,161.912,0.0036,0.9182,62.1931,21.0166,3,11
2024-01-04 11:25:00,162.04,0.01,0.15,0.0062,0.0927,1,1,162.06,161.99,162.02,161.8978,0.0016,161.9336,0.0024,0.844,60.8698,21.3522,3,11
2024-01-04 11:26:00,162.0,-0.04,0.12,-0.0247,0.0741,0,1,162.01,161.93,161.98,161.9311,0.0037,161.9429,0.001,0.7415,58.2024,20.969,3,11
2024-01-04 11:27:00,161.96,-0.04,0.21,-0.0247,0.1298,0,1,161.99,161.95,161.96,161.9367,0.0006,161.9463,0.0004,0.6834,56.8607,20.6131,3,11
2024-01-04 11:28:00,161.96,0.0,0.07,0.0,0.0432,0,1,162.0,161.92,161.92,161.9433,0.0007,161.941,-0.0006,0.5797,54.171,19.9269,3,11
2024-01-04 11:29:00,161.93,-0.03,0.08,-0.0185,0.0494,0,1,161.94,161.87,161.94,161.9533,0.0011,161.9408,-0.0,0.6076,55.3093,18.7223,3,11
