datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-04 10:54:00,136.31,-0.16,-0.18,-0.1172,-0.1319,0,0,0,136.55,136.31,136.5,136.5256,0.0002,136.5156,-0.0004,0.3154,47.4573,22.5709,0,0,0.19,0.24,1,3,10
2024-01-04 10:55:00,136.48,0.17,0.0,0.1247,0.0,1,0,2,136.58,136.31,136.32,136.5078,-0.002,136.4765,-0.0043,0.0393,42.0611,22.2693,0,0,-0.16,0.27,0,3,10
2024-01-04 10:56:00,136.33,-0.15,-0.26,-0.1099,-0.1904,0,0,1,136.38,136.11,136.23,136.4678,-0.0044,136.4272,-0.0055,-0.0211,39.6345,20.7641,0,0,-0.1,0.27,0,3,10
2024-01-04 10:57:00,136.22,-0.11,-0.34,-0.0807,-0.249,0,0,0,136.29,136.16,136.27,136.4344,-0.0037,136.3957,-0.0035,0.0963,41.2566,19.3664,0,0,0.05,0.13,1,3,10
2024-01-04 10:58:00,136.26,0.04,-0.33,0.0294,-0.2416,1,0,1,136.26,136.15,136.21,136.3922,-0.0047,136.3586,-0.0041,0.0654,39.5403,18.0083,0,0,-0.05,0.11,0,3,10
2024-01-04 10:59:00,136.21,-0.05,-0.31,-0.0367,-0.2271,0,0,0,136.56,136.19,136.51,136.39,-0.0002,136.3889,0.0034,0.5355,50.6053,18.2571,1,1,0.3,0.37,1,3,10
2024-01-04 11:00:00,136.53,0.32,-0.15,0.2349,-0.1097,1,0,7,136.62,136.49,136.59,136.38,-0.0011,136.4291,0.0045,0.6896,53.0718,18.7332,1,1,0.06,0.13,1,3,11
2024-01-04 11:01:00,136.58,0.05,0.11,0.0366,0.0806,1,1,7,136.86,136.56,136.85,136.4222,0.0047,136.5133,0.0094,1.064,60.0532,20.0248,1,1,0.27,0.3,1,3,11
2024-01-04 11:02:00,136.84,0.26,0.53,0.1904,0.3888,1,1,7,136.88,136.49,136.5,136.4422,0.0022,136.5106,-0.0003,0.511,49.3993,20.7609,1,0,-0.34,0.39,0,3,11
2024-01-04 11:03:00,136.51,-0.33,0.03,-0.2412,0.022,0,1,4,136.63,136.49,136.55,136.4478,0.0006,136.5185,0.0009,0.5824,50.7437,21.4444,1,1,0.04,0.14,1,3,11
2024-01-04 11:04:00,136.57,0.06,0.24,0.044,0.176,1,1,5,136.63,136.49,136.59,136.4778,0.0033,136.5328,0.0016,0.6605,51.8459,22.0791,1,1,0.02,0.14,1,3,11
2024-01-04 11:05:00,136.58,0.01,0.36,0.0073,0.2643,1,1,5,136.62,136.49,136.53,136.5111,0.0037,136.5322,-0.0001,0.5586,50.0371,22.6685,1,0,-0.05,0.13,0,3,11
2024-01-04 11:06:00,136.54,-0.04,0.28,-0.0293,0.2055,0,1,3,136.56,136.49,136.56,136.5433,0.0036,136.5378,0.0006,0.6005,50.9584,23.2158,1,1,0.02,0.07,1,3,11
2024-01-04 11:07:00,136.57,0.03,0.36,0.022,0.2643,1,1,3,136.65,136.53,136.64,136.5911,0.0053,136.5582,0.0023,0.7234,53.4247,24.1276,1,1,0.07,0.12,1,3,11
2024-01-04 11:08:00,136.64,0.07,0.11,0.0513,0.0806,1,1,6,136.91,136.63,136.86,136.63,0.0043,136.6186,0.0067,0.9949,59.4622,25.8957,1,1,0.22,0.28,1,3,11
2024-01-04 11:09:00,136.87,0.23,0.29,0.1683,0.2123,1,1,7,137.05,136.83,137.04,136.68,0.0056,136.7029,0.0094,1.1032,63.6178,27.9195,1,1,0.17,0.22,1,3,11
2024-01-04 11:10:00,137.05,0.18,0.21,0.1315,0.1535,1,1,7,137.33,137.03,137.32,136.7322,0.0058,136.8263,0.0137,1.1902,68.9499,30.4,1,1,0.27,0.3,1,3,11
2024-01-04 11:11:00,137.31,0.26,0.8,0.1897,0.586,1,1,7,137.41,137.3,137.39,136.8311,0.011,136.939,0.0125,1.1037,70.1286,32.8462,1,1,0.08,0.11,1,3,11
2024-01-04 11:12:00,137.38,0.07,0.81,0.051,0.5931,1,1,7,137.43,137.17,137.2,136.9033,0.008,136.9912,0.0058,0.9,63.1243,34.11,1,1,-0.18,0.26,0,3,11
2024-01-04 11:13:00,137.19,-0.19,0.61,-0.1383,0.4466,0,1,5,137.2,136.99,137.07,136.9567,0.0059,137.007,0.0018,0.776,58.7971,34.0652,1,1,-0.12,0.21,0,3,11
2024-01-04 11:14:00,137.06,-0.13,0.52,-0.0948,0.3808,0,1,4,137.25,137.05,137.15,137.0256,0.0077,137.0356,0.0032,0.8005,60.5876,34.1794,1,1,0.09,0.2,1,3,11
2024-01-04 11:15:00,137.14,0.08,0.57,0.0584,0.4174,1,1,4,137.26,137.09,137.23,137.1,0.0083,137.0745,0.0043,0.8208,62.3496,34.3176,1,1,0.09,0.17,1,3,11
2024-01-04 11:16:00,137.23,0.09,0.59,0.0656,0.4318,1,1,5,137.36,137.21,137.29,137.1722,0.008,137.1176,0.0048,0.8298,63.6617,34.7663,1,1,0.06,0.15,1,3,11
2024-01-04 11:17:00,137.28,0.05,0.41,0.0364,0.2996,1,1,5,137.4,137.28,137.32,137.2233,0.0057,137.1581,0.0045,0.8205,64.331,35.3075,1,1,0.04,0.12,1,3,11
2024-01-04 11:18:00,137.31,0.03,0.26,0.0219,0.1897,1,1,5,137.35,137.22,137.32,137.2544,0.0035,137.1904,0.0036,0.7995,64.331,35.3498,1,1,0.01,0.13,1,3,11
