datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-04 10:54:00,51.98,0.0,0.09,0.0,0.1734,0,1,6,52.07,51.98,52.07,51.9711,0.0021,51.9813,0.0025,1.1701,69.6127,36.9862,1,1,0.09,0.09,1,3,10
2024-01-04 10:55:00,52.07,0.09,0.13,0.1731,0.2503,1,1,7,52.07,52.04,52.06,51.9856,0.0016,51.997,0.0017,1.0257,67.5929,36.5422,1,1,-0.01,0.03,0,3,10
2024-01-04 10:56:00,52.06,-0.01,0.1,-0.0192,0.1925,0,1,6,52.08,52.04,52.08,51.9989,0.0015,52.0136,0.0018,1.0617,69.499,36.2892,1,1,0.02,0.04,1,3,10
2024-01-04 10:57:00,52.08,0.02,0.12,0.0384,0.2309,1,1,7,52.1,52.06,52.09,52.0133,0.0016,52.0289,0.0017,1.0296,70.4354,36.3647,1,1,0.01,0.04,1,3,10
2024-01-04 10:58:00,52.1,0.02,0.13,0.0384,0.2501,1,1,7,52.11,52.1,52.1,52.0278,0.0016,52.0431,0.0016,0.9916,71.3815,36.586,1,1,0.0,0.01,0,3,10
2024-01-04 10:59:00,52.11,0.01,0.14,0.0192,0.2694,1,1,7,52.12,52.1,52.12,52.0444,0.0019,52.0585,0.0017,0.9916,73.2269,36.9431,1,1,0.01,0.02,1,3,10
2024-01-04 11:00:00,52.12,0.01,0.19,0.0192,0.3659,1,1,7,52.17,52.12,52.12,52.0644,0.0022,52.0708,0.0014,0.9268,73.2269,37.9376,1,1,0.0,0.05,0,3,11
2024-01-04 11:01:00,52.13,0.01,0.15,0.0192,0.2886,1,1,7,52.13,52.06,52.08,52.0767,0.0014,52.0726,0.0002,0.7521,63.6993,37.0254,1,1,-0.05,0.07,0,3,11
2024-01-04 11:02:00,52.08,-0.05,0.1,-0.0959,0.1924,0,1,2,52.12,52.06,52.12,52.0933,0.0019,52.0821,0.0011,0.8558,68.1606,36.1784,1,1,0.04,0.06,1,3,11
2024-01-04 11:03:00,52.12,0.04,0.05,0.0768,0.096,1,1,5,52.14,52.11,52.11,52.0978,0.0005,52.0877,0.0006,0.7897,65.9776,35.7221,1,1,-0.01,0.03,0,3,11
2024-01-04 11:04:00,52.12,0.0,0.06,0.0,0.1153,0,1,4,52.19,52.12,52.12,52.1044,0.0007,52.0942,0.0007,0.7915,67.1119,36.0137,1,1,0.0,0.07,0,3,11
2024-01-04 11:05:00,52.12,0.0,0.04,0.0,0.0768,0,1,3,52.17,52.12,52.15,52.1122,0.0009,52.1053,0.0012,0.8601,70.3101,36.2844,1,1,0.03,0.05,1,3,11
2024-01-04 11:06:00,52.15,0.03,0.05,0.0576,0.096,1,1,7,52.17,52.13,52.13,52.1167,0.0005,52.1103,0.0005,0.7676,65.7217,36.5358,1,1,-0.02,0.04,0,3,11
2024-01-04 11:07:00,52.13,-0.02,0.02,-0.0384,0.0384,0,1,5,52.13,52.06,52.08,52.1144,-0.0002,52.1042,-0.0007,0.5725,55.8999,34.776,0,0,-0.05,0.07,0,3,11
