datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-04 10:54:00,50.04,-0.01,-0.04,-0.02,-0.0799,0,0,0,50.05,50.02,50.04,50.0589,-0.0005,50.0548,-0.0004,0.0791,39.2032,8.0272,0,0,0.0,0.03,0,3,10
2024-01-04 10:55:00,50.05,0.01,-0.03,0.02,-0.0599,1,0,1,50.05,50.01,50.01,50.0511,-0.0009,50.0459,-0.001,-0.1373,32.7487,9.3304,0,0,-0.04,0.04,0,3,10
2024-01-04 10:56:00,50.01,-0.04,-0.07,-0.0799,-0.1398,0,0,0,50.04,50.01,50.04,50.0467,-0.0005,50.0447,-0.0001,0.2218,42.877,10.5405,0,0,0.03,0.03,1,3,10
2024-01-04 10:57:00,50.03,0.02,-0.03,0.04,-0.0599,1,0,1,50.06,50.03,50.06,50.0467,0.0,50.0477,0.0003,0.4598,48.4508,10.5185,1,1,0.03,0.03,1,3,10
2024-01-04 10:58:00,50.06,0.03,-0.01,0.06,-0.02,1,0,6,50.07,50.04,50.04,50.0422,-0.0005,50.0462,-0.0002,0.2554,43.8436,9.994,0,0,-0.02,0.03,0,3,10
2024-01-04 10:59:00,50.04,-0.02,-0.02,-0.04,-0.04,0,0,2,50.04,50.03,50.04,50.04,-0.0002,50.045,-0.0001,0.2719,43.8436,9.9531,0,0,0.0,0.01,0,3,10
2024-01-04 11:00:00,50.04,0.0,-0.01,0.0,-0.02,0,0,2,50.05,50.01,50.01,50.0356,-0.0005,50.038,-0.0008,0.0207,37.6204,10.7042,0,0,-0.03,0.04,0,3,11
2024-01-04 11:01:00,50.01,-0.03,-0.04,-0.06,-0.0799,0,0,0,50.03,50.01,50.03,50.0333,-0.0002,50.0364,-0.0002,0.2509,43.3894,11.4016,0,0,0.02,0.02,1,3,11
2024-01-04 11:02:00,50.02,0.01,-0.02,0.02,-0.04,1,0,2,50.03,49.99,49.99,50.0289,-0.0005,50.0271,-0.001,-0.0395,36.1822,12.7533,0,0,-0.03,0.04,0,3,11
2024-01-04 11:03:00,50.0,-0.02,-0.05,-0.04,-0.0999,0,0,0,50.01,49.99,50.01,50.0256,-0.0004,50.0237,-0.0004,0.1652,41.4215,14.0083,0,0,0.01,0.02,1,3,11
2024-01-04 11:04:00,50.01,0.01,0.0,0.02,0.0,1,0,1,50.01,49.99,50.01,50.0256,0.0,50.0209,-0.0003,0.1926,41.4215,15.1738,0,0,0.0,0.02,0,3,11
2024-01-04 11:05:00,50.01,0.0,-0.02,0.0,-0.04,0,0,1,50.04,50.01,50.02,50.0233,-0.0002,50.0208,-0.0,0.308,44.0836,14.502,0,0,0.01,0.03,1,3,11
2024-01-04 11:06:00,50.02,0.01,-0.04,0.02,-0.0799,1,0,4,50.04,50.01,50.03,50.02,-0.0004,50.0226,0.0002,0.4261,46.6924,13.8781,1,1,0.01,0.03,1,3,11
2024-01-04 11:07:00,50.03,0.01,-0.01,0.02,-0.02,1,0,6,50.06,50.03,50.06,50.0222,0.0002,50.0301,0.0008,0.77,53.6752,13.4355,1,1,0.03,0.03,1,3,11
2024-01-04 11:08:00,50.06,0.03,0.02,0.06,0.04,1,1,7,50.07,50.04,50.04,50.0222,-0.0,50.0321,0.0002,0.558,49.0613,13.447,1,1,-0.02,0.03,0,3,11
2024-01-04 11:09:00,50.04,-0.02,0.03,-0.04,0.06,0,1,6,50.05,50.04,50.05,50.0267,0.0005,50.0357,0.0004,0.7137,51.3147,13.4578,1,1,0.01,0.01,1,3,11
2024-01-04 11:10:00,50.04,0.0,0.02,0.0,0.04,0,1,5,50.08,50.04,50.07,50.0311,0.0005,50.0425,0.0008,0.9478,55.5501,14.5929,1,1,0.03,0.04,1,3,11
2024-01-04 11:11:00,50.08,0.04,0.08,0.0799,0.16,1,1,7,50.12,50.07,50.12,50.0456,0.0016,50.058,0.0017,1.2537,63.9853,16.6939,1,1,0.04,0.05,1,3,11
2024-01-04 11:12:00,50.12,0.04,0.11,0.0799,0.22,1,1,7,50.14,50.11,50.12,50.0578,0.0014,50.0704,0.0014,1.1041,63.9853,19.0468,1,1,0.0,0.03,0,3,11
2024-01-04 11:13:00,50.13,0.01,0.12,0.02,0.24,1,1,7,50.16,50.13,50.15,50.0733,0.0017,50.0863,0.0018,1.1396,68.1863,21.5829,1,1,0.02,0.03,1,3,11
2024-01-04 11:14:00,50.15,0.02,0.13,0.0399,0.2599,1,1,7,50.19,50.15,50.17,50.09,0.0019,50.1031,0.0019,1.103,70.6447,24.3802,1,1,0.02,0.04,1,3,11
2024-01-04 11:15:00,50.18,0.03,0.15,0.0598,0.2998,1,1,7,50.2,50.16,50.16,50.1044,0.0016,50.1145,0.0013,0.972,67.8226,27.1084,1,1,-0.02,0.04,0,3,11
2024-01-04 11:16:00,50.16,-0.02,0.1,-0.0399,0.1998,0,1,6,50.17,50.15,50.16,50.1156,0.0012,50.1236,0.001,0.9122,67.8226,29.0865,1,1,0.0,0.02,0,3,11
2024-01-04 11:17:00,50.16,0.0,0.12,0.0,0.2398,0,1,5,50.19,50.15,50.15,50.1278,0.0014,50.1288,0.0006,0.8316,64.8195,31.2247,1,1,-0.01,0.04,0,3,11
2024-01-04 11:18:00,50.15,-0.01,0.11,-0.0199,0.2198,0,1,3,50.17,50.15,50.15,50.1389,0.0012,50.1331,0.0005,0.7988,64.8195,33.2102,1,1,0.0,0.02,0,3,11
2024-01-04 11:19:00,50.15,0.0,0.07,0.0,0.1398,0,1,2,50.15,50.13,50.13,50.1456,0.0007,50.1325,-0.0001,0.6971,58.7823,33.9441,0,0,-0.02,0.02,0,3,11
2024-01-04 11:20:00,50.14,-0.01,0.02,-0.0199,0.0399,0,1,1,50.15,50.12,50.13,50.1467,0.0001,50.132,-0.0001,0.6769,58.7823,34.1132,0,0,-0.01,0.03,0,3,11
2024-01-04 11:21:00,50.14,0.0,0.01,0.0,0.0199,0,1,0,50.17,50.14,50.17,50.1522,0.0006,50.1396,0.0008,0.8089,66.105,34.7125,1,1,0.03,0.03,1,3,11
2024-01-04 11:22:00,50.17,0.03,0.02,0.0598,0.0399,1,1,6,50.19,50.16,50.17,50.1544,0.0002,50.1457,0.0007,0.7854,66.105,35.658,1,1,0.0,0.03,0,3,11
2024-01-04 11:23:00,50.17,0.0,-0.01,0.0,-0.0199,0,0,6,50.22,50.17,50.21,50.1589,0.0005,50.1585,0.0014,0.9124,71.8956,37.0295,1,1,0.04,0.05,1,3,11
2024-01-04 11:24:00,50.22,0.05,0.06,0.0997,0.1196,1,1,7,50.23,50.21,50.22,50.1656,0.0007,50.1708,0.0014,0.915,73.1315,38.4497,1,1,0.0,0.02,0,3,11
2024-01-04 11:25:00,50.23,0.01,0.07,0.0199,0.1396,1,1,7,50.24,50.22,50.24,50.1744,0.001,50.1847,0.0015,0.9532,75.4561,39.9122,1,1,0.01,0.02,1,3,11
2024-01-04 11:26:00,50.24,0.01,0.09,0.0199,0.1795,1,1,7,50.25,50.24,50.24,50.1844,0.0011,50.1957,0.0012,0.9147,75.4561,41.4107,1,1,0.0,0.01,0,3,11
2024-01-04 11:27:00,50.24,0.0,0.09,0.0,0.1795,0,1,6,50.26,50.23,50.24,50.1944,0.0011,50.2046,0.001,0.8752,75.4561,42.2387,1,1,0.0,0.03,0,3,11
2024-01-04 11:28:00,50.24,0.0,0.1,0.0,0.1994,0,1,5,50.25,50.22,50.22,50.2044,0.0011,50.2077,0.0003,0.7707,68.0976,42.4593,1,1,-0.02,0.03,0,3,11
2024-01-04 11:29:00,50.22,-0.02,0.08,-0.0398,0.1596,0,1,2,50.22,50.19,50.19,50.2111,0.0007,50.2041,-0.0004,0.6073,58.8299,41.2167,0,0,-0.03,0.03,0,3,11
