datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-04 10:56:00,80.54,-0.01,0.16,-0.0124,0.1991,0,1,6,80.63,80.53,80.63,80.4656,0.0031,80.497,0.0037,1.1059,68.5434,42.8197,1,1,0.09,0.1,1,3,10
2024-01-04 10:57:00,80.63,0.09,0.24,0.1117,0.2985,1,1,7,80.67,80.62,80.63,80.4933,0.0031,80.5236,0.003,1.0082,68.5434,43.4751,1,1,0.0,0.05,0,3,10
2024-01-04 10:58:00,80.64,0.01,0.24,0.0124,0.2985,1,1,7,80.67,80.64,80.67,80.5211,0.0031,80.5529,0.0033,1.0196,70.5177,44.0837,1,1,0.03,0.03,1,3,10
2024-01-04 10:59:00,80.67,0.03,0.34,0.0372,0.4233,1,1,7,80.73,80.66,80.71,80.5622,0.0046,80.5843,0.0035,1.0135,72.3844,45.0649,1,1,0.04,0.07,1,3,10
2024-01-04 11:00:00,80.71,0.04,0.39,0.0496,0.4856,1,1,7,80.72,80.61,80.63,80.5989,0.0041,80.5934,0.001,0.8109,63.6981,44.8689,1,1,-0.08,0.11,0,3,11
2024-01-04 11:01:00,80.63,-0.08,0.11,-0.0991,0.1366,0,1,3,80.63,80.57,80.6,80.6067,0.0009,80.5947,0.0001,0.7247,60.7538,43.8937,0,1,-0.03,0.06,0,3,11
2024-01-04 11:02:00,80.61,-0.02,0.11,-0.0248,0.1366,0,1,2,80.74,80.59,80.69,80.6289,0.0025,80.6138,0.0021,0.8668,65.8531,43.9104,1,1,0.08,0.15,1,3,11
2024-01-04 11:03:00,80.69,0.08,0.14,0.0992,0.1738,1,1,6,80.69,80.61,80.63,80.6378,0.001,80.617,0.0004,0.7236,60.2342,43.9258,0,1,-0.06,0.08,0,3,11
2024-01-04 11:04:00,80.65,-0.04,0.11,-0.0496,0.1366,0,1,4,80.71,80.65,80.7,80.6544,0.0019,80.6336,0.0018,0.825,64.0844,44.0921,1,1,0.05,0.06,1,3,11
2024-01-04 11:05:00,80.71,0.06,0.08,0.0744,0.0992,1,1,6,80.73,80.62,80.65,80.6567,0.0002,80.6369,0.0004,0.7072,59.6423,43.6412,0,1,-0.06,0.11,0,3,11
2024-01-04 11:06:00,80.64,-0.07,0.0,-0.0867,0.0,0,0,2,80.64,80.53,80.55,80.6478,-0.001,80.6195,-0.0019,0.497,51.8946,41.671,0,0,-0.09,0.11,0,3,11
2024-01-04 11:07:00,80.53,-0.11,-0.14,-0.1364,-0.1735,0,0,0,80.53,80.48,80.5,80.6289,-0.0021,80.5956,-0.0027,0.3781,48.502,39.1269,0,0,-0.03,0.05,0,3,11
2024-01-04 11:08:00,80.51,-0.02,-0.2,-0.0248,-0.2478,0,0,0,80.53,80.51,80.51,80.6067,-0.0025,80.5785,-0.0019,0.3787,49.2171,36.7645,0,0,0.0,0.02,0,3,11
2024-01-04 11:09:00,80.51,0.0,-0.12,0.0,-0.1488,0,0,0,80.56,80.51,80.53,80.5956,-0.0012,80.5688,-0.0011,0.4075,50.6917,34.9506,0,0,0.02,0.05,1,3,11
2024-01-04 11:10:00,80.53,0.02,-0.08,0.0248,-0.0992,1,0,2,80.6,80.53,80.59,80.5944,-0.0001,80.573,0.0005,0.5215,54.9209,33.742,0,1,0.06,0.07,1,3,11
2024-01-04 11:11:00,80.59,0.06,-0.1,0.0745,-0.1239,1,0,4,80.68,80.57,80.68,80.5933,-0.0001,80.5944,0.0024,0.7863,60.4065,33.4353,1,1,0.09,0.11,1,3,11
2024-01-04 11:12:00,80.67,0.08,0.02,0.0993,0.0248,1,1,6,80.7,80.66,80.67,80.5978,0.0005,80.6095,0.0017,0.7262,59.5396,33.3328,1,1,0.0,0.04,0,3,11
2024-01-04 11:13:00,80.66,-0.01,-0.05,-0.0124,-0.062,0,0,6,80.71,80.64,80.71,80.5989,0.0001,80.6296,0.0022,0.843,61.8954,32.8842,1,1,0.05,0.07,1,3,11
2024-01-04 11:14:00,80.72,0.06,0.08,0.0744,0.0992,1,1,7,80.75,80.71,80.74,80.6089,0.0011,80.6517,0.0025,0.9022,63.6069,32.8569,1,1,0.02,0.04,1,3,11
2024-01-04 11:15:00,80.75,0.03,0.22,0.0372,0.2732,1,1,7,80.8,80.75,80.75,80.6311,0.0025,80.6714,0.0022,0.8891,64.1844,33.2719,1,1,0.0,0.05,0,3,11
2024-01-04 11:16:00,80.76,0.01,0.25,0.0124,0.3105,1,1,7,80.82,80.76,80.82,80.6667,0.004,80.7011,0.0033,1.0259,68.0109,33.8231,1,1,0.06,0.06,1,3,11
2024-01-04 11:17:00,80.82,0.06,0.31,0.0743,0.385,1,1,7,80.82,80.71,80.71,80.6889,0.0025,80.7029,0.0002,0.6752,57.5971,33.4034,1,1,-0.11,0.11,0,3,11
2024-01-04 11:18:00,80.7,-0.12,0.17,-0.1485,0.2111,0,1,3,80.74,80.7,80.73,80.7111,0.0025,80.7083,0.0006,0.7221,58.8314,32.8351,1,1,0.03,0.04,1,3,11
2024-01-04 11:19:00,80.73,0.03,0.14,0.0372,0.1737,1,1,4,80.75,80.73,80.75,80.7289,0.002,80.7166,0.0009,0.7699,60.0827,32.4172,1,1,0.02,0.02,1,3,11
2024-01-04 11:20:00,80.74,0.01,0.07,0.0124,0.0868,1,1,4,80.79,80.73,80.74,80.7356,0.0007,80.7213,0.0005,0.7208,59.1152,32.4543,1,1,0.0,0.06,0,3,11
2024-01-04 11:21:00,80.75,0.01,0.09,0.0124,0.1116,1,1,4,80.75,80.71,80.75,80.7444,0.001,80.727,0.0006,0.726,59.8121,32.0894,1,1,0.0,0.04,0,3,11
2024-01-04 11:22:00,80.75,0.0,0.03,0.0,0.0372,0,1,3,80.77,80.75,80.77,80.7511,0.0007,80.7356,0.001,0.7635,61.2353,31.9754,1,1,0.02,0.02,1,3,11
2024-01-04 11:23:00,80.77,0.02,0.02,0.0248,0.0248,1,1,6,80.84,80.77,80.84,80.7622,0.0012,80.7565,0.0023,0.8996,65.8005,32.5665,1,1,0.07,0.07,1,3,11
2024-01-04 11:24:00,80.84,0.07,0.08,0.0867,0.0991,1,1,7,80.87,80.84,80.87,80.7756,0.0015,80.7792,0.0025,0.92,67.5635,33.375,1,1,0.03,0.03,1,3,11
2024-01-04 11:25:00,80.85,0.01,0.03,0.0124,0.0371,1,1,7,80.85,80.81,80.83,80.7767,0.0001,80.7894,0.0011,0.7938,62.907,33.4938,1,1,-0.02,0.04,0,3,11
2024-01-04 11:26:00,80.81,-0.04,0.11,-0.0495,0.1363,0,1,5,80.82,80.79,80.81,80.7878,0.0012,80.7935,0.0005,0.7252,60.656,33.1962,1,1,0.0,0.03,0,3,11
2024-01-04 11:27:00,80.82,0.01,0.09,0.0124,0.1115,1,1,5,80.82,80.77,80.79,80.7944,0.0007,80.7928,-0.0001,0.6605,58.4053,32.5175,0,0,-0.03,0.05,0,3,11
2024-01-04 11:28:00,80.79,-0.03,0.05,-0.0371,0.0619,0,1,3,80.82,80.76,80.77,80.7967,0.0002,80.7882,-0.0005,0.586,56.1611,31.6849,0,0,-0.02,0.06,0,3,11
2024-01-04 11:29:00,80.76,-0.03,0.01,-0.0371,0.0124,0,1,1,80.8,80.76,80.8,80.8033,0.0007,80.7906,0.0003,0.6715,58.7232,30.9117,0,1,0.04,0.04,1,3,11
2024-01-04 11:30:00,80.8,0.04,0.05,0.0495,0.0619,1,1,3,80.82,80.78,80.82,80.8111,0.0009,80.7965,0.0007,0.7477,60.3854,30.4791,1,1,0.02,0.04,1,3,11
2024-01-04 11:31:00,80.83,0.03,0.06,0.0371,0.0743,1,1,5,80.85,80.83,80.85,80.82,0.001,80.8072,0.0012,0.8564,62.8049,30.4819,1,1,0.02,0.02,1,3,11
2024-01-04 11:32:00,80.84,0.01,0.0,0.0124,0.0,1,0,6,80.87,80.84,80.86,80.8222,0.0002,80.8177,0.0012,0.8806,63.6029,30.7394,1,1,0.02,0.03,1,3,11
2024-01-04 11:33:00,80.87,0.03,0.02,0.0371,0.0247,1,1,7,80.89,80.85,80.85,80.82,-0.0002,80.8242,0.0007,0.8018,62.1666,31.2251,1,1,-0.02,0.04,0,3,11
2024-01-04 11:34:00,80.85,-0.02,0.04,-0.0247,0.0495,0,1,6,80.88,80.84,80.88,80.8256,0.0006,80.8354,0.0012,0.9054,64.7392,31.4066,1,1,0.03,0.04,1,3,11
2024-01-04 11:35:00,80.88,0.03,0.06,0.0371,0.0742,1,1,7,80.88,80.85,80.85,80.83,0.0005,80.8383,0.0003,0.7301,60.3218,31.5751,1,1,-0.03,0.03,0,3,11
2024-01-04 11:36:00,80.86,-0.02,0.07,-0.0247,0.0866,0,1,5,80.9,80.86,80.89,80.8411,0.0012,80.8486,0.0011,0.8884,63.8625,32.0147,1,1,0.03,0.04,1,3,11
2024-01-04 11:37:00,80.9,0.04,0.14,0.0495,0.1734,1,1,7,80.92,80.86,80.88,80.8533,0.0014,80.8549,0.0007,0.818,62.3642,32.6921,1,1,-0.02,0.06,0,3,11
2024-01-04 11:38:00,80.88,-0.02,0.08,-0.0247,0.099,0,1,5,80.88,80.83,80.83,80.8567,0.0004,80.8499,-0.0006,0.5463,55.3695,32.4208,0,0,-0.05,0.05,0,3,11
2024-01-04 11:39:00,80.83,-0.05,0.0,-0.0618,0.0,0,0,0,80.85,80.82,80.84,80.8589,0.0002,80.8479,-0.0002,0.5815,56.4222,31.8836,0,0,0.01,0.03,1,3,11
2024-01-04 11:40:00,80.84,0.01,0.0,0.0124,0.0,1,0,1,80.84,80.78,80.81,80.8544,-0.0005,80.8403,-0.0008,0.3731,52.4269,30.3342,0,0,-0.03,0.06,0,3,11
2024-01-04 11:41:00,80.81,-0.03,-0.06,-0.0371,-0.0742,0,0,0,80.81,80.75,80.75,80.8422,-0.0014,80.8223,-0.002,-0.0175,45.4892,28.2119,0,0,-0.06,0.06,0,3,11
2024-01-04 11:42:00,80.74,-0.07,-0.11,-0.0866,-0.1361,0,0,0,80.75,80.72,80.72,80.8278,-0.0016,80.8018,-0.0023,-0.1151,42.4634,26.7671,0,0,-0.02,0.03,0,3,11
2024-01-04 11:43:00,80.71,-0.03,-0.17,-0.0372,-0.2102,0,0,0,80.71,80.63,80.63,80.8,-0.0031,80.7675,-0.0038,-0.2652,34.9523,26.8485,0,0,-0.08,0.08,0,3,11
