datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-04 10:47:00,36.74,0.01,0.02,0.0272,0.0545,1,1,6,36.74,36.72,36.72,36.7156,0.0,36.7223,-0.0001,0.4667,50.5158,11.2341,1,0,-0.02,0.02,0,3,10
2024-01-04 10:48:00,36.72,-0.02,0.03,-0.0544,0.0818,0,1,3,36.73,36.72,36.73,36.72,0.0005,36.7238,0.0002,0.624,53.1984,11.2669,1,1,0.01,0.01,1,3,10
2024-01-04 10:49:00,36.72,0.0,0.02,0.0,0.0545,0,1,2,36.74,36.72,36.74,36.7244,0.0005,36.7271,0.0004,0.7648,55.78,11.7992,1,1,0.02,0.02,1,3,10
2024-01-04 10:50:00,36.73,0.01,0.02,0.0272,0.0545,1,1,4,36.74,36.72,36.72,36.7256,0.0001,36.7256,-0.0002,0.4346,49.8566,12.2934,0,0,-0.01,0.02,0,3,10
2024-01-04 10:51:00,36.72,-0.01,0.02,-0.0272,0.0545,0,1,0,36.72,36.71,36.71,36.7267,0.0001,36.7225,-0.0003,0.2834,47.16,12.036,0,0,-0.01,0.01,0,3,10
2024-01-04 10:52:00,36.71,-0.01,-0.01,-0.0272,-0.0272,0,0,0,36.71,36.69,36.71,36.7256,-0.0001,36.72,-0.0003,0.3047,47.16,11.7507,0,0,0.0,0.02,0,3,10
2024-01-04 10:53:00,36.71,0.0,-0.03,0.0,-0.0817,0,0,0,36.71,36.68,36.69,36.72,-0.0006,36.714,-0.0007,0.031,41.903,11.9886,0,0,-0.02,0.03,0,3,10
2024-01-04 10:54:00,36.69,-0.02,-0.04,-0.0545,-0.1089,0,0,0,36.71,36.69,36.71,36.7189,-0.0001,36.7132,-0.0001,0.3732,48.1298,12.2094,0,0,0.02,0.02,1,3,10
2024-01-04 10:55:00,36.7,0.01,-0.04,0.0273,-0.1089,1,0,1,36.7,36.69,36.69,36.7133,-0.0006,36.7086,-0.0005,0.0925,43.1493,12.4145,0,0,-0.01,0.01,0,3,10
2024-01-04 10:56:00,36.7,0.0,-0.02,0.0,-0.0545,0,0,1,36.71,36.69,36.71,36.7122,-0.0001,36.7089,0.0,0.4201,48.8496,11.8877,0,1,0.01,0.02,1,3,10
2024-01-04 10:57:00,36.71,0.01,-0.01,0.0272,-0.0272,1,0,3,36.71,36.71,36.71,36.71,-0.0002,36.7091,0.0,0.4346,48.8496,11.3985,0,1,0.0,0.0,0,3,10
2024-01-04 10:58:00,36.7,-0.01,-0.03,-0.0272,-0.0817,0,0,1,36.71,36.69,36.7,36.7056,-0.0005,36.7073,-0.0002,0.2906,46.1654,12.086,0,0,0.0,0.02,0,3,10
2024-01-04 10:59:00,36.7,0.0,-0.02,0.0,-0.0545,0,0,1,36.71,36.7,36.7,36.7033,-0.0002,36.7058,-0.0002,0.2739,46.1654,12.7244,0,0,0.0,0.01,0,3,10
2024-01-04 11:00:00,36.7,0.0,-0.01,0.0,-0.0272,0,0,1,36.7,36.67,36.67,36.6989,-0.0005,36.6986,-0.0008,-0.1002,38.756,14.595,0,0,-0.03,0.03,0,3,11
2024-01-04 11:01:00,36.67,-0.03,-0.04,-0.0817,-0.109,0,0,0,36.69,36.67,36.68,36.6956,-0.0004,36.6949,-0.0004,0.0952,42.0923,16.3319,0,0,0.01,0.02,1,3,11
2024-01-04 11:02:00,36.68,0.01,-0.01,0.0273,-0.0273,1,0,1,36.69,36.67,36.67,36.6933,-0.0002,36.6899,-0.0006,0.0293,39.7597,17.9448,0,0,-0.01,0.02,0,3,11
2024-01-04 11:03:00,36.67,-0.01,-0.03,-0.0273,-0.0817,0,0,0,36.67,36.67,36.67,36.6889,-0.0005,36.6859,-0.0004,0.0889,39.7597,19.4425,0,0,0.0,0.0,0,3,11
2024-01-04 11:04:00,36.67,0.0,-0.03,0.0,-0.0817,0,0,0,36.67,36.65,36.65,36.6844,-0.0005,36.6788,-0.0008,-0.0417,35.2312,21.5699,0,0,-0.02,0.02,0,3,11
2024-01-04 11:05:00,36.65,-0.02,-0.06,-0.0545,-0.1634,0,0,0,36.67,36.65,36.67,36.68,-0.0005,36.677,-0.0002,0.2001,42.3077,23.5453,0,0,0.02,0.02,1,3,11
2024-01-04 11:06:00,36.67,0.02,-0.03,0.0546,-0.0817,1,0,1,36.67,36.66,36.67,36.6756,-0.0005,36.6756,-0.0002,0.2238,42.3077,25.3796,0,0,0.0,0.01,0,3,11
2024-01-04 11:07:00,36.68,0.01,-0.02,0.0273,-0.0545,1,0,5,36.68,36.67,36.68,36.6733,-0.0002,36.6765,0.0001,0.3485,45.745,26.0663,1,1,0.0,0.01,0,3,11
2024-01-04 11:08:00,36.68,0.0,-0.02,0.0,-0.0545,0,0,5,36.69,36.68,36.69,36.6722,-0.0001,36.6792,0.0003,0.4768,49.0164,25.8058,1,1,0.01,0.01,1,3,11
2024-01-04 11:09:00,36.69,0.01,0.02,0.0273,0.0545,1,1,7,36.69,36.68,36.68,36.6733,0.0001,36.6794,0.0,0.3796,46.0276,25.564,1,1,-0.01,0.01,0,3,11
