datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-04 10:57:00,84.13,0.04,-0.07,0.0476,-0.0831,1,0,5,84.17,84.13,84.17,84.1189,-0.0002,84.1271,0.0012,0.6852,64.0826,24.1193,1,1,0.04,0.04,1,3,10
2024-01-04 10:58:00,84.16,0.03,-0.02,0.0357,-0.0238,1,0,7,84.18,84.16,84.17,84.1189,0.0,84.1356,0.001,0.6655,64.0826,24.1058,1,1,0.01,0.02,1,3,10
2024-01-04 10:59:00,84.18,0.02,0.05,0.0238,0.0594,1,1,7,84.19,84.15,84.19,84.1267,0.0009,84.1465,0.0012,0.775,66.704,24.0933,1,1,0.01,0.04,1,3,10
2024-01-04 11:00:00,84.2,0.02,0.09,0.0238,0.107,1,1,7,84.23,84.18,84.18,84.1344,0.0009,84.1532,0.0007,0.6896,64.1817,24.7086,1,1,-0.02,0.05,0,3,11
2024-01-04 11:01:00,84.16,-0.04,0.05,-0.0475,0.0594,0,1,4,84.21,84.16,84.2,84.1456,0.0012,84.1626,0.001,0.7946,66.8792,24.7254,1,1,0.04,0.05,1,3,11
2024-01-04 11:02:00,84.2,0.04,0.1,0.0475,0.1189,1,1,6,84.22,84.18,84.18,84.1556,0.0011,84.1661,0.0004,0.6622,61.862,24.9048,1,1,-0.02,0.04,0,3,11
2024-01-04 11:03:00,84.19,-0.01,0.11,-0.0119,0.1308,0,1,5,84.22,84.19,84.22,84.17,0.0016,84.1768,0.0012,0.8887,67.1671,25.0714,1,1,0.03,0.03,1,3,11
2024-01-04 11:04:00,84.22,0.03,0.13,0.0356,0.1546,1,1,7,84.22,84.12,84.13,84.1744,0.0005,84.1675,-0.001,0.361,50.2349,23.4206,0,0,-0.09,0.1,0,3,11
2024-01-04 11:05:00,84.15,-0.07,0.02,-0.0831,0.0238,0,1,0,84.15,84.11,84.12,84.1733,-0.0001,84.158,-0.0011,0.3153,48.764,21.8236,0,0,-0.03,0.04,0,3,11
2024-01-04 11:06:00,84.12,-0.03,-0.04,-0.0357,-0.0475,0,0,0,84.12,84.09,84.09,84.1644,-0.001,84.1444,-0.0015,0.1669,44.5495,20.765,0,0,-0.03,0.03,0,3,11
2024-01-04 11:07:00,84.07,-0.05,-0.11,-0.0594,-0.1307,0,0,0,84.09,84.06,84.08,84.1544,-0.0011,84.1315,-0.0014,0.15,43.209,20.3693,0,0,0.01,0.03,1,3,11
2024-01-04 11:08:00,84.08,0.01,-0.12,0.0119,-0.1425,1,0,1,84.08,84.06,84.06,84.14,-0.0016,84.1172,-0.0016,0.0901,40.579,20.0018,0,0,-0.02,0.02,0,3,11
2024-01-04 11:09:00,84.07,-0.01,-0.09,-0.0119,-0.1069,0,0,0,84.07,84.04,84.04,84.1244,-0.0017,84.1018,-0.0017,0.0515,38.0828,20.0481,0,0,-0.03,0.03,0,3,11
2024-01-04 11:10:00,84.05,-0.02,-0.15,-0.0238,-0.1781,0,0,0,84.07,84.04,84.07,84.11,-0.0016,84.0954,-0.0007,0.226,43.6795,20.091,0,0,0.02,0.03,1,3,11
2024-01-04 11:11:00,84.07,0.02,-0.12,0.0238,-0.1425,1,0,1,84.13,84.06,84.13,84.1044,-0.0006,84.1023,0.0008,0.5173,52.8575,18.7501,1,1,0.06,0.07,1,3,11
2024-01-04 11:12:00,84.14,0.07,-0.08,0.0833,-0.095,1,0,6,84.19,84.14,84.18,84.1,-0.0005,84.1179,0.0017,0.7406,58.8722,18.6606,1,1,0.04,0.05,1,3,11
2024-01-04 11:13:00,84.18,0.04,0.03,0.0475,0.0357,1,1,7,84.26,84.17,84.26,84.1144,0.0016,84.1463,0.0032,1.0243,66.2844,19.584,1,1,0.08,0.09,1,3,11
2024-01-04 11:14:00,84.27,0.09,0.15,0.1069,0.1783,1,1,7,84.3,84.24,84.24,84.1278,0.0015,84.165,0.0021,0.8862,63.217,20.9062,1,1,-0.03,0.06,0,3,11
2024-01-04 11:15:00,84.25,-0.02,0.18,-0.0237,0.2141,0,1,6,84.32,84.25,84.28,84.1489,0.0023,84.188,0.0026,0.9725,66.5509,22.3494,1,1,0.03,0.07,1,3,11
2024-01-04 11:16:00,84.28,0.03,0.2,0.0356,0.2379,1,1,7,84.32,84.28,84.29,84.1722,0.0026,84.2084,0.0023,0.9409,67.3477,23.6895,1,1,0.01,0.04,1,3,11
2024-01-04 11:17:00,84.29,0.01,0.22,0.0119,0.2617,1,1,7,84.29,84.18,84.23,84.1911,0.0021,84.2127,0.0005,0.7161,58.3642,22.7136,1,1,-0.06,0.11,0,3,11
2024-01-04 11:18:00,84.24,-0.05,0.19,-0.0593,0.2261,0,1,3,84.29,84.24,84.25,84.2144,0.0026,84.2202,0.0008,0.763,60.2668,21.8074,1,1,0.01,0.05,1,3,11
2024-01-04 11:19:00,84.24,0.0,0.17,0.0,0.2022,0,1,2,84.25,84.22,84.22,84.2311,0.0019,84.2202,-0.0,0.6568,56.124,20.584,0,0,-0.02,0.03,0,3,11
2024-01-04 11:20:00,84.21,-0.03,0.07,-0.0356,0.0832,0,1,1,84.21,84.17,84.21,84.24,0.001,84.2181,-0.0002,0.6181,54.7724,19.6448,0,0,0.0,0.04,0,3,11
2024-01-04 11:21:00,84.2,-0.01,0.02,-0.0119,0.0238,0,1,0,84.22,84.18,84.22,84.2444,0.0005,84.2185,0.0,0.6468,55.9157,18.586,0,1,0.02,0.04,1,3,11
2024-01-04 11:22:00,84.22,0.02,-0.05,0.0238,-0.0593,1,0,2,84.29,84.22,84.29,84.2478,0.0004,84.2328,0.0016,0.8394,62.9719,18.074,1,1,0.07,0.07,1,3,11
2024-01-04 11:23:00,84.3,0.08,0.05,0.095,0.0593,1,1,7,84.36,84.3,84.36,84.2611,0.0015,84.2582,0.0028,0.9825,68.4162,18.5033,1,1,0.06,0.06,1,3,11
2024-01-04 11:24:00,84.36,0.06,0.08,0.0712,0.0949,1,1,7,84.36,84.33,84.35,84.2689,0.0009,84.2766,0.002,0.8987,66.9028,18.9019,1,1,-0.01,0.03,0,3,11
2024-01-04 11:25:00,84.35,-0.01,0.06,-0.0119,0.0712,0,1,6,84.36,84.31,84.31,84.2711,0.0002,84.2833,0.0007,0.7652,61.0826,18.8711,1,1,-0.04,0.05,0,3,11
2024-01-04 11:26:00,84.33,-0.02,0.09,-0.0237,0.1068,0,1,5,84.34,84.32,84.33,84.2822,0.0012,84.2926,0.001,0.7875,62.8241,18.8425,1,1,0.0,0.02,0,3,11
