datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-04 10:46:00,18.07,-0.01,-0.04,-0.0553,-0.2209,0,0,1,18.07,18.06,18.07,18.0811,-0.0005,18.0798,-0.0003,0.1443,43.2726,36.4416,0,0,0.0,0.01,0,3,10
2024-01-04 10:47:00,18.07,0.0,-0.03,0.0,-0.1657,0,0,1,18.07,18.07,18.07,18.0778,-0.0004,18.0779,-0.0002,0.1443,43.2726,34.7894,0,0,0.0,0.0,0,3,10
2024-01-04 10:48:00,18.07,0.0,-0.02,0.0,-0.1106,0,0,1,18.07,18.06,18.07,18.0756,-0.0002,18.0763,-0.0002,0.1803,43.2726,33.8898,0,0,0.0,0.01,0,3,10
2024-01-04 10:49:00,18.06,-0.01,-0.03,-0.0553,-0.1658,0,0,0,18.07,18.06,18.07,18.0733,-0.0002,18.075,-0.0001,0.2111,43.2726,33.0545,0,0,0.01,0.01,1,3,10
2024-01-04 10:50:00,18.07,0.01,-0.01,0.0554,-0.0553,1,0,2,18.07,18.04,18.05,18.0689,-0.0005,18.07,-0.0006,0.005,32.798,33.3462,0,0,-0.02,0.03,0,3,10
2024-01-04 10:51:00,18.04,-0.03,-0.02,-0.166,-0.1107,0,0,0,18.06,18.04,18.05,18.0667,-0.0002,18.066,-0.0004,0.0705,32.798,33.617,0,0,0.01,0.02,1,3,10
2024-01-04 10:52:00,18.05,0.01,-0.03,0.0554,-0.1659,1,0,1,18.05,18.03,18.04,18.0622,-0.0005,18.0608,-0.0006,0.0285,28.7609,34.3185,0,0,-0.01,0.02,0,3,10
2024-01-04 10:53:00,18.03,-0.02,-0.05,-0.1108,-0.2765,0,0,0,18.04,18.03,18.04,18.0589,-0.0004,18.0567,-0.0005,0.083,28.7609,34.9698,0,0,0.01,0.01,1,3,10
2024-01-04 10:54:00,18.04,0.01,-0.03,0.0555,-0.166,1,0,1,18.05,18.04,18.05,18.0567,-0.0002,18.0553,-0.0001,0.219,37.6602,34.5079,0,0,0.01,0.01,1,3,10
2024-01-04 10:55:00,18.05,0.01,-0.02,0.0554,-0.1107,1,0,3,18.05,18.05,18.05,18.0544,-0.0002,18.0543,-0.0001,0.2429,37.6602,34.079,0,0,0.0,0.0,0,3,10
2024-01-04 10:56:00,18.05,0.0,-0.02,0.0,-0.1107,0,0,3,18.05,18.05,18.05,18.0522,-0.0002,18.0534,-0.0001,0.256,37.6602,33.6807,0,0,0.0,0.0,0,3,10
2024-01-04 10:57:00,18.05,0.0,-0.01,0.0,-0.0554,0,0,3,18.05,18.04,18.05,18.05,-0.0002,18.0527,-0.0001,0.2706,37.6602,33.8985,0,0,0.0,0.01,0,3,10
2024-01-04 10:58:00,18.05,0.0,-0.02,0.0,-0.1107,0,0,3,18.05,18.04,18.05,18.0478,-0.0002,18.0522,-0.0001,0.2877,37.6602,34.1008,1,0,0.0,0.01,0,3,10
2024-01-04 10:59:00,18.04,-0.01,0.0,-0.0554,0.0,0,0,1,18.05,18.04,18.05,18.0478,0.0,18.0517,-0.0,0.3074,37.6602,34.2887,1,0,0.01,0.01,1,3,10
2024-01-04 11:00:00,18.05,0.01,0.0,0.0554,0.0,1,0,3,18.06,18.05,18.06,18.0489,0.0001,18.0534,0.0002,0.5,47.8271,33.2358,1,1,0.01,0.01,1,3,11
2024-01-04 11:01:00,18.06,0.01,0.03,0.0554,0.1664,1,1,7,18.06,18.05,18.06,18.0511,0.0002,18.0547,0.0001,0.5325,47.8271,32.2581,1,1,0.0,0.01,0,3,11
2024-01-04 11:02:00,18.06,0.0,0.02,0.0,0.1109,0,1,6,18.07,18.06,18.06,18.0533,0.0002,18.0558,0.0001,0.5445,47.8271,30.264,1,1,0.0,0.01,0,3,11
2024-01-04 11:03:00,18.06,0.0,0.01,0.0,0.0554,0,1,5,18.06,18.05,18.05,18.0533,0.0,18.0546,-0.0001,0.3397,39.7336,29.2356,0,0,-0.01,0.01,0,3,11
2024-01-04 11:04:00,18.05,-0.01,0.0,-0.0554,0.0,0,0,1,18.05,18.05,18.05,18.0533,-0.0,18.0537,-0.0001,0.3587,39.7336,28.2807,0,0,0.0,0.0,0,3,11
2024-01-04 11:05:00,18.04,-0.01,-0.01,-0.0554,-0.0554,0,0,0,18.05,18.04,18.04,18.0522,-0.0001,18.051,-0.0003,0.139,33.2149,28.1307,0,0,0.0,0.01,0,3,11
2024-01-04 11:06:00,18.05,0.01,0.0,0.0554,0.0,1,0,2,18.07,18.05,18.07,18.0544,0.0002,18.0548,0.0004,0.9126,56.3508,26.1341,1,1,0.02,0.02,1,3,11
2024-01-04 11:07:00,18.07,0.02,0.03,0.1108,0.1663,1,1,7,18.07,18.07,18.07,18.0567,0.0002,18.0578,0.0003,0.9126,56.3508,24.2801,1,1,0.0,0.0,0,3,11
2024-01-04 11:08:00,18.07,0.0,0.02,0.0,0.1108,0,1,6,18.07,18.07,18.07,18.0589,0.0002,18.0602,0.0003,0.9126,56.3508,22.5585,1,1,0.0,0.0,0,3,11
2024-01-04 11:09:00,18.07,0.0,0.01,0.0,0.0554,0,1,5,18.08,18.07,18.08,18.0611,0.0002,18.0642,0.0004,1.0951,61.8526,21.7827,1,1,0.01,0.01,1,3,11
2024-01-04 11:10:00,18.08,0.01,0.02,0.0553,0.1107,1,1,7,18.08,18.08,18.08,18.0633,0.0002,18.0674,0.0004,1.0,61.8526,21.0624,1,1,0.0,0.0,0,3,11
2024-01-04 11:11:00,18.08,0.0,0.02,0.0,0.1107,0,1,6,18.09,18.07,18.08,18.0656,0.0002,18.0699,0.0003,0.933,61.8526,21.138,1,1,0.0,0.02,0,3,11
2024-01-04 11:12:00,18.08,0.0,0.03,0.0,0.1662,0,1,5,18.09,18.08,18.08,18.0689,0.0004,18.0719,0.0002,0.8877,61.8526,21.2082,1,1,0.0,0.01,0,3,11
2024-01-04 11:13:00,18.09,0.01,0.05,0.0553,0.2772,1,1,7,18.09,18.08,18.08,18.0722,0.0004,18.0735,0.0002,0.8519,61.8526,21.2734,1,1,-0.01,0.01,0,3,11
2024-01-04 11:14:00,18.08,-0.01,0.03,-0.0553,0.1662,0,1,3,18.09,18.08,18.09,18.0778,0.0006,18.0768,0.0004,0.9653,67.7422,21.3339,1,1,0.01,0.01,1,3,11
2024-01-04 11:15:00,18.09,0.01,0.02,0.0553,0.1107,1,1,6,18.1,18.09,18.09,18.08,0.0002,18.0795,0.0003,0.9086,67.7422,22.1523,1,1,0.0,0.01,0,3,11
2024-01-04 11:16:00,18.09,0.0,0.02,0.0,0.1107,0,1,5,18.1,18.08,18.09,18.0822,0.0002,18.0816,0.0002,0.864,67.7422,21.6926,1,1,0.0,0.02,0,3,11
2024-01-04 11:17:00,18.09,0.0,0.02,0.0,0.1107,0,1,4,18.1,18.09,18.1,18.0856,0.0004,18.0853,0.0004,0.9564,72.9569,21.2658,1,1,0.01,0.01,1,3,11
2024-01-04 11:18:00,18.1,0.01,0.02,0.0553,0.1106,1,1,7,18.11,18.1,18.1,18.0878,0.0002,18.0882,0.0003,0.9046,72.9569,21.6507,1,1,0.0,0.01,0,3,11
2024-01-04 11:19:00,18.1,0.0,0.02,0.0,0.1106,0,1,6,18.11,18.09,18.1,18.09,0.0002,18.0906,0.0003,0.8639,72.9569,20.8988,1,1,0.0,0.02,0,3,11
2024-01-04 11:20:00,18.09,-0.01,0.01,-0.0552,0.0553,0,1,1,18.1,18.09,18.1,18.0922,0.0002,18.0924,0.0002,0.8261,72.9569,20.2006,1,1,0.01,0.01,1,3,11
2024-01-04 11:21:00,18.1,0.01,0.01,0.0553,0.0553,1,1,5,18.1,18.1,18.1,18.0944,0.0002,18.094,0.0002,0.7939,72.9569,19.5523,1,1,0.0,0.0,0,3,11
2024-01-04 11:22:00,18.1,0.0,0.02,0.0,0.1106,0,1,4,18.13,18.1,18.13,18.1,0.0006,18.1012,0.0008,1.0803,84.1156,20.9488,1,1,0.03,0.03,1,3,11
