datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-04 10:56:00,47.03,0.01,0.04,0.0213,0.0851,1,1,2,47.03,46.93,46.94,47.0211,-0.0006,47.0075,-0.0019,0.1144,46.698,12.4812,0,0,-0.09,0.1,0,3,10
2024-01-04 10:57:00,46.94,-0.09,-0.05,-0.1914,-0.1064,0,0,0,46.98,46.88,46.9,47.0111,-0.0011,46.986,-0.0024,-0.0072,43.1247,12.3929,0,0,-0.04,0.1,0,3,10
2024-01-04 10:58:00,46.91,-0.03,-0.12,-0.0639,-0.2552,0,0,0,46.91,46.83,46.83,46.9889,-0.0025,46.9548,-0.0035,-0.1479,37.6895,12.8786,0,0,-0.08,0.08,0,3,10
2024-01-04 10:59:00,46.84,-0.07,-0.2,-0.1492,-0.4252,0,0,0,46.87,46.82,46.85,46.9678,-0.0023,46.9338,-0.0023,0.0138,40.0157,13.4389,0,0,0.01,0.05,1,3,10
2024-01-04 11:00:00,46.85,0.01,-0.23,0.0213,-0.4885,1,0,1,46.91,46.85,46.9,46.9489,-0.0021,46.9271,-0.0008,0.2248,45.494,13.3092,0,0,0.05,0.06,1,3,11
2024-01-04 11:01:00,46.9,0.05,-0.13,0.1067,-0.2764,1,0,2,46.94,46.89,46.94,46.9389,-0.0011,46.9297,0.0003,0.3786,49.47,12.7313,1,1,0.04,0.05,1,3,11
2024-01-04 11:02:00,46.94,0.04,-0.09,0.0853,-0.1914,1,0,4,46.97,46.9,46.91,46.9256,-0.0015,46.9257,-0.0004,0.2732,46.7175,11.8866,0,0,-0.03,0.07,0,3,11
2024-01-04 11:03:00,46.91,-0.03,-0.11,-0.0639,-0.2339,0,0,3,46.94,46.87,46.89,46.91,-0.0017,46.9186,-0.0008,0.2229,44.923,11.398,0,0,-0.02,0.07,0,3,11
2024-01-04 11:04:00,46.89,-0.02,-0.14,-0.0426,-0.2977,0,0,2,46.9,46.87,46.87,46.8922,-0.002,46.9089,-0.0011,0.1873,43.1385,10.9442,0,0,-0.02,0.03,0,3,11
2024-01-04 11:05:00,46.86,-0.03,-0.08,-0.064,-0.1704,0,0,2,46.9,46.83,46.87,46.8844,-0.0009,46.9011,-0.0009,0.2177,43.1385,11.0898,0,0,0.01,0.07,1,3,11
2024-01-04 11:06:00,46.86,0.0,-0.05,0.0,-0.1066,0,0,2,46.87,46.83,46.86,46.88,-0.0005,46.8929,-0.0009,0.2012,42.1672,11.225,0,0,0.0,0.04,0,3,11
2024-01-04 11:07:00,46.86,0.0,0.02,0.0,0.0427,0,1,1,46.87,46.81,46.83,46.88,0.0,46.8803,-0.0014,0.1457,39.3078,11.6378,0,0,-0.03,0.06,0,3,11
2024-01-04 11:08:00,46.83,-0.03,-0.02,-0.064,-0.0427,0,0,0,46.86,46.82,46.85,46.88,-0.0,46.8742,-0.0007,0.2365,42.1254,12.0212,0,0,0.02,0.04,1,3,11
2024-01-04 11:09:00,46.85,0.02,-0.05,0.0427,-0.1066,1,0,1,46.88,46.83,46.87,46.8767,-0.0004,46.8734,-0.0001,0.319,44.8812,11.9519,0,0,0.02,0.05,1,3,11
2024-01-04 11:10:00,46.87,0.02,-0.07,0.0427,-0.1491,1,0,5,46.94,46.87,46.91,46.8733,-0.0004,46.8807,0.0008,0.4647,50.0081,11.4288,1,1,0.04,0.07,1,3,11
2024-01-04 11:11:00,46.9,0.03,-0.01,0.064,-0.0213,1,0,7,46.91,46.84,46.86,46.8678,-0.0006,46.8766,-0.0005,0.3135,44.4432,10.8099,0,0,-0.04,0.07,0,3,11
2024-01-04 11:12:00,46.85,-0.05,-0.04,-0.1066,-0.0853,0,0,1,46.88,46.81,46.82,46.86,-0.0009,46.8653,-0.0013,0.1883,40.5551,10.7263,0,0,-0.03,0.07,0,3,11
2024-01-04 11:13:00,46.82,-0.03,-0.04,-0.064,-0.0854,0,0,0,46.88,46.8,46.88,46.8611,0.0001,46.8682,0.0003,0.4468,47.9157,10.8084,1,1,0.06,0.08,1,3,11
2024-01-04 11:14:00,46.87,0.05,0.01,0.1068,0.0213,1,1,5,46.9,46.84,46.85,46.8589,-0.0002,46.8646,-0.0004,0.3253,44.9207,10.4802,0,0,-0.02,0.06,0,3,11
2024-01-04 11:15:00,46.85,-0.02,-0.01,-0.0427,-0.0213,0,0,2,46.93,46.85,46.88,46.8611,0.0002,46.8677,0.0003,0.534,48.3945,9.8613,1,1,0.03,0.08,1,3,11
2024-01-04 11:16:00,46.89,0.04,0.06,0.0854,0.1281,1,1,6,47.01,46.89,46.98,46.8778,0.0019,46.8901,0.0025,1.1779,57.9212,10.5374,1,1,0.09,0.12,1,3,11
2024-01-04 11:17:00,46.97,0.08,0.12,0.1706,0.2561,1,1,7,47.08,46.97,47.03,46.8978,0.0022,46.9181,0.0031,1.2265,61.7258,11.9943,1,1,0.06,0.11,1,3,11
2024-01-04 11:18:00,47.04,0.07,0.17,0.149,0.3627,1,1,7,47.07,47.0,47.01,46.9133,0.0017,46.9365,0.002,1.0261,59.4118,13.3471,1,1,-0.03,0.07,0,3,11
2024-01-04 11:19:00,47.01,-0.03,0.11,-0.0638,0.2345,0,1,6,47.06,46.97,47.04,46.9278,0.0016,46.9572,0.0023,1.0443,61.7294,13.9792,1,1,0.03,0.09,1,3,11
2024-01-04 11:20:00,47.05,0.04,0.2,0.0851,0.4269,1,1,7,47.15,47.04,47.15,46.96,0.0036,46.9957,0.0043,1.2075,68.7707,15.5518,1,1,0.1,0.11,1,3,11
2024-01-04 11:21:00,47.15,0.1,0.33,0.2125,0.7048,1,1,7,47.15,47.09,47.11,46.9922,0.0036,47.0186,0.0025,1.0001,64.1487,17.0122,1,1,-0.04,0.06,0,3,11
2024-01-04 11:22:00,47.11,-0.04,0.24,-0.0848,0.5121,0,1,6,47.16,47.1,47.11,47.0178,0.0028,47.0369,0.002,0.9343,64.1487,18.4704,1,1,0.0,0.06,0,3,11
2024-01-04 11:23:00,47.1,-0.01,0.25,-0.0212,0.5336,0,1,5,47.12,47.05,47.08,47.0433,0.0028,47.0455,0.001,0.8235,60.6057,18.7701,1,1,-0.02,0.07,0,3,11
2024-01-04 11:24:00,47.07,-0.03,0.18,-0.0637,0.3839,0,1,4,47.07,47.0,47.01,47.0578,0.0016,47.0384,-0.0008,0.6422,53.2196,18.14,0,0,-0.06,0.07,0,3,11
2024-01-04 11:25:00,47.01,-0.06,0.04,-0.1275,0.0852,0,1,0,47.06,47.01,47.04,47.0644,0.0007,47.0387,0.0,0.6931,55.7108,17.5549,0,1,0.03,0.05,1,3,11
