datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-04 10:57:00,371.97,0.09,0.01,0.0242,0.0027,1,1,3,372.08,371.94,372.04,372.0433,0.001,371.9903,0.0014,0.6717,53.66,11.9122,0,1,0.07,0.14,1,3,10
2024-01-04 10:58:00,372.03,0.06,-0.21,0.0161,-0.0564,1,0,4,372.03,371.7,371.75,371.9944,-0.0054,371.9422,-0.0053,0.1481,42.4288,12.306,0,0,-0.28,0.33,0,3,10
2024-01-04 10:59:00,371.74,-0.29,-0.43,-0.078,-0.1155,0,0,0,371.96,371.73,371.76,371.95,-0.0049,371.9058,-0.004,0.1902,42.8729,12.6717,0,0,0.02,0.23,1,3,10
2024-01-04 11:00:00,371.77,0.03,-0.53,0.0081,-0.1424,1,0,1,372.22,371.77,372.16,371.9378,-0.0014,371.9566,0.0056,0.8493,57.1193,12.1005,1,1,0.39,0.45,1,3,11
2024-01-04 11:01:00,372.14,0.37,0.08,0.0995,0.0215,1,1,7,372.33,372.12,372.3,371.9656,0.0031,372.0253,0.0076,0.9943,60.8036,12.1079,1,1,0.16,0.21,1,3,11
2024-01-04 11:02:00,372.32,0.18,0.42,0.0484,0.1129,1,1,7,372.35,372.1,372.1,371.9878,0.0025,372.0402,0.0017,0.6736,53.7046,12.2103,1,1,-0.22,0.25,0,3,11
2024-01-04 11:03:00,372.1,-0.22,0.23,-0.0591,0.0618,0,1,5,372.25,372.08,372.23,372.0267,0.0043,372.0782,0.0042,0.8398,57.2024,12.1745,1,1,0.13,0.17,1,3,11
2024-01-04 11:04:00,372.25,0.15,0.37,0.0403,0.0995,1,1,6,372.32,372.23,372.25,372.0633,0.0041,372.1126,0.0038,0.8315,57.7315,12.5029,1,1,0.0,0.09,0,3,11
2024-01-04 11:05:00,372.23,-0.02,0.26,-0.0054,0.0699,0,1,5,372.35,372.17,372.29,372.0978,0.0038,372.148,0.0039,0.849,58.8278,12.3885,1,1,0.06,0.18,1,3,11
2024-01-04 11:06:00,372.33,0.1,0.3,0.0269,0.0806,1,1,7,372.39,372.24,372.28,372.1244,0.003,372.1744,0.0029,0.8016,58.4198,12.504,1,1,-0.05,0.15,0,3,11
