datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-04 10:56:00,62.53,0.0,0.03,0.0,0.048,0,1,6,62.57,62.53,62.56,62.5111,0.0007,62.5168,0.0012,0.96,65.6657,31.0466,1,1,0.03,0.04,1,3,10
2024-01-04 10:57:00,62.56,0.03,0.05,0.048,0.08,1,1,7,62.61,62.56,62.6,62.5211,0.0011,62.5335,0.0018,1.079,69.8626,31.211,1,1,0.04,0.05,1,3,10
2024-01-04 10:58:00,62.61,0.05,0.11,0.0799,0.176,1,1,7,62.64,62.6,62.61,62.5333,0.0014,62.5488,0.0017,1.0292,70.8229,31.7431,1,1,0.0,0.04,0,3,10
2024-01-04 10:59:00,62.62,0.01,0.15,0.016,0.2401,1,1,7,62.65,62.6,62.61,62.55,0.0019,62.561,0.0014,0.9605,70.8229,32.359,1,1,-0.01,0.05,0,3,10
2024-01-04 11:00:00,62.62,0.0,0.13,0.0,0.208,0,1,6,62.62,62.53,62.54,62.5556,0.0006,62.5568,-0.0005,0.6153,56.2683,31.193,0,0,-0.08,0.09,0,3,11
2024-01-04 11:01:00,62.55,-0.07,0.04,-0.1118,0.064,0,1,3,62.56,62.52,62.53,62.5578,0.0002,62.5515,-0.0006,0.5369,54.5438,29.895,0,0,-0.02,0.04,0,3,11
2024-01-04 11:02:00,62.53,-0.02,0.01,-0.032,0.016,0,1,0,62.56,62.51,62.51,62.5567,-0.0001,62.5432,-0.0009,0.4064,51.1663,28.47,0,0,-0.02,0.05,0,3,11
2024-01-04 11:03:00,62.52,-0.01,-0.01,-0.016,-0.016,0,0,0,62.58,62.52,62.58,62.5622,0.0006,62.5505,0.0008,0.8084,60.4073,27.5029,1,1,0.06,0.06,1,3,11
2024-01-04 11:04:00,62.59,0.07,0.06,0.112,0.096,1,1,4,62.61,62.54,62.54,62.5644,0.0002,62.5484,-0.0002,0.5577,54.1065,27.1038,0,0,-0.05,0.07,0,3,11
2024-01-04 11:05:00,62.54,-0.05,-0.02,-0.0799,-0.032,0,0,2,62.58,62.53,62.53,62.5611,-0.0004,62.5447,-0.0004,0.481,52.6286,26.4838,0,0,-0.01,0.05,0,3,11
2024-01-04 11:06:00,62.53,-0.01,-0.08,-0.016,-0.1278,0,0,1,62.56,62.49,62.54,62.5544,-0.0007,62.5438,-0.0001,0.5351,53.9822,24.9796,0,0,0.01,0.07,1,3,11
2024-01-04 11:07:00,62.55,0.02,-0.07,0.032,-0.1118,1,0,4,62.62,62.54,62.62,62.5556,0.0001,62.559,0.0017,0.9678,63.0732,24.6003,1,1,0.07,0.08,1,3,11
2024-01-04 11:08:00,62.61,0.06,-0.01,0.0959,-0.016,1,0,7,62.7,62.61,62.69,62.5644,0.001,62.5852,0.0029,1.1644,68.8685,25.2684,1,1,0.08,0.09,1,3,11
2024-01-04 11:09:00,62.69,0.08,0.14,0.1278,0.2238,1,1,7,62.74,62.67,62.73,62.5856,0.0023,62.6142,0.0032,1.1544,71.6104,26.3011,1,1,0.04,0.07,1,3,11
2024-01-04 11:10:00,62.73,0.04,0.2,0.0638,0.3198,1,1,7,62.74,62.67,62.67,62.6011,0.0017,62.6253,0.0012,0.8826,62.6912,27.26,1,1,-0.06,0.07,0,3,11
2024-01-04 11:11:00,62.67,-0.06,0.15,-0.0956,0.2399,0,1,5,62.69,62.66,62.67,62.6189,0.002,62.6343,0.001,0.8446,62.6912,27.9037,1,1,0.0,0.03,0,3,11
2024-01-04 11:12:00,62.67,0.0,0.08,0.0,0.1278,0,1,4,62.72,62.65,62.71,62.6333,0.0016,62.6494,0.0017,0.9356,65.9684,28.838,1,1,0.04,0.07,1,3,11
2024-01-04 11:13:00,62.71,0.04,0.17,0.0638,0.2718,1,1,6,62.71,62.66,62.7,62.6511,0.002,62.6595,0.0011,0.8562,64.4444,29.7056,1,1,-0.01,0.05,0,3,11
2024-01-04 11:14:00,62.7,-0.01,0.17,-0.0159,0.2719,0,1,5,62.75,62.68,62.68,62.6678,0.0019,62.6636,0.0005,0.7581,61.3896,30.9437,1,1,-0.02,0.07,0,3,11
2024-01-04 11:15:00,62.68,-0.02,0.13,-0.0319,0.2078,0,1,3,62.7,62.64,62.66,62.6811,0.0015,62.6629,-0.0001,0.6675,58.408,31.0484,0,0,-0.02,0.06,0,3,11
2024-01-04 11:16:00,62.67,-0.01,0.06,-0.016,0.0958,0,1,0,62.69,62.66,62.68,62.6878,0.0007,62.6663,0.0004,0.7176,60.4753,31.1456,0,1,0.01,0.03,1,3,11
2024-01-04 11:17:00,62.67,0.0,-0.02,0.0,-0.0319,0,0,0,62.67,62.62,62.62,62.68,-0.0009,62.6571,-0.001,0.4964,52.1076,30.2575,0,0,-0.05,0.05,0,3,11
2024-01-04 11:18:00,62.62,-0.05,-0.11,-0.0798,-0.1754,0,0,0,62.65,62.59,62.63,62.6689,-0.0012,62.6516,-0.0006,0.5291,53.2681,28.7789,0,0,0.01,0.06,1,3,11
2024-01-04 11:19:00,62.63,0.01,-0.04,0.016,-0.0638,1,0,1,62.65,62.61,62.61,62.6622,-0.0007,62.6433,-0.0009,0.4564,50.6258,27.4059,0,0,-0.02,0.04,0,3,11
2024-01-04 11:20:00,62.61,-0.02,-0.06,-0.0319,-0.0957,0,0,0,62.66,62.6,62.65,62.66,-0.0002,62.6447,0.0001,0.5848,55.3918,26.1311,0,1,0.04,0.06,1,3,11
2024-01-04 11:21:00,62.65,0.04,-0.06,0.0639,-0.0957,1,0,3,62.68,62.63,62.63,62.6511,-0.001,62.6417,-0.0003,0.49,52.655,25.337,0,0,-0.02,0.05,0,3,11
2024-01-04 11:22:00,62.63,-0.02,-0.07,-0.0319,-0.1116,0,0,2,62.64,62.61,62.63,62.6433,-0.0009,62.6394,-0.0003,0.4619,52.655,24.0984,0,0,0.0,0.03,0,3,11
2024-01-04 11:23:00,62.63,0.0,-0.05,0.0,-0.0798,0,0,2,62.68,62.62,62.67,62.6422,-0.0001,62.6455,0.0007,0.6238,57.523,23.7116,1,1,0.04,0.06,1,3,11
2024-01-04 11:24:00,62.67,0.04,0.0,0.0639,0.0,1,0,6,62.69,62.67,62.69,62.6456,0.0004,62.6544,0.001,0.6977,59.7514,23.5285,1,1,0.02,0.02,1,3,11
2024-01-04 11:25:00,62.69,0.02,0.02,0.0319,0.0319,1,1,7,62.7,62.67,62.67,62.6444,-0.0001,62.6575,0.0003,0.5749,56.5562,23.5366,1,1,-0.02,0.03,0,3,11
2024-01-04 11:26:00,62.67,-0.02,0.05,-0.0319,0.0798,0,1,5,62.7,62.66,62.67,62.65,0.0006,62.66,0.0003,0.5471,56.5562,23.2533,1,1,0.0,0.04,0,3,11
2024-01-04 11:27:00,62.67,0.0,0.04,0.0,0.0639,0,1,4,62.7,62.66,62.69,62.6567,0.0007,62.666,0.0007,0.6836,59.0932,22.9902,1,1,0.02,0.04,1,3,11
2024-01-04 11:28:00,62.69,0.02,0.08,0.0319,0.1278,1,1,6,62.75,62.69,62.73,62.67,0.0015,62.6788,0.0014,0.9551,63.6635,23.6671,1,1,0.04,0.06,1,3,11
2024-01-04 11:29:00,62.72,0.03,0.07,0.0479,0.1117,1,1,7,62.74,62.7,62.71,62.6767,0.0007,62.685,0.0007,0.8276,60.0509,24.2957,1,1,-0.01,0.04,0,3,11
2024-01-04 11:30:00,62.71,-0.01,0.08,-0.0159,0.1277,0,1,6,62.76,62.68,62.68,62.6822,0.0006,62.684,-0.0001,0.5866,55.0084,24.2242,0,0,-0.03,0.08,0,3,11
2024-01-04 11:31:00,62.69,-0.02,0.06,-0.0319,0.0958,0,1,3,62.75,62.68,62.73,62.6933,0.0012,62.6932,0.001,0.921,60.9012,24.1579,1,1,0.04,0.07,1,3,11
2024-01-04 11:32:00,62.73,0.04,0.06,0.0638,0.0957,1,1,7,62.74,62.71,62.72,62.6989,0.0006,62.6986,0.0006,0.8388,59.2303,24.0963,1,1,-0.01,0.03,0,3,11
2024-01-04 11:33:00,62.72,-0.01,0.03,-0.0159,0.0479,0,1,5,62.73,62.69,62.69,62.6989,0.0,62.6969,-0.0002,0.6296,54.4076,23.3381,0,0,-0.03,0.04,0,3,11
2024-01-04 11:34:00,62.69,-0.03,0.02,-0.0478,0.0319,0,1,1,62.69,62.59,62.6,62.6911,-0.0009,62.6775,-0.0022,0.0529,43.0762,23.1399,0,0,-0.09,0.1,0,3,11
2024-01-04 11:35:00,62.59,-0.1,-0.08,-0.1595,-0.1277,0,0,0,62.62,62.59,62.61,62.6844,-0.0007,62.664,-0.0015,0.1536,44.4603,22.9558,0,0,0.02,0.03,1,3,11
2024-01-04 11:36:00,62.61,0.02,-0.08,0.032,-0.1276,1,0,1,62.61,62.58,62.6,62.6744,-0.0011,62.6512,-0.0014,0.1369,43.3258,22.9756,0,0,-0.01,0.03,0,3,11
2024-01-04 11:37:00,62.6,-0.01,-0.12,-0.016,-0.1913,0,0,1,62.62,62.6,62.62,62.6622,-0.0014,62.645,-0.0007,0.255,46.2784,22.6864,0,0,0.02,0.02,1,3,11
2024-01-04 11:38:00,62.62,0.02,-0.09,0.0319,-0.1435,1,0,3,62.63,62.57,62.58,62.6478,-0.0016,62.632,-0.0014,0.0658,41.6094,23.0054,0,0,-0.04,0.06,0,3,11
2024-01-04 11:39:00,62.58,-0.04,-0.11,-0.0639,-0.1755,0,0,0,62.65,62.56,62.65,62.6444,-0.0004,62.6356,0.0004,0.4377,50.9379,22.685,1,1,0.07,0.09,1,3,11
2024-01-04 11:40:00,62.65,0.07,-0.08,0.1119,-0.1275,1,0,5,62.65,62.62,62.62,62.6322,-0.0014,62.6325,-0.0003,0.2805,47.4399,22.3874,0,0,-0.03,0.03,0,3,11
2024-01-04 11:41:00,62.62,-0.03,-0.1,-0.0479,-0.1594,0,0,4,62.62,62.54,62.55,62.6133,-0.0021,62.616,-0.0018,-0.0208,40.4584,23.5051,0,0,-0.07,0.08,0,3,11
2024-01-04 11:42:00,62.56,-0.06,-0.13,-0.0958,-0.2074,0,0,0,62.57,62.53,62.53,62.5956,-0.002,62.5988,-0.0019,-0.0248,38.7057,24.6811,0,0,-0.03,0.04,0,3,11
2024-01-04 11:43:00,62.55,-0.01,-0.04,-0.016,-0.0639,0,0,0,62.58,62.54,62.56,62.5911,-0.0005,62.591,-0.0009,0.1485,42.7145,25.4478,0,0,0.01,0.04,1,3,11
2024-01-04 11:44:00,62.56,0.01,-0.05,0.016,-0.0799,1,0,1,62.59,62.56,62.59,62.5889,-0.0002,62.5908,-0.0,0.2939,46.4838,25.8323,1,0,0.03,0.03,1,3,11
2024-01-04 11:45:00,62.58,0.02,-0.02,0.032,-0.0319,1,0,3,62.6,62.57,62.58,62.5867,-0.0002,62.5887,-0.0002,0.2748,45.4112,25.8605,0,0,0.0,0.03,0,3,11
2024-01-04 11:46:00,62.58,0.0,-0.04,0.0,-0.0639,0,0,3,62.59,62.55,62.57,62.5811,-0.0006,62.5849,-0.0004,0.2586,44.3101,26.2579,0,0,-0.01,0.04,0,3,11
2024-01-04 11:47:00,62.57,-0.01,-0.01,-0.016,-0.016,0,0,3,62.6,62.57,62.59,62.5822,0.0001,62.5859,0.0001,0.3561,47.0741,26.2838,1,1,0.02,0.03,1,3,11
2024-01-04 11:48:00,62.6,0.03,-0.05,0.0479,-0.0798,1,0,6,62.6,62.58,62.6,62.5767,-0.0006,62.5887,0.0003,0.4167,48.4518,26.3079,1,1,0.0,0.02,0,3,11
2024-01-04 11:49:00,62.6,0.0,-0.02,0.0,-0.0319,0,0,6,62.6,62.56,62.56,62.57,-0.0007,62.583,-0.0006,0.2631,43.5667,26.7398,0,0,-0.04,0.04,0,3,11
2024-01-04 11:50:00,62.55,-0.05,-0.01,-0.0799,-0.016,0,0,0,62.56,62.51,62.56,62.5711,0.0001,62.5784,-0.0005,0.2856,43.5667,27.9807,0,0,0.01,0.05,1,3,11
2024-01-04 11:51:00,62.57,0.02,0.02,0.032,0.032,1,1,2,62.58,62.54,62.56,62.5744,0.0004,62.5747,-0.0004,0.2967,43.5667,28.4159,0,0,-0.01,0.04,0,3,11
2024-01-04 11:52:00,62.56,-0.01,0.0,-0.016,0.0,0,0,1,62.58,62.54,62.57,62.5756,0.0001,62.5738,-0.0001,0.3645,45.2891,28.82,0,0,0.01,0.04,1,3,11
2024-01-04 11:53:00,62.58,0.02,0.0,0.032,0.0,1,0,4,62.6,62.56,62.6,62.5767,0.0001,62.579,0.0006,0.6347,50.1997,28.4795,1,1,0.02,0.04,1,3,11
2024-01-04 11:54:00,62.6,0.02,0.02,0.032,0.032,1,1,5,62.61,62.59,62.6,62.5789,0.0002,62.5832,0.0005,0.6347,50.1997,27.8205,1,1,0.0,0.02,0,3,11
2024-01-04 11:55:00,62.6,0.0,0.03,0.0,0.0479,0,1,4,62.6,62.59,62.6,62.5822,0.0004,62.5866,0.0004,0.641,50.1997,27.2085,1,1,0.0,0.01,0,3,11
