datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-04 10:58:00,103.14,0.09,-0.06,0.0873,-0.0581,1,0,7,103.19,103.14,103.16,103.0933,-0.0004,103.1158,0.0012,0.5808,51.2574,9.4391,1,1,0.02,0.05,1,3,10
2024-01-04 10:59:00,103.16,0.02,0.06,0.0194,0.0582,1,1,7,103.23,103.15,103.23,103.1067,0.0015,103.1386,0.0025,0.8262,56.8299,10.1421,1,1,0.07,0.08,1,3,10
2024-01-04 11:00:00,103.25,0.09,0.21,0.0872,0.2038,1,1,7,103.3,103.18,103.3,103.1344,0.0031,103.1709,0.0036,1.0054,61.5624,11.51,1,1,0.05,0.12,1,3,11
2024-01-04 11:01:00,103.31,0.06,0.2,0.0581,0.194,1,1,7,103.37,103.29,103.36,103.1611,0.003,103.2087,0.0042,1.0775,65.0945,13.3753,1,1,0.05,0.08,1,3,11
2024-01-04 11:02:00,103.38,0.07,0.33,0.0678,0.3202,1,1,7,103.38,103.31,103.31,103.1878,0.003,103.229,0.0023,0.8808,60.1353,15.1866,1,1,-0.07,0.07,0,3,11
2024-01-04 11:03:00,103.31,-0.07,0.23,-0.0677,0.2231,0,1,5,103.42,103.31,103.4,103.2233,0.004,103.2632,0.0038,1.0254,65.265,17.1803,1,1,0.09,0.11,1,3,11
2024-01-04 11:04:00,103.43,0.12,0.36,0.1162,0.3493,1,1,7,103.47,103.42,103.46,103.2667,0.0048,103.3025,0.0044,1.0604,68.2026,19.3873,1,1,0.03,0.05,1,3,11
2024-01-04 11:05:00,103.45,0.02,0.4,0.0193,0.3882,1,1,7,103.47,103.38,103.38,103.3044,0.0042,103.318,0.0017,0.8582,60.8172,20.6951,1,1,-0.07,0.09,0,3,11
2024-01-04 11:06:00,103.38,-0.07,0.24,-0.0677,0.2327,0,1,4,103.4,103.36,103.4,103.3333,0.0032,103.3344,0.0018,0.8592,61.9272,21.5518,1,1,0.02,0.04,1,3,11
2024-01-04 11:07:00,103.4,0.02,0.24,0.0193,0.2326,1,1,5,103.48,103.39,103.43,103.3633,0.0033,103.3535,0.0021,0.8717,63.5932,22.9986,1,1,0.03,0.09,1,3,11
2024-01-04 11:08:00,103.41,0.01,0.16,0.0097,0.155,1,1,5,103.44,103.37,103.43,103.3856,0.0025,103.3688,0.0017,0.8323,63.5932,23.9856,1,1,0.02,0.07,1,3,11
2024-01-04 11:09:00,103.43,0.02,0.12,0.0193,0.1162,1,1,5,103.44,103.4,103.42,103.3989,0.0015,103.3791,0.0011,0.7858,62.5353,24.9021,1,1,-0.01,0.04,0,3,11
2024-01-04 11:10:00,103.41,-0.02,0.03,-0.0193,0.029,0,1,3,103.42,103.32,103.32,103.3944,-0.0005,103.3673,-0.0013,0.6041,53.0344,24.3818,0,0,-0.09,0.1,0,3,11
2024-01-04 11:11:00,103.3,-0.11,-0.01,-0.1064,-0.0097,0,0,0,103.36,103.3,103.34,103.3978,0.0004,103.3618,-0.0006,0.6191,54.5226,23.5928,0,0,0.04,0.06,1,3,11
2024-01-04 11:12:00,103.34,0.04,-0.09,0.0387,-0.087,1,0,1,103.34,103.29,103.29,103.3856,-0.0014,103.3474,-0.0016,0.5156,50.2369,22.7045,0,0,-0.05,0.05,0,3,11
2024-01-04 11:13:00,103.28,-0.06,-0.17,-0.0581,-0.1643,0,0,0,103.32,103.26,103.31,103.3689,-0.0019,103.34,-0.0008,0.5324,51.8667,21.4154,0,0,0.03,0.06,1,3,11
2024-01-04 11:14:00,103.32,0.04,-0.06,0.0387,-0.058,1,0,2,103.45,103.32,103.42,103.3733,0.0005,103.356,0.0018,0.7278,59.6869,21.6784,1,1,0.1,0.13,1,3,11
2024-01-04 11:15:00,103.42,0.1,0.02,0.0968,0.0193,1,1,6,103.44,103.4,103.43,103.3767,0.0004,103.3708,0.0016,0.7322,60.3181,21.9227,1,1,0.01,0.04,1,3,11
2024-01-04 11:16:00,103.43,0.01,0.02,0.0097,0.0193,1,1,6,103.48,103.42,103.46,103.38,0.0004,103.3886,0.002,0.805,62.2287,22.5297,1,1,0.03,0.06,1,3,11
2024-01-04 11:17:00,103.48,0.05,0.05,0.0483,0.0483,1,1,7,103.48,103.43,103.44,103.3811,0.0001,103.3989,0.0011,0.7398,60.1495,23.0934,1,1,-0.04,0.05,0,3,11
2024-01-04 11:18:00,103.45,-0.03,0.04,-0.029,0.0387,0,1,6,103.46,103.43,103.43,103.3822,0.0001,103.4051,0.0007,0.7021,59.0864,23.6169,1,1,-0.02,0.03,0,3,11
2024-01-04 11:19:00,103.42,-0.03,0.12,-0.029,0.1162,0,1,3,103.43,103.38,103.38,103.3889,0.0007,103.4001,-0.0006,0.4748,53.952,23.1725,0,0,-0.04,0.05,0,3,11
2024-01-04 11:20:00,103.36,-0.06,0.02,-0.058,0.0194,0,1,2,103.45,103.36,103.45,103.4011,0.0014,103.4101,0.0011,0.7707,59.2861,22.7598,1,1,0.09,0.09,1,3,11
2024-01-04 11:21:00,103.46,0.1,0.18,0.0967,0.1743,1,1,6,103.47,103.44,103.45,103.4189,0.002,103.4181,0.0009,0.7455,59.2861,22.638,1,1,-0.01,0.03,0,3,11
2024-01-04 11:22:00,103.44,-0.02,0.12,-0.0193,0.1161,0,1,4,103.46,103.42,103.43,103.4322,0.0015,103.4204,0.0003,0.6327,57.0945,22.1312,0,1,-0.01,0.04,0,3,11
2024-01-04 11:23:00,103.44,0.0,0.02,0.0,0.0193,0,1,3,103.47,103.43,103.46,103.4367,0.0005,103.4284,0.0009,0.7602,59.5122,21.805,1,1,0.02,0.04,1,3,11
2024-01-04 11:24:00,103.47,0.03,0.04,0.029,0.0387,1,1,6,103.54,103.46,103.54,103.4489,0.0014,103.4507,0.0025,1.0573,65.1514,22.4017,1,1,0.07,0.08,1,3,11
2024-01-04 11:25:00,103.52,0.05,0.04,0.0483,0.0387,1,1,7,103.52,103.47,103.47,103.45,0.0001,103.4545,0.0004,0.7329,57.5926,22.9558,1,1,-0.05,0.05,0,3,11
2024-01-04 11:26:00,103.47,-0.05,0.02,-0.0483,0.0193,0,1,5,103.59,103.47,103.59,103.4667,0.0019,103.4816,0.003,1.0902,65.0735,24.2212,1,1,0.12,0.12,1,3,11
2024-01-04 11:27:00,103.6,0.13,0.18,0.1256,0.174,1,1,7,103.61,103.58,103.59,103.4844,0.002,103.5033,0.0024,0.9993,65.0735,25.5838,1,1,-0.01,0.03,0,3,11
2024-01-04 11:28:00,103.59,-0.01,0.23,-0.0097,0.2225,0,1,6,103.61,103.55,103.55,103.5033,0.0021,103.5126,0.001,0.8362,60.919,26.1661,1,1,-0.04,0.06,0,3,11
2024-01-04 11:29:00,103.55,-0.04,0.09,-0.0386,0.087,0,1,5,103.55,103.47,103.49,103.5078,0.0005,103.5081,-0.0005,0.6437,55.2238,25.1705,0,0,-0.06,0.08,0,3,11
2024-01-04 11:30:00,103.49,-0.06,0.05,-0.0579,0.0483,0,1,3,103.53,103.46,103.49,103.5122,0.0005,103.5045,-0.0004,0.6247,55.2238,24.0761,0,0,0.0,0.07,0,3,11
2024-01-04 11:31:00,103.48,-0.01,0.04,-0.0097,0.0387,0,1,2,103.49,103.44,103.45,103.5144,0.0002,103.4936,-0.0012,0.48,51.5011,22.7174,0,0,-0.03,0.05,0,3,11
2024-01-04 11:32:00,103.46,-0.02,-0.01,-0.0193,-0.0097,0,0,0,103.54,103.46,103.54,103.5233,0.001,103.5029,0.001,0.7679,58.3107,22.1689,1,1,0.08,0.08,1,3,11
2024-01-04 11:33:00,103.53,0.07,0.01,0.0677,0.0097,1,1,4,103.58,103.53,103.54,103.5233,0.0,103.5103,0.0008,0.7603,58.3107,22.1638,1,1,0.01,0.05,1,3,11
2024-01-04 11:34:00,103.56,0.03,0.09,0.029,0.087,1,1,5,103.56,103.52,103.55,103.5322,0.001,103.5182,0.0009,0.7746,59.0516,21.9682,1,1,-0.01,0.04,0,3,11
2024-01-04 11:35:00,103.54,-0.02,-0.06,-0.0193,-0.0579,0,0,4,103.56,103.53,103.54,103.5267,-0.0006,103.5226,0.0005,0.709,57.9426,21.7866,1,1,0.0,0.03,0,3,11
2024-01-04 11:36:00,103.53,-0.01,-0.06,-0.0097,-0.0579,0,0,3,103.55,103.48,103.49,103.5156,-0.0012,103.5161,-0.0007,0.4846,52.6216,20.6576,0,0,-0.04,0.07,0,3,11
2024-01-04 11:37:00,103.48,-0.05,-0.07,-0.0483,-0.0676,0,0,1,103.51,103.47,103.48,103.5078,-0.0009,103.5089,-0.0008,0.4305,51.601,19.4301,0,0,0.0,0.04,0,3,11
2024-01-04 11:38:00,103.49,0.01,0.0,0.0097,0.0,1,0,3,103.49,103.34,103.38,103.4956,-0.0014,103.4831,-0.0029,0.0259,42.685,19.634,0,0,-0.11,0.15,0,3,11
2024-01-04 11:39:00,103.39,-0.1,-0.09,-0.0966,-0.087,0,0,0,103.42,103.37,103.39,103.4844,-0.0012,103.4645,-0.0021,0.059,43.732,19.8233,0,0,0.0,0.05,0,3,11
2024-01-04 11:40:00,103.39,0.0,-0.07,0.0,-0.0677,0,0,0,103.39,103.34,103.36,103.4744,-0.0011,103.4436,-0.0023,0.0035,41.2949,20.3458,0,0,-0.03,0.05,0,3,11
2024-01-04 11:41:00,103.35,-0.04,-0.18,-0.0387,-0.1739,0,0,0,103.35,103.3,103.32,103.45,-0.0027,103.4189,-0.0027,-0.0464,38.2352,21.2594,0,0,-0.03,0.05,0,3,11
2024-01-04 11:42:00,103.32,-0.03,-0.24,-0.029,-0.2317,0,0,0,103.32,103.21,103.23,103.4156,-0.0038,103.3811,-0.0042,-0.1584,32.4155,22.9018,0,0,-0.09,0.11,0,3,11
2024-01-04 11:43:00,103.23,-0.09,-0.31,-0.0871,-0.2994,0,0,0,103.23,103.17,103.19,103.3756,-0.0044,103.3429,-0.0042,-0.1069,30.2143,24.7204,0,0,-0.04,0.06,0,3,11
2024-01-04 11:44:00,103.19,-0.04,-0.34,-0.0387,-0.3284,0,0,0,103.23,103.15,103.2,103.3378,-0.0042,103.3143,-0.0032,0.0063,31.4673,26.5499,0,0,0.01,0.08,1,3,11
2024-01-04 11:45:00,103.17,-0.02,-0.31,-0.0194,-0.2996,0,0,0,103.22,103.17,103.2,103.3056,-0.0036,103.2914,-0.0025,0.0709,31.4673,28.2488,0,0,0.03,0.05,1,3,11
2024-01-04 11:46:00,103.21,0.04,-0.28,0.0388,-0.2706,1,0,2,103.24,103.2,103.21,103.2756,-0.0033,103.2751,-0.0018,0.1328,32.8651,29.371,0,0,0.0,0.04,0,3,11
2024-01-04 11:47:00,103.2,-0.01,-0.19,-0.0097,-0.1838,0,0,2,103.24,103.2,103.24,103.26,-0.0017,103.2681,-0.0008,0.2163,37.0158,30.4131,0,0,0.04,0.04,1,3,11
2024-01-04 11:48:00,103.25,0.05,-0.14,0.0484,-0.1354,1,0,5,103.25,103.22,103.22,103.2411,-0.0021,103.2585,-0.0011,0.2095,35.4426,31.1339,0,0,-0.03,0.03,0,3,11
2024-01-04 11:49:00,103.21,-0.04,-0.14,-0.0387,-0.1355,0,0,3,103.21,103.13,103.17,103.22,-0.0023,103.2408,-0.002,0.1572,31.8034,32.6052,0,0,-0.04,0.08,0,3,11
2024-01-04 11:50:00,103.17,-0.04,-0.15,-0.0388,-0.1452,0,0,0,103.17,103.1,103.14,103.2,-0.0022,103.2206,-0.0022,0.146,29.8247,34.1901,0,0,-0.03,0.07,0,3,11
2024-01-04 11:51:00,103.15,-0.02,-0.08,-0.0194,-0.0775,0,0,0,103.16,103.12,103.14,103.19,-0.0011,103.2045,-0.0018,0.1826,29.8247,35.6618,0,0,-0.01,0.04,0,3,11
2024-01-04 11:52:00,103.13,-0.02,-0.06,-0.0194,-0.0581,0,0,0,103.13,103.06,103.07,103.1767,-0.0015,103.1776,-0.003,0.1076,25.5269,37.4426,0,0,-0.06,0.07,0,3,11
2024-01-04 11:53:00,103.06,-0.07,-0.11,-0.0679,-0.1066,0,0,0,103.11,103.05,103.11,103.1667,-0.0011,103.1641,-0.0015,0.2014,31.5931,39.1595,0,0,0.05,0.06,1,3,11
2024-01-04 11:54:00,103.13,0.07,-0.08,0.0679,-0.0775,1,0,1,103.14,103.08,103.08,103.1533,-0.0015,103.1473,-0.0019,0.1728,29.6429,39.972,0,0,-0.05,0.06,0,3,11
2024-01-04 11:55:00,103.08,-0.05,-0.12,-0.0485,-0.1163,0,0,1,103.08,103.04,103.07,103.1378,-0.0017,103.1318,-0.0017,0.1721,29.0003,41.0398,0,0,-0.01,0.04,0,3,11
2024-01-04 11:56:00,103.06,-0.02,-0.19,-0.0194,-0.184,0,0,0,103.11,103.06,103.08,103.12,-0.002,103.1215,-0.0012,0.2089,30.6201,41.2916,0,0,0.02,0.05,1,3,11
2024-01-04 11:57:00,103.08,0.02,-0.13,0.0194,-0.126,1,0,2,103.1,103.07,103.09,103.1056,-0.0016,103.1152,-0.0007,0.24,32.2838,41.5254,0,0,0.01,0.03,1,3,11
2024-01-04 11:58:00,103.1,0.02,-0.07,0.0194,-0.0678,1,0,4,103.11,103.07,103.1,103.0978,-0.0009,103.1121,-0.0003,0.2833,33.9885,41.4824,1,0,0.0,0.04,0,3,11
2024-01-04 11:59:00,103.1,0.0,-0.05,0.0,-0.0485,0,0,4,103.11,103.07,103.07,103.09,-0.0009,103.1037,-0.0009,0.2132,31.4321,41.4425,0,0,-0.03,0.04,0,3,11
2024-01-04 12:00:00,103.07,-0.03,-0.06,-0.0291,-0.0582,0,0,2,103.1,103.05,103.06,103.0811,-0.001,103.095,-0.001,0.1896,30.6057,41.6383,0,0,-0.01,0.05,0,3,12
2024-01-04 12:01:00,103.07,0.0,0.01,0.0,0.0097,0,1,1,103.08,103.04,103.07,103.0811,-0.0,103.09,-0.0006,0.2318,32.5163,41.9353,0,0,0.0,0.04,0,3,12
2024-01-04 12:02:00,103.07,0.0,-0.06,0.0,-0.0582,0,0,1,103.1,103.07,103.1,103.08,-0.0001,103.092,0.0002,0.371,38.0289,41.6015,1,1,0.03,0.03,1,3,12
2024-01-04 12:03:00,103.09,0.02,0.01,0.0194,0.0097,1,1,5,103.1,103.04,103.07,103.0789,-0.0001,103.0876,-0.0005,0.2685,34.954,41.6786,0,0,-0.02,0.06,0,3,12
2024-01-04 12:04:00,103.06,-0.03,0.0,-0.0291,0.0,0,0,0,103.07,103.05,103.07,103.0789,-0.0,103.0841,-0.0004,0.2907,34.954,41.7502,0,0,0.01,0.02,1,3,12
2024-01-04 12:05:00,103.07,0.01,-0.01,0.0097,-0.0097,1,0,1,103.11,103.06,103.11,103.0822,0.0004,103.0893,0.0006,0.4838,42.1831,40.6157,1,1,0.04,0.05,1,3,12
2024-01-04 12:06:00,103.1,0.03,0.0,0.0291,0.0,1,0,6,103.1,102.96,102.99,103.0711,-0.0012,103.0694,-0.0022,-0.0044,31.0384,40.8376,0,0,-0.11,0.14,0,3,12
2024-01-04 12:07:00,102.98,-0.12,-0.12,-0.1164,-0.1164,0,0,0,103.02,102.96,102.99,103.0589,-0.0014,103.0535,-0.0018,0.0134,31.0384,41.0437,0,0,0.01,0.06,1,3,12
2024-01-04 12:08:00,102.99,0.01,-0.08,0.0097,-0.0776,1,0,1,103.01,102.97,102.97,103.0478,-0.0012,103.0368,-0.0019,-0.0534,29.5303,41.235,0,0,-0.02,0.04,0,3,12
2024-01-04 12:09:00,102.98,-0.01,-0.09,-0.0097,-0.0873,0,0,0,103.02,102.98,103.0,103.0411,-0.0007,103.0295,-0.0008,0.1288,34.6587,41.1129,0,0,0.02,0.04,1,3,12
2024-01-04 12:10:00,103.0,0.02,-0.07,0.0194,-0.0679,1,0,3,103.03,103.0,103.01,103.0344,-0.0007,103.0256,-0.0004,0.2093,36.3222,40.6956,0,0,0.01,0.03,1,3,12
2024-01-04 12:11:00,103.01,0.01,-0.08,0.0097,-0.0776,1,0,4,103.04,102.97,103.02,103.0256,-0.001,103.0245,-0.0001,0.2845,38.0215,40.7227,0,0,0.01,0.07,1,3,12
2024-01-04 12:12:00,103.03,0.02,-0.03,0.0194,-0.0291,1,0,5,103.04,102.99,103.01,103.0189,-0.0007,103.0216,-0.0003,0.2494,36.9594,40.7479,0,0,-0.02,0.05,0,3,12
2024-01-04 12:13:00,103.03,0.0,-0.04,0.0,-0.0388,0,0,5,103.18,103.02,103.18,103.0311,0.0014,103.0532,0.0035,1.1137,58.291,38.1962,1,1,0.15,0.16,1,3,12
2024-01-04 12:14:00,103.18,0.15,0.08,0.1456,0.0776,1,1,7,103.24,103.17,103.18,103.0389,0.0009,103.0786,0.0028,1.0202,58.291,36.7157,1,1,0.0,0.07,0,3,12
2024-01-04 12:15:00,103.18,0.0,0.2,0.0,0.1942,0,1,6,103.19,103.15,103.18,103.06,0.0023,103.0989,0.0023,0.9516,58.291,34.964,1,1,0.0,0.04,0,3,12
2024-01-04 12:16:00,103.17,-0.01,0.18,-0.0097,0.1748,0,1,5,103.17,103.12,103.12,103.0744,0.0016,103.1031,0.0005,0.6995,50.7247,32.7952,1,1,-0.05,0.05,0,3,12
2024-01-04 12:17:00,103.12,-0.05,0.14,-0.0485,0.1359,0,1,4,103.13,103.02,103.02,103.08,0.0006,103.0865,-0.0018,0.3203,41.1401,31.5843,0,0,-0.1,0.11,0,3,12
2024-01-04 12:18:00,103.01,-0.11,0.01,-0.1067,0.0097,0,1,0,103.05,103.0,103.03,103.0833,0.0004,103.0752,-0.0013,0.3729,42.3139,30.7027,0,0,0.02,0.05,1,3,12
2024-01-04 12:19:00,103.03,0.02,0.02,0.0194,0.0194,1,1,1,103.07,102.99,103.07,103.09,0.0007,103.0741,-0.0001,0.5293,46.8776,29.529,0,0,0.04,0.08,1,3,12
2024-01-04 12:20:00,103.07,0.04,0.04,0.0388,0.0388,1,1,3,103.08,103.03,103.04,103.0922,0.0002,103.0673,-0.0008,0.4162,44.0621,28.26,0,0,-0.03,0.05,0,3,12
2024-01-04 12:21:00,103.04,-0.03,0.01,-0.0291,0.0097,0,1,2,103.05,102.98,103.0,103.0911,-0.0001,103.0539,-0.0015,0.2785,40.5639,27.7479,0,0,-0.04,0.07,0,3,12
2024-01-04 12:22:00,102.98,-0.06,-0.2,-0.0582,-0.1938,0,0,0,103.0,102.96,102.96,103.0667,-0.0027,103.0351,-0.0021,0.1656,37.3688,27.5179,0,0,-0.02,0.04,0,3,12
2024-01-04 12:23:00,102.96,-0.02,-0.22,-0.0194,-0.2132,0,0,0,102.99,102.96,102.99,103.0456,-0.0023,103.0261,-0.001,0.2939,41.115,27.3043,0,0,0.03,0.03,1,3,12
2024-01-04 12:24:00,102.99,0.03,-0.18,0.0291,-0.1745,1,0,2,103.04,102.98,103.02,103.0278,-0.002,103.0249,-0.0001,0.4115,44.6785,26.1086,0,0,0.03,0.06,1,3,12
2024-01-04 12:25:00,103.02,0.03,-0.1,0.0291,-0.097,1,0,4,103.07,103.01,103.05,103.02,-0.0009,103.0299,0.0006,0.5315,48.0633,24.4648,1,1,0.03,0.06,1,3,12
2024-01-04 12:26:00,103.06,0.04,0.05,0.0388,0.0485,1,1,6,103.07,103.04,103.04,103.0222,0.0002,103.0319,0.0002,0.485,47.0304,22.9384,1,1,-0.02,0.03,0,3,12
2024-01-04 12:27:00,103.04,-0.02,0.01,-0.0194,0.0097,0,1,4,103.1,103.04,103.07,103.0267,0.0005,103.0395,0.0008,0.5839,50.4695,21.6139,1,1,0.03,0.06,1,3,12
2024-01-04 12:28:00,103.06,0.02,-0.01,0.0194,-0.0097,1,0,6,103.07,103.01,103.01,103.02,-0.0007,103.0336,-0.0007,0.3431,44.2777,20.2972,0,0,-0.05,0.06,0,3,12
2024-01-04 12:29:00,103.0,-0.06,-0.04,-0.0582,-0.0388,0,0,3,103.03,102.97,103.03,103.0189,-0.0001,103.0329,-0.0001,0.4145,46.6282,19.7272,1,0,0.03,0.06,1,3,12
