datetime,open,open_1 change,open_9 change,open_1 change(%),open_9 change(%),open_1 trend,open_9 trend,high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,day,hour
2024-07-17 15:23:00,118.53,0.23,0.26,0.1944,0.2198,1,1,118.61,118.4,118.48,118.29,0.003,118.3359,0.004,0.8297,61.1545,30.4454,2,15
2024-07-17 15:24:00,118.49,-0.04,0.23,-0.0337,0.1945,0,1,118.68,118.48,118.61,118.3111,0.0023,118.3907,0.0061,0.9996,65.1104,30.8499,2,15
2024-07-17 15:25:00,118.61,0.12,0.19,0.1013,0.1604,1,1,118.69,118.55,118.68,118.3656,0.006,118.4486,0.0064,1.0278,67.0558,31.2674,2,15
2024-07-17 15:26:00,118.66,0.05,0.46,0.0422,0.3892,1,1,118.68,118.43,118.54,118.4211,0.0062,118.4669,0.002,0.7711,59.866,30.6161,2,15
2024-07-17 15:27:00,118.53,-0.13,0.49,-0.1096,0.4151,0,1,118.71,118.45,118.64,118.4656,0.0049,118.5015,0.0038,0.8847,62.924,30.1661,2,15
2024-07-17 15:28:00,118.64,0.11,0.4,0.0928,0.3383,1,1,118.9,118.64,118.87,118.5378,0.008,118.5752,0.0082,1.0854,68.8102,30.6114,2,15
2024-07-17 15:29:00,118.86,0.22,0.65,0.1854,0.5499,1,1,118.95,118.73,118.93,118.6167,0.0088,118.6461,0.0079,1.043,70.142,31.2215,2,15
2024-07-17 15:30:00,118.92,0.06,0.69,0.0505,0.5836,1,1,119.0,118.8,119.0,118.6944,0.0086,118.7169,0.0079,1.0234,71.6622,31.9816,2,15
2024-07-17 15:31:00,118.99,0.07,0.69,0.0589,0.5833,1,1,119.1,118.95,119.0,118.75,0.0062,118.7735,0.0063,0.9525,71.6622,33.0509,2,15
2024-07-17 15:32:00,119.0,0.01,0.47,0.0084,0.3965,1,1,119.07,118.75,118.82,118.7878,0.0042,118.7828,0.001,0.7665,62.2154,32.3788,2,15
2024-07-17 15:33:00,118.83,-0.17,0.34,-0.1429,0.2869,0,1,118.92,118.7,118.78,118.8067,0.0021,118.7823,-0.0001,0.7099,60.3127,31.3929,2,15
2024-07-17 15:34:00,118.79,-0.04,0.18,-0.0337,0.1518,0,1,118.82,118.64,118.66,118.8044,-0.0002,118.7578,-0.0027,0.5908,54.8893,30.0517,2,15
2024-07-17 15:35:00,118.67,-0.12,0.01,-0.101,0.0084,0,1,118.67,118.47,118.54,118.8044,0.0,118.7142,-0.0048,0.4796,50.0433,28.0738,2,15
2024-07-17 15:36:00,118.54,-0.13,0.01,-0.1095,0.0084,0,1,118.64,118.42,118.63,118.8033,-0.0001,118.6974,-0.0019,0.5419,53.3685,26.5191,2,15
2024-07-17 15:37:00,118.62,0.08,-0.02,0.0675,-0.0169,1,0,118.75,118.52,118.65,118.7789,-0.0027,118.6879,-0.0011,0.5362,54.0997,24.838,2,15
2024-07-17 15:38:00,118.65,0.03,-0.21,0.0253,-0.1767,1,0,118.86,118.58,118.82,118.7667,-0.0014,118.7143,0.0029,0.6946,59.8609,23.873,2,15
2024-07-17 15:39:00,118.82,0.17,-0.1,0.1433,-0.0841,1,0,118.82,118.6,118.65,118.7278,-0.0043,118.7015,-0.0014,0.4803,52.733,22.977,2,15
