datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-04 10:44:00,285.14,0.19,-0.3,0.0667,-0.1051,1,0,1,285.31,285.12,285.12,285.2522,-0.0037,285.2122,-0.0026,0.3758,46.0102,16.9815,0,0,-0.02,0.19,0,3,10
2024-01-04 10:45:00,285.21,0.07,-0.53,0.0245,-0.1855,1,0,3,285.31,285.06,285.21,285.1756,-0.0085,285.2118,-0.0,0.4569,48.263,16.248,1,0,0.0,0.25,0,3,10
2024-01-04 10:46:00,285.14,-0.07,-0.16,-0.0245,-0.0561,0,0,1,285.23,284.97,285.06,285.1489,-0.003,285.1814,-0.0034,0.3027,44.9002,15.2348,0,0,-0.08,0.26,0,3,10
2024-01-04 10:47:00,284.98,-0.16,-0.23,-0.0561,-0.0806,0,0,1,285.1,284.98,285.02,285.1367,-0.0014,285.1491,-0.0036,0.2324,44.0194,14.294,0,0,0.04,0.12,1,3,10
2024-01-04 10:48:00,284.99,0.01,-0.24,0.0035,-0.0841,1,0,2,285.12,284.93,284.97,285.1189,-0.002,285.1133,-0.004,0.1695,42.8869,13.3247,0,0,-0.02,0.19,0,3,10
2024-01-04 10:49:00,284.95,-0.04,-0.26,-0.014,-0.0912,0,0,0,285.31,284.95,285.3,285.1344,0.0017,285.1507,0.0041,0.516,51.7164,13.0444,1,1,0.35,0.36,1,3,10
2024-01-04 10:50:00,285.37,0.42,0.21,0.1474,0.0736,1,1,7,285.42,285.22,285.42,285.1522,0.002,285.2045,0.006,0.6683,54.4727,13.1658,1,1,0.05,0.2,1,3,10
2024-01-04 10:51:00,285.43,0.06,0.48,0.021,0.1685,1,1,7,285.6,285.36,285.45,285.1967,0.0049,285.2536,0.0055,0.7201,55.1618,13.8518,1,1,0.02,0.24,1,3,10
2024-01-04 10:52:00,285.5,0.07,0.36,0.0245,0.1263,1,1,7,285.56,285.29,285.3,285.2056,0.001,285.2629,0.001,0.5594,51.0047,14.1562,1,1,-0.2,0.27,0,3,10
2024-01-04 10:53:00,285.3,-0.2,0.09,-0.0701,0.0316,0,1,4,285.3,285.01,285.1,285.2033,-0.0002,285.2303,-0.0036,0.324,46.0243,13.2539,0,0,-0.2,0.29,0,3,10
2024-01-04 10:54:00,285.15,-0.15,0.01,-0.0526,0.0035,0,1,3,285.38,285.14,285.35,285.2189,0.0017,285.2543,0.0027,0.6312,52.295,12.7074,1,1,0.2,0.24,1,3,10
2024-01-04 10:55:00,285.51,0.36,0.53,0.1262,0.186,1,1,7,285.55,285.27,285.32,285.2478,0.0032,285.2674,0.0015,0.602,51.5215,12.7839,1,1,-0.19,0.28,0,3,10
2024-01-04 10:56:00,285.3,-0.21,0.31,-0.0736,0.1088,0,1,2,285.41,285.23,285.23,285.2711,0.0026,285.2599,-0.0008,0.5481,49.1717,12.6803,0,0,-0.07,0.18,0,3,10
2024-01-04 10:57:00,285.29,-0.01,0.34,-0.0035,0.1193,0,1,1,285.31,285.23,285.31,285.3089,0.0042,285.2699,0.0011,0.7005,51.2979,12.5842,1,1,0.02,0.08,1,3,10
2024-01-04 10:58:00,285.26,-0.03,-0.11,-0.0105,-0.0385,0,0,1,285.41,285.11,285.11,285.2878,-0.0023,285.2379,-0.0036,0.3196,46.1053,11.9422,0,0,-0.15,0.3,0,3,10
2024-01-04 10:59:00,285.11,-0.15,-0.32,-0.0526,-0.1121,0,0,0,285.27,285.0,285.27,285.2711,-0.0019,285.2444,0.0007,0.6121,50.4284,11.3075,0,1,0.16,0.27,1,3,10
2024-01-04 11:00:00,285.23,0.12,-0.27,0.0421,-0.0946,1,0,2,285.41,285.23,285.32,285.2567,-0.0016,285.2595,0.0017,0.6903,51.7314,10.877,1,1,0.09,0.18,1,3,11
2024-01-04 11:01:00,285.32,0.09,0.02,0.0316,0.007,1,1,6,285.45,285.2,285.41,285.2689,0.0014,285.2896,0.0033,0.831,54.0716,10.6415,1,1,0.09,0.25,1,3,11
2024-01-04 11:02:00,285.45,0.13,0.3,0.0456,0.1052,1,1,6,285.55,285.41,285.41,285.3033,0.0038,285.3137,0.0027,0.8002,54.0716,10.828,1,1,-0.04,0.14,0,3,11
2024-01-04 11:03:00,285.44,-0.01,-0.07,-0.0035,-0.0245,0,0,6,285.55,285.39,285.4,285.3089,0.0006,285.3309,0.0019,0.7583,53.7359,10.8956,1,1,-0.04,0.16,0,3,11
2024-01-04 11:04:00,285.49,0.05,0.19,0.0175,0.0666,1,1,7,285.53,285.48,285.48,285.3267,0.002,285.3608,0.0033,0.8562,56.085,10.9584,1,1,-0.01,0.05,0,3,11
2024-01-04 11:05:00,285.48,-0.01,0.19,-0.0035,0.0666,0,1,6,285.82,285.48,285.82,285.3922,0.0073,285.4526,0.0102,1.1896,64.3662,12.1505,1,1,0.34,0.34,1,3,11
