datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-04 10:59:00,149.22,0.09,0.24,0.0604,0.1611,1,1,7,149.24,149.21,149.21,149.0744,0.0028,149.1002,0.003,1.1424,69.8581,28.4579,1,1,-0.01,0.03,0,3,10
2024-01-04 11:00:00,149.19,-0.03,0.18,-0.0201,0.1208,0,1,6,149.21,149.1,149.1,149.0844,0.0011,149.1002,-0.0,0.6965,56.0669,27.4684,1,0,-0.09,0.11,0,3,11
2024-01-04 11:01:00,149.1,-0.09,0.04,-0.0603,0.0268,0,1,4,149.11,149.04,149.04,149.0833,-0.0001,149.0881,-0.0013,0.4673,50.2408,25.6639,0,0,-0.06,0.07,0,3,11
2024-01-04 11:02:00,149.03,-0.07,-0.02,-0.0469,-0.0134,0,0,3,149.13,149.03,149.13,149.0922,0.001,149.0965,0.0009,0.785,57.3929,24.2495,1,1,0.1,0.1,1,3,11
2024-01-04 11:03:00,149.15,0.12,0.16,0.0805,0.1074,1,1,5,149.17,149.12,149.14,149.1089,0.0019,149.1052,0.001,0.7905,58.1133,23.4372,1,1,-0.01,0.05,0,3,11
2024-01-04 11:04:00,149.12,-0.03,0.13,-0.0201,0.0873,0,1,3,149.13,149.07,149.11,149.1211,0.0014,149.1062,0.0001,0.6648,55.1032,21.9478,0,1,-0.01,0.06,0,3,11
2024-01-04 11:05:00,149.11,-0.01,0.09,-0.0067,0.0604,0,1,2,149.16,149.11,149.15,149.1367,0.0017,149.1149,0.001,0.7795,58.2112,20.952,1,1,0.04,0.05,1,3,11
2024-01-04 11:06:00,149.15,0.04,0.02,0.0268,0.0134,1,1,4,149.16,149.09,149.09,149.1311,-0.0006,149.1099,-0.0006,0.5527,52.3564,19.7309,0,0,-0.06,0.07,0,3,11
2024-01-04 11:07:00,149.1,-0.05,-0.12,-0.0335,-0.0804,0,0,1,149.1,149.03,149.09,149.1178,-0.0015,149.106,-0.0004,0.5406,52.3564,18.8649,0,0,-0.01,0.07,0,3,11
2024-01-04 11:08:00,149.1,0.0,-0.09,0.0,-0.0603,0,0,1,149.13,149.09,149.1,149.1056,-0.0014,149.1048,-0.0001,0.5702,53.265,17.6296,0,0,0.0,0.04,0,3,11
2024-01-04 11:09:00,149.11,0.01,0.01,0.0067,0.0067,1,1,3,149.15,149.1,149.1,149.1056,0.0,149.1038,-0.0001,0.5566,53.265,16.5391,0,0,-0.01,0.05,0,3,11
2024-01-04 11:10:00,149.11,0.0,0.08,0.0,0.0537,0,1,2,149.16,149.1,149.16,149.1189,0.0015,149.1151,0.0012,0.7595,58.7403,15.6689,1,1,0.05,0.06,1,3,11
2024-01-04 11:11:00,149.15,0.04,0.0,0.0268,0.0,1,0,6,149.23,149.14,149.22,149.1289,0.0011,149.136,0.0023,0.9366,63.3628,15.7724,1,1,0.07,0.09,1,3,11
2024-01-04 11:12:00,149.21,0.06,0.09,0.0402,0.0604,1,1,7,149.23,149.18,149.18,149.1333,0.0005,149.1448,0.001,0.758,58.6457,15.8685,1,1,-0.03,0.05,0,3,11
2024-01-04 11:13:00,149.2,-0.01,0.09,-0.0067,0.0604,0,1,6,149.22,149.18,149.22,149.1456,0.0014,149.1599,0.0017,0.8625,61.7151,15.9577,1,1,0.02,0.04,1,3,11
2024-01-04 11:14:00,149.21,0.01,0.06,0.0067,0.0402,1,1,6,149.24,149.2,149.21,149.1522,0.0007,149.1699,0.0011,0.8047,60.506,16.3096,1,1,0.0,0.04,0,3,11
2024-01-04 11:15:00,149.22,0.01,0.12,0.0067,0.0805,1,1,7,149.27,149.15,149.15,149.1589,0.0007,149.1659,-0.0004,0.5517,53.7071,15.6951,0,0,-0.07,0.12,0,3,11
2024-01-04 11:16:00,149.14,-0.08,0.04,-0.0536,0.0268,0,1,2,149.16,149.08,149.1,149.16,0.0001,149.1527,-0.0015,0.2916,48.7873,15.1096,0,0,-0.04,0.08,0,3,11
2024-01-04 11:17:00,149.08,-0.06,-0.03,-0.0402,-0.0201,0,0,0,149.08,148.98,148.98,149.1467,-0.0015,149.1182,-0.0038,-0.1221,39.4476,15.7448,0,0,-0.1,0.1,0,3,11
2024-01-04 11:18:00,148.99,-0.09,-0.12,-0.0604,-0.0805,0,0,0,149.03,148.97,148.97,149.1322,-0.0016,149.0885,-0.0033,-0.0515,38.7813,16.437,0,0,-0.02,0.06,0,3,11
