datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-04 10:59:00,73.01,-0.06,-0.12,-0.0821,-0.1641,0,0,2,73.01,72.96,72.99,73.0444,-0.0017,73.037,-0.0013,0.3541,48.9367,35.2426,0,0,-0.02,0.05,0,3,10
2024-01-04 11:00:00,73.0,-0.01,-0.1,-0.0137,-0.1368,0,0,2,73.22,73.0,73.19,73.0556,0.0012,73.0676,0.0034,0.8353,60.0656,34.6823,1,1,0.19,0.22,1,3,11
2024-01-04 11:01:00,73.2,0.2,0.09,0.274,0.1231,1,1,7,73.35,73.2,73.35,73.0822,0.003,73.1241,0.0063,1.1292,66.3785,35.049,1,1,0.15,0.15,1,3,11
2024-01-04 11:02:00,73.35,0.15,0.37,0.2049,0.507,1,1,7,73.36,73.24,73.24,73.1122,0.0033,73.1473,0.0026,0.8475,59.4235,35.4496,1,1,-0.11,0.12,0,3,11
2024-01-04 11:03:00,73.24,-0.11,0.15,-0.15,0.2052,0,1,6,73.35,73.24,73.33,73.1367,0.0027,73.1838,0.0041,1.0062,62.853,35.8216,1,1,0.09,0.11,1,3,11
2024-01-04 11:04:00,73.32,0.08,0.26,0.1092,0.3559,1,1,6,73.33,73.24,73.27,73.1589,0.0025,73.2011,0.0019,0.8228,59.2572,36.167,1,1,-0.05,0.09,0,3,11
2024-01-04 11:05:00,73.27,-0.05,0.29,-0.0682,0.3974,0,1,5,73.37,73.27,73.33,73.1967,0.0042,73.2268,0.0029,0.9185,61.6217,36.7643,1,1,0.06,0.1,1,3,11
2024-01-04 11:06:00,73.34,0.07,0.27,0.0955,0.3695,1,1,6,73.41,73.3,73.4,73.2333,0.0041,73.2615,0.0038,0.9845,64.2299,37.5791,1,1,0.06,0.11,1,3,11
2024-01-04 11:07:00,73.4,0.06,0.39,0.0818,0.5342,1,1,7,73.41,73.26,73.31,73.2678,0.0038,73.2712,0.0011,0.779,58.7058,37.6368,1,1,-0.09,0.15,0,3,11
2024-01-04 11:08:00,73.3,-0.1,0.3,-0.1362,0.411,0,1,3,73.36,73.29,73.35,73.3078,0.0044,73.2869,0.0018,0.8224,60.3384,37.6903,1,1,0.05,0.07,1,3,11
2024-01-04 11:09:00,73.35,0.05,0.15,0.0682,0.2049,1,1,5,73.37,73.35,73.36,73.3267,0.0021,73.3016,0.0016,0.8108,60.7562,37.8228,1,1,0.01,0.02,1,3,11
2024-01-04 11:10:00,73.36,0.01,0.01,0.0136,0.0136,1,1,6,73.48,73.34,73.44,73.3367,0.0011,73.3292,0.0031,0.8964,64.021,38.7318,1,1,0.08,0.14,1,3,11
2024-01-04 11:11:00,73.47,0.11,0.23,0.1499,0.314,1,1,7,73.57,73.46,73.56,73.3722,0.004,73.3754,0.0051,0.9998,68.2833,40.0641,1,1,0.09,0.11,1,3,11
2024-01-04 11:12:00,73.58,0.11,0.26,0.1497,0.3546,1,1,7,73.58,73.49,73.52,73.3933,0.0023,73.4043,0.0032,0.8879,65.4979,41.3508,1,1,-0.06,0.09,0,3,11
2024-01-04 11:13:00,73.52,-0.06,0.25,-0.0815,0.3412,0,1,6,73.54,73.49,73.52,73.4211,0.0031,73.4275,0.0026,0.8529,65.4979,42.5456,1,1,0.0,0.05,0,3,11
2024-01-04 11:14:00,73.57,0.05,0.23,0.068,0.3136,1,1,6,73.65,73.57,73.63,73.4544,0.0037,73.468,0.0045,0.9408,69.4699,44.1698,1,1,0.06,0.08,1,3,11
2024-01-04 11:15:00,73.65,0.08,0.25,0.1087,0.3406,1,1,7,73.68,73.62,73.64,73.4811,0.003,73.5024,0.0038,0.9023,69.8101,45.7971,1,1,-0.01,0.06,0,3,11
2024-01-04 11:16:00,73.64,-0.01,0.34,-0.0136,0.4638,0,1,6,73.72,73.64,73.71,73.5256,0.0049,73.5439,0.0046,0.9426,72.15,47.4606,1,1,0.07,0.08,1,3,11
2024-01-04 11:17:00,73.71,0.07,0.36,0.0951,0.4908,1,1,7,73.75,73.69,73.7,73.5644,0.0043,73.5751,0.0035,0.8873,71.2998,49.1147,1,1,-0.01,0.06,0,3,11
2024-01-04 11:18:00,73.7,-0.01,0.34,-0.0136,0.4635,0,1,6,73.74,73.66,73.72,73.6044,0.0044,73.6041,0.0032,0.8851,72.0102,50.0332,1,1,0.02,0.08,1,3,11
2024-01-04 11:19:00,73.74,0.04,0.27,0.0543,0.3675,1,1,7,73.75,73.55,73.57,73.6189,0.0016,73.5973,-0.0008,0.6735,60.0127,48.9573,0,0,-0.17,0.2,0,3,11
2024-01-04 11:20:00,73.58,-0.16,0.0,-0.217,0.0,0,0,2,73.61,73.52,73.59,73.6222,0.0004,73.5958,-0.0002,0.6846,60.947,47.5084,0,0,0.01,0.09,1,3,11
2024-01-04 11:21:00,73.58,0.0,0.06,0.0,0.0816,0,1,1,73.59,73.53,73.55,73.6256,0.0004,73.5867,-0.001,0.6044,58.0269,46.1629,0,0,-0.03,0.06,0,3,11
2024-01-04 11:22:00,73.56,-0.02,-0.01,-0.0272,-0.0136,0,0,0,73.69,73.56,73.65,73.64,0.0016,73.5993,0.0014,0.748,62.8226,45.6923,1,1,0.09,0.13,1,3,11
2024-01-04 11:23:00,73.66,0.1,0.01,0.1359,0.0136,1,1,4,73.7,73.61,73.69,73.6467,0.0007,73.6175,0.002,0.7879,64.5665,45.3253,1,1,0.03,0.09,1,3,11
2024-01-04 11:24:00,73.69,0.03,0.05,0.0407,0.0679,1,1,4,73.71,73.64,73.66,73.6489,0.0002,73.626,0.0009,0.7163,62.2095,45.0573,1,1,-0.03,0.07,0,3,11
2024-01-04 11:25:00,73.64,-0.05,-0.07,-0.0679,-0.095,0,0,3,73.7,73.62,73.69,73.6467,-0.0002,73.6388,0.0014,0.7504,63.639,44.4483,1,1,0.05,0.08,1,3,11
2024-01-04 11:26:00,73.67,0.03,-0.03,0.0407,-0.0407,1,0,5,73.71,73.66,73.68,73.6444,-0.0002,73.647,0.0009,0.7086,62.7864,43.9681,1,1,0.01,0.05,1,3,11
2024-01-04 11:27:00,73.67,0.0,-0.07,0.0,-0.0949,0,0,5,73.67,73.57,73.57,73.6278,-0.0019,73.6316,-0.0017,0.4534,54.187,42.0051,0,0,-0.1,0.1,0,3,11
2024-01-04 11:28:00,73.57,-0.1,-0.01,-0.1357,-0.0136,0,0,1,73.6,73.53,73.53,73.6233,-0.0005,73.6113,-0.0023,0.3154,51.4286,39.6104,0,0,-0.04,0.07,0,3,11
2024-01-04 11:29:00,73.54,-0.03,-0.04,-0.0408,-0.0544,0,0,0,73.58,73.5,73.51,73.6144,-0.001,73.591,-0.0023,0.1939,50.0565,36.9791,0,0,-0.03,0.08,0,3,11
2024-01-04 11:30:00,73.5,-0.04,-0.06,-0.0544,-0.0816,0,0,0,73.55,73.41,73.44,73.6022,-0.0014,73.5608,-0.0034,-0.0281,45.4828,35.206,0,0,-0.06,0.14,0,3,11
2024-01-04 11:31:00,73.44,-0.06,-0.22,-0.0816,-0.2987,0,0,0,73.44,73.39,73.42,73.5767,-0.0028,73.5327,-0.0031,-0.0083,44.239,33.7703,0,0,-0.02,0.05,0,3,11
2024-01-04 11:32:00,73.43,-0.01,-0.26,-0.0136,-0.3528,0,0,0,73.6,73.42,73.59,73.5656,-0.0012,73.5441,0.0013,0.4624,55.4026,32.1246,1,1,0.16,0.18,1,3,11
2024-01-04 11:33:00,73.58,0.15,-0.06,0.2043,-0.0815,1,0,5,73.71,73.57,73.68,73.5678,0.0002,73.5713,0.003,0.7011,59.9715,31.5051,1,1,0.1,0.14,1,3,11
2024-01-04 11:34:00,73.68,0.1,0.01,0.1359,0.0136,1,1,7,73.75,73.64,73.64,73.5622,-0.0006,73.585,0.0015,0.5829,57.1683,31.2189,1,1,-0.04,0.11,0,3,11
2024-01-04 11:35:00,73.64,-0.04,-0.03,-0.0543,-0.0407,0,0,6,73.8,73.63,73.79,73.5744,0.0014,73.626,0.0046,0.9537,63.9698,31.2971,1,1,0.15,0.17,1,3,11
2024-01-04 11:36:00,73.79,0.15,0.22,0.2037,0.299,1,1,7,73.84,73.76,73.79,73.5989,0.0027,73.6588,0.0036,0.9194,63.9698,31.6314,1,1,0.0,0.08,0,3,11
2024-01-04 11:37:00,73.8,0.01,0.26,0.0136,0.3535,1,1,7,73.93,73.8,73.93,73.6433,0.0049,73.7131,0.006,1.1201,69.2545,32.4721,1,1,0.13,0.13,1,3,11
2024-01-04 11:38:00,73.92,0.12,0.42,0.1626,0.5714,1,1,7,73.95,73.78,73.82,73.6778,0.0038,73.7344,0.0024,0.8622,61.6083,33.2528,1,1,-0.1,0.17,0,3,11
2024-01-04 11:39:00,73.84,-0.08,0.4,-0.1082,0.5447,0,1,6,73.9,73.76,73.81,73.7189,0.0046,73.7496,0.0017,0.8076,60.9495,33.6805,1,1,-0.03,0.14,0,3,11
2024-01-04 11:40:00,73.81,-0.03,0.38,-0.0406,0.5175,0,1,5,73.81,73.75,73.76,73.7567,0.0042,73.7516,0.0002,0.6922,57.631,33.9246,1,1,-0.05,0.06,0,3,11
