datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2024-01-04 10:53:00,17.25,0.01,-0.03,0.058,-0.1736,1,0,1,17.25,17.23,17.23,17.2511,-0.0005,17.2487,-0.0005,-0.0579,36.2763,12.7878,0,0,-0.02,0.02,0,3,10
2024-01-04 10:54:00,17.24,-0.01,-0.03,-0.058,-0.1737,0,0,0,17.24,17.23,17.24,17.2478,-0.0004,17.2469,-0.0002,0.1421,42.3981,14.0873,0,0,0.0,0.01,0,3,10
2024-01-04 10:55:00,17.24,0.0,-0.02,0.0,-0.1159,0,0,0,17.24,17.22,17.23,17.2444,-0.0004,17.2435,-0.0004,0.0178,38.4229,15.9612,0,0,-0.01,0.02,0,3,10
2024-01-04 10:56:00,17.23,-0.01,-0.03,-0.058,-0.1738,0,0,0,17.25,17.22,17.25,17.2433,-0.0001,17.2448,0.0001,0.4055,48.7686,16.4262,1,1,0.02,0.03,1,3,10
2024-01-04 10:57:00,17.25,0.02,0.0,0.1161,0.0,1,0,4,17.25,17.23,17.24,17.2422,-0.0001,17.2439,-0.0001,0.242,44.7226,16.858,0,0,-0.01,0.02,0,3,10
2024-01-04 10:58:00,17.24,-0.01,-0.01,-0.058,-0.058,0,0,1,17.24,17.23,17.24,17.2411,-0.0001,17.2431,-0.0001,0.2648,44.7226,17.259,0,0,0.0,0.01,0,3,10
2024-01-04 10:59:00,17.24,0.0,-0.01,0.0,-0.058,0,0,1,17.24,17.23,17.24,17.24,-0.0001,17.2425,-0.0001,0.2857,44.7226,17.6313,0,0,0.0,0.01,0,3,10
2024-01-04 11:00:00,17.24,0.0,0.0,0.0,0.0,0,0,1,17.24,17.23,17.24,17.24,0.0,17.242,-0.0001,0.2981,44.7226,17.977,0,0,0.0,0.01,0,3,11
2024-01-04 11:01:00,17.23,-0.01,-0.02,-0.058,-0.1159,0,0,0,17.24,17.22,17.23,17.2378,-0.0002,17.2396,-0.0003,0.1593,40.2331,19.1597,0,0,0.0,0.02,0,3,11
2024-01-04 11:02:00,17.23,0.0,-0.01,0.0,-0.058,0,0,0,17.23,17.22,17.23,17.2378,0.0,17.2377,-0.0002,0.1897,40.2331,20.2579,0,0,0.0,0.01,0,3,11
2024-01-04 11:03:00,17.23,0.0,-0.01,0.0,-0.058,0,0,0,17.23,17.21,17.21,17.2344,-0.0004,17.2321,-0.0006,-0.0951,32.6342,21.9925,0,0,-0.02,0.02,0,3,11
2024-01-04 11:04:00,17.22,-0.01,-0.01,-0.058,-0.058,0,0,0,17.22,17.2,17.2,17.2311,-0.0004,17.2257,-0.0007,-0.1344,29.6217,24.1632,0,0,-0.02,0.02,0,3,11
2024-01-04 11:05:00,17.2,-0.02,-0.05,-0.1161,-0.2899,0,0,0,17.21,17.2,17.2,17.2256,-0.0006,17.2206,-0.0006,-0.0518,29.6217,26.1788,0,0,0.0,0.01,0,3,11
2024-01-04 11:06:00,17.2,0.0,-0.04,0.0,-0.232,0,0,0,17.21,17.2,17.21,17.2222,-0.0004,17.2185,-0.0002,0.137,36.4277,28.0504,0,0,0.01,0.01,1,3,11
2024-01-04 11:07:00,17.2,0.0,-0.04,0.0,-0.232,0,0,0,17.21,17.2,17.2,17.2178,-0.0005,17.2148,-0.0004,0.0474,32.9918,29.7883,0,0,0.0,0.01,0,3,11
2024-01-04 11:08:00,17.2,0.0,-0.04,0.0,-0.232,0,0,0,17.23,17.2,17.22,17.2156,-0.0002,17.2158,0.0001,0.3532,44.3063,28.4035,1,1,0.02,0.03,1,3,11
2024-01-04 11:09:00,17.22,0.02,-0.01,0.1163,-0.058,1,0,4,17.22,17.21,17.22,17.2133,-0.0002,17.2166,0.0001,0.3713,44.3063,27.1175,1,1,0.0,0.01,0,3,11
2024-01-04 11:10:00,17.22,0.0,-0.01,0.0,-0.058,0,0,4,17.22,17.21,17.21,17.2111,-0.0002,17.2153,-0.0001,0.2455,40.3549,25.9234,0,0,-0.01,0.01,0,3,11
2024-01-04 11:11:00,17.22,0.0,-0.01,0.0,-0.058,0,0,4,17.23,17.21,17.21,17.2089,-0.0002,17.2143,-0.0001,0.2696,40.3549,24.4864,1,0,-0.01,0.02,0,3,11
2024-01-04 11:12:00,17.21,-0.01,-0.01,-0.0581,-0.0581,0,0,4,17.22,17.21,17.22,17.21,0.0001,17.2154,0.0001,0.4426,45.9458,23.1521,1,1,0.01,0.01,1,3,11
2024-01-04 11:13:00,17.22,0.01,0.02,0.0581,0.1163,1,1,4,17.22,17.2,17.2,17.21,-0.0,17.2123,-0.0003,0.1563,38.2279,22.1831,0,0,-0.02,0.02,0,3,11
2024-01-04 11:14:00,17.2,-0.02,0.0,-0.1161,0.0,0,0,0,17.22,17.2,17.2,17.21,0.0,17.2099,-0.0003,0.1899,38.2279,21.2834,0,0,0.0,0.02,0,3,11
2024-01-04 11:15:00,17.2,0.0,0.0,0.0,0.0,0,0,0,17.21,17.2,17.2,17.2089,-0.0001,17.2079,-0.0002,0.22,38.2279,20.4479,0,0,0.0,0.01,0,3,11
2024-01-04 11:16:00,17.2,0.0,0.0,0.0,0.0,0,0,0,17.22,17.2,17.21,17.21,0.0001,17.2083,0.0,0.3911,44.0926,19.5062,0,1,0.01,0.02,1,3,11
2024-01-04 11:17:00,17.21,0.01,-0.01,0.0581,-0.0581,1,0,3,17.22,17.2,17.2,17.2078,-0.0002,17.2066,-0.0002,0.2467,40.0026,18.6317,0,0,-0.01,0.02,0,3,11
2024-01-04 11:18:00,17.2,-0.01,-0.02,-0.0581,-0.1161,0,0,0,17.21,17.2,17.2,17.2056,-0.0002,17.2053,-0.0001,0.2663,40.0026,17.8196,0,0,0.0,0.01,0,3,11
2024-01-04 11:19:00,17.2,0.0,-0.02,0.0,-0.1161,0,0,0,17.21,17.2,17.2,17.2044,-0.0001,17.2043,-0.0001,0.2818,40.0026,17.0656,0,0,0.0,0.01,0,3,11
2024-01-04 11:20:00,17.2,0.0,-0.01,0.0,-0.0581,0,0,0,17.21,17.19,17.2,17.2033,-0.0001,17.2034,-0.0001,0.2904,40.0026,16.6408,0,0,0.0,0.02,0,3,11
2024-01-04 11:21:00,17.2,0.0,-0.02,0.0,-0.1161,0,0,0,17.21,17.2,17.2,17.2011,-0.0002,17.2027,-0.0001,0.3056,40.0026,16.2464,0,0,0.0,0.01,0,3,11
2024-01-04 11:22:00,17.21,0.01,0.01,0.0581,0.0581,1,1,6,17.22,17.2,17.22,17.2033,0.0002,17.2062,0.0004,0.9261,52.7106,15.6077,1,1,0.01,0.02,1,3,11
2024-01-04 11:23:00,17.22,0.01,0.02,0.0581,0.1163,1,1,7,17.23,17.21,17.23,17.2067,0.0004,17.2109,0.0005,1.0971,57.5518,16.0177,1,1,0.01,0.02,1,3,11
2024-01-04 11:24:00,17.23,0.01,0.03,0.0581,0.1744,1,1,7,17.23,17.22,17.23,17.21,0.0004,17.2148,0.0004,1.0029,57.5518,16.3985,1,1,0.0,0.01,0,3,11
2024-01-04 11:25:00,17.23,0.0,0.02,0.0,0.1162,0,1,6,17.23,17.22,17.23,17.2122,0.0002,17.2178,0.0003,0.9365,57.5518,16.752,1,1,0.0,0.01,0,3,11
2024-01-04 11:26:00,17.23,0.0,0.03,0.0,0.1744,0,1,5,17.23,17.21,17.21,17.2133,0.0001,17.2162,-0.0002,0.4888,45.8315,15.7012,0,0,-0.02,0.02,0,3,11
2024-01-04 11:27:00,17.21,-0.02,0.01,-0.1161,0.0581,0,1,2,17.23,17.21,17.22,17.2156,0.0002,17.217,0.0001,0.6918,51.1844,14.7254,1,1,0.01,0.02,1,3,11
2024-01-04 11:28:00,17.22,0.01,0.02,0.0581,0.1163,1,1,3,17.23,17.21,17.23,17.2189,0.0004,17.2196,0.0003,0.8859,55.8798,13.8193,1,1,0.01,0.02,1,3,11
2024-01-04 11:29:00,17.23,0.01,0.03,0.0581,0.1744,1,1,4,17.24,17.22,17.24,17.2233,0.0005,17.2237,0.0005,1.0162,60.021,14.1379,1,1,0.01,0.02,1,3,11
2024-01-04 11:30:00,17.24,0.01,0.03,0.058,0.1743,1,1,7,17.24,17.23,17.24,17.2278,0.0005,17.2269,0.0004,0.9455,60.021,14.4338,1,1,0.0,0.01,0,3,11
2024-01-04 11:31:00,17.24,0.0,0.02,0.0,0.1161,0,1,6,17.25,17.23,17.25,17.2311,0.0004,17.2316,0.0005,1.0167,63.9458,15.6498,1,1,0.01,0.02,1,3,11
